phylum	species	file	link
mollusca	ACGR1	conversion.txt	http://gofile.me/5wDJy/v9ShLfhDT
mollusca	OEDU1	conversion.txt	http://gofile.me/5wDJy/CL225xGp3
mollusca	PMAX1	genomes.cds	http://gofile.me/5wDJy/GKFSzn8wX
mollusca	SCON2	conversion.txt	http://gofile.me/5wDJy/8F54or3Hx
mollusca	OBIM1	conversion.txt	http://gofile.me/5wDJy/Z7WY7xqK4
mollusca	MYES2	genomes.cds	http://gofile.me/5wDJy/XXIQNiOYL
mollusca	LNYA2	genomes.cds	http://gofile.me/5wDJy/b3CWakpHp
mollusca	AIMM1	conversion.txt	http://gofile.me/5wDJy/JtDozV8AP
mollusca	GAEG2	genomes.cds	http://gofile.me/5wDJy/Jhe2TeGXL
mollusca	BGLA2	conversion.txt	http://gofile.me/5wDJy/FoU2vOlmd
mollusca	BPLA1	genomes.cds	http://gofile.me/5wDJy/R7WIxvBYQ
mollusca	OBIM1	genomes.cds	http://gofile.me/5wDJy/ka2M4MwDn
mollusca	PCAN2	conversion.txt	http://gofile.me/5wDJy/pIUs1K1Df
mollusca	SGLO1	conversion.txt	http://gofile.me/5wDJy/Z344DW7Xx
mollusca	OSIN2	genomes.cds	http://gofile.me/5wDJy/GvwU5arDA
mollusca	ACGR1	genomes.cds	http://gofile.me/5wDJy/0PJCeG7US
mollusca	ADUX1	genomes.cds	http://gofile.me/5wDJy/YQAG0jbvz
mollusca	MHON1	conversion.txt	http://gofile.me/5wDJy/VUVO6kAqz
mollusca	ARVU2	conversion.txt	http://gofile.me/5wDJy/ndAPUSBch
mollusca	SCON2	genomes.cds	http://gofile.me/5wDJy/2EIZw9sYB
mollusca	APUR1	conversion.txt	http://gofile.me/5wDJy/pT01wjzHi
mollusca	MYES2	conversion.txt	http://gofile.me/5wDJy/aAMiBGLs8
mollusca	ECHL1	conversion.txt	http://gofile.me/5wDJy/mkwhNq1e2
annelida	CTEL1	conversion.txt	http://gofile.me/5wDJy/p4iTUMz1H
annelida	OFUS1	genomes.cds	http://gofile.me/5wDJy/MC35GFOJr
annelida	EAND1	conversion.txt	http://gofile.me/5wDJy/sHjONPg2w
annelida	MVUL1	conversion.txt	http://gofile.me/5wDJy/6Z6k64dUD
annelida	PECH1	genomes.cds	http://gofile.me/5wDJy/9YrM3Xu5W
annelida	OFRA1	conversion.txt	http://gofile.me/5wDJy/JDjQz2PNM
annelida	MVUL1	genomes.cds	http://gofile.me/5wDJy/f4L4pxo7h
annelida	DGYR1	conversion.txt	http://gofile.me/5wDJy/kYP6atnlm
annelida	PECH1	conversion.txt	http://gofile.me/5wDJy/kJGSqvGOI
annelida	RPAC1	genomes.cds	http://gofile.me/5wDJy/nOGWk1ytT
annelida	CTEL1	genomes.cds	http://gofile.me/5wDJy/C13h0h1xH
annelida	OALV1	conversion.txt	http://gofile.me/5wDJy/4uRmTLP4u
annelida	HROB1	genomes.cds	http://gofile.me/5wDJy/AG9A7risQ
annelida	RPAC1	conversion.txt	http://gofile.me/5wDJy/M4UuQ5V4K
annelida	EAND1	genomes.cds	http://gofile.me/5wDJy/h5s3sbxId
annelida	NNAJ1	conversion.txt	http://gofile.me/5wDJy/F98qKeaeR
annelida	HROB1	conversion.txt	http://gofile.me/5wDJy/kzZk2qlA7
annelida	WPIG1	genomes.cds	http://gofile.me/5wDJy/bpRzHBn3z
annelida	ECRY2	genomes.cds	http://gofile.me/5wDJy/rRjWn1CrQ
annelida	ECRY2	conversion.txt	http://gofile.me/5wDJy/bg1wydSXj
annelida	DGYR1	genomes.cds	http://gofile.me/5wDJy/rkaDemxYg
annelida	CMAT1	conversion.txt	http://gofile.me/5wDJy/JESS2gU0K
annelida	LSAT1	conversion.txt	http://gofile.me/5wDJy/T1bmb9KzZ
annelida	OALV1	genomes.cds	http://gofile.me/5wDJy/4ikpgt2nR
annelida	OFUS1	conversion.txt	http://gofile.me/5wDJy/79nrvGmkf
annelida	LSAT1	genomes.cds	http://gofile.me/5wDJy/xlAYvdil8
annelida	NNAJ1	genomes.cds	http://gofile.me/5wDJy/HeU8Jhff2
annelida	CMAT1	genomes.cds	http://gofile.me/5wDJy/AsfnJdvkO
annelida	WPIG1	conversion.txt	http://gofile.me/5wDJy/IwP6zxkJu
annelida	OFRA1	genomes.cds	http://gofile.me/5wDJy/iBvsZU6JM
tardigrada	HEXE1	conversion.txt	http://gofile.me/5wDJy/S24vGy9cg
tardigrada	PMET1	conversion.txt	http://gofile.me/5wDJy/kH7zreS8w
tardigrada	RVAR1	genomes.cds	http://gofile.me/5wDJy/djfvWWQhd
tardigrada	RVAR1	conversion.txt	http://gofile.me/5wDJy/TewmuAWlY
tardigrada	HEXE1	genomes.cds	http://gofile.me/5wDJy/ut22kmAyK
tardigrada	PMET1	genomes.cds	http://gofile.me/5wDJy/iPmaWeBYI
brachiopoda	LANA1	conversion.txt	http://gofile.me/5wDJy/rX59DWZ0F
brachiopoda	LANA1	genomes.cds	http://gofile.me/5wDJy/bRAO8fSLv
rotifera	AVAG1	conversion.txt	http://gofile.me/5wDJy/w3DQz2HTE
rotifera	RSOC1	conversion.txt	http://gofile.me/5wDJy/dSBhwCqBd
rotifera	DCAR1	conversion.txt	http://gofile.me/5wDJy/tVsb72oxO
rotifera	RSOC1	genomes.cds	http://gofile.me/5wDJy/zACqnij9G
rotifera	AVAG1	genomes.cds	http://gofile.me/5wDJy/T235IvdDq
rotifera	BPLI1	conversion.txt	http://gofile.me/5wDJy/5Bke0H4iQ
rotifera	DCAR1	genomes.cds	http://gofile.me/5wDJy/792K93usI
rotifera	BPLI1	genomes.cds	http://gofile.me/5wDJy/mtTawBiob
echinodermata	LVAR1	conversion.txt	http://gofile.me/5wDJy/5U7K2KBBV
echinodermata	ARUB1	genomes.cds	http://gofile.me/5wDJy/sq7qHJ6ju
echinodermata	CHEH1	conversion.txt	http://gofile.me/5wDJy/N1uTU4N3U
echinodermata	CHEH1	genomes.cds	http://gofile.me/5wDJy/586oQ5ulW
echinodermata	ARUB1	conversion.txt	http://gofile.me/5wDJy/DoX4upokA
echinodermata	ANJA1	conversion.txt	http://gofile.me/5wDJy/nEgyZ2ov9
echinodermata	LVAR1	genomes.cds	http://gofile.me/5wDJy/btvaAtiuD
echinodermata	ANJA1	genomes.cds	http://gofile.me/5wDJy/DpcTVgAZk
craniata	PERM1	conversion.txt	http://gofile.me/5wDJy/xauih8uoq
craniata	ASPA1	genomes.cds	http://gofile.me/5wDJy/Lpemvjs4D
craniata	SUMB1	conversion.txt	http://gofile.me/5wDJy/eWQyF4JoK
craniata	MCYP1	conversion.txt	http://gofile.me/5wDJy/f0zvO9n7t
craniata	TACU1	genomes.cds	http://gofile.me/5wDJy/rPMhM2U3q
craniata	LOCU1	conversion.txt	http://gofile.me/5wDJy/nB9qQmrOq
craniata	CPOR1	conversion.txt	http://gofile.me/5wDJy/ohykBMMhw
craniata	LCHA1	genomes.cds	http://gofile.me/5wDJy/zb6frh7eX
craniata	CCHA1	genomes.cds	http://gofile.me/5wDJy/bPuaBRTC2
craniata	PMUR1	conversion.txt	http://gofile.me/5wDJy/zbSGTEkgT
craniata	CHLA1	genomes.cds	http://gofile.me/5wDJy/7XjcHpIev
craniata	RTEM1	conversion.txt	http://gofile.me/5wDJy/CJ48NY01U
craniata	SMAX1	conversion.txt	http://gofile.me/5wDJy/80QdRWIYy
craniata	BPEC1	conversion.txt	http://gofile.me/5wDJy/W6ve68NBV
craniata	RTEM1	genomes.cds	http://gofile.me/5wDJy/x3sjDzdhn
craniata	GEVG1	genomes.cds	http://gofile.me/5wDJy/3TRFsLari
craniata	RBIV1	conversion.txt	http://gofile.me/5wDJy/QNuS6uJHN
craniata	BSPL1	genomes.cds	http://gofile.me/5wDJy/XKi0Kz6W8
craniata	AMCA1	genomes.cds	http://gofile.me/5wDJy/dhQLCSATj
craniata	ATES1	genomes.cds	http://gofile.me/5wDJy/Ubp2H2SO4
craniata	ANGU1	genomes.cds	http://gofile.me/5wDJy/k8eaBinwC
craniata	BGAR1	genomes.cds	http://gofile.me/5wDJy/ZFPgoPECf
craniata	AMRA1	genomes.cds	http://gofile.me/5wDJy/PjZPsELk3
craniata	ASIN1	genomes.cds	http://gofile.me/5wDJy/aT3ZDIQoA
craniata	LCHA1	conversion.txt	http://gofile.me/5wDJy/01e11iTmQ
craniata	LOCU1	genomes.cds	http://gofile.me/5wDJy/oDWiqZUJl
craniata	GEVG1	conversion.txt	http://gofile.me/5wDJy/ShRaJr8wt
craniata	EBUR1	conversion.txt	http://gofile.me/5wDJy/mjM924Qqe
craniata	PANN1	genomes.cds	http://gofile.me/5wDJy/hga4eYxoz
craniata	CMYD1	genomes.cds	http://gofile.me/5wDJy/5aVgV6n4Z
craniata	MICE1	conversion.txt	http://gofile.me/5wDJy/IXF9CFRXP
craniata	PANN1	conversion.txt	http://gofile.me/5wDJy/lWnuVsKWA
craniata	MUNI1	conversion.txt	http://gofile.me/5wDJy/2WKhIxv15
craniata	EBUR1	genomes.cds	http://gofile.me/5wDJy/7TA2j2Zog
craniata	SUMB1	genomes.cds	http://gofile.me/5wDJy/umuKmkj5w
craniata	ECAL1	conversion.txt	http://gofile.me/5wDJy/1ZTI1Z0ux
craniata	MARM1	conversion.txt	http://gofile.me/5wDJy/7KRbLTKii
craniata	GMOR1	genomes.cds	http://gofile.me/5wDJy/Er9LigJe7
craniata	ENAU1	conversion.txt	http://gofile.me/5wDJy/vEk3fQuKF
craniata	ECAL1	genomes.cds	http://gofile.me/5wDJy/lMxU9Fg0C
craniata	MMUR1	conversion.txt	http://gofile.me/5wDJy/4ontJzSsf
craniata	MALB1	genomes.cds	http://gofile.me/5wDJy/Yac53kubG
craniata	EELE1	conversion.txt	http://gofile.me/5wDJy/RbTpM37vE
craniata	AGIG1	conversion.txt	http://gofile.me/5wDJy/bK2Krpm0M
craniata	CPLA1	conversion.txt	http://gofile.me/5wDJy/B2zXRJhfU
craniata	MMEN1	conversion.txt	http://gofile.me/5wDJy/sBzYB8oHx
craniata	DNOV1	genomes.cds	http://gofile.me/5wDJy/nb0IXGkme
craniata	ENPU1	genomes.cds	http://gofile.me/5wDJy/I03fHGVyB
craniata	XLAE1	genomes.cds	http://gofile.me/5wDJy/eq9VqoSUH
craniata	XLAE1	conversion.txt	http://gofile.me/5wDJy/tKZrmLxDH
craniata	POSE1	genomes.cds	http://gofile.me/5wDJy/TXen5kgko
craniata	DGLI1	conversion.txt	http://gofile.me/5wDJy/WhOa0OhV2
craniata	ANGU1	conversion.txt	http://gofile.me/5wDJy/N4OQPUBNy
craniata	SFOR1	conversion.txt	http://gofile.me/5wDJy/IXDFgwZcK
craniata	GMOR1	conversion.txt	http://gofile.me/5wDJy/266Df4y7q
craniata	CLUM1	conversion.txt	http://gofile.me/5wDJy/jWXkrRtRm
craniata	AMME1	conversion.txt	http://gofile.me/5wDJy/8iC351jRl
craniata	MALB1	conversion.txt	http://gofile.me/5wDJy/t3n19SxS2
craniata	DGLI1	genomes.cds	http://gofile.me/5wDJy/qZaMc2uYt
craniata	GSER1	genomes.cds	http://gofile.me/5wDJy/WAChuWn8Q
craniata	DCLU1	genomes.cds	http://gofile.me/5wDJy/AIbjFdPfe
craniata	SFOR1	genomes.cds	http://gofile.me/5wDJy/sNnFHuo6i
craniata	AGIG1	genomes.cds	http://gofile.me/5wDJy/1qO2H30Li
craniata	AMEX1	conversion.txt	http://gofile.me/5wDJy/xAcDt8mAp
craniata	CLMA1	genomes.cds	http://gofile.me/5wDJy/ksJfGmqYc
craniata	OANA1	genomes.cds	http://gofile.me/5wDJy/V10zeu0jY
craniata	NWHI1	conversion.txt	http://gofile.me/5wDJy/ZxF2Fhvbn
craniata	ARUT1	genomes.cds	http://gofile.me/5wDJy/oy64syKwl
craniata	HSAP1	genomes.cds	http://gofile.me/5wDJy/dGEJ1fmxR
craniata	AMCA1	conversion.txt	http://gofile.me/5wDJy/V6iYDEwfE
craniata	AMME1	genomes.cds	http://gofile.me/5wDJy/Z2tySI0Kv
craniata	KMAR1	genomes.cds	http://gofile.me/5wDJy/CUyAozGZg
craniata	ASPA1	conversion.txt	http://gofile.me/5wDJy/MG8dcO8s9
craniata	ARUT1	conversion.txt	http://gofile.me/5wDJy/GsGTMyQNB
craniata	EELE1	genomes.cds	http://gofile.me/5wDJy/DD8gOYkFT
craniata	SMAX1	genomes.cds	http://gofile.me/5wDJy/TswPuqzhe
craniata	PERM1	genomes.cds	http://gofile.me/5wDJy/bJwTi5fgQ
craniata	PSPA1	conversion.txt	http://gofile.me/5wDJy/8UEv6S3Aj
craniata	MMUR1	genomes.cds	http://gofile.me/5wDJy/UWJZMGZnd
craniata	BGAR1	conversion.txt	http://gofile.me/5wDJy/GCKswBiHc
craniata	CMIL1	conversion.txt	http://gofile.me/5wDJy/FHD0gWs2x
craniata	DRER1	conversion.txt	http://gofile.me/5wDJy/NeKnyEevW
craniata	SPUN1	genomes.cds	http://gofile.me/5wDJy/Y622e7Q2L
craniata	LLEI1	genomes.cds	http://gofile.me/5wDJy/6ghOAngde
craniata	CPOR1	genomes.cds	http://gofile.me/5wDJy/afsNcsk1L
craniata	RBIV1	genomes.cds	http://gofile.me/5wDJy/nJ5OC7oCZ
craniata	KMAR1	conversion.txt	http://gofile.me/5wDJy/bRcNokwqd
craniata	ECOQ1	genomes.cds	http://gofile.me/5wDJy/AsmKE5d6l
craniata	AMEX1	genomes.cds	http://gofile.me/5wDJy/kFnnLEu5X
craniata	ASIN1	conversion.txt	http://gofile.me/5wDJy/mqYD3VfS6
craniata	MCYP1	genomes.cds	http://gofile.me/5wDJy/m42ogag42
craniata	AMRA1	conversion.txt	http://gofile.me/5wDJy/Nk8rub5dK
craniata	MARM1	genomes.cds	http://gofile.me/5wDJy/XI9PfQW38
craniata	ENPU1	conversion.txt	http://gofile.me/5wDJy/UYQOjSgoc
craniata	SORB1	genomes.cds	http://gofile.me/5wDJy/lsEZbA6CL
craniata	MICE1	genomes.cds	http://gofile.me/5wDJy/NQZKFYu3v
craniata	BSPL1	conversion.txt	http://gofile.me/5wDJy/bTTm5QqxP
craniata	ECOQ1	conversion.txt	http://gofile.me/5wDJy/EXrg7ek1X
craniata	CCHA1	conversion.txt	http://gofile.me/5wDJy/juQbvBPRR
craniata	NWHI1	genomes.cds	http://gofile.me/5wDJy/AaZFkDIdo
craniata	XCOU1	conversion.txt	http://gofile.me/5wDJy/tZdszhos7
craniata	SPUN1	conversion.txt	http://gofile.me/5wDJy/xgTNKOpg1
craniata	XTRO1	genomes.cds	http://gofile.me/5wDJy/l8sEGJ6yG
craniata	HSAP1	conversion.txt	http://gofile.me/5wDJy/6moFL7mF8
craniata	DRER1	genomes.cds	http://gofile.me/5wDJy/AF96iv2vb
craniata	MMEN1	genomes.cds	http://gofile.me/5wDJy/VUOFbqudv
craniata	CDID1	conversion.txt	http://gofile.me/5wDJy/WZj5l3vQg
craniata	ELUC1	conversion.txt	http://gofile.me/5wDJy/MsuqTDOxE
craniata	PETM1	genomes.cds	http://gofile.me/5wDJy/e1G0cODIq
craniata	CLUM1	genomes.cds	http://gofile.me/5wDJy/gho1XYyaR
craniata	DCLU1	conversion.txt	http://gofile.me/5wDJy/A2vKKcmAe
craniata	CMIL1	genomes.cds	http://gofile.me/5wDJy/l1CIwbLPI
craniata	MUNI1	genomes.cds	http://gofile.me/5wDJy/hblLTKGOr
craniata	DNOV1	conversion.txt	http://gofile.me/5wDJy/BVaOwQulj
craniata	PSPA1	genomes.cds	http://gofile.me/5wDJy/4ah6FWp3f
craniata	PETM1	conversion.txt	http://gofile.me/5wDJy/66oi6DuIp
craniata	LLEI1	conversion.txt	http://gofile.me/5wDJy/XCT1Cd1pe
craniata	OANA1	conversion.txt	http://gofile.me/5wDJy/oQltSaTGn
craniata	BPEC1	genomes.cds	http://gofile.me/5wDJy/oI9fyy1bv
craniata	PMUR1	genomes.cds	http://gofile.me/5wDJy/NCCVXqySi
craniata	GSER1	conversion.txt	http://gofile.me/5wDJy/PRB0Ef3Ot
craniata	CPLA1	genomes.cds	http://gofile.me/5wDJy/bTeMLHKCz
craniata	CMYD1	conversion.txt	http://gofile.me/5wDJy/nxlPa9aGU
craniata	XTRO1	conversion.txt	http://gofile.me/5wDJy/tg6gScYq1
craniata	ELUC1	genomes.cds	http://gofile.me/5wDJy/mZq0rLpuy
craniata	ENAU1	genomes.cds	http://gofile.me/5wDJy/9F01X5ukN
craniata	POSE1	conversion.txt	http://gofile.me/5wDJy/CSdIn6A7U
craniata	ATES1	conversion.txt	http://gofile.me/5wDJy/fokbSXxE1
craniata	SORB1	conversion.txt	http://gofile.me/5wDJy/nzvP4QPLc
craniata	CDID1	genomes.cds	http://gofile.me/5wDJy/nevKRlsro
craniata	CHLA1	conversion.txt	http://gofile.me/5wDJy/a6MuJ1QwE
craniata	CLMA1	conversion.txt	http://gofile.me/5wDJy/hO4jCpCVR
craniata	XCOU1	genomes.cds	http://gofile.me/5wDJy/CX2Z5kifc
craniata	TACU1	conversion.txt	http://gofile.me/5wDJy/dUmlp1QpC
nematomorpha	GORD1	genomes.cds	http://gofile.me/5wDJy/pyLY88AGe
nematomorpha	GORD1	conversion.txt	http://gofile.me/5wDJy/hfzphi58c
cephalochordata	BBEL1	genomes.cds	http://gofile.me/5wDJy/9CO7kdq13
cephalochordata	BBEL1	conversion.txt	http://gofile.me/5wDJy/tlPjI2t8a
cephalochordata	BFLO1	conversion.txt	http://gofile.me/5wDJy/P9qEfokNf
cephalochordata	BLAN1	conversion.txt	http://gofile.me/5wDJy/9G8cyZ4Lb
cephalochordata	BFLO1	genomes.cds	http://gofile.me/5wDJy/XYdE0pHi6
cephalochordata	BLAN1	genomes.cds	http://gofile.me/5wDJy/dpsOcakIN
bryozoa	BNER1	conversion.txt	http://gofile.me/5wDJy/c1SzyrvoH
bryozoa	BNER1	genomes.cds	http://gofile.me/5wDJy/ixY6NAXYt
nemertea	NGEN1	conversion.txt	http://gofile.me/5wDJy/avRMrr8CJ
nemertea	LLON1	genomes.cds	http://gofile.me/5wDJy/n2BOwxwOV
nemertea	NGEN1	genomes.cds	http://gofile.me/5wDJy/flNuJccgj
nemertea	LLON1	conversion.txt	http://gofile.me/5wDJy/rJaWXNhGL
platyhelminthes	SMED2	conversion.txt	http://gofile.me/5wDJy/2I7frCXSz
platyhelminthes	MLIG1	conversion.txt	http://gofile.me/5wDJy/LNFwOekxc
platyhelminthes	PCRO1	conversion.txt	http://gofile.me/5wDJy/HXas8HwYd
platyhelminthes	SMED2	genomes.cds	http://gofile.me/5wDJy/y1cKPsWGm
platyhelminthes	PCRO1	genomes.cds	http://gofile.me/5wDJy/76x813M2v
platyhelminthes	MLIG1	genomes.cds	http://gofile.me/5wDJy/gdL0PYD4V
onychophora	EBRO2	genomes.cds	http://gofile.me/5wDJy/VRwV4RqD8
onychophora	EBRO2	conversion.txt	http://gofile.me/5wDJy/4Ap7s9aMg
porifera	AQUE1	genomes.cds	http://gofile.me/5wDJy/MRXsgQ3jf
porifera	AQUE1	conversion.txt	http://gofile.me/5wDJy/d8bBlvVr5
porifera	OMIN1	conversion.txt	http://gofile.me/5wDJy/xGHYZAieE
porifera	EMUE1	genomes.cds	http://gofile.me/5wDJy/W7ShtqSPb
porifera	EMUE1	conversion.txt	http://gofile.me/5wDJy/Xnj8L6O7B
porifera	OMIN1	genomes.cds	http://gofile.me/5wDJy/ypagDXnBc
phoronida	PAUS1	genomes.cds	http://gofile.me/5wDJy/U2SK39RD7
phoronida	PAUS1	conversion.txt	http://gofile.me/5wDJy/uw6o5ewxG
arthropoda	DTIN1	genomes.cds	http://gofile.me/5wDJy/kvNp85pHK
arthropoda	PORN1	conversion.txt	http://gofile.me/5wDJy/IFce7tG3O
arthropoda	ANAS1	conversion.txt	http://gofile.me/5wDJy/5IAW6EAML
arthropoda	TICA2	genomes.cds	http://gofile.me/5wDJy/pXIQYTv4l
arthropoda	LDEL1	conversion.txt	http://gofile.me/5wDJy/VqBK4M7Pp
arthropoda	ISEL1	conversion.txt	http://gofile.me/5wDJy/SPvUJUJhm
arthropoda	CFEL1	conversion.txt	http://gofile.me/5wDJy/PAdpWvxm6
arthropoda	BCOP1	conversion.txt	http://gofile.me/5wDJy/HKmt5eoU9
arthropoda	PTEP1	genomes.cds	http://gofile.me/5wDJy/UdZwevU64
arthropoda	DPLE1	genomes.cds	http://gofile.me/5wDJy/G17M4VAig
arthropoda	RIMM1	conversion.txt	http://gofile.me/5wDJy/DbA3SGxEo
arthropoda	BLAT1	conversion.txt	http://gofile.me/5wDJy/P1D067V7D
arthropoda	HDES1	genomes.cds	http://gofile.me/5wDJy/YmZAKe9EI
arthropoda	TRLO1	conversion.txt	http://gofile.me/5wDJy/uyGrDcuM7
arthropoda	LDAH1	genomes.cds	http://gofile.me/5wDJy/d4IJIlBwm
arthropoda	PVAN1	conversion.txt	http://gofile.me/5wDJy/wH0QsW7kv
arthropoda	CSCU1	genomes.cds	http://gofile.me/5wDJy/CtwXSouoJ
arthropoda	PPYR3	conversion.txt	http://gofile.me/5wDJy/rvKCaziBo
arthropoda	APIS1	genomes.cds	http://gofile.me/5wDJy/rLR2WW9kv
arthropoda	BTRO1	conversion.txt	http://gofile.me/5wDJy/ksfrm0DHY
arthropoda	SMAR2	conversion.txt	http://gofile.me/5wDJy/3cuS6X5jJ
arthropoda	APIS1	conversion.txt	http://gofile.me/5wDJy/kaUzTxXFu
arthropoda	ANAS1	genomes.cds	http://gofile.me/5wDJy/0bikW6v0U
arthropoda	FCAN1	conversion.txt	http://gofile.me/5wDJy/2ZPfCKENr
arthropoda	PCAM1	conversion.txt	http://gofile.me/5wDJy/JhESjkuGa
arthropoda	ATON1	genomes.cds	http://gofile.me/5wDJy/KuNFaODyj
arthropoda	TMER1	genomes.cds	http://gofile.me/5wDJy/5R60xyXgR
arthropoda	DSTE1	conversion.txt	http://gofile.me/5wDJy/GvHOlOfCv
arthropoda	AMEL1	genomes.cds	http://gofile.me/5wDJy/W3xY8KowY
arthropoda	GOCC1	genomes.cds	http://gofile.me/5wDJy/AryhiK3ff
arthropoda	DPLE1	conversion.txt	http://gofile.me/5wDJy/fhKkFUdtf
arthropoda	NNOD1	genomes.cds	http://gofile.me/5wDJy/iMzPSNMlJ
arthropoda	ABRU1	conversion.txt	http://gofile.me/5wDJy/4CC68h2Tt
arthropoda	TICA2	conversion.txt	http://gofile.me/5wDJy/0aGGE37Hg
arthropoda	MNIP2	conversion.txt	http://gofile.me/5wDJy/9IYgl5I36
arthropoda	CSCU1	conversion.txt	http://gofile.me/5wDJy/k1mZ8gr53
arthropoda	PPOL3	genomes.cds	http://gofile.me/5wDJy/z8FcStGAz
arthropoda	CDIP1	conversion.txt	http://gofile.me/5wDJy/UtyFwEzEM
arthropoda	PRCL1	conversion.txt	http://gofile.me/5wDJy/Mo35Y0l0F
arthropoda	COPI1	genomes.cds	http://gofile.me/5wDJy/CTy7MzPyN
arthropoda	TCAN1	conversion.txt	http://gofile.me/5wDJy/VvjKhFqG8
arthropoda	VDES1	genomes.cds	http://gofile.me/5wDJy/ODXhrGow3
arthropoda	GMAE1	conversion.txt	http://gofile.me/5wDJy/uHg4778RV
arthropoda	TQIN1	conversion.txt	http://gofile.me/5wDJy/eoxjzlFrY
arthropoda	DPSE1	genomes.cds	http://gofile.me/5wDJy/nW5NV1p71
arthropoda	CROT1	conversion.txt	http://gofile.me/5wDJy/8o4D7GPpH
arthropoda	FCHI1	conversion.txt	http://gofile.me/5wDJy/K6vHTNDGB
arthropoda	TQIN1	genomes.cds	http://gofile.me/5wDJy/0fcPJal9p
arthropoda	SFRU1	genomes.cds	http://gofile.me/5wDJy/cIbeNNbfu
arthropoda	CLEC1	genomes.cds	http://gofile.me/5wDJy/S8SR5Vonf
arthropoda	TPAL2	genomes.cds	http://gofile.me/5wDJy/ikJtsRX9x
arthropoda	RSAN1	genomes.cds	http://gofile.me/5wDJy/xHewqYV0z
arthropoda	TGIG1	genomes.cds	http://gofile.me/5wDJy/QLkRRS6kg
arthropoda	LCOU1	conversion.txt	http://gofile.me/5wDJy/dFo1p7O59
arthropoda	CTOR1	conversion.txt	http://gofile.me/5wDJy/Nv8DKeZEG
