Procyon lotor
Sympetrum rubicundulum
Hippocampus angustus
Lumpenus sagitta
Rutilis rutilis
Strophidon sathete
Balanus amphitrite
Orconectes rusticus
Hydrolagus colliei
Libinia emarginata
Anseriformes Anas playrhnchos domesticus
Phidippus regius
Thysanopoda acutifrons
Ictalurus catus
Gonostoma bathyphilum
Pasiphaea multidentata
Pleuronectes obscurus
Batrachocottus baicalensis
Argyropelecus hemigymnus
Lampanyctus crocodilus
Coturnix coturnix
Lyopsetta exilis
Siproeta stelenes
Pandalus montagui
Hippoglossoides herzensteini
Polygonia c-album
Bombus lapidarius
Chelostoma florisomne
Bombus fervidus
Jordanella floridae
Portunus spinimanis
Damalichthys vacca
Strigiformes Speotyto cunicularia
Urobatis jamaicensis
Sebastolobus alascanus
Ameiurus catus
Sergia splendens
Gennadas sp.
Symphodus melops
Leptograspus variegatus
Paromola cuvieri
Pholis laeta
Buteo buteo
Epigonus  telescopus
Passeriformes Taeniopygia guttata
Urocyon littoralis
Psettichthys melanostictus
Carcharhinus limbatus
Lysiosqullia sulcata
Argiope amoena
Anolis lineatopus
Ichneumon stramentarius
Bellocia  koefoedi
Larus atricilla
Stylephorus chordatus
Astacus leptodactylus
Psittaciformes Melopsittacus undalutus
Myoxocephalus jack
Menippe mercenaria
Anolis conspersus
Mesocricetus brandti
Clevelandia ios
Buteo jamaicensis
Phytichthys chirus
Libellula pulchella
Coregonus lavaretus
Rhinella [=Bufo] marinus
Parophrys vetulus
Odontodactylus scyllarus
Jasus edwardsii
Pavo cristatus
Peprilus simillimus
Trematomus hansoni
Coryphaenoides armatus
Chelidonichthys lucerna
Sergia robustus
Haplochromis ishmaeli
Caelorhinchus labiatus
Hepatus epheliticus
Typhlops hypomethes
Photinus collustrans
Anthophora acervorum
Alepocephalus bairdii
Metriaclima livingstonii
Callinectes sapidus
Neomysis americana
Xiphister  atropurpureus
Hemigrapsus sanguinensis
Stichaeus nozawae
Gaidropsarus mediterraneus
Asteropteryx semipunctatus
Liparis pulchellus
Cercopithecus cephus
Pagurus annulipes
Stizostedion lucioperca
Bathylagus greyae
Gonostoma denudatum
Trigona spinipes
Anolis gundlachi
Nephrops norvegicus
Dasyatis kuhlii
Bathylagus longirostris
Pithecia pithecia
Himantura fai
Columbiformes Streptopelia roseogrisea
Agonopsis vulsa
Hypsurus caryi
Notacanthus bonapartei
Holmesimysis costata
Eurypharynx pelecanoides
Ovipales stephensoni
Zaniolepis frenata
Batrachocottus multiradiatus
Orectolobus maculatus
Sternoptyx diaphana
Bathysaurus ferox
Corvus frugilegus
Myrmecia gulosa
Potos flavus
Platyberyx opalescens
Myoxocephalus potyacanthocephalus
Loligo subulata
Hemidactylus garnotii
Jordania zonope
Cottocomephorus grewingkii
Papilio achaon
Triglopsis quadricornis
Antimora  rostrata
Eumicrotremus orbis
Erythrocebus patas
Rinocetes nasutus
Gasterosteus sp.
Ciconiiformes Larus atricilla
Oplophorus gracilirostris
Bythograea thermydron
Scorpaenichthys marmoratus
Artedius fenestrates
Acanthurus triostegus
Ptilichthys goodei
Photostylus sp.
Belone belone
Cambarellus schufeldtii
Idiosepius notoides
Ammodytes hexapterus
Hymenodora glacialis
Spinachia spinachia
Passeriformes Lonchura striata
Saguinus fuscicollis
Tarsius syrichta
Sympetrum sp.
Helostoma temminkii
Neogonodactylus curacaoensis
Typhlops platycephalus
Nematobrachion sexpinosum
Lepilemur ruficaudatus
Notonecta glauca
Rana catesbeiana
Passeriformes Passer domesticus
Mulloidichthys flavolineatus
Penaeus penicillatus
Orconectes virilis
Zoramia  Viridiventer
Lestrimelitta limao
Sergia phorcus
Arenaeus cribrarius
Parupeneus multifasceatus
Dolichonyx orzivorous
Galliformes Coturnix japonica
Naso lituratus
Apogon kallopterus
Stichaeus grigorjevi
Cyrtopodion kotschyi
Echinomacrurus mollis
Colletes fulgidus
Ctenomys magellanicus
Ichneumon spp.
Lutjanus kasmira
Bubo virginianus
Stylocheiron maximum
Papio papio
Protomelas taeniolatus
Chaetodon kleini
Marumba sperchius
Pundamila sp.
Aetobatus narinari
Naso unicornis
Spirinchus thaleichthys
Aptychotrema rostrata
Rhinomuraena quaesita
Citharichthys sordidus
Eutrigla gurnardus
Searsia koefoedi
Limnocottus eurystomus
Toxotes chatareus
Janicella spinacauda
Chloebia gouldiae
Gasterosteus acuelatus
Chlorophthalmus sp.
Haplochromis piceatus
Amadina fasciata
Trachyscorpia cristulata
Pieris melete
Ligia exotica
Asterropteryx semipunctata
Melecta punctata
Melanphaes canthomus
Hoplostethus atlanticus
Bathysaurus mollis
Thomomys bottae
Ostracion meleagris
Saguinus oedipus
Myrmecia croslandi
Carcharhinus obscurus
Scaphirhynchus platorynchus
Lutjanus argentimaculatus
Ailuroedus crassirostris
Kuhlia sandvicensis
Palaemonetes vulgaris
Bombus jonellus
Libinia dubia
Stomias boa
Hemigraspus sanguineus
Ichthyophis kohtaoensis
Cyrtopodion caspium
Cottus sp.
Bombus monticola
Mysis mixta
Hipposideros speoris
Rana cracrivora
Sternoptyx pseudobscura
Cambarellus shufeldtii
Anax junius
Cyrtopodion fedtschenkoi
Strix aluco
Acipenser transmontanus
Borostomias panamensis
Rhabdamia  Gracilis
Actias artemis aliena
Sphyrna lewini
Uca thayeri
Mora moro
Photuris frontalis
Oligocottus maculosus
Passeriformes Parvus caeruleus
Pseudosquilla ciliata
Pseudotropheus tropheops
Cloridopsis dubia
Romalea microptera
Pasiphaea chacei
Philanthus triangulum
Partamona helleri
Melipona quadrifasciata
Dasyatis fluviorum
Anolis krugi
Chirostomias pliopterus
Neomysis mercedis
Lasioglossum albipes
Xenos peckii
Tinamiformes Nothoprocta perdicaria sanborni
Lampadena speculigera
Scomberomorus sierra
Aequidens pulcher
Neochmia modesta
Passeriformes Corvus frugilegus
Artedius fenestralis
Howella sherborni
Taurulus bubalis
Funchalia villosa
Coryphaenoides leptolepis
Pholidapus dybowsky
Euphausia pacifica
Hexagrammos decagrammus
Deania calcea
Hydrolagus mirabilis
Xylocopa brasilianorum
Gennadas valens
Neogonodactylus oertstedii
Ronquilus jordani
Talitrus saltator
Valenciennellus tripunctulatus
Gymnothorax favagineus
Pundamilia luanso
Locusta migratoria
Mysis relicta sp.IV
Makaira nigricans
Psittaciforme Melopsittacus undulatus
Zanclus cornutus
Columbiformes Zenaida macroura
Salmo irideus
Geomys bursarius
Haplochromis pyrrhocephalus
Acantholumpenus mackayi
Pteropus dasymallus
Ruscarius meanyi
Perca fluviatilis
Acanthephyra microphthalma
Lipophyrs pholis
Melanostigma pammelas
Chimaera monstrosa
Callambulyx tatarinovii
Scenopoetes dentirostris
Atrophaneura alcinous
Nasua nasua
Astacus fluviatus
Pollachius pollachius
Pristiapogon kallopterus
Rhinobatus typus
Rhinobatos lentiginosus
Pteropus samoensis
Cyttopsis rosea
Sufflamen bursa
Talismania antillarum
Serrivomer lanceolatoides
Anableps anableps
Strigiformes Strix aluco
Inachis io
Pseudopleuronectes obscurus
Metriaclima barlowi
Derichthys serpentinus
Neope goschkevitschii
Malacocephalus laevis
Scaphirhynchus albus
Gymnura australis
Otolemus cassicaudatus
Xiphydria camelus
Passeriformes Leiothrix lutea
Anolis evermanni
Astyanax fasciatus
Cebus spp.
Chirolophis japonicus
Metriaclima emmiltos
Bowmaniella sp.
Lutjanus malabaricus
Lutjanus quinquelineatus
Lutjanus fulviflamma
Puffinus puffinus
Etroplus suratensis
Apodichthys flavidus
Conocara salmonea
Raja binoculata
Bathophilus brevis
Clupea pallasii
Deilephila elpenor
Poromitra megalops
Sergia grandis
Dromiceius novae-hollandae
Acanthephyra stylorostratis
Melanostomias niger
Tenthredo scrophulariae
Cottinella boulengeri
Cottocomephorus grewingki
Myoxocephalus stelleri
Trichodon trichodon
Nansenia longicauda
Cancer irroratus
Scardinius erythrophthalmus
Taaningichthys bathyphilus
Formica polyctena
Mustelus henlei
Lepidion  eques
Nannobrachium atrum
Bombus distinguendis
Mysis relicta sp.II
Papilio protenor
Archaeomysis grebnitzkii
Rouleina maderensis
Enophrys diceraus
Bassozetus compressus
Necturus maculosus
Polyipnus polli
Pseudotropheus acei
Passeriformes Neochmia modesta
Pullosquilla thomassini
Synodus variegatus
Uca pugnax
Hariotta raleighana
Synaphobranchus kaupii
Cercopithecus petaurista
Dardanus fucosus
Scylla serrata
Anguilla bicolor
Panopeus herbtii
Xenodermichthys  copei
Asprocottus herzensteini
Dicrolene intronigra
Passeriformes Chloebia gouldiae
Pullosquilla litoralis
Pagurus longicarpus
Bombus morio
Opisthoproctus grimaldii
Chromis verater
Meningodora vesca
Parupeneus multifasciatus
Sergia maximus
Schwarziana sp
Speyeria leto
Zalembius rosaceus
Rhacochilus vacca
Rhadinesthes decimus
Parage aegeria
Anolis cristatellus
Photuris potomaca
Hippoglossoides elassodon
Passeriformes Lonchura maga
Rimicaris exoculata
Limnocottus griseus
Myoxocephalus jaok
Thysanopoda orientalis
Passeriformes Turdus merula
Pasiphaea suspirosum
Neoniphon argenteus
Bero elegans
Photostomias guernei
Sergestes curvatus
Leptocottus armatus
Chaetodon kleinii
Danio malabaricus
Heteromysis formosa
Cambarus ludovicianus
Lobianchia gemellarii
Centroswcymnus coleolepis
Eigenmannia virescens
Malacosteus niger
Bonapartia pedalioita
Dascyllus albisella
Bentheogennema intermedia
Sergestes tenuiremis
Accipiter nisus
Ostorhinchus Cyanosoma
Sebastes empaeus
Phronima sedenteria
Acartia tonsa
Clibanarius vittatus
Ernogrammus hexagrammus
Passeriformes Lonchura malabarica
Panopeus obesus
Sargocentron xantherythrum
Tinamiformes Nothoprocta cinerascens cinerascens
Psychrobites paradoxus
Eristalis tenax
Spodoptera exempta
Pseudozizeeria maha
Furcifer pardalis
Diaphus lucidus
Ahliesaurus berryi
Margrethia obtusirostra
Minois dryas
Passeriformes Serinus canaria
Rhynchobatus australiae
Hoplostethus mediterraneus mediterraneus
Photonectes braueri
Anoplarchus purpurescens
Limanda aspera
Seriphus politus
Hexagrammos octagrammus
Bero elegance
Mysis diluviana
Bentheogennema pasithea
Eustomias obscurus
Mysis relicta sp.I
Limenitis lorquini
Myoxocephalus scorpius
Scopelogadus beanii
Passeriformes Lonchura malacca
Pholis omata
Anas platyrhynchus
Geryon quinquedens
Echiostoma barbatum
Penaeus duororum
Pleuronectes asper
Spermophilus beecheyi
Melipona marginata
Zebrasoma flavescens
Scorpaena porcus
Turdus merula
Celastrina argiolus
Ptychozoon lionotum
Lissotriton vulgaris
Sepioteuthis lessoniana
Miopithecus talapoin
Albula vulpes
Myotis velifer
Sebastes auriculatus
Coryphaenoides guntheri
Balanus eburneus
Hyperprosopon argenteum
Bathylagus euryops
Hypomesus pretiosus
Citellus lateralis
Parapasiphaea sulcatifrons
Brachydanio rerio
Photinus macdermotti
Coenobita clypeatus
Anadevidia peponis
Megalocottus  platycephalus
Mirza coquereli
Procottus jettelesi
Rhea americana
Rana pipiens
Melanochromus vermivorous
Gonepteryx aspasia
Ischnura heterosticta
Sesarma cinereum
Paralabrax clathratus
Lepomis macrochirus
Anolis bahorucoensis
Platytroctes apus
Artemia salina
Chelidonichthys lucernus
Pervagor spilosoma
Carcharhinus acronotus
Lycaena nivalis
Limnocottus bergianus
Hemigrapsus edwardsii
Clinocottus globiceps
Photinus versicolor
Rana cancrivora
Spermophilus tridecemline
Pleuroncodes planipes
Odontodactylus havanensis
Ctenochaetus strigosus
Antheraea polyphemus
Anthidium manicatum
Podothecus acipenserinus
Gilbertidia sigalutes
Photostomias braueri
Petrolisthes diogenes
Galago crassicauda
Borostomias elucens
Anchoa mitchilli
Ostorhinchus Cookii
Coenobita rugosa
Acanthephyra purpurea
Hexagrammos octogrammus
Calliphora erythrocephala
Lampanychtus ater
Leptotyphlops sp.
Zoarces viviparus
Leptograpsus variegatus
Pleurogrammus azonus
Anilius scytale
Ctenophorus decresii
Opsanus tau
Carcharhinus amboinensis
Cottocomephorus inermis
Microstoma microstoma
Coregonus clupeoides
Oreochromis nilocticus
Tursiops truncates
Rhamphocottus richardsonii
Phodopus sungorus
Petrolisthes elongates
Lycaena dorcas
Chauliodus sloanei
Pundamilia red head
Typhlonectes natans
Trygonorrhina fasciata
Coronis scolopendra
Poromitra capito
Carcharhinus leucas
Stomias atriventer
Spalacopus cyanus
Crangon allmani
Diaphus rafinesqueii
Lutjanus russellii
Myrmecia vindex
Forcipiger flavissimus
Lycaena heteronea
Hemigraspus edwardsi
Lycaena rubidus
Nothoprocta perdicaria
Pomacentrus melanochir
Sardinops sagax
Spheniscus humboldti
Gekko gekko
Pagurus pollicaris
Porogradus sp.
Callonychium petuniae
Canthidermis maculatus
Plesionika martia
Tupaia glis
Chlamydera nuchalis
Aphanopus  carbo
Stichaeopsis nana
Peprilus stimillimus
Acanthopagrus butcheri
Icelinus borealis
Arothron meleagris
Tribolodon hakonensis
Crotaphytus dickersonae
Struthioniformes Rhea americana
Pundamilia au
Rynchophorus ferrugineus
Nematoscelis megalops
Ctenophorus ornatus
Acanthropagrus schlegelii
Nematobrachion boopis
Lipophrys pholis
Ichthyocossus ovatus
Scomber japonicus
Systellaspis braueri
Triglops pingelii
Apodemia spp.
Anoplogaster cornuta
Radiicephalus elongatus
Photuris lucicrescens
Tarsius bancanus
Hemisquilla ensigera
Tinca tinca
Mysis  sp.
Micropoecilia parae
Hemitripterus americanus
Chaetodon unimaculatus
Camponotus abdominalis
Alepocephalus australis
Passeriformes Sturnus vulgaris
Stichaeus grigorjewi
Hoplostethus mediteranus
Carabus nemoralis
Notonecta irrorata
Panulirus argus
Cottunculus thomsonii
Phassus excrescens
Elops  saurus
Evermannella balbo
Gobius paganellus
Cirrhilabrus solorensis
Pergavor spilosoma
Aulostomus chinensis
Hermeuptychia hermes
Gobiesox maeandricus
Xenodermichthys copei
Balanus balanoides
Phoca groenlandicus
Passeriformes Amandina fasciata
Gymnothorax reticularis
Porichthys notatus
Plagiotremus rhinorhynchos
Ballerus ballerus
Gnathophausia ingens
Engraulis mordax
Lysiosquillina maculate
Tetrapturus audax
Lepidorhombus boscii
Pilumnus sayi
Megalocottus platycephalus
Microcottus sellaris
Haplonycteris fischeri
Nectamia  Savayensis
Dermogenys pusilla
Glaucomys sabrinus
Limnocottus pallidus
Idiacanthus fasciola
Caranx hippos
Archaeopropona demophon
Acanthurus nigroris
Pseudotropheus  acei
Coryphaenoides profundicolus
Parus caeruleus
Euprymna tasmanica
Strigiformes Otus asio
Chlamydera maculata
Hemidactylus turcicus
Epicopeia hainesii
Sigmops bathyphilus
Liparis dennyi
Sergestes similis
Phytichthys  chirus
Galliformes Colinus virginianus
Nematobrachion sexspinosus
Argentina silus
Halosauropsis macrochir
Systellaspis cristata
Bothragonus  swani
Caprimulgus europaeus
Papilio maackii
Metynnis argenteus
Puffinus pacificus
Aotus trivirgatus
Gryllus campestris
Atherinops affinis
Rhizoprionodon taylori
Praunus inermis
Chauliodus danae
Junonia coenia
Anolis pulchellus
Sigmops elongatus
Vespula germanica
Teratoscincus scincus
Oreocromis niloticus
Alburnus alburnus
Ostorhinchus Doederleini
Rangifer tarandus
Carabus auratus
Notoscopelus resplendens
Astatotilapia burtoni
Gonostoma elongatum
Psittaciformes Melopsittacus undalatus
Sebastes caurinus
Ctenomys talarum
Rouleina aderensis
Aulorhynchus flavidus
Hemicordulia tau
Abyssocottus korotneffi
Halargyreus johnsonii
Triakis semifasciata
Cambarellus ludovicianus
Sephanoides sephanoides
Trigla cuculus
Gobiusculus flavescens
Synaphobranchus kaupi
Haplochromis nyererei
Passeriformes Estrilda troglodytes
Aeschna cyanea
Lutjanus carponotatus
Micrometrus minimus
Passeriformes Carpodacus mexicanus
Aglais urticae
Lutjanus sebae
Batrachocottus nicolskii
Chromis ovalis
Pervagor aspricaudus
Abramis ballerus
Lycaena phlaeas
Plexippus validus
Python regius
Hemimysis anomala
Zebrasoma velifer
Acipenser medirostrus
Osmia rufa
Theragra chalcogramma
Leuroglosus stilbius
Alosa kessleri
Ichthyococcus ovatus
Notonecta insulata
Thysanoessa raschii
Liparis  greeni
Passeriformes Zonotrichia leucophrys
Urocerus gigas
Lasioglossum malachurum
Batrachocottus nikolskii
Acanthropagrus berda
Coryphopterus nicholsii
Argyropelecus gigas
Loris tardigradus
Trachurus symmetricus
Melamphaes suborbitalis
Holtbyrnia spinithara
Gonodactylus oerstedii
Benthalbella infans
Artedius meanyi
Taeniura lymma
Trematomus loennbergii
Upeneus tragula
Xiphister mucosus
Saimiri sciureus
Agraulis vanillae
Menemerus confusus
Andrena florea
Hapalochlaena maculosa
Chaceon affinis
Lampanyctus regalis
Engaeus cunicularius
Aristostomias tittmani
Acanthropagrus major
Melanonus zugmayeri
Orectolobus ornatus
Sericulus crysocephalus
Odontodactylus brevirostris
Galliformes Meleagris galoparvo
Microstomus pacificus
Xiphister atropurpureus
Chromis punctipinnis
Zebrasoma veliferum
Strigiformes Bubo virginianus
Galliformes Callipepla californica
Hemitripterus villosus
Passeriformes Plocepasser mahali
Gonodactylellus affinis
Comephorus dybowskii
Lepidopsetta bilineata
Lutjanus bohar
Haptosquilla trispinosa
Hymenodora frontalis
Sebastes maliger
Uca pugilator
Geoclemys reevesii
Stigmatopora argus
Cynops orientalis
Benthalbella  infans
Micrometrus aurora
Hemilepidotus hemilepidotus
Chromis vanderbilti
Ochlodes venata
Cottus kessleri
Bodianus bilunnulatus
Osmerus dentex
Pasiphaea emarginata
Strigiformes Tyto alba
Barbantus curvifrons
Portunus spinimanus
Procambarus milleri
Octopus australis
Psychrolutes paradoxus
Pachystomias microdon
Stylopandalus richardi
Ictalurus melas
Canthidermis maculata
Panopeus herbstii
Libelloides macaronius
Lepidion eques
Sygnathus leptorhynchus
Struthioniformes Struthio camelus
Axoclinius carminalis
Anseriformes Anas platyrhynchos
Ceratoscopelus warmingii
Dasycottus setiger
Pleuronectes herzensteini
Rouleina attrita
Gymnocanthus intermedius
Rana catesbeiana larvae
Spermophilus tridecemlineatus
Oxea flavescens
Ichthyophis cf. kohtaoensis
Mysis relicta
Trygonoptera testacea
Ascelichthys rhodorus
Clombiformes Columba livia
Parnara guttata
Anguilla Anguilla
Praunus flexuosus
Histiobranchus bathybius
Pleurogrammus  azonus
Fabriciana adippe
Comephorus baicalensis
Bathylagus bericoides
Neoniphon aurolineatus
Sargocentron microstoma
Sesarma reticulatum
Passeriformes Pipilo fuscus
Notonecta undulata
Pandalus borealis
Microgadus proximus
Asterocampa leilia
Liparis florae
Homarus gammarus
Lepisosteus platostomus
Hexagrammos stelleri
Dromiceius novae-hollandiae
Metriaclima zebra
Argynnis ruslana
Platichthys stellatus
Ciconiiformes Buteo jamaicensis
Coryphaenoides carapinus
Acanthurus achilles
Metriaclima melabranchion
Myoxocephalus brandti
Lutjanus johnii
Photinus scintillans
Sagiunus midas
Electrona risso
Drosophilia melanogaster
Ophiodon elongatus
Acanthephyra curtirostris
Nymphalis xanthomelas
Procottus jettelesii
Cleisthenes herzensteini
Bolinichthys indicus
Bombus hortorum
Mullus barbatus
Cataglyphis bicolor
Gonodactylus smithii
Gonodactylopsis spongicola
Cerceris rybyensis
Nautichthys oculofasciatus
Sargocentron tiere
Sphoeroides annulatus
Lampanyctus festivus
Lycodes pacificus
Phycis blennoides
Diaphus dumerilli
Bothragonus swani
Hemidactylus platyurus
Acerina cernua
