Procyon lotor
Mesocricetus brandti
Clevelandia ios
Libellula pulchella
Parophrys vetulus
Odontodactylus scyllarus
Peprilus simillimus
Haplochromis ishmaeli
Caelorhinchus labiatus
Anthophora acervorum
Metriaclima livingstonii
Callinectes sapidus
Neomysis americana
Xiphister  atropurpureus
Hemigrapsus sanguinensis
Stichaeus nozawae
Cercopithecus cephus
Gonostoma denudatum
Trigona spinipes
Nephrops norvegicus
Dasyatis kuhlii
Bathylagus longirostris
Himantura fai
Hypsurus caryi
Holmesimysis costata
Ovipales stephensoni
Neogonodactylus oerstedii
Zaniolepis frenata
Sternoptyx diaphana
Micropterus salmoides
Bathysaurus ferox
Geotria australis
Platyberyx opalescens
Myoxocephalus potyacanthocephalus
Jordania zonope
Triglopsis quadricornis
Erythrocebus patas
Rinocetes nasutus
Oplophorus gracilirostris
Acanthurus triostegus
Ptilichthys goodei
Passeriformes Lonchura striata
Tarsius syrichta
Sympetrum sp.
Helostoma temminkii
Neogonodactylus curacaoensis
Typhlops platycephalus
Lepilemur ruficaudatus
Passeriformes Passer domesticus
Penaeus penicillatus
Zoramia  Viridiventer
Lestrimelitta limao
Arenaeus cribrarius
Galliformes Coturnix japonica
Apogon kallopterus
Thylamys elegans
Echinomacrurus mollis
Stylocheiron maximum
Protomelas taeniolatus
Naso unicornis
Spirinchus thaleichthys
Aptychotrema rostrata
Gallus gallus
Citharichthys sordidus
Eutrigla gurnardus
Searsia koefoedi
Amia calva
Spodoptera exigua
Janicella spinacauda
Gasterosteus acuelatus
Chlorophthalmus sp.
Haplochromis piceatus
Amadina fasciata
Hoplostethus atlanticus
Thomomys bottae
Carcharhinus obscurus
Scaphirhynchus platorynchus
Eulemur fulvus fulvus
Lutjanus argentimaculatus
Embiotoca jacksoni
Palaemonetes vulgaris
Stomias boa
Cottus sp.
Anas platyrhynchos
Hipposideros speoris
Sternoptyx pseudobscura
Cambarellus shufeldtii
Vulpes lagopus
Anax junius
Borostomias panamensis
Mus musculus
Rhabdamia  Gracilis
Mora moro
Passeriformes Parvus caeruleus
Pseudotropheus tropheops
Cloridopsis dubia
Romalea microptera
Mesocricetus auratus
Pasiphaea chacei
Partamona helleri
Dasyatis fluviorum
Anolis krugi
Chirostomias pliopterus
Neomysis mercedis
Lasioglossum albipes
Xenos peckii
Portunus trituberculatus
Sciurus carolinensis
Tinamiformes Nothoprocta perdicaria sanborni
Scomberomorus sierra
Aequidens pulcher
Neochmia modesta
Xenopus laevis
Taurulus bubalis
Xylocopa brasilianorum
Ronquilus jordani
Limulus polyphemus
Locusta migratoria
Mysis relicta sp.IV
Geomys bursarius
Acantholumpenus mackayi
Ruscarius meanyi
Melanostigma pammelas
Callambulyx tatarinovii
Nasua nasua
Astacus fluviatus
Rhinobatos lentiginosus
Pteropus samoensis
Sufflamen bursa
Serrivomer lanceolatoides
Anableps anableps
Strigiformes Strix aluco
Procambarus clarkii
Inachis io
Sus scrofa
Derichthys serpentinus
Neope goschkevitschii
Microstomus kitt
Pundamilia nyererei
Rhinocheilus lecontei
Pomatoschistus minutus
Engraulis japonicus
Euphydryas chalcedona
Microcebus murinus
Otolemus cassicaudatus
Xiphydria camelus
Amyelois transitella
Bowmaniella sp.
Lutjanus malabaricus
Cyprinus carpio
Lutjanus fulviflamma
Puffinus puffinus
Etroplus suratensis
Mugil cephalus
Apodichthys flavidus
Globicephala melas
Conocara salmonea
Aulonocara hueseri
Raja binoculata
Bathophilus brevis
Acanthephyra stylorostratis
Photinus pyralis
Oeneis chryxus
Cynotilapia afra
Trichodon trichodon
Conger conger
Taaningichthys bathyphilus
Carcharhinus melanopterus
Elephas maximus
Formica polyctena
Mustelus henlei
Papilio protenor
Rouleina maderensis
Enophrys diceraus
Pseudotropheus acei
Passeriformes Neochmia modesta
Anolis carolinensis
Otolemur garnettii
Pullosquilla thomassini
Synodus variegatus
Hariotta raleighana
Synaphobranchus kaupii
Acyrthosiphon pisum
Panopeus herbtii
Xenodermichthys  copei
Passeriformes Chloebia gouldiae
Pullosquilla litoralis
Pagurus longicarpus
Bombus morio
Sergia maximus
Schwarziana sp
Speyeria leto
Zalembius rosaceus
Rhadinesthes decimus
Anolis cristatellus
Passeriformes Lonchura maga
Limnocottus griseus
Myoxocephalus jaok
Thysanopoda orientalis
Neoniphon argenteus
Gonodactylaceus falcatus
Bero elegans
Sergestes curvatus
Argiope bruennichi
Sepia officinalis
Heteromysis formosa
Cambarus ludovicianus
Lobianchia gemellarii
Malacosteus niger
Bonapartia pedalioita
Accipiter nisus
Sebastes empaeus
Phronima sedenteria
Ernogrammus hexagrammus
Passeriformes Lonchura malabarica
Panopeus obesus
Heliconius erato
Psychrobites paradoxus
Melanochromis auratus
Daphnia magna
Eristalis tenax
Spodoptera exempta
Rana temporaria
Diaphus lucidus
Ahliesaurus berryi
Daubentonia madagascariensis
Minois dryas
Passeriformes Serinus canaria
Rhynchobatus australiae
Hoplostethus mediterraneus mediterraneus
Photonectes braueri
Anoplarchus purpurescens
Apodemia mormo
Limanda aspera
Hexagrammos octagrammus
Bero elegance
Bentheogennema pasithea
Mysis relicta sp.I
Myoxocephalus scorpius
Drosophila melanogaster
Scopelogadus beanii
Passeriformes Lonchura malacca
Carassius auratus
Anas platyrhynchus
Pleuronectes platessa
Bombus impatiens
Pleuronectes asper
Limenitis archippus
Dama dama
Zebrasoma flavescens
Gasterosteus aculeatus
Vanessa cardui
Celastrina argiolus
Ptychozoon lionotum
Lissotriton vulgaris
Sepioteuthis lessoniana
Balanus eburneus
Hypomesus pretiosus
Brachydanio rerio
Photinus macdermotti
Coenobita clypeatus
Procottus jettelesi
Rana pipiens
Melanochromus vermivorous
Gonepteryx aspasia
Sesarma cinereum
Paralabrax clathratus
Equus caballus
Lycaena nivalis
Clinocottus globiceps
Photinus versicolor
Rana cancrivora
Spermophilus tridecemline
Odontodactylus havanensis
Ctenochaetus strigosus
Antheraea polyphemus
Anthidium manicatum
Melanochromis vermivorus
Photostomias braueri
Petrolisthes diogenes
Galago crassicauda
Salmo trutta
Galago senegalensis
Avahi laniger
Ostorhinchus Cookii
Hexagrammos octogrammus
Lampanychtus ater
Leptotyphlops sp.
Anilius scytale
Papilio xuthus
Cottocomephorus inermis
Microstoma microstoma
Salmo salar
Coregonus clupeoides
Carcharhinus amblyrhynchos
Tursiops truncates
Phodopus sungorus
Petrolisthes elongates
Lycaena dorcas
Typhlonectes natans
Carcharhinus leucas
Stomias atriventer
Heliconius charithonia
Diaphus rafinesqueii
Lutjanus russellii
Myrmecia vindex
Hemigraspus edwardsi
Lycaena rubidus
Schistocerca gregaria
Spheniscus humboldti
Gekko gecko
Pagurus pollicaris
Porogradus sp.
Callonychium petuniae
Canthidermis maculatus
Plesionika martia
Chlamydera nuchalis
Aphanopus  carbo
Peprilus stimillimus
Icelinus borealis
Tribolodon hakonensis
Pundamilia au
Rynchophorus ferrugineus
Acanthropagrus schlegelii
Nematobrachion boopis
Lipophrys pholis
Capra hircus
Systellaspis braueri
Triglops pingelii
Mustela putorius furo
Myotis lucifugus
Mysis  sp.
Eulemur fulvus
Bicellonycha wickershamorum
Hoplostethus mediteranus
Notonecta irrorata
Panulirus argus
Cottunculus thomsonii
Phassus excrescens
Tramitichromis intermedius
Evermannella balbo
Gobius paganellus
Cirrhilabrus solorensis
Aulostomus chinensis
Balanus balanoides
Phoca groenlandicus
Passeriformes Amandina fasciata
Gymnothorax reticularis
Dimidiochromis compressiceps
Cupiennius salei
Gnathophausia ingens
Pilumnus sayi
Microcottus sellaris
Haplonycteris fischeri
Nectamia  Savayensis
Anguilla japonica
Limnocottus pallidus
Pundamilia pundamilia
Caranx hippos
Archaeopropona demophon
Acanthurus nigroris
Pseudotropheus  acei
Parus caeruleus
Strigiformes Otus asio
Epicopeia hainesii
Sigmops bathyphilus
Sergestes similis
Phytichthys  chirus
Nematobrachion sexspinosus
Lucania goodei
Halosauropsis macrochir
Caprimulgus europaeus
Papilio maackii
Metynnis argenteus
Aotus trivirgatus
Chauliodus danae
Vespula germanica
Teratoscincus scincus
Oreocromis niloticus
Ostorhinchus Doederleini
Carabus auratus
Astatotilapia burtoni
Cyphocottus eurystomus
Gonostoma elongatum
Psittaciformes Melopsittacus undalatus
Sebastes caurinus
Stenobrachius leucopsarus
Cambarellus ludovicianus
Sephanoides sephanoides
Canis lupus familiaris
Trigla cuculus
Clupea harengus
Gobiusculus flavescens
Passeriformes Estrilda troglodytes
Lutjanus carponotatus
Micrometrus minimus
Aglais urticae
Megalops atlanticus
Lutjanus sebae
Macaca mulatta
Batrachocottus nicolskii
Pervagor aspricaudus
Loxodonta africana
Abramis ballerus
Sargocentron diadema
Lycaena phlaeas
Hemimysis anomala
Zebrasoma velifer
Osmia rufa
Leuroglosus stilbius
Alosa kessleri
Ichthyococcus ovatus
Thysanoessa raschii
Urocerus gigas
Batrachocottus nikolskii
Oncorhynchus kisutch
Isoodon obesulus
Trachurus symmetricus
Melamphaes suborbitalis
Salmo trutta trutta
Artedius meanyi
Vespula vulgaris
Trematomus loennbergii
Upeneus tragula
Plectroglyphidodon johnstonianus
Agraulis vanillae
Menemerus confusus
Chaceon affinis
Pieris rapae crucivora
Acanthropagrus major
Orectolobus ornatus
Sericulus crysocephalus
Polyodon spathula
Heliconius sara
Lutjanus erythropterus
Lampropeltis getula
Xiphister atropurpureus
Chromis punctipinnis
Strigiformes Bubo virginianus
Comephorus dybowskii
Haptosquilla trispinosa
Geoclemys reevesii
Cynops orientalis
Benthalbella  infans
Micrometrus aurora
Chromis vanderbilti
Bodianus bilunnulatus
Platycercus elegans
Osmerus dentex
Pasiphaea emarginata
Daubentonia madagascariensis 
Strigiformes Tyto alba
Barbantus curvifrons
Portunus spinimanus
Potamotrygon motoro
Lepidion eques
Ceratoscopelus warmingii
Dasycottus setiger
Rana catesbeiana larvae
Spermophilus tridecemlineatus
Cottus gobio
Ichthyophis cf. kohtaoensis
Parnara guttata
Anguilla Anguilla
Histiobranchus bathybius
Diplodus annularis
Pleurogrammus  azonus
Fabriciana adippe
Bathylagus bericoides
Mauremys reevesii
Ovis aries
Pandalus borealis
Microgadus proximus
Asterocampa leilia
Sminthopsis crassicaudata
Liparis florae
Hexagrammos stelleri
Metriaclima zebra
Argynnis ruslana
Bufo bufo
Centropristis striata
Sagiunus midas
Ophiodon elongatus
Acanthephyra curtirostris
Procottus jettelesii
Cleisthenes herzensteini
Bombus hortorum
Mullus barbatus
Cerceris rybyensis
Poecilia parae
Sphoeroides annulatus
Lycodes pacificus
Haplochromis burtoni
Phycis blennoides
Periplaneta americana
Bothragonus swani
Hemidactylus platyurus
Sargocentron punctatissimum
Acerina cernua
Tripedalia cystophora
Acipenser ruthenus
Setonix brachyurus
Perca  flavescens
Syngnathus leptorhynchus
Gonostoma bathyphilium
Chromis hanui
Asprocottus intermediius
Bassozetus compresis
Amphilophus longimanus
Bombus hypnorum
Nomada alboguttata
Papilo bianor
Zoramia  Leptacanthus
Crenicichla frenata
Didelphis virginiana
Arichanna gaschkevitchii
Octopus tetricus
Meganyctiphanes norvegica
Nothoprocta cinerascens
Loligo pealii
Blepsias cirrhosus
Polistes dominulus
Oncorhynchus keta
Aeshna tuberculifera
Otolemur crassicaudatus
Eurypanopeus depressus
Sergestes arcticus
Lutjanus adetii
Danio aequipinnatus
Tarentola chazaliae
Aristostomias tittmanni
Gymnocanthus pistilliger
Sturnus vulgaris
Vespo crabro
Haplochromis azurea
Hyperoplus lanceolatus
Acanthephyra smithi
Melanotaenia maccullochi
Gecarcinus lateralis
Abudefduf abdominalis
Lampetra fluviatilis
Meleagris gallopavo
Sepia plangon
Anolis extremus
Struthioniformes Dromiceius novae-hollandiae
Merluccius productus
Notostomus elegans
Metriaclima benetos
Anolis grahami
Enteroctopus dofleini
Propithecus verreauxi coquereli
Cataetyx laticeps
Spicara smaris
Osmerus eperlanus
Bodianus bilunulatus
Sergestes corniculum
Masticophis flagellum
Ameiurus melas
Passeriformes Molothrus ater
Blicca bjoerkna
Copadichromis borleyi
Calappa flammea
Gobiesox maecmdricus
Galliformes Gallus gallus domesticus
Pieris rapae
Neomysis integer
Oryctolagus cuniculus
Ambystoma tigrinum adult
Merluccius merluccius
Carcinus maenas
Paracottus knerii
Stegastes fasciolatus
Anolis stratulus
Leiothrix lutea
Vinciguerria nimbaria
Octodon degus
Squilla empusa
Syngnathus typhle
Hippocampus subelongatus
Scopelarchus analis
Conocara macroptera
Sphodromantis sp.
Chlorocebus aethiops
Istiophorus  platypterus
Leocottus kesslerii
Sympetrum rubicundulum
Rutilis rutilis
Balanus amphitrite
Orconectes rusticus
Anseriformes Anas playrhnchos domesticus
Cyprinodon variegatus
Euphausia superba
Ictalurus catus
Cephalopachus bancanus
Pasiphaea multidentata
Argyropelecus hemigymnus
Lampanyctus crocodilus
Lyopsetta exilis
Siproeta stelenes
Tramitichromis  intermedius
Jordanella floridae
Urobatis jamaicensis
Dugesia japonica
Sebastolobus alascanus
Ameiurus catus
Poecilia formosa
Pholis laeta
Buteo buteo
Passeriformes Taeniopygia guttata
Urocyon littoralis
Bombyx mori
Platysaurus broadleyi
Lysiosqullia sulcata
Argiope amoena
Larus atricilla
Psittaciformes Melopsittacus undalutus
Sander lucioperca
Menippe mercenaria
Anolis conspersus
Pseudopleuronectes americanus
Buteo jamaicensis
Phytichthys chirus
Coregonus lavaretus
Rhinella [=Bufo] marinus
Jasus edwardsii
Pavo cristatus
Trematomus hansoni
Coryphaenoides armatus
Chelidonichthys lucerna
Sergia robustus
Hepatus epheliticus
Typhlops hypomethes
Photinus collustrans
Alepocephalus bairdii
Gaidropsarus mediterraneus
Asteropteryx semipunctatus
Liparis pulchellus
Pagurus annulipes
Stizostedion lucioperca
Bathylagus greyae
Anolis gundlachi
Acipenser baerii
Vulpes vulpes
Pithecia pithecia
Columbiformes Streptopelia roseogrisea
Agonopsis vulsa
Notacanthus bonapartei
Eurypharynx pelecanoides
Ambystoma tigrinum hatchling
Batrachocottus multiradiatus
Orectolobus maculatus
Corvus frugilegus
Myrmecia gulosa
Potos flavus
Loligo subulata
Hemidactylus garnotii
Cottocomephorus grewingkii
Papilio achaon
Mylochromis lateristriga
Antimora  rostrata
Taeniopygia guttata
Eumicrotremus orbis
Gasterosteus sp.
Ciconiiformes Larus atricilla
Coccinella septempunctata
Bythograea thermydron
Scorpaenichthys marmoratus
Artedius fenestrates
Photostylus sp.
Belone belone
Cambarellus schufeldtii
Idiosepius notoides
Ammodytes hexapterus
Hymenodora glacialis
Spinachia spinachia
Myripristis berndti
Saguinus fuscicollis
Nematobrachion sexpinosum
Notonecta glauca
Danio rerio
Rana catesbeiana
Mulloidichthys flavolineatus
Orconectes virilis
Bos taurus
Sergia phorcus
Parupeneus multifasceatus
Dolichonyx orzivorous
Naso lituratus
Stichaeus grigorjevi
Cyrtopodion kotschyi
Colletes fulgidus
Ctenomys magellanicus
Ichneumon spp.
Lutjanus kasmira
Bubo virginianus
Papio papio
Chaetodon kleini
Marumba sperchius
Pundamila sp.
Phalacrocorax carbo
Aetobatus narinari
Bombus  impatiens
Atherina boyeri
Poecilia reticulata
Rhinomuraena quaesita
Limnocottus eurystomus
Toxotes chatareus
Chloebia gouldiae
Poecilia reticulata trinidad
Trachyscorpia cristulata
Pieris melete
Ligia exotica
Anolis sagrei
Asterropteryx semipunctata
Melecta punctata
Melanphaes canthomus
Bathysaurus mollis
Maylandia zebra
Ostracion meleagris
Saguinus oedipus
Myrmecia croslandi
Puntigrus tetrazona
Ailuroedus crassirostris
Kuhlia sandvicensis
Bombus jonellus
Trichechus manatus
Chiloscyllium punctatum
Libinia dubia
Hemigraspus sanguineus
Ichthyophis kohtaoensis
Cyrtopodion caspium
Bombus monticola
Mysis mixta
Anas platyrhynchos domesiticus
Carlito syrichta
Rana cracrivora
Cyrtopodion fedtschenkoi
Strix aluco
Acipenser transmontanus
Actias artemis aliena
Thunnus albacares
Sphyrna lewini
Uca thayeri
Mamestra brassicae
Photuris frontalis
Oligocottus maculosus
Pseudosquilla ciliata
Philanthus triangulum
Platichthys flesus
Melipona quadrifasciata
Serinus canaria
Lampadena speculigera
Passeriformes Corvus frugilegus
Petromyzon marinus
Artedius fenestralis
Howella sherborni
Funchalia villosa
Coryphaenoides leptolepis
Pholidapus dybowsky
Euphausia pacifica
Hexagrammos decagrammus
Deania calcea
Hydrolagus mirabilis
Dascyllus trimaculatus
Gennadas valens
Neominois ridingsii
Neogonodactylus oertstedii
Talitrus saltator
Valenciennellus tripunctulatus
Gymnothorax favagineus
Pundamilia luanso
Brachyistius frenatus
Makaira nigricans
Psittaciforme Melopsittacus undulatus
Zanclus cornutus
Columbiformes Zenaida macroura
Salmo irideus
Haplochromis pyrrhocephalus
Pteropus dasymallus
Perca fluviatilis
Acanthephyra microphthalma
Lipophyrs pholis
Chimaera monstrosa
Scenopoetes dentirostris
Atrophaneura alcinous
Pollachius pollachius
Pristiapogon kallopterus
Rhinobatus typus
Lemur catta
Cyttopsis rosea
Talismania antillarum
Pseudopleuronectes obscurus
Metriaclima barlowi
Malacocephalus laevis
Scaphirhynchus albus
Gymnura australis
Passeriformes Leiothrix lutea
Anolis evermanni
Astyanax fasciatus
Cebus spp.
Ampelophaga rubiginosa
Chirolophis japonicus
Metriaclima emmiltos
Lutjanus quinquelineatus
Monodelphis domestica
Didelphis aurita
Clupea pallasii
Deilephila elpenor
Poromitra megalops
Sergia grandis
Dromiceius novae-hollandae
Melanostomias niger
Tenthredo scrophulariae
Cottinella boulengeri
Musca domestica
Cottocomephorus grewingki
Pundamilia azurea
Myoxocephalus stelleri
Odocoileus virginianus
Nansenia longicauda
Cancer irroratus
Scardinius erythrophthalmus
Phoca vitulina
Lepidion  eques
Nannobrachium atrum
Bombus distinguendis
Engraulis encrasicolus
Mysis relicta sp.II
Anguilla anguilla
Archaeomysis grebnitzkii
Bassozetus compressus
Necturus maculosus
Polyipnus polli
Uca pugnax
Cercopithecus petaurista
Neoceratodus forsteri
Dardanus fucosus
Scylla serrata
Anguilla bicolor
Asprocottus herzensteini
Dicrolene intronigra
Opisthoproctus grimaldii
Chromis verater
Meningodora vesca
Parupeneus multifasciatus
Rhacochilus vacca
Parage aegeria
Cavia porcellus
Photuris potomaca
Hippoglossoides elassodon
Rimicaris exoculata
Passeriformes Turdus merula
Pasiphaea suspirosum
Photostomias guernei
Leptocottus armatus
Carollia perspicillata
Chaetodon kleinii
Danio malabaricus
Centroswcymnus coleolepis
Eigenmannia virescens
Dascyllus albisella
Bentheogennema intermedia
Sergestes tenuiremis
Ostorhinchus Cyanosoma
Acartia tonsa
Ambystoma tigrinum aquatic
Clibanarius vittatus
Sargocentron xantherythrum
Tinamiformes Nothoprocta cinerascens cinerascens
Heliconius erato petiverana
Pseudozizeeria maha
Furcifer pardalis
Margrethia obtusirostra
Poecilia latipinna
Galleria mellonella
Seriphus politus
Mysis diluviana
Eustomias obscurus
Limanda limanda
Limenitis lorquini
Pholis omata
Chauliodus macouni
Geryon quinquedens
Echiostoma barbatum
Penaeus duororum
Spermophilus beecheyi
Melipona marginata
Scorpaena porcus
Loligo forbesii
Turdus merula
Miopithecus talapoin
Albula vulpes
Myotis velifer
Sebastes auriculatus
Coryphaenoides guntheri
Hyperprosopon argenteum
Bathylagus euryops
Aptychotrema vincentiana
Citellus lateralis
Parapasiphaea sulcatifrons
Anadevidia peponis
Homarus americanus
Gryllus bimaculatus
Megalocottus  platycephalus
Mirza coquereli
Rhea americana
Ischnura heterosticta
Melopsittacus undulatus
Lepomis macrochirus
Anolis bahorucoensis
Platytroctes apus
Artemia salina
Chelidonichthys lucernus
Pervagor spilosoma
Carcharhinus acronotus
Limnocottus bergianus
Hemigrapsus edwardsii
Oncorhynchus mykiss
Pleuroncodes planipes
Podothecus acipenserinus
Gilbertidia sigalutes
Glossophaga soricina
Borostomias elucens
Anchoa mitchilli
Coenobita rugosa
Acanthephyra purpurea
Calliphora erythrocephala
Zoarces viviparus
Leptograpsus variegatus
Pleurogrammus azonus
Macroglossum stellatarum
Ctenophorus decresii
Opsanus tau
Carcharhinus amboinensis
Gryllus bimaculatus adult
Oreochromis nilocticus
Rhamphocottus richardsonii
Apis mellifera
Oncorhynchus tshawytscha
Chauliodus sloanei
Pundamilia red head
Danaus plexippus
Trygonorrhina fasciata
Coronis scolopendra
Poromitra capito
Ictalurus punctatus
Sargocentron spiniferum
Spalacopus cyanus
Crangon allmani
Forcipiger flavissimus
Lycaena heteronea
Nothoprocta perdicaria
Pomacentrus melanochir
Sardinops sagax
Gekko gekko
Thamnophis sirtalis sirtalis
Tupaia glis
Stichaeopsis nana
Acanthopagrus butcheri
Arothron meleagris
Gobius niger
Crotaphytus dickersonae
Struthioniformes Rhea americana
Pomatoschistus microps
Lethrinops parvidens
Nematoscelis megalops
Trachemys scripta
Ctenophorus ornatus
Ichthyocossus ovatus
Scomber japonicus
Paracheirodon innesi
Apodemia spp.
Anoplogaster cornuta
Radiicephalus elongatus
Photuris lucicrescens
Tarsius bancanus
Hemisquilla ensigera
Tinca tinca
Micropoecilia parae
Hemitripterus americanus
Chaetodon unimaculatus
Camponotus abdominalis
Alepocephalus australis
Passeriformes Sturnus vulgaris
Stichaeus grigorjewi
Carabus nemoralis
Elops  saurus
Pergavor spilosoma
Hermeuptychia hermes
Gobiesox maeandricus
Xenodermichthys copei
Todarodes pacificus
Heliconius hecale
Rattus rattus
Mesoplodon bidens
Graphium sarpedon
Porichthys notatus
Plagiotremus rhinorhynchos
Ballerus ballerus
Engraulis mordax
Hemidactylus frenatus
Lysiosquillina maculate
Tetrapturus audax
Lepidorhombus boscii
Megalocottus platycephalus
Dermogenys pusilla
Glaucomys sabrinus
Oncorhynchus gorbuscha
Geotrypetes seraphini
Idiacanthus fasciola
Carassius carassius
Coryphaenoides profundicolus
Euprymna tasmanica
Chlamydera maculata
Hemidactylus turcicus
Xenopeltis unicolor
Liparis dennyi
Galliformes Colinus virginianus
Argentina silus
Systellaspis cristata
Bothragonus  swani
Puffinus pacificus
Gryllus campestris
Atherinops affinis
Alligator mississippiensis
Rhizoprionodon taylori
Pieris brassicae
Praunus inermis
Cheirogaleus medius
Junonia coenia
Anolis pulchellus
Sigmops elongatus
Alburnus alburnus
Rangifer tarandus
Caretta caretta
Zalophus californianus
Notoscopelus resplendens
Ctenomys talarum
Rouleina aderensis
Aulorhynchus flavidus
Hemicordulia tau
Nymphalis antiopa
Abyssocottus korotneffi
Halargyreus johnsonii
Limenitis weidemeyerii
Lepidopsetta polyxystra
Triakis semifasciata
Synaphobranchus kaupi
Haplochromis nyererei
Aeschna cyanea
Passeriformes Carpodacus mexicanus
Passer domesticus
Chromis ovalis
Pagothenia borchgrevinki
Plexippus validus
Python regius
Acipenser medirostrus
Cynops pyrrhogaster
Theragra chalcogramma
Notonecta insulata
Liparis  greeni
Passeriformes Zonotrichia leucophrys
Lasioglossum malachurum
Meriones unguiculatus
Acanthropagrus berda
Coryphopterus nicholsii
Argyropelecus gigas
Loris tardigradus
Holtbyrnia spinithara
Gonodactylus oerstedii
Benthalbella infans
Taeniura lymma
Xiphister mucosus
Saimiri sciureus
Andrena florea
Lates calcarifer
Hapalochlaena maculosa
Lampanyctus regalis
Engaeus cunicularius
Aristostomias tittmani
Melanonus zugmayeri
Odontodactylus brevirostris
Galliformes Meleagris galoparvo
Microstomus pacificus
Esox lucius
Zebrasoma veliferum
Columba livia
Galliformes Callipepla californica
Hemitripterus villosus
Glaucostegus typus
Passeriformes Plocepasser mahali
Gonodactylellus affinis
Lepidopsetta bilineata
Lutjanus bohar
Hymenodora frontalis
Sebastes maliger
Macaca fascicularis
Uca pugilator
Stigmatopora argus
Hemilepidotus hemilepidotus
Neotrygon kuhlii
Ochlodes venata
Cottus kessleri
Fundulus heteroclitus
Procambarus milleri
Cheirogaleus major
Octopus australis
Psychrolutes paradoxus
Pachystomias microdon
Stylopandalus richardi
Ictalurus melas
Canthidermis maculata
Panopeus herbstii
Libelloides macaronius
Sygnathus leptorhynchus
Struthioniformes Struthio camelus
Axoclinius carminalis
Anseriformes Anas platyrhynchos
Pleuronectes herzensteini
Rouleina attrita
Gadus macrocephalus
Gymnocanthus intermedius
Arizona elegans
Oxea flavescens
Mysis relicta
Trygonoptera testacea
Ascelichthys rhodorus
Clombiformes Columba livia
Pungitius pungitius
Chelonia mydas
Praunus flexuosus
Comephorus baicalensis
Neoniphon aurolineatus
Sargocentron microstoma
Sesarma reticulatum
Passeriformes Pipilo fuscus
Notonecta undulata
Neoniphon sammara
Tyrannochromis macrostoma
Homarus gammarus
Lepisosteus platostomus
Dromiceius novae-hollandiae
Platichthys stellatus
Ciconiiformes Buteo jamaicensis
Coryphaenoides carapinus
Acanthurus achilles
Metriaclima melabranchion
Myoxocephalus brandti
Lutjanus johnii
Photinus scintillans
Electrona risso
Drosophilia melanogaster
Nymphalis xanthomelas
Bolinichthys indicus
Cataglyphis bicolor
Gonodactylus smithii
Heliconius numata
Gonodactylopsis spongicola
Rhinatrema bivittatum
