Mullus barbatus
Synathedon tipulif ormis
Syrphus sp.
Odontodactylus havanensis
Nymphalis antiopa
Gasterosteus acuelatus
Buteo buteo
Aotus trivirgatus
Lasioglossum malachurum
Cynotilapia afra
Octopus australis
Dermogenys pusilla
Calappa flammea
Aeshna tuberculifera
Centropristis striata
Procyon lotor
Eigenmannia virescens
Polygonia c-album
Sternoptyx pseudobscura
Loris tardigradus
Ascelichthys rhodorus
Malacosteus niger
Bibio sp.
Danio aequipinnatus
Geotria australis
Echiostoma barbatum
Photonectes braueri
Aedes albopictus
Nerophis ophidion
Lycaena nivalis
Sufflamen bursa
Stizostedion lucioperca
Anguilla japonica
Xenopeltis unicolor
Brachydanio rerio
Cataetyx laticeps
Bellocia  koefoedi
Rhizoprionodon taylori
Puffinus puffinus
Ichthyophis cf. kohtaoensis
Calliphora erythrocephala
Geotrypetes seraphini
Chlamydera maculata
Bathysaurus ferox
Lutjanus sebae
Scorpaena porcus
Schwarziana sp
Solenopsis saevissima
Sphyrna tiburo
Syngnathus typhle
Lasioglossum albipes
Anas platyrhynchos
Canthidermis maculata
Sigmops bathyphilus
Anolis evermanni
Marosatherina ladigesi
Myotis lucifugus
Pleurogrammus  azonus
Pleuronectes asper
Petrolisthes elongates
Dromiceius novae-hollandiae
Coryphopterus nicholsii
Poecilia formosa
Hexagrammos decagrammus
Praunus flexuosus
Lutjanus erythropterus
Chaetodon kleinii
Bathylagus greyae
Hemilepidotus hemilepidotus
Poecilia reticulata trinidad
Pundamila sp.
Dacus oleae
Euroleon nostras
Bombus  impatiens
Myzus persicae
Mysis relicta sp.I
Pseudopleuronectes americanus
Mugil cephalus
Bicyclus anynana
Etroplus suratensis
Gobiusculus flavescens
Poecilia reticulata
Sminthopsis crassicaudata
Plocepasser mahali
Accipiter nisus
Acartia tonsa
Parapasiphaea sulcatifrons
Lipophyrs pholis
Paracottus knerii
Crenicichla frenata
Ameiurus melas
Pomatoschistus minutus
Orconectes rusticus
Coenobita rugosa
Isoodon obesulus
Anableps anableps
Stegastes fasciolatus
Euprymna tasmanica
Pullosquilla litoralis
Caranx hippos
Photuris potomaca
Bubo virginianus
Scomber japonicus
Otolemur crassicaudatus
Celastrina argiolus
Anartia jatrophae
Spermophilus lateralis
Lepidopsetta polyxystra
Minois dryas
Coccinella septempunctata
Hemisquilla ensigera
Apodichthys flavidus
Didelphis aurita
Bombyx mori
Rhinomuraena quaesita
Alepocephalus australis
Pundamilia red head
Cyphonocerus rufficolis
Engraulis japonicus
Xiphydria camelus
Scirtothrips dorsalis
Plectroglyphidodon johnstonianus
Photuris lucicrescens
Rhea  americana
Epicopeia hainesii
Phassus excrescens
Lampanyctus regalis
Tramitichromis  intermedius
Gasterosteus aculeatus
Theragra chalcogramma
Alburnus alburnus
Loligo forbesii
Musca domestica
Pseudozizeeria maha
Sebastes flavidus
Neominois ridingsii
Notonecta irrorata
Globicephala melas
Felis catus
Ambystoma tigrinum adult
Acipenser transmontanus
Anguilla anguilla
Anolis conspersus
Eristalis tenax
Metriaclima zebra
Asterocampa leilia
Mirounga angustirostri
Oeneis chryxus
Poromitra megalops
Lates calcarifer
Lutjanus fulviflamma
Limenitis archippus astyanax
Gonostoma bathyphilum
Lutjanus quinquelineatus
Chromis punctipinnis
Blatta orientalis
Papilio protenor
Aptychotrema vincentiana
Mesocricetus auratus
Photostylus sp.
Cydia pomonella
Pleuronectes obscurus
Janicella spinacauda
Anolis sagrei
Dendroctonus pseudotsugae
Microcottus sellaris
Samia cyntia ricini
Stomias boa
Metriaclima barlowi
Photinus versicolor
Hoplostethus atlanticus
Oncorhynchus gorbuscha
Sebastolobus alascanus
Taaningichthys bathyphilus
Hippocampus angustus
Eustomias obscurus
Ostracion meleagris
Cupiennius salei
Aedes aegypti
Gonostoma elongatum
Hemidactylus turcicus
Ischnura heterosticta
Parus caeruleus
Cottus gobio
Chelidonichthys lucernus
Holtbyrnia spinithara
Acerina cernua
Nothoprocta cinerascens cinerascens
Cicindela japonica
Hermeuptychia hermes
Nematobrachion boopis
Hariotta raleighana
Rattus rattus
Sturnus vulgaris
Didelphis virginiana
Zenaida macroura
Strix aluco
Zoramia  Viridiventer
Diaphus dumerilli
Pieris melete
Scopelarchus analis
Aetobatus narinari
Bentheogennema pasithea
Photostomias guernei
Cynops orientalis
Ameiurus catus
Lampanyctus alatus
Lepidion  eques
Polygonia c-aureum
Conocara macroptera
Nephotettix cincticeps
Bombus hortorum
Pervagor spilosoma
Xenodermichthys  copei
Portunus trituberculatus
Homarus gammarus
Coryphaenoides profundicolus
Microcebus murinus
Carcinus maenas
Limenitis lorquini
Saimiri sciureus
Lutjanus bohar
Pteropus samoensis
Monodelphis domestica
Hemigraspus sanguineus
Scaphirhynchus albus
Dromiceius novae-hollandae
Anolis lineatopus
Toxomerus marginatus
Amandina fasciata
Dasyatis kuhlii
Taurulus bubalis
Alouatta sp.
Inachis io
Thysanopoda acutifrons
Tyrannochromis macrostoma
Melanostigma pammelas
Heliothis zea
Saguinus oedipus
Batrachocottus nicolskii
Marumba sperchius
Salmo salar
Chrysoperla carnea
Osmia rufa
Callambulyx tatarinovii
Asprocottus herzensteini
Diaphus rafinesquei
Engraulis encrasicolus
Helostoma temminkii
Serinus canaria
Myoxocephalus jaok
Tarentola chazaliae
Embiotoca lateralis
Boa constrictor
Libellula needhami
Cimex lectularius
Ictalurus melas
Acipenser ruthenus
Chiloscyllium punctatum
Pagurus annulipes
Lycaena phlaeas
Syrphus balteatus
Opsanus tau
Myotis velifer
Glaucostegus typus
Pervagor aspricaudus
Procottus jettelesii
Liparis dennyi
Exorista japonica
Serrivomer lanceolatoides
Neogonodactylus oertstedii
Gryllus bimaculatus
Sagiunus midas
Crotaphytus dickersonae
Argentina silus
Salmo trutta trutta
Hemicordulia tau
Lepidopsetta bilineata
Panopeus obesus
Colias erate
Chiasmodon niger
Parnassius glacialis
Spinachia spinachia
Lumpenus sagitta
Gonodactylopsis spongicola
Estrilda troglodytes
Geryon quinquedens
Lepomis macrochirus
Arothron meleagris
Astacus fluviatus
Bolinichthys indicus
Oreochromis nilocticus
Eulemur fulvus fulvus
Potamotrygon motoro
Apodemia spp.
Argiope amoena
Typhlops platycephalus
Lonchura maja
Orconectes virilis
Stylephorus chordatus
Homarus americanus
Phycis blennoides
Palaemonetes vulgaris
Kali macrodon
Gonostoma bathyphilium
Mesocricetus brandti
Isodon obesulus
Thysanopoda orientalis
Urocyon littoralis
Ovis aries
Lepidion eques
Forcipiger flavissimus
Ctenophorus decresii
Mus musculus
Plexippus validus
Procottus jettelesi
Osmerus eperlanus
Dugesia japonica
Alosa kessleri
Mylochromis lateristriga
Upeneus tragula
Papilio maackii
Lepidorhombus boscii
Borostomias elucens
Perca  flavescens
Curtos sp.
Gadus macrocephalus
Typhlonectes natans
Python regius
Ambystoma tigrinum aquatic
Bibio marci
Mantispa styriaca
Chauliognathus pulchellus
Sesarma reticulatum
Microstoma microstoma
Ctenophorus ornatus
Lepilemur ruficaudatus
Nautichthys oculofasciatus
Hexagrammos octogrammus
Vespula germanica
Xylocopa brasilianorum
Macaca mulatta
Libinia dubia
Acanthropagrus berda
Praunus inermis
Plesionika martia
Carcharhinus obscurus
Myoxocephalus brandti
Cambarellus shufeldtii
Ambystoma tigrinum hatchling
Thunnus albacares
Vespo crabro
Anolis gundlachi
Enteroctopus dofleini
Panopeus herbtii
Coryphaenoides carapinus
Anadevidia peponis
Coroebus undatus
Sardinops melanostictus
Vinciguerria nimbaria
Psychrobites paradoxus
Rouleina maderensis
Bombus monticola
Limenitis weidemeyerii
Notostomus elegans
Bassozetus compressus
Sepioteuthis lessoniana
Idiacanthus fasciola
Jordania zonope
Orectolobus maculatus
Spodoptera exempta
Melopsittacus undulatus
Lycodes pacificus
Camponotus blandus
Rhagoph-thalmus ohbai
Blicca bjoerkna
Chromis verater
Megalops atlanticus
Calliphora vicina
Eumicrotremus orbis
Sasakia charonda
Clibanarius vittatus
Heliconius hecale
Echinomacrurus mollis
Cottocomephorus inermis
Liparis  greeni
Limenitis archippus
Myrmecia vindex
Hipposideros speoris
Sygnathus leptorhynchus
Stomias atriventer
Glossophaga soricina
Bonapartia pedalioita
Neope goschkevitschii
Metynnis argenteus
Argyropelecus hemigymnus
Trygonoptera testacea
Nemichthys scolopaceus
Gonodactylus oerstedii
Pholis omata
Nothoprocta perdicaria
Stichaeus nozawae
Pagothenia borchgrevinki
Anchoa mitchilli
Apis mellifera
Poromitra capito
Ostrinia nubilalis
Stigmatopora argus
Chelonia mydas
Himantura fai
Lycaena dorcas
Rutilis rutilis
Epigonus  telescopus
Plagiotremus rhinorhynchos
Lampanyctus festivus
Sergia splendens
Zoramia  Leptacanthus
Cercopithecus cephus
Bombus hypnorum
Mysis mixta
Hapalochlaena maculosa
Bufo bufo
Otolemur garnettii
Carabus auratus
Paromola cuvieri
Phalaenoptilus nuttallii
Myoxocephalus quadricornis
Sebastes caurinus
Octopus tetricus
Actias artemis aliena
Notacanthus bonapartei
Meganyctiphanes norvegica
Gallus gallus
Chlorocebus aethiops
Lonchura malacca
Citharichthys sordidus
Malacocephalus laevis
Aequidens pulcher
Porogradus sp.
Synodus variegatus
Phytichthys  chirus
Limnocottus pallidus
Gilbertidia sigalutes
Hymenodora glacialis
Derichthys serpentinus
Alligator mississippiensis
Pundamilia nyererei
Penaeus penicillatus
Chaetodon kleini
Tripedalia cystophora
Sphodromantis sp.
Chamaeleo dilepis
Menemerus confusus
Clupea harengus
Hyperprosopon argenteum
Ctenochaetus strigosus
Tinca tinca
Eucyclogobius newberryi
Caelorhinchus labiatus
Sergestes tenuiremis
Rhabdamia  Gracilis
Leptidae amurensis
Cataglyphis aenescens
Drosophila melanogaster
Capra hircus
Poecilia mexicana
Gymnocanthus pistilliger
Nomada alboguttata
Myripristis violacea
Cataglyphis bombycinus
Rinocetes nasutus
Stenobrachius leucopsarus
Clinocottus globiceps
Puffinus pacificus
Anolis stratulus
Puntigrus tetrazona
Lipophrys pholis
Limanda limanda
Tenodera sinensis
Leptocottus armatus
Rhinobatus typus
Meriones unguiculatus
Coronis scolopendra
Oplophorus gracilirostris
Micropterus salmoides
Squilla empusa
Odontodactylus brevirostris
Argiope bruennichi
Lonchura malabarica
Albula vulpes
Mysis diluviana
Maylandia zebra
Neonesthes capensis
Melanochromis  vermivorus
Bos taurus
Ahliesaurus berryi
Platytroctes apus
Phalaenoides glycinae
Cavia porcellus
Trematomus loennbergii
Histiobranchus bathybius
Dama dama
Avahi laniger
Oplophorus sp.
Systellaspis cristata
Heteromysis formosa
Cercopithecus diana
Electrona risso
Eutrigla gurnardus
Macaca fascicularis
Otolemus cassicaudatus
Strophidon sathete
Lampropeltis getula
Peprilus simillimus
Zalophus californianus
Pleuronectes platessa
Heliconius erato
Salvelinus alpinus
Metriaclima melabranchion
Halosauropsis macrochir
Chirolophis japonicus
Meleagris  galoparvo
Schwarziana sp.
Lucidina biplagiata
Chirostomias pliopterus
Dascyllus albisella
Mysis relicta sp.IV
Pomatoschistus microps
Pyrocoelia sp.
Cyrtopodion fedtschenkoi
Limenitis archippus archippus
Neotrygon kuhlii
Aphanopus  carbo
Condylostylus japonicus
Cicindela specularis
Trygonorrhina fasciata
Pleuroncodes planipes
Platycercus elegans
Liparis greeni
Squalus suckleyi
Synaphobranchus kaupi
Bothragonus  swani
Lampetra fluviatilis
Trigona spinipes
Pundamilia pundamilia
Bombus jonellus
Hypsiglena torquata
Melopsittacus undatus
Papilo bianor
Uca pugilator
Makaira nigricans
Leptograpsus variegatus
Trachemys scripta
Acanthurus achilles
Coregonus clupeoides
Diplodus annularis
Lucilia (Phaenicia) serricata
Aristostomias tittmanni
Parantica sita
Carollia perspicillata
Abudefduf abdominalis
Coregonus lavaretus
Homo sapiens
Nasua nasua
Photinus collustrans
Urobatis jamaicensis
Cottocomephorus grewingkii
Acanthephyra smithi
Oreocromis niloticus
Ernogrammus hexagrammus
Artedius fenestralis
Dendrochirus zebra
Ronquilus jordani
Spirinchus thaleichthys
Metriaclima livingstonii
Benthosema suborbitale
Centrophorus squamosus
Acanthropagrus major
Anax junius
Erythrocebus patas
Aeschna cyanea and mixta
Lobianchia gemellarii
Propithecus verreauxi coquereli
Perca fluviatilis
Cyrtopodion caspium
Artedius fenestrates
Aptychotrema rostrata
Samia cynthia ricini
Sergia robustus
Amia calva
Meningodora miccyla
Platichthys stellatus
Astatotilapia burtoni
Chromis ovalis
Pandalus montagui
Chlorops sp.
Bentheogennema intermedia
Heliconius sara
Eurypharynx pelecanoides
Elephas maximus
Gennadas sp.
Hyperoplus lanceolatus
Merluccius productus
Sargocentron xantherythrum
Aeschna cyanea
Antheraea polyphemus
Haplochromis pyrrhocephalus
Thamnophis sirtalis sirtalis
Vespula vulgaris
Artemia salina
Amadina fasciata
Taeniura lymma
Ips paraconfusus
Papilio xuthus
Arctia plantaginis
Lutjanus kasmira
Istiophorus  platypterus
Sciurus carolinensis
Mauremys reevesii
Ptilichthys goodei
Lycaena heteronea
Amphilophus longimanus
Loligo pealii
Melamphaes suborbitalis
Carcharhinus melanopterus
Turdus merula
Melanostomias niger
Pseudotropheus tropheops
Cyttopsis rosea
Pasiphaea emarginata
Asprocottus intermediius
Cloridopsis dubia
Notonecta glauca
Tetrapturus audax
Limnocottus bergianus
Symphodus melops
Sergestes arcticus
Gymnura australis
Abramis ballerus
Callonychium petuniae
Artedius harringtoni
Pyrophorus punctatissimus
Pyrearinus termitilluminans
Anthidium manicatum
Pagurus longicarpus
Dimecoenia spinosa
Phidippus regius
Talismania antillarum
Idiosepius notoides
Cyprinodon variegatus
Poecilia reticulata cumana
Protaetia brevitarsis
Gonodactylaceus falcatus
Tenthredo scrophulariae
Lampanychtus ater
Loligo subulata
Mysis salemaai
Microstomus pacificus
Zebrasoma veliferum
Acanthropagrus schlegelii
Trachurus symmetricus
Panopeus herbstii
Parupeneus multifasceatus
Sericulus crysocephalus
Proxylocopa sp.
Scaphirhynchus platorynchus
Hoplostethus mediterraneus mediterraneus
Odontodactylus scyllarus
Neomysis americana
Neogonodactylus oerstedii
Engraulis mordax
Deania calcea
Sepia plangon
Geomys bursarius
Pieris rapae crucivora
Tribolodon hakonensis
Sander lucioperca
Elops  saurus
Nematobrachion sexpinosum
Anomala corpulenta
Oncorhynchus kisutch
Phytichthys chirus
Sergestes similis
Neoniphon argenteus
Argyropelecus gigas
Euphausia pacifica
Xiphister atropurpureus
Batrachocottus baicalensis
Leptotyphlops sp.
Papilio aegeus
Chloebia gouldiae
Cambarus ludovicianus
Pollachius pollachius
Lutjanus russellii
Libelloides macaronius
Lutjanus johnii
Parupeneus multifasciatus
Arachnocampa luminosa
Porichthys notatus
Equus caballus
Lymantria dispar
Haplonycteris fischeri
Axoclinius carminalis
Sympetrum rubicundulum
Meleagris gallopavo
Limanda aspera
Haematopota sp.
Tramitichromis intermedius
Nansenia longicauda
Rana temporaria
Cebus spp.
Caretta caretta
Coryphaenoides leptolepis
Gryllus campestris
Radiicephalus elongatus
Callistoctopus dierythraeus
Carcharhinus leucas
Rhinoptera bonasus
Bombus lapidarius
Neochmia modesta
Rana cracrivora
Diaphus holti
Xenopus laevis
Dascyllus trimaculatus
Pundamilia azurea
Dolichonyx orzivorous
Myoxocephalus scorpius
Pseudotropheus acei
Hippoglossoides elassodon
Neoceratodus forsteri
Bathylagus longirostris
Parage aegeria
Trichodon trichodon
Taeniopygia guttata
Anolis pulchellus
Callinectes ornatus
Parvus  caeruleus
Pseudosquilla ciliata
Asterropteryx semipunctata
Gasterosteus sp.
Troides aeacus formosanum
Trematomus bernacchii
Galago senegalensis
Chauliodus danae
Cottinella boulengeri
Ochlodes venata
Protomelas taeniolatus
Gobius paganellus
Locusta migratoria
Gymnocanthus intermedius
Ostorhinchus Cyanosoma
Cheirogaleus major
Paracheirodon innesi
Lonchura striata
Haplochromis azurea
Paravespula vulgaris
Andrena florea
Hippocampus barbouri
Myoxocephalus potyacanthocephalus
Junonia coenia
Loxodonta africana
Archaeomysis grebnitzkii
Speotyto cunicularia
Platysaurus broadleyi
Conocara salmonea
Odocoileus virginianus
Astyanax fasciatus
Ichthyococcus ovatus
Borostomias panamensis
Vulpes vulpes
Hemidactylus frenatus
Sargocentron spiniferum
Thermonectus maromoratus
Bathylagus bericoides
Xiphister mucosus
Cataglyphis bicolor
Blatella germanica
Rhacochilus vacca
Petromyzon marinus
Centroswcymnus coleolepis
Melipona marginata
Rangifer tarandus
Photinus marginellus
Rhynchobatus australiae
Ostorhinchus Doederleini
Carpodacus mexicanus
Spheniscus humboldti
Formica polyctena
Portunus spinimanis
Saguinus midas
Hemitripterus americanus
Cebus sp.
Canthidermis maculatus
Anthophora acervorum
Aulonocara hueseri
Polyipnus polli
Gnathophausia ingens
Bothragonus swani
Trigla cuculus
Osmerus dentex
Polyodon spathula
Isopsetta isolepis
Formica cunicularia
Spodoptera exigua
Carassius carassius
Ptilorhynchus violaceus
Sphyrna lewini
Anilius scytale
Arichanna gaschkevitchii
Heliothis virescens
Tabanus nigrovittatus
Dasycottus setiger
Benthalbella  infans
Camponotus abdominalis
Cynops pyrrhogaster
Bodianus bilunnulatus
Anas  platyrhynchos
Thylamys elegans
Papilio achaon
Psettichthys melanostictus
Pteropus dasymallus
Fabriciana adippe
Melanochromis auratus
Hypsurus caryi
Pilumnus sayi
Philanthus triangulum
Bombus impatiens
Stylopandalus richardi
Chromis hanui
Sphyraena barracuda
Hemimysis anomala
Mulloidichthys flavolineatus
Sergia maximus
Acanthephyra microphthalma
Paralabrax clathratus
Pipilo fuscus
Pleurogrammus azonus
Myrmecia croslandi
Sphoeroides annulatus
Daphnia magna
Mamestra brassicae
Haplochromis nyererei
Bombus terrestris terrestris
Ichthyocossus ovatus
Acanthephyra curtirostris
Luicola cruciata
Anolis cristatellus
Xenodermichthys copei
Bombus distinguendis
Gonostoma atlanticum
Chlamydera nuchalis
Lutzomyia longipalpis
Geoclemys reevesii
Ligia exotica
Chauliodus sloanei
Sargocentron tiere
Melipona quadrifasciata
Anoplogaster cornuta
Astacus leptodactylus
Ichneumon stramentarius
Nematoscelis megalops
Pygopleurus israelitus
Hippoglossoides herzensteini
Notonecta undulata
Melecta punctata
Cheirogaleus medius
Antimora rostrata
Vanessa cardui
Tarsipes rostratus
Siproeta stelenes
Enophrys bison
Neomysis mercedis
Pholidapus dybowsky
Cottocomephorus grewingki
Gekko gekko
Deilephila elpenor
Gennadas valens
Passer domesticus
Haplochromis ishmaeli
Pavo cristatus
Mora moro
Hotaria parvula
Paravespula germanica
Zebrasoma flavescens
Megalocottus  platycephalus
Zebrasoma velifer
Agraulis vanillae
Mesoplodon bidens
Atherinops affinis
Spermophilus tridecemline
Metriaclima benetos
Bathysaurus mollis
Speyeria leto
Adoxophyes orana
Chlorophthalmus sp.
Batrachocottus multiradiatus
Funchalia villosa
Dardanus fucosus
Stichaeus grigorjewi
Ctenomys magellanicus
Toxotes chatareus
Plesiopenaeus armatus
Colinus virginianus
Heliconius melpomene
Salmo trutta
Eristalis arbustorum
Myrmecia gulosa
Orectolobus ornatus
Hemigraspus edwardsi
Melanochromus vermivorous
Rouleina aderensis
Lutjanus argentimaculatus
Parnara guttata
Leocottus kesslerii
Vulpes lagopus
Oxaea flavescens
Buteo jamaicensis
Belone belone
Hippocampus subelongatus
Nothoprocta cinerascens
Acanthurus nigroris
Rhea americana
Damalichthys vacca
Callinectes sapidus
Archaeoprepona demophon
Zalembius rosaceus
Haptosquilla trispinosa
Panorpa cognata
Aulostomus chinensis
Heliconius erato petiverana
Callipepla californica
Poecilia latipinna
Neomysis integer
Coenobita clypeatus
Hemigrapsus sanguinensis
Pleuronectes herzensteini
Bero elegans
Bombus morio
Mustelus henlei
Oncorhynchus mykiss
Salmo irideus
Seriphus politus
Searsia koefoedi
Sympetrum sp.
Nothoprocta perdicaria sanborni
Sargocentron microstoma
Platyberyx opalescens
Daubentonia madagascariensis 
Bombyx mandarina
Scomberomorus sierra
Struthio camelus
Clupea pallasii
Tarsius bancanus
Rana cancrivora
Platichthys flesus
Barbantus curvifrons
Lestrimelitta limao
Nematobrachion sexspinosus
Libinia emarginata
Ephestia cautella
Menippe mercenaria
Trichoplusia ni
Cleisthenes herzensteini
Scardinius erythrophthalmus
Danaus plexipus
Heliconius charithonia
Chaetodon unimaculatus
Pundamilia luanso
Petrolisthes diogenes
Cerceris rybynensis
Valenciennellus tripunctulatus
Apogon kallopterus
Columba livia
Acantholumpenus mackayi
Molothrus ater
Embiotoca jacksoni
Macroglossum stellatarum
Hexagrammos stelleri
Tabanus bromius
Pullosquilla thomassini
Ctenomys talarum
Liparis pulchellus
Pholis laeta
Polistes dominulus
Carcharhinus limbatus
Hemidactylus garnotii
Balanus balanoides
Sarda chiliensis
Ichneumon stramentrius
Lethrinops parvidens
Microstomus kitt
Anolis extremus
Dineutus ciliatus
Panulirus argus
Manduca sexta
Bombus terrestris dalmatinus
Trichechus manatus
Typhlops hypomethes
Vespa crabro
Rhamphocottus richardsonii
Photostomias braueri
Acanthephyra stylorostratis
Dimidiochromis compressiceps
Micrometrus aurora
Pachystomias microdon
Pristiapogon kallopterus
Coturnix coturnix
Gobiesox maecmdricus
Holmesimysis costata
Fulgeochlizus bruchii
Periplaneta americana
Pyrophorus divergens
Metriaclima emmiltos
Tursiops truncates
Cercopithecus petaurista
Payasandisia archon
Parophrys vetulus
Pergavor aspricaudus
Chelostoma florisomne
Masticophis flagellum
Melanphaes canthomus
Evermannella balbo
Schistocerca gregaria
Pseudopleuronectes herzensteini
Pungitius pungitius
Howella sherborni
Galago crassicauda
Triglopsis quadricornis
Gymnothorax reticularis
Sternoptyx diaphana
Acipenser baerii
Cephonodes hylas
Rhadinesthes decimus
Lysiosqullia sulcata
Synaphobranchus kaupii
Graphium sarpedon
Lutjanus malabaricus
Onitis alexis
Ischnura elegans
Anas platyrhynchus
Furcifer pardalis
Scorpaenichthys marmoratus
Luciola lateralis
Nectamia  Savayensis
Bombus dahlbomii
Urocerus gigas
Danaus plexippus
Simulium sp.
Romalea microptera
Chaceon affinis
Nannobrachium atrum
Penaeus duororum
Corvus frugilegus
Asteropteryx semipunctatus
Aglais urticae
Crangon allmani
Cottus kessleri
Scylla serrata
Notostomus gibbosus
Citellus lateralis
Luciola sp.
Chromis vanderbilti
Abramis brama
Spalacopus cyanus
Ichneumon spp.
Naso lituratus
Artedius meanyi
Acipenser medirostrus
Stichaeus grigorjevi
Notonecta insulata
Phronima sedenteria
Gonodactylus smithii
Ictalurus catus
Libellula pulchella
Enophrys diceraus
Hypomesus pretiosus
Hoplostethus mediteranus
Sergestes corniculum
Spermophilus tridecemlineatus
Lepisosteus platostomus
Pasiphaea suspirosum
Rhithropanopeus harrisii
Scenopoetes dentirostris
Oxea flavescens
Argynnis ruslana
Pasiphaea multidentata
Gonepteryx aspasia
Raja binoculata
Anolis krugi
Lucania goodei
Bowmaniella sp.
Corixa punctata
Cyttopsis roseus
Frankliniella occidentalis
Blepsias cirrhosus
Meningodora vesca
Myripristis berndti
Systellaspis braueri
Amyelois transitella
Lasioderma serricorne
Procambarus milleri
Drosophilia melanogaster
Talitrus saltator
Photinus macdermotti
Limulus polyphemus
Allograpta obliqua
Lemur catta
Canis lupus familiaris
Trachyscorpia cristulata
Anolis bahorucoensis
Anguilla bicolor
Lyopsetta exilis
Larus atricilla
Leiothrix lutea
Sebastes auriculatus
Anoplarchus purpurescens
Carlito syrichta
Nymphalis xanthomelas
Tupaia glis
Gobius niger
Sus scrofa
Stylocheiron maximum
Bombus fervidus
Lutjanus adetii
Acipenser medirostris
Euphausia superba
Poecilia parae
Lissotriton vulgaris
Mysis relicta sp.II
Haplochromis piceatus
Pundamilia au
Rana catesbeiana
Photinus pyralis
Anas platyrhynchos domesiticus
