Aphanopus  carbo
Chromis ovalis
Howella sherborni
Malacosteus niger
Coryphaenoides guntheri
Leptograspus variegatus
Pasiphaea suspirosum
Microgadus proximus
Metriaclima emmiltos
Asteropteryx semipunctatus
Pyrearinus termitilluminans
Triglopsis quadricornis
Anas platyrhynchos domesiticus
Anchoa mitchilli
Cercopithecus diana
Bothragonus swani
Libelloides macaronius
Glaucomys sabrinus
Bombus hypnorum
Anolis krugi
Photonectes braueri
Ichneumon stramentrius
Dendrochirus zebra
Neope goschkevitschii
Mysis relicta sp.II
Lymantria dispar
Bolinichthys indicus
Canthidermis maculatus
Argynnis ruslana
Payasandisia archon
Hydrolagus mirabilis
Synathedon tipulif ormis
Larus atricilla
Cyrtopodion kotschyi
Hymenodora frontalis
Nomada albogutata
Plesiopenaeus armatus
Holtbyrnia spinithara
Oxea flavescens
Rynchophorus ferrugineus
Pasiphaea chacei
Cyphonocerus rufficolis
Hemigrapsus sanguinensis
Hexagrammos octagrammus
Solenopsis saevissima
Gonostoma bathyphilum
Rhagoph-thalmus ohbai
Sergestes curvatus
Clupea pallasii
Serrivomer lanceolatoides
Acanthurus nigroris
Nematobrachion sexpinosum
Balanus balanoides
Lutjanus fulviflamma
Neomysis mercedis
Mysis salemaai
Pyrocoelia sp.
Formica cunicularia
Sergestes tenuiremis
Salmo trutta trutta
Cottus sp.
Scorpaena porcus
Pteropus dasymallus
Scopelogadus beanii
Lampanyctus crocodilus
Blicca bjoerkna
Merluccius productus
Portunus spinimanus
Eristalis arbustorum
Coronis scolopendra
Rhithropanopeus harrisii
Sergia maximus
Paracottus knerii
Trachemys scripta
Cyrtodiopsis dalmanni
Actias artemis aliena
Lobianchia gemellarii
Oplophorus gracilirostris
Mantispa styriaca
Geomys bursarius
Rhinomuraena quaesita
Engraulis mordax
Troides aeacus formosanum
Elephas maximus
Chromis punctipinnis
Mysis relicta sp.IV
Trematomus hansoni
Delia radicum
Papio papio
Cloridopsis dubia
Mustelus henlei
Ochlodes venata
Lissotriton vulgaris
Canis lupus familiaris
Anolis conspersus
Ascelichthys rhodorus
Hemigraspus edwardsi
Bodianus bilunnulatus
Icelinus borealis
Bonapartia pedalioita
Hoplostethus mediterraneus mediterraneus
Parupeneus multifasceatus
Anartia jatrophae
Chelidonichthys lucernus
Pandalus montagui
Rana catesbeiana larvae
Myoxocephalus quadricornis
Celastrina argiolus
Artedius meanyi
Xiphister mucosus
Squalus suckleyi
Cambarellus schufeldtii
Echiostoma barbatum
Chiasmodon niger
Tetrapturus audax
Trygonorrhina fasciata
Artemia salina
Diaphus lucidus
Hemisquilla ensigera
Uca pugnax
Jasus edwardsii
Procottus jettelesii
Lepidion eques
Pristiapogon kallopterus
Hexagrammos decagrammus
Lipophrys pholis
Plesionika martia
Typhlonectes natans
Petrolisthes elongates
Estrilda troglodytes
Scylla serrata
Margrethia obtusirostra
Ichthyococcus ovatus
Lutjanus bohar
Otolemus cassicaudatus
Archaeomysis grebnitzkii
Argyropelecus gigas
Carabus nemoralis
Radiicephalus elongatus
Upeneus tragula
Portunus spinimanis
Anthidium manicatum
Anolis gundlachi
Bombus lapidarius
Melipona quadrifasciata
Pipilo fuscus
Nothoprocta cinerascens cinerascens
Nectamia  Savayensis
Myoxocephalus brandti
Melanostigma pammelas
Phodopus sungorus
Nymphalis xanthomelas
Octopus tetricus
Erythrocebus patas
Spermophilus beecheyi
Thamnophis sirtalis sirtalis
Argyropelecus hemigymnus
Mysis diluviana
Miopithecus talapoin
Nothoprocta cinerascens
Amandina fasciata
Cleisthenes herzensteini
Lepisosteus platostomus
Aetobatus narinari
Urobatis jamaicensis
Balanus eburneus
Adoxophyes orana
Gymnocanthus pistilliger
Cataglyphis bicolor
Cerceris rybyensis
Limenitis archippus
Meganyctiphanes norvegica
Argentina silus
Electrona risso
Hoplostethus atlanticus
Photuris potomaca
Cercopithecus petaurista
Coturnix coturnix
Cambarus ludovicianus
Gonodactylus smithii
Sergestes corniculum
Corvus frugilegus
Leptocottus armatus
Rhynchobatus australiae
Rana cracrivora
Rhinocheilus lecontei
Lonchura malabarica
Benthalbella infans
Chlorocebus aethiops
Cyrtopodion fedtschenkoi
Papilio aegeus
Bathophilus brevis
Borostomias panamensis
Acantholumpenus mackayi
Stylopandalus richardi
Rhizoprionodon taylori
Rouleina attrita
Turdus merula
Neogonodactylus curacaoensis
Taeniura lymma
Microcottus sellaris
Praunus flexuosus
Stichaeus nozawae
Myoxocephalus stelleri
Philanthus triangulum
Danio aequipinnatus
Sufflamen bursa
Rhea  americana
Amadina fasciata
Ameiurus melas
Anadevidia peponis
Pachystomias microdon
Stylephorus chordatus
Sygnathus leptorhynchus
Orectolobus maculatus
Callonychium petuniae
Pholis omata
Drosophilia melanogaster
Haplochromis azurea
Sepia plangon
Pyrophorus divergens
Scorpaenichthys marmoratus
Melamphaes suborbitalis
Zebrasoma flavescens
Nematobrachion sexspinosus
Dicrolene intronigra
Onitis alexis
Procyon lotor
Curtos sp.
Bombus monticola
Bero elegance
Melecta punctata
Bathylagus euryops
Hepatus epheliticus
Chaetodon kleinii
Centrophorus squamosus
Phytichthys chirus
Syrphus sp.
Conocara salmonea
Dardanus fucosus
Euprymna tasmanica
Pseudotropheus tropheops
Scenopoetes dentirostris
Cirrhilabrus solorensis
Aeshna tuberculifera
Chauliodus sloanei
Pilumnus sayi
Abramis ballerus
Haematopota sp.
Sympetrum rubicundulum
Leptograpsus variegatus
Zoramia  Viridiventer
Eristalis tenax
Odontodactylus havanensis
Sasakia charonda
Callambulyx tatarinovii
Thermonectus maromoratus
Thysanoessa raschii
Lutjanus sebae
Procottus jettelesi
Carcinus maenas
Sargocentron microstoma
Cottocomephorus grewingki
Anoplarchus purpurescens
Lutjanus argentimaculatus
Bathylagus longirostris
Typhlops platycephalus
Taaningichthys bathyphilus
Rhinobatos lentiginosus
Micrometrus minimus
Squilla empusa
Hemilepidotus hemilepidotus
Chauliodus sloani
Antheraea polyphemus
Tribolodon hakonensis
Phycis blennoides
Pundamilia red head
Neonesthes capensis
Sphyrna tiburo
Dendroctonus pseudotsugae
Gonepteryx aspasia
Benthalbella  infans
Polyipnus polli
Cicindela japonica
Phalaenoptilus nuttallii
Enophrys bison
Abramis brama
Tenthredo scrophulariae
Sergestes arcticus
Strophidon sathete
Ahliesaurus berryi
Ichthyocossus ovatus
Batrachocottus baicalensis
Metriaclima melabranchion
Scaphirhynchus albus
Naso unicornis
Parupeneus multifasciatus
Hippocampus barbouri
Myoxocephalus jack
Asterocampa celtis
Thysanopoda orientalis
Sebastes flavidus
Ips paraconfusus
Antimora  rostrata
Gaidropsarus mediterraneus
Sergia robustus
Lepidorhombus boscii
Hemimysis anomala
Xenos peckii
Pleurogrammus azonus
Meningodora miccyla
Penaeus penicillatus
Plexippus validus
Benthosema suborbitale
Notonecta irrorata
Neochmia modesta
Osmia rufa
Dermogenys pusilla
Salmo irideus
Trichodon trichodon
Chirolophis japonicus
Stichaeus grigorjevi
Palaemonetes paladosus
Necturus maculosus
Carcharhinus limbatus
Hippoglossoides herzensteini
Photuris lucicrescens
Leiothrix lutea
Nannobrachium atrum
Artedius fenestralis
Neoniphon aurolineatus
Xenodermichthys  copei
Notostomus elegans
Ailuroedus crassirostris
Poecilia reticulata trinidad
Anax junius
Blatta orientalis
Gilbertidia sigalutes
Nomada alboguttata
Elops  saurus
Cancer irroratus
Tarentola chazaliae
Opsanus tau
Diaphus holti
Coryphaenoides carapinus
Lestrimelitta limao
Lutjanus carponotatus
Uca thayeri
Scomberomorus sierra
Corvus  frugilegus
Evermannella balbo
Aulostomus chinensis
Chimaera monstrosa
Proxylocopa sp.
Jordania zonope
Epicopeia hainesii
Comephorus dybowskii
Cambarellus ludovicianus
Synaphobranchus kaupi
Gonostoma elongatum
Bibio sp.
Abyssocottus korotneffi
Sebastolobus alascanus
Asprocottus herzensteini
Chamaeleo dilepis
Dasyatis fluviorum
Melanonus zugmayeri
Rhinella [=Bufo] marinus
Coryphaenoides profundicolus
Lepomis macrochirus
Anoplogaster cornuta
Acanthropagrus major
Rhadinesthes decimus
Odontodactylus scyllarus
Dascyllus albisella
Anolis bahorucoensis
Rhacochilus vacca
Cymatogaster aggregata
Neomysis integer
Hapalochlaena maculosa
Gymnocanthus intermedius
Cercopithecus cephus
Porogradus sp.
Batrachocottus nicolskii
Sympetrum sp.
Chauliodus danae
Dromiceius novae-hollandae
Lutjanus kasmira
Coenobita rugosa
Gennadas valens
Gnathophausia ingens
Hipposideros speoris
Schwarziana sp.
Minois dryas
Clevelandia ios
Leontopithecus rosalia rosalia
Tenodera sinensis
Himantura fai
Pieris rapae crucivora
Hariotta raleighana
Ptilichthys goodei
Nasua nasua
Acanthephyra curtirostris
Anthophora acervorum
Ptychozoon lionotum
Platyberyx opalescens
Scaphirhynchus platorynchus
Asterocampa leilia
Forcipiger flavissimus
Haplonycteris fischeri
Bentheogennema pasithea
Lasioglossum albipes
Samia cyntia ricini
Marosatherina ladigesi
Xiphister atropurpureus
Pygopleurus israelitus
Siproeta stelenes
Anolis lineatopus
Hoplostethus mediteranus
Sphyrna lewini
Scardinius erythrophthalmus
Thysanopoda acutifrons
Tabanus bromius
Peprilus stimillimus
Chromis vanderbilti
Blepsias cirrhosus
Deania calcea
Papilio protenor
Streptopelia roseogrisea
Kali macrodon
Lycaena dorcas
Callistoctopus dierythraeus
Liparis dennyi
Polygonia c-aureum
Pervagor aspricaudus
Alouatta sp.
Photostomias guernei
Anolis evermanni
Sternoptyx pseudobscura
Sesarma cinereum
Simulium sp.
Buteo jamaicensis
Cebus sp.
Synaphobranchus kaupii
Anolis stratulus
Systellaspis cristata
Ambystoma tigrinum adult
Rhabdamia  Gracilis
Speyeria leto
Aglais urticae
Sargocentron tiere
Hemidactylus platyurus
Spermophilus tridecemline
Lutjanus quinquelineatus
Luciola sp.
Echinomacrurus mollis
Formica polyctena
Pholis laeta
Ovipales stephensoni
Eurypharynx pelecanoides
Lysiosqullia sulcata
Samia cynthia ricini
Pseudotropheus  acei
Ichthyophis cf. kohtaoensis
Antimora rostrata
Boa constrictor
Ambystoma tigrinum hatchling
Carcharhinus acronotus
Saguinus midas
Hypsurus caryi
Cebus spp.
Gobiusculus flavescens
Spalacopus cyanus
Meningodora vesca
Eigenmannia virescens
Callithrix jacchus jacchus
Malacocephalus laevis
Sebastes empaeus
Janicella spinacauda
Systellaspis debilis
Trigla cuculus
Xiphydria camelus
Ictalurus catus
Acipenser transmontanus
Python regius
Syngnathus leptorhynchus
Lutjanus adetii
Chaceon affinis
Deilephila elpenor
Pullosquilla litoralis
Notostomus gibbosus
Opisthoproctus grimaldii
Abudefduf abdominalis
Locusta migratoria
Ronquilus jordani
Megalocottus platycephalus
Oligocottus maculosus
Heliothis virescens
Axoclinius carminalis
Trachyscorpia cristulata
Dolichovespula norwegica
Myrmecia croslandi
Praunus inermis
Zenaida macroura
Citharichthys sordidus
Liparis  greeni
Cicindela chinensis
Urocerus gigas
Gonostoma denudatum
Pasiphaea multidentata
Limenitis archippus floridensis
Fabriciana adippe
Limenitis lorquini
Platytroctes apus
Halosauropsis macrochir
Ichneumon sp.
Ichneumon stramentarius
Menippe mercenaria
Ichneumon spp.
Photinus versicolor
Xiphister  atropurpureus
Lucidina biplagiata
Pleuroncodes planipes
Sergestes similis
Oplophorus spinosus
Arenaeus cribrarius
Ephestia cautella
Asterropteryx semipunctata
Lutjanus malabaricus
Tupaia glis
Panopeus herbstii
Mirza coquereli
Searsia koefoedi
Idiosepius notoides
Trachurus symmetricus
Paromola cuvieri
Anolis cristatellus
Caranx hippos
Artedius fenestrates
Nansenia longicauda
Bibio marci
Holmesimysis costata
Hymenodora glacialis
Bombus morio
Zaniolepis frenata
Gymnura australis
Sebastes caurinus
Alima pacifica
Artedius harringtoni
Sesarma reticulatum
Megalocottus  platycephalus
Hippocampus subelongatus
Rhea americana
Photinus collustrans
Pagurus pollicaris
Coregonus lavaretus
Sphodromantis sp.
Paravespula germanica
Chaetodon unimaculatus
Coturnix  japonica
Homarus gammarus
Bowmaniella sp.
Lampanychtus ater
Coregonus clupeoides
Zalembius rosaceus
Talismania antillarum
Albula vulpes
Melanotaenia maccullochi
Saguinus fuscicollis
Calliphora vicina
Notoscopelus resplendens
Neomysis americana
Myotis velifer
Danio malabaricus
Batrachocottus nikolskii
Tramitichromis  intermedius
Acipenser medirostris
Tenthredo campestris
Rinocetes nasutus
Psychrobites paradoxus
Anolis pulchellus
Trachurus mediterraneus
Tinca tinca
Cottinella boulengeri
Acerina cernua
Gonodactylopsis spongicola
Mulloidichthys flavolineatus
Bero elegans
Arichanna gaschkevitchii
Exorista japonica
Opisthocentrus ocellatus
Puffinus puffinus
Trigona spinipes
Paralabrax clathratus
Ictalurus melas
Aeschna cyanea and mixta
Lipophyrs pholis
Acanthephyra smithi
Pandalus borealis
Ischnura heterosticta
Microstoma microstoma
Porichthys notatus
Chromis hanui
Bombus distinguendis
Otus asio
Stylocheiron maximum
Ballerus ballerus
Hermeuptychia hermes
Hexagrammos stelleri
Phidippus regius
Barbantus curvifrons
Coryphaenoides leptolepis
Damalichthys vacca
Chromis verater
Sigmops bathyphilus
Pergavor spilosoma
Gonostoma atlanticum
Pundamilia luanso
Orectolobus ornatus
Allograpta obliqua
Lycaena phlaeas
Pervagor spilosoma
Toxomerus marginatus
Eumicrotremus orbis
Ctenophorus decresii
Panopeus obesus
Poromitra megalops
Carcharhinus leucas
Schwarziana sp
Anomala corpulenta
Hippocampus angustus
Junonia coenia
Loris tardigradus
Ostracion meleagris
Pundamilia au
Haplochromis piceatus
Histiobranchus bathybius
Photostylus sp.
Sebastes maliger
Hyperprosopon argenteum
Loligo forbesii
Glossina moritans moritans
Jordanella floridae
Haplochromis ishmaeli
Myoxocephalus jaok
Callipepla californica
Pomacentrus melanochir
Photinus scintillans
Enophrys diceraus
Papilo bianor
Gonodactylellus affinis
Sphoeroides annulatus
Parvus  caeruleus
Acanthopagrus butcheri
Stomias boa
Podothecus acipenserinus
Leptotyphlops sp.
Tabanus nigrovittatus
Vespula germanica
Sphyraena barracuda
Puffinus pacificus
Spodoptera exempta
Eustomias obscurus
Lampanyctus alatus
Limenitis archippus astyanax
Cataglyphis aenescens
Notonecta glauca
Dimecoenia spinosa
Valenciennellus tripunctulatus
Clinocottus globiceps
Sternoptyx diaphana
Aotus trivirgatus
Orconectes virilis
Gennadas sp.
Phalaenoides glycinae
Camponotus blandus
Sardinops sagax
Hemidactylus turcicus
Stomias atriventer
Anguilla bicolor
Odontodactylus brevirostris
Alburnus alburnus
Vespo crabro
Myrmecia vindex
Liparis pulchellus
Melanphaes canthomus
Pundamila sp.
Gecarcinus lateralis
Libellula needhami
Hyperoplus lanceolatus
Penaeus duororum
Sagiunus midas
Lonchura maja
Bombus terrestris sassaricus
Carabus auratus
Sebastes auriculatus
Dasycottus setiger
Gasterosteus sp.
Lepilemur ruficaudatus
Hemicordulia tau
Ctenomys talarum
Corixa punctata
Alepocephalus australis
Toxotes chatareus
Argiope amoena
Coroebus undatus
Naso lituratus
Limnocottus griseus
Hexagrammos octogrammus
Dromiceius novae-hollandiae
Kuhlia sandvicensis
Ctenophorus ornatus
Micrometrus aurora
Chlorophthalmus sp.
Urocyon littoralis
Embiotoca lateralis
Eutrigla gurnardus
Libellula pulchella
Bodianus bilunulatus
Anolis extremus
Bentheogennema intermedia
Idiacanthus fasciola
Parantica sita
Rhinoptera bonasus
Bombus terrestris dalmatinus
Phassus excrescens
Tyrannochromis macrostoma
Coenobita clypeatus
Pyrophorus punctatissimus
Spicara smaris
Gobiesox maecmdricus
Archaeopropona demophon
Acanthephyra stylorostratis
Andrena florea
Gonostoma bathyphilium
Astacus leptodactylus
Spirinchus thaleichthys
Dolichonyx orzivorous
Gymnothorax reticularis
Gobiesox maeandricus
Diaphus rafinesquei
Diaphus rafinesqueii
Raja binoculata
Zebrasoma velifer
Mysis relicta
Zanclus cornutus
Epigonus  telescopus
Coryphopterus nicholsii
Gymnothorax favagineus
Ceratoscopelus warmingii
Zoramia  Leptacanthus
Calappa flammea
Sarda chiliensis
Chelostoma florisomne
Partamona helleri
Eulemur fulvus fulvus
Sericulus crysocephalus
Vinciguerria nimbaria
Polygonia c-album
Anilius scytale
Lethrus apterus
Photostomias braueri
Seriphus politus
Hemigrapsus edwardsii
Pergavor aspricaudus
Neoniphon argenteus
