Aphanopus  carbo
Ampelophaga rubiginosa
Pleuroncodes planipes
Ephestia cautella
Asterropteryx semipunctata
Panopeus herbstii
Mirza coquereli
Idiosepius notoides
Paromola cuvieri
Caranx hippos
Buteo buteo
Bombus morio
Zaniolepis frenata
Megalocottus  platycephalus
Pagurus pollicaris
Platichthys stellatus
Chaetodon unimaculatus
Gallus  gallus domesticus
Aedes aegypti
Zalembius rosaceus
Talismania antillarum
Albula vulpes
Plectroglyphidodon johnstonianus
Bombyx mori
Melanotaenia maccullochi
Calliphora vicina
Sargocentron spiniferum
Platysaurus broadleyi
Batrachocottus nikolskii
Tramitichromis  intermedius
Tenthredo campestris
Rinocetes nasutus
Psychrobites paradoxus
Mus musculus
Syrphus balteatus
Trachurus mediterraneus
Gonodactylopsis spongicola
Gonodactylaceus falcatus
Heliconius hecale
Bero elegans
Arichanna gaschkevitchii
Opisthocentrus ocellatus
Paralabrax clathratus
Mesoplodon bidens
Ictalurus melas
Lipophyrs pholis
Acanthephyra smithi
Trematomus loennbergii
Cupiennius salei
Porichthys notatus
Otus asio
Carcharhinus obscurus
Stylocheiron maximum
Metriaclima zebra
Ballerus ballerus
Hermeuptychia hermes
Hexagrammos stelleri
Drosophila melanogaster
Phidippus regius
Macaca mulatta
Barbantus curvifrons
Damalichthys vacca
Chromis verater
Sigmops bathyphilus
Pergavor spilosoma
Lucania goodei
Pundamilia luanso
Gonostoma atlanticum
Oncorhynchus tshawytscha
Toxomerus marginatus
Oncorhynchus mykiss
Strix aluco
Panopeus obesus
Carcharhinus leucas
Anomala corpulenta
Thylamys elegans
Gasterosteus acuelatus
Mylochromis lateristriga
Haplochromis piceatus
Histiobranchus bathybius
Photostylus sp.
Hyperprosopon argenteum
Lutjanus erythropterus
Myoxocephalus jaok
Callipepla californica
Photinus scintillans
Microstomus pacificus
Gonodactylellus affinis
Sphoeroides annulatus
Otolemur crassicaudatus
Lycaena rubidus
Acanthopagrus butcheri
Podothecus acipenserinus
Tabanus nigrovittatus
Xenopus laevis
Spodoptera exempta
Lampanyctus alatus
Potamotrygon motoro
Valenciennellus tripunctulatus
Clinocottus globiceps
Sternoptyx diaphana
Aotus trivirgatus
Phalaenoides glycinae
Camponotus blandus
Melopsittacus undalatus
Paravespula vulgaris
Hemidactylus turcicus
Stomias atriventer
Odontodactylus brevirostris
Hypsiglena torquata
Myrmecia vindex
Melanphaes canthomus
Pundamila sp.
Libellula needhami
Penaeus duororum
Mamestra brassicae
Sagiunus midas
Lonchura maja
Ctenomys talarum
Pseudopleuronectes americanus
Naso lituratus
Hexagrammos octogrammus
Ctenophorus ornatus
Micrometrus aurora
Chlorophthalmus sp.
Lutzomyia longipalpis
Urocyon littoralis
Ovis aries
Bodianus bilunulatus
Anolis extremus
Idiacanthus fasciola
Rhinoptera bonasus
Coenobita clypeatus
Pyrophorus punctatissimus
Lepidopsetta polyxystra
Spicara smaris
Gobiesox maecmdricus
Andrena florea
Astacus leptodactylus
Gobiesox maeandricus
Diaphus rafinesquei
Diaphus rafinesqueii
Uca pugilator
Coryphopterus nicholsii
Gymnothorax favagineus
Ceratoscopelus warmingii
Otolemur garnettii
Calappa flammea
Sarda chiliensis
Chelostoma florisomne
Limenitis weidemeyerii
Partamona helleri
Schistocerca gregaria
Eulemur fulvus fulvus
Sericulus crysocephalus
Vinciguerria nimbaria
Anilius scytale
Seriphus politus
Hemigrapsus edwardsii
Metriaclima benetos
Oreocromis niloticus
Palaemonetes vulgaris
Bombus  impatiens
Orconectes rusticus
Notonecta insulata
Rouleina maderensis
Spheniscus humboldti
Pavo cristatus
Ammodytes hexapterus
Liparis greeni
Centroswcymnus coleolepis
Zoarces viviparus
Gryllus bimaculatus
Nautichthys oculofasciatus
Clibanarius vittatus
Lepidion  eques
Tyto alba
Acanthurus achilles
Diplodus annularis
Limulus polyphemus
Apogon kallopterus
Astacus fluviatus
Meleagris gallopavo
Chlamydera nuchalis
Chlorops sp.
Potos flavus
Limanda limanda
Bicyclus anynana
Euphausia pacifica
Lonchura striata
Danaus plexippus
Rangifer tarandus
Loligo subulata
Rouleina aderensis
Cataglyphis bombycinus
Phronima sedenteria
Pleurogrammus  azonus
Stichaeus grigorjewi
Nephrops norvegicus
Caelorhinchus labiatus
Typhlops hypomethes
Bombus hortorum
Sergia phorcus
Bos taurus
Crotaphytus dickersonae
Copadichromis borleyi
Panorpa cognata
Mesocricetus auratus
Panopeus herbtii
Bubo virginianus
Avahi laniger
Mysis mixta
Makaira nigricans
Rhamphocottus richardsonii
Chlamydera maculata
Anas playrhnchos domesticus
Lonchura maga
Bassozetus compressus
Batrachocottus multiradiatus
Diaphus dumerilli
Ambystoma tigrinum aquatic
Plocepasser mahali
Notonecta undulata
Furcifer pardalis
Metriaclima livingstonii
Ichthyophis kohtaoensis
Melipona marginata
Conocara macroptera
Coccinella septempunctata
Bombyx mandarina
Cyttopsis rosea
Ischnura elegans
Pagurus annulipes
Bassozetus compresis
Osmerus dentex
Anableps anableps
Limnocottus pallidus
Limanda aspera
Scirtothrips dorsalis
Acanthropagrus berda
Triglops pingelii
Poecilia reticulata cumana
Triakis semifasciata
Colletes fulgidus
Protomelas taeniolatus
Talitrus saltator
Octopus australis
Loligo pealii
Mullus barbatus
Carcharhinus melanopterus
Rimicaris exoculata
Pagurus longicarpus
Melanochromis  vermivorus
Gobius paganellus
Saimiri sciureus
Ctenomys magellanicus
Vulpes vulpes
Pithecia pithecia
Pseudosquilla ciliata
Haptosquilla trispinosa
Pieris melete
Cephonodes hylas
Sephanoides sephanoides
Euphausia superba
Apodichthys flavidus
Hemitripterus villosus
Cynops orientalis
Nothoprocta perdicaria
Blatella germanica
Oxaea flavescens
Condylostylus japonicus
Nematobrachion boopis
Marumba sperchius
Bombus terrestris terrestris
Lyopsetta exilis
Crangon allmani
Anas  platyrhynchos
Crenicichla frenata
Zebrasoma veliferum
Alosa kessleri
Perca fluviatilis
Agonopsis vulsa
Chaetodon kleini
Panorpa communis
Meleagris  galoparvo
Plagiotremus rhinorhynchos
Melanochromis vermivorus
Bellocia  koefoedi
Spermophilus lateralis
Aulorhynchus flavidus
Thomomys bottae
Canthidermis maculata
Stichaeopsis nana
Poromitra capito
Psychrolutes paradoxus
Nematoscelis megalops
Cerceris rybynensis
Bombus terrestris
Ptilorhynchus violaceus
Bothragonus  swani
Bathylagus greyae
Homarus americanus
Saguinus oedipus
Sus scrofa
Etroplus suratensis
Mora moro
Oplophorus sp.
Mesocricetus brandti
Poecilia formosa
Bythograea thermydron
Chromis ovalis
Hotaria parvula
Coryphaenoides guntheri
Leptograspus variegatus
Pasiphaea suspirosum
Microgadus proximus
Triglopsis quadricornis
Microcebus murinus
Anas platyrhynchos domesiticus
Anchoa mitchilli
Cercopithecus diana
Vespula vulgaris
Vanessa cardui
Pseudotropheus acei
Libelloides macaronius
Photonectes braueri
Lepidopsetta bilineata
Dendrochirus zebra
Neope goschkevitschii
Lymantria dispar
Payasandisia archon
Parage aegeria
Synathedon tipulif ormis
Cyrtopodion kotschyi
Hymenodora frontalis
Nomada albogutata
Oxea flavescens
Cyphonocerus rufficolis
Hemigrapsus sanguinensis
Atherina boyeri
Hexagrammos octagrammus
Clupea pallasii
Heliconius charithonia
Dimidiochromis compressiceps
Serrivomer lanceolatoides
Pyrocoelia sp.
Formica cunicularia
Sciurus carolinensis
Sergestes tenuiremis
Salmo trutta trutta
Galleria mellonella
Musca domestica
Pteropus dasymallus
Trichechus manatus
Coronis scolopendra
Rhithropanopeus harrisii
Caprimulgus europaeus
Micropterus salmoides
Paracottus knerii
Trachemys scripta
Inachis io
Actias artemis aliena
Lobianchia gemellarii
Oplophorus gracilirostris
Mantispa styriaca
Engraulis mordax
Chromis punctipinnis
Mysis relicta sp.IV
Trematomus hansoni
Delia radicum
Mustelus henlei
Carcharhinus amblyrhynchos
Ochlodes venata
Lissotriton vulgaris
Ascelichthys rhodorus
Hemigraspus edwardsi
Bodianus bilunnulatus
Hoplostethus mediterraneus mediterraneus
Parupeneus multifasceatus
Phalacrocorax carbo
Cavia porcellus
Myoxocephalus quadricornis
Embiotoca jacksoni
Artedius meanyi
Cyphocottus eurystomus
Todarodes pacificus
Squalus suckleyi
Chiasmodon niger
Tetrapturus audax
Diaphus lucidus
Hemisquilla ensigera
Uca pugnax
Jasus edwardsii
Cheirogaleus major
Procottus jettelesii
Lepidion eques
Hexagrammos decagrammus
Lipophrys pholis
Typhlonectes natans
Scylla serrata
Margrethia obtusirostra
Otolemus cassicaudatus
Archaeomysis grebnitzkii
Bombus fervidus
Speotyto cunicularia
Anthidium manicatum
Portunus spinimanis
Sepia officinalis
Bombus lapidarius
Nothoprocta cinerascens cinerascens
Melanostigma pammelas
Cydia strobilella
Octopus tetricus
Erythrocebus patas
Miopithecus talapoin
Amandina fasciata
Cleisthenes herzensteini
Urobatis jamaicensis
Balanus eburneus
Aristostomias tittmani
Haplochromis nyererei
Limenitis archippus
Neominois ridingsii
Photuris potomaca
Enteroctopus dofleini
Cambarus ludovicianus
Sergestes corniculum
Leptocottus armatus
Rhinocheilus lecontei
Cydia pomonella
Benthalbella infans
Cyrtopodion fedtschenkoi
Gryllus bimaculatus adult
Bathophilus brevis
Stizostedion lucioperca
Stylopandalus richardi
Rouleina attrita
Taeniura lymma
Polyodon spathula
Octodon degus
Rhea  americana
Anadevidia peponis
Pachystomias microdon
Callonychium petuniae
Molothrus ater
Drosophilia melanogaster
Haplochromis azurea
Salmo trutta
Melamphaes suborbitalis
Centropristis striata
Nematobrachion sexspinosus
Aedes albopictus
Onitis alexis
Procyon lotor
Spinachia spinachia
Bathylagus euryops
Syrphus sp.
Conocara salmonea
Euprymna tasmanica
Scenopoetes dentirostris
Pilumnus sayi
Abramis ballerus
Haematopota sp.
Leptograpsus variegatus
Zoramia  Viridiventer
Odontodactylus havanensis
Sasakia charonda
Isodon obesulus
Procottus jettelesi
Carcinus maenas
Anoplarchus purpurescens
Pundamilia nyererei
Tenebrio molitor
Micrometrus minimus
Myripristis berndti
Pleurodeles waltl
Poecilia parae
Squilla empusa
Chauliodus sloani
Antheraea polyphemus
Neonesthes capensis
Heliconius erato
Dendroctonus pseudotsugae
Benthalbella  infans
Cicindela japonica
Phalaenoptilus nuttallii
Parophrys vetulus
Enophrys bison
Sergestes arcticus
Acipenser baerii
Strophidon sathete
Ahliesaurus berryi
Ichthyocossus ovatus
Batrachocottus baicalensis
Metriaclima melabranchion
Anolis sagrei
Naso unicornis
Oeneis chryxus
Hippocampus barbouri
Myoxocephalus jack
Thysanopoda orientalis
Pungitius pungitius
Asterocampa celtis
Sebastes flavidus
Ips paraconfusus
Antimora  rostrata
Gaidropsarus mediterraneus
Sergia robustus
Hemimysis anomala
Pleurogrammus azonus
Penaeus penicillatus
Plexippus validus
Dascyllus trimaculatus
Osmia rufa
Dermogenys pusilla
Salmo irideus
Trichodon trichodon
Chirolophis japonicus
Carcharhinus limbatus
Hippoglossoides herzensteini
Photuris lucicrescens
Nannobrachium atrum
Artedius fenestralis
Neoniphon aurolineatus
Poecilia mexicana
Odocoileus virginianus
Notostomus elegans
Ailuroedus crassirostris
Acanthurus triostegus
Poecilia reticulata trinidad
Gilbertidia sigalutes
Nomada alboguttata
Elops  saurus
Tarentola chazaliae
Salmo salar
Coryphaenoides carapinus
Lutjanus carponotatus
Uca thayeri
Corvus  frugilegus
Brachydanio rerio
Chimaera monstrosa
Epicopeia hainesii
Comephorus dybowskii
Photinus marginellus
Gonostoma elongatum
Abyssocottus korotneffi
Parus caeruleus
Mauremys reevesii
Neoceratodus forsteri
Sebastolobus alascanus
Asprocottus herzensteini
Dasyatis fluviorum
Melanonus zugmayeri
Rhinella [=Bufo] marinus
Lepomis macrochirus
Anoplogaster cornuta
Anguilla Anguilla
Pieris rapae
Acanthropagrus major
Odontodactylus scyllarus
Dascyllus albisella
Rhacochilus vacca
Cymatogaster aggregata
Neomysis integer
Hapalochlaena maculosa
Cercopithecus cephus
Apis mellifera
Sympetrum sp.
Porogradus sp.
Lutjanus kasmira
Coenobita rugosa
Gennadas valens
Gnathophausia ingens
Schwarziana sp.
Minois dryas
Clevelandia ios
Tenodera sinensis
Himantura fai
Loxodonta africana
Haplonycteris fischeri
Bentheogennema pasithea
Lasioglossum albipes
Samia cyntia ricini
Xiphister atropurpureus
Pygopleurus israelitus
Siproeta stelenes
Hoplostethus mediteranus
Columba livia
Sphyrna lewini
Hermetia illucans
Pundamilia pundamilia
Vespa crabro
Cheirogaleus medius
Papilio protenor
Leocottus kesslerii
Streptopelia roseogrisea
Callistoctopus dierythraeus
Alouatta sp.
Anolis evermanni
Lampropeltis getula
Sesarma cinereum
Pleuronectes asper
Buteo jamaicensis
Synaphobranchus kaupii
Systellaspis cristata
Speyeria leto
Sargocentron tiere
Hemidactylus platyurus
Spermophilus tridecemline
Danio rerio
Lutjanus quinquelineatus
Echinomacrurus mollis
Pholis laeta
Ovipales stephensoni
Euphydryas chalcedona
Stigmatopora argus
Struthio camelus
Lysiosqullia sulcata
Samia cynthia ricini
Ichthyophis cf. kohtaoensis
Boa constrictor
Rattus rattus
Argiope bruennichi
Eulemur fulvus
Ambystoma tigrinum hatchling
Chiloscyllium punctatum
Saguinus midas
Acyrthosiphon pisum
Eigenmannia virescens
Meningodora vesca
Sebastes empaeus
Xiphydria camelus
Python regius
Syngnathus leptorhynchus
Lutjanus adetii
Notostomus gibbosus
Locusta migratoria
Melanochromus vermivorous
Megalocottus platycephalus
Phoca groenlandicus
Oligocottus maculosus
Dolichovespula norwegica
Praunus inermis
Liparis  greeni
Urocerus gigas
Limenitis archippus floridensis
Ichneumon stramentarius
Heliconius numata
Menippe mercenaria
Ichneumon sp.
Photinus versicolor
Xiphister  atropurpureus
Lucidina biplagiata
Sergestes similis
Pseudopleuronectes herzensteini
Oplophorus spinosus
Arenaeus cribrarius
Dama dama
Lutjanus malabaricus
Tupaia glis
Rana temporaria
Lampetra fluviatilis
Agraulis vanillae
Searsia koefoedi
Sturnus vulgaris
Mirounga angustirostri
Trachurus symmetricus
Masticophis flagellum
Monodelphis domestica
Anolis cristatellus
Artedius fenestrates
Nansenia longicauda
Gonodactylus oerstedii
Bibio marci
Holmesimysis costata
Hymenodora glacialis
Alligator mississippiensis
Gymnura australis
Osmerus eperlanus
Sebastes caurinus
Alima pacifica
Artedius harringtoni
Sesarma reticulatum
Hippocampus subelongatus
Sander lucioperca
Photinus collustrans
Rhea americana
Coregonus lavaretus
Citellus lateralis
Sphodromantis sp.
Paravespula germanica
Coturnix  japonica
Homarus gammarus
Bombus affinis
Bowmaniella sp.
Lampanychtus ater
Coregonus clupeoides
Photuris frontalis
Saguinus fuscicollis
Neomysis americana
Notoscopelus resplendens
Myotis velifer
Danio malabaricus
Acipenser medirostris
Anolis pulchellus
Tinca tinca
Pleuronectes herzensteini
Cottinella boulengeri
Acerina cernua
Mulloidichthys flavolineatus
Exorista japonica
Puffinus puffinus
Trigona spinipes
Tripedalia cystophora
Aeschna cyanea and mixta
Pandalus borealis
Ischnura heterosticta
Aristostomias tittmanni
Microstoma microstoma
Chromis hanui
Bombus distinguendis
Carassius carassius
Tarsipes rostratus
Coryphaenoides leptolepis
Atrophaneura alcinous
Orectolobus ornatus
Zalophus californianus
Allograpta obliqua
Lycaena phlaeas
Pervagor spilosoma
Macaca fascicularis
Neoniphon sammara
Dasyatis kuhlii
Eumicrotremus orbis
Ctenophorus decresii
Setonix brachyurus
Portunus trituberculatus
Poromitra megalops
Schwarziana sp
Hippocampus angustus
Junonia coenia
Loris tardigradus
Ostracion meleagris
Pundamilia au
Sebastes maliger
Loligo forbesii
Glossina moritans moritans
Jordanella floridae
Haplochromis ishmaeli
Glaucostegus typus
Pomacentrus melanochir
Engraulis encrasicolus
