Phylum,Class,Order,Family,Species,Type,Wavelength,Band,Oil,Nocturnal Activity,Diurnal Activity,Source
Arthropoda,Insecta,Hymenoptera,Adrenidae,Andrena florea,,340,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Andrena florea,,412,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Andrena florea,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora acervorum,,348,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora acervorum,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora acervorum,,528,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,360,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,404,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,600,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Oxea flavescens,,370,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Oxea flavescens,,435,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Adrenidae,Oxea flavescens,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,,344,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,,436,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,,544,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus distinguendis,,350,,,N,Y,CHittka et al. 2001
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus distinguendis,,440,,,N,Y,CHittka et al. 2001
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus distinguendis,,540,,,N,Y,CHittka et al. 2001
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus fervidus,,350,,,N,Y,Bernard & Stavenga 1978
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus fervidus,,450,,,N,Y,Bernard & Stavenga 1978
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hortorum,,353,,,N,Y,Myer-Rochow 1980
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hortorum,,436,,,N,Y,Myer-Rochow 1980
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hortorum,,544,,,N,Y,Myer-Rochow 1980
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hypnorum,,524,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus impatiens,,352,,,N,Y,Bernard & Stavenga 1978
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus impatiens,,450,,,N,Y,Bernard & Stavenga 1978
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus jonellus,,336,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus jonellus,,432,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus jonellus,,544,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus lapidarius,,332,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus lapidarius,,432,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus lapidarius,,544,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus monticola,,336,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus monticola,,440,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus monticola,,544,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus morio,,352,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus morio,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus morio,,548,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus terrestris,,328,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus terrestris,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Bombus terrestris,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes fulgidus,,340,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes fulgidus,,532,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Lestrimelitta limao,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melecta punctata,,336,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melecta punctata,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melecta punctata,,540,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melipona marginata,,340,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melipona marginata,,450,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melipona marginata,,540,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melipona quadrifasciata,,356,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melipona quadrifasciata,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Melipona quadrifasciata,,520,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Nomada alboguttata,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Nomada alboguttata,,512,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Partamona helleri,,347,,,N,Y,Chittka et al. 1997
Arthropoda,Insecta,Hymenoptera,Apidae,Partamona helleri,,444,,,N,Y,Chittka et al. 1997
Arthropoda,Insecta,Hymenoptera,Apidae,Partamona helleri,,521,,,N,Y,Chittka et al. 1997
Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana sp,,343,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana sp,,440,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana sp,,528,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Trigona spinipes,,340,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Trigona spinipes,,440,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Trigona spinipes,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa brasilianorum,,360,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa brasilianorum,,428,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa brasilianorum,,544,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica polyctena,,360,,,N,Y,Menzel & Knaut 1973' https://academic.oup.com/icb/article/57/5/1104/4079673
Arthropoda,Insecta,Hymenoptera,Formicidae,Formica polyctena,,510,,,N,Y,Menzel & Knaut 1973
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis bicolor,,350,,,N,Y,Paul et al. 1986
Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis bicolor,,510,,,N,Y,Paul et al. 1986
Arthropoda,Insecta,Hymenoptera,Crabronidae,Philanthus triangulum,,344,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Crabronidae,Philanthus triangulum,,444,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Crabronidae,Philanthus triangulum,,524,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium manicatum,,344,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium manicatum,,440,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium manicatum,,532,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia gulosa,,412,,,Y,Y,Lieke 1981
Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia gulosa,,540,,,Y,Y,Lieke 1981
Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum albipes,,516,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum malachurum,,442,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum malachurum,,528,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Ichneumoidae,Ichneumon spp.,,524,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Ichneumoidae,Ichneumon stramentarius,,542,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Chelostoma florisomne,,324,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Chelostoma florisomne,,548,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia rufa,,344,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia rufa,,432,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia rufa,,560,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Siricidae,Urocerus gigas,,524,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris rybyensis (female),,436,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris rybyensis (female),,516,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris rybyensis (male),,528,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo campestris,,328,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo campestris,,464,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo campestris,,540,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo scrophulariae,,556,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo scrophulariae,,604,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula norwegica,,448,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula norwegica,,524,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes dominulus,,352,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes dominulus,,452,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes dominulus,,528,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro (female),,336,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro (female),,436,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro (female),,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro (male),,542,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula germanica,,336,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula germanica,,432,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula germanica,,544,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula vulgaris,,336,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula vulgaris,,432,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula vulgaris,,536,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Hymenoptera,Xiphydriidae,Xiphydria camelus,,542,,,N,Y,Peitsch et al. 1992
Arthropoda,Insecta,Lepidoptera,Epicopeiidae,Epicopeia hainesii,,380,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Epicopeiidae,Epicopeia hainesii,,420,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Epicopeiidae,Epicopeia hainesii,,500,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Geometridae,Arichanna gaschkevitchii,,360,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Geometridae,Arichanna gaschkevitchii,,500,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Geometridae,Arichanna gaschkevitchii,,540,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,380,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,460,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,520,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,580,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes venata,,380,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes venata,,460,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes venata,,520,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Parnara guttata,,380,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Parnara guttata,,460,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Parnara guttata,,520,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina argiolus,,380,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina argiolus,,440,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina argiolus,,560,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,360,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,437,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,500,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,568,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,360,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,437,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,500,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,568,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,361,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,438,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,501,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,575,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,,400,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,,540,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,,600,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,360,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,437,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,500,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,568,,,N,Y,Bernard & Remington 1991
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria maha,,400,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria maha,,520,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria maha,,580,,,N,Y,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Noctuidae,Anadevidia peponis,,420,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Noctuidae,Anadevidia peponis,,460,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Noctuidae,Anadevidia peponis,,500,,,Y,N,Eguchi et al. 1982
Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra brassicae,,360,,,Y,N,Ichikawa & Tateda 1982
Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra brassicae,,460,,,Y,N,Ichikawa & Tateda 1982
