Albula vulpes
Lobianchia gemellarii
Gaidropsarus mediterraneus
Ceratoscopelus warmingii
Cyrtopodion caspium
Teratoscincus scincus
Rimicaris exoculata
Microgadus proximus
Artedius fenestrates
Mysis relicta
Cottus sp.
Jasus edwardsii
Hydrolagus colliei
Neoniphon aurolineatus
Aptychotrema rostrata
Samia cynthia ricini
Lonchura maga
Sergia robustus
Pithecia pithecia
Meningodora miccyla
Syngnathus leptorhynchus
Pavo  cristatus
Chromis ovalis
Antimora  rostrata
Pandalus montagui
Carcharhinus amboinensis
Chlorops sp.
Bentheogennema intermedia
Chelidonichthys lucerna
Eurypharynx pelecanoides
Elephas maximus
Gonostoma denudatum
Gennadas sp.
Scopelogadus beanii
Zoarces viviparus
Megalocottus platycephalus
Mirza coquereli
Myoxocephalus jack
Rhinobatos lentiginosus
Hyperoplus lanceolatus
Dicrolene intronigra
Merluccius productus
Archaeopropona demophon
Icelinus borealis
Cambarellus ludovicianus
Sargocentron xantherythrum
Aeschna cyanea
Antheraea polyphemus
Thamnophis sirtalis sirtalis
Stichaeopsis nana
Diaphus lucidus
Artemia salina
Amadina fasciata
Callithrix jacchus jacchus
Cancer irroratus
Aulorhynchus flavidus
Taeniura lymma
Lampadena speculigera
Corvus  frugilegus
Dolichovespula norwegica
Gobiesox maeandricus
Ips paraconfusus
Arctia plantaginis
Cyrtopodion kotschyi
Lutjanus kasmira
Istiophorus  platypterus
Ptilichthys goodei
Leontopithecus rosalia rosalia
Saguinus fuscicollis
Opisthoproctus grimaldii
Dasyatis fluviorum
Melamphaes suborbitalis
Zaniolepis frenata
Pasiphaea emarginata
Turdus merula
Melanostomias niger
Pseudotropheus tropheops
Asprocottus intermediius
Necturus maculosus
Cloridopsis dubia
Caprimulgus europaeus
Oplophorus spinosus
Notonecta glauca
Trematomus hansoni
Ailuroedus crassirostris
Tetrapturus audax
Limnocottus bergianus
Bassozetus compresis
Danio malabaricus
Ichneumon sp.
Triglops pingelii
Pandalus borealis
Sergestes arcticus
Gymnura australis
Balanus eburneus
Abramis ballerus
Systellaspis debilis
Callonychium petuniae
Artedius harringtoni
Pyrophorus punctatissimus
Pyrearinus termitilluminans
Halargyreus johnsonii
Anthidium manicatum
Pagurus longicarpus
Dimecoenia spinosa
Phidippus regius
Spicara smaris
Talismania antillarum
Idiosepius notoides
Poecilia reticulata cumana
Myoxocephalus stelleri
Ammodytes hexapterus
Triakis semifasciata
Tenthredo scrophulariae
Lampanychtus ater
Mysis salemaai
Bathylagus euryops
Thomomys bottae
Sephanoides sephanoides
Cambarellus schufeldtii
Xenos peckii
Zebrasoma veliferum
Acanthropagrus schlegelii
Acipenser fulvescens
Trachurus symmetricus
Panopeus herbstii
Pergavor spilosoma
Parupeneus multifasceatus
Sericulus crysocephalus
Hemitripterus villosus
Proxylocopa sp.
Scaphirhynchus platorynchus
Hoplostethus mediterraneus mediterraneus
Chimaera monstrosa
Odontodactylus scyllarus
Neomysis americana
Engraulis mordax
Deania calcea
Ptychozoon lionotum
Synathedon tipulif ormis
Syrphus sp.
Odontodactylus havanensis
Sepia plangon
Geomys bursarius
Pieris rapae crucivora
Tribolodon hakonensis
Aotus trivirgatus
Lasioglossum malachurum
Elops  saurus
Nematobrachion sexpinosum
Octopus australis
Dermogenys pusilla
Calappa flammea
Anomala corpulenta
Phytichthys chirus
Sergestes similis
Aeshna tuberculifera
Procyon lotor
Eigenmannia virescens
Neoniphon argenteus
Polygonia c-album
Sternoptyx pseudobscura
Argyropelecus gigas
Euphausia pacifica
Xiphister atropurpureus
Batrachocottus baicalensis
Leptotyphlops sp.
Loris tardigradus
Papilio aegeus
Chloebia gouldiae
Cambarus ludovicianus
Ascelichthys rhodorus
Malacosteus niger
Pollachius pollachius
Bibio sp.
Lutjanus russellii
Libelloides macaronius
Danio aequipinnatus
Echiostoma barbatum
Photonectes braueri
Lutjanus johnii
Parupeneus multifasciatus
Arachnocampa luminosa
Porichthys notatus
Lymantria dispar
Sufflamen bursa
Haplonycteris fischeri
Cataetyx laticeps
Axoclinius carminalis
Bellocia  koefoedi
Rhizoprionodon taylori
Sympetrum rubicundulum
Puffinus puffinus
Ichthyophis cf. kohtaoensis
Haematopota sp.
Nansenia longicauda
Chlamydera maculata
Bathysaurus ferox
Cebus spp.
Lutjanus sebae
Coryphaenoides leptolepis
Gryllus campestris
Scorpaena porcus
Radiicephalus elongatus
Callistoctopus dierythraeus
Carcharhinus leucas
Rhinoptera bonasus
Bombus lapidarius
Schwarziana sp
Neochmia modesta
Rana cracrivora
Diaphus holti
Solenopsis saevissima
Sphyrna tiburo
Lasioglossum albipes
Canthidermis maculata
Sigmops bathyphilus
Anolis evermanni
Dolichonyx orzivorous
Marosatherina ladigesi
Pleurogrammus  azonus
Petrolisthes elongates
Dromiceius novae-hollandiae
Bathylagus longirostris
Coryphopterus nicholsii
Trichodon trichodon
Hexagrammos decagrammus
Praunus flexuosus
Anolis pulchellus
Chaetodon kleinii
Bathylagus greyae
Hemilepidotus hemilepidotus
Callinectes ornatus
Poecilia reticulata trinidad
Parvus  caeruleus
Pundamila sp.
Pseudosquilla ciliata
Asterropteryx semipunctata
Gasterosteus sp.
Troides aeacus formosanum
Chauliodus danae
Cottinella boulengeri
Ochlodes venata
Mysis relicta sp.I
Protomelas taeniolatus
Gobius paganellus
Etroplus suratensis
Locusta migratoria
Gymnocanthus intermedius
Gobiusculus flavescens
Plocepasser mahali
Accipiter nisus
Acartia tonsa
Parapasiphaea sulcatifrons
Haplochromis azurea
Lipophyrs pholis
Andrena florea
Ameiurus melas
Paracottus knerii
Hippocampus barbouri
Orconectes rusticus
Myoxocephalus potyacanthocephalus
Junonia coenia
Coenobita rugosa
Anableps anableps
Archaeomysis grebnitzkii
Stegastes fasciolatus
Euprymna tasmanica
Conocara salmonea
Pullosquilla litoralis
Caranx hippos
Photuris potomaca
Ichthyococcus ovatus
Bubo virginianus
Borostomias panamensis
Celastrina argiolus
Anartia jatrophae
Thermonectus maromoratus
Bathylagus bericoides
Xiphister mucosus
Minois dryas
Hemisquilla ensigera
Apodichthys flavidus
Cataglyphis bicolor
Rhacochilus vacca
Centroswcymnus coleolepis
Melipona marginata
Rangifer tarandus
Rhynchobatus australiae
Spheniscus humboldti
Formica polyctena
Portunus spinimanis
Saguinus midas
Hemitripterus americanus
Rhinomuraena quaesita
Alepocephalus australis
Cebus sp.
Pundamilia red head
Canthidermis maculatus
Anthophora acervorum
Cyphonocerus rufficolis
Polyipnus polli
Gnathophausia ingens
Bothragonus swani
Xiphydria camelus
Scirtothrips dorsalis
Trigla cuculus
Osmerus dentex
Photuris lucicrescens
Formica cunicularia
Rhea  americana
Epicopeia hainesii
Phassus excrescens
Lampanyctus regalis
Ptilorhynchus violaceus
Sphyrna lewini
Tramitichromis  intermedius
Anilius scytale
Alburnus alburnus
Arichanna gaschkevitchii
Loligo forbesii
Heliothis virescens
Tabanus nigrovittatus
Pseudozizeeria maha
Dasycottus setiger
Benthalbella  infans
Sebastes flavidus
Notonecta irrorata
Bodianus bilunnulatus
Ambystoma tigrinum adult
Acipenser transmontanus
Anas  platyrhynchos
Anolis conspersus
Eristalis tenax
Papilio achaon
Asterocampa leilia
Pteropus dasymallus
Fabriciana adippe
Hypsurus caryi
Poromitra megalops
Pilumnus sayi
Philanthus triangulum
Lutjanus fulviflamma
Limenitis archippus astyanax
Stylopandalus richardi
Chromis hanui
Sphyraena barracuda
Gonostoma bathyphilum
Lutjanus quinquelineatus
Chromis punctipinnis
Hemimysis anomala
Blatta orientalis
Papilio protenor
Mulloidichthys flavolineatus
Sergia maximus
Photostylus sp.
Acanthephyra microphthalma
Paralabrax clathratus
Janicella spinacauda
Pipilo fuscus
Pleurogrammus azonus
Myrmecia croslandi
Sphoeroides annulatus
Dendroctonus pseudotsugae
Microcottus sellaris
Samia cyntia ricini
Stomias boa
Bombus terrestris terrestris
Ichthyocossus ovatus
Acanthephyra curtirostris
Luicola cruciata
Anolis cristatellus
Photinus versicolor
Xenodermichthys copei
Hoplostethus atlanticus
Bombus distinguendis
Gonostoma atlanticum
Sebastolobus alascanus
Taaningichthys bathyphilus
Hippocampus angustus
Eustomias obscurus
Ostracion meleagris
Chlamydera nuchalis
Gonostoma elongatum
Hemidactylus turcicus
Ischnura heterosticta
Ligia exotica
Chauliodus sloanei
Sargocentron tiere
Anoplogaster cornuta
Astacus leptodactylus
Chelidonichthys lucernus
Ichneumon stramentarius
Holtbyrnia spinithara
Acerina cernua
Nematoscelis megalops
Pygopleurus israelitus
Hippoglossoides herzensteini
Notonecta undulata
Nothoprocta cinerascens cinerascens
Melecta punctata
Cicindela japonica
Hermeuptychia hermes
Nematobrachion boopis
Hariotta raleighana
Antimora rostrata
Didelphis virginiana
Zenaida macroura
Zoramia  Viridiventer
Diaphus dumerilli
Siproeta stelenes
Enophrys bison
Neomysis mercedis
Pholidapus dybowsky
Cottocomephorus grewingki
Pieris melete
Deilephila elpenor
Aetobatus narinari
Gennadas valens
Bentheogennema pasithea
Haplochromis ishmaeli
Photostomias guernei
Pavo cristatus
Paravespula germanica
Cynops orientalis
Ameiurus catus
Zebrasoma flavescens
Lampanyctus alatus
Megalocottus  platycephalus
Lepidion  eques
Zebrasoma velifer
Atherinops affinis
Polygonia c-aureum
Spermophilus tridecemline
Conocara macroptera
Bathysaurus mollis
Bombus hortorum
Pervagor spilosoma
Xenodermichthys  copei
Speyeria leto
Adoxophyes orana
Homarus gammarus
Coryphaenoides profundicolus
Chlorophthalmus sp.
Batrachocottus multiradiatus
Funchalia villosa
Dardanus fucosus
Stichaeus grigorjewi
Ctenomys magellanicus
Toxotes chatareus
Plesiopenaeus armatus
Carcinus maenas
Limenitis lorquini
Colinus virginianus
Eristalis arbustorum
Myrmecia gulosa
Saimiri sciureus
Orectolobus ornatus
Lutjanus bohar
Pteropus samoensis
Hemigraspus edwardsi
Scaphirhynchus albus
Dromiceius novae-hollandae
Rouleina aderensis
Lutjanus argentimaculatus
Parnara guttata
Anolis lineatopus
Oxaea flavescens
Toxomerus marginatus
Buteo jamaicensis
Amandina fasciata
Taurulus bubalis
Hippocampus subelongatus
Nothoprocta cinerascens
Acanthurus nigroris
Rhea americana
Alouatta sp.
Damalichthys vacca
Thysanopoda acutifrons
Tyrannochromis macrostoma
Archaeoprepona demophon
Melanostigma pammelas
Zalembius rosaceus
Haptosquilla trispinosa
Panorpa cognata
Aulostomus chinensis
Batrachocottus nicolskii
Marumba sperchius
Callipepla californica
Neomysis integer
Osmia rufa
Coenobita clypeatus
Callambulyx tatarinovii
Hemigrapsus sanguinensis
Bombus morio
Bero elegans
Asprocottus herzensteini
Diaphus rafinesquei
Mustelus henlei
Salmo irideus
Myoxocephalus jaok
Tarentola chazaliae
Seriphus politus
Searsia koefoedi
Embiotoca lateralis
Sympetrum sp.
Boa constrictor
Nothoprocta perdicaria sanborni
Libellula needhami
Sargocentron microstoma
Ictalurus melas
Platyberyx opalescens
Pagurus annulipes
Bombyx mandarina
Scomberomorus sierra
Lycaena phlaeas
Clupea pallasii
Opsanus tau
Myotis velifer
Pervagor aspricaudus
Rana cancrivora
Procottus jettelesii
Barbantus curvifrons
Lestrimelitta limao
Nematobrachion sexspinosus
Libinia emarginata
Ephestia cautella
Liparis dennyi
Exorista japonica
Menippe mercenaria
Cleisthenes herzensteini
Serrivomer lanceolatoides
Scardinius erythrophthalmus
Chaetodon unimaculatus
Pundamilia luanso
Petrolisthes diogenes
Sagiunus midas
Crotaphytus dickersonae
Argentina silus
Salmo trutta trutta
Cerceris rybynensis
Valenciennellus tripunctulatus
Hemicordulia tau
Panopeus obesus
Apogon kallopterus
Acantholumpenus mackayi
Chiasmodon niger
Hexagrammos stelleri
Tabanus bromius
Spinachia spinachia
Pullosquilla thomassini
Ctenomys talarum
Liparis pulchellus
Pholis laeta
Lumpenus sagitta
Gonodactylopsis spongicola
Carcharhinus limbatus
Hemidactylus garnotii
Balanus balanoides
Sarda chiliensis
Estrilda troglodytes
Ichneumon stramentrius
Geryon quinquedens
Lepomis macrochirus
Anolis extremus
Dineutus ciliatus
Arothron meleagris
Astacus fluviatus
Panulirus argus
Bolinichthys indicus
Eulemur fulvus fulvus
Bombus terrestris dalmatinus
Typhlops hypomethes
Rhamphocottus richardsonii
Photostomias braueri
Apodemia spp.
Argiope amoena
Acanthephyra stylorostratis
Typhlops platycephalus
Lonchura maja
Micrometrus aurora
Pachystomias microdon
Orconectes virilis
Stylephorus chordatus
Phycis blennoides
Pristiapogon kallopterus
Coturnix coturnix
Palaemonetes vulgaris
Gobiesox maecmdricus
Holmesimysis costata
Fulgeochlizus bruchii
Kali macrodon
Gonostoma bathyphilium
Mesocricetus brandti
Pyrophorus divergens
Metriaclima emmiltos
Cercopithecus petaurista
Payasandisia archon
Thysanopoda orientalis
Urocyon littoralis
Pergavor aspricaudus
Chelostoma florisomne
Lepidion eques
Forcipiger flavissimus
Melanphaes canthomus
Evermannella balbo
Howella sherborni
Ctenophorus decresii
Galago crassicauda
Triglopsis quadricornis
Gymnothorax reticularis
Sternoptyx diaphana
Plexippus validus
Procottus jettelesi
Alosa kessleri
Upeneus tragula
Rhadinesthes decimus
Lysiosqullia sulcata
Papilio maackii
Lepidorhombus boscii
Borostomias elucens
Synaphobranchus kaupii
Perca  flavescens
Curtos sp.
Typhlonectes natans
Python regius
Lutjanus malabaricus
Onitis alexis
Ambystoma tigrinum aquatic
Bibio marci
Furcifer pardalis
Scorpaenichthys marmoratus
Mantispa styriaca
Chauliognathus pulchellus
Sesarma reticulatum
Nectamia  Savayensis
Bombus dahlbomii
Microstoma microstoma
Ctenophorus ornatus
Lepilemur ruficaudatus
Urocerus gigas
Nautichthys oculofasciatus
Hexagrammos octogrammus
Simulium sp.
Vespula germanica
Romalea microptera
Xylocopa brasilianorum
Chaceon affinis
Nannobrachium atrum
Penaeus duororum
Corvus frugilegus
Libinia dubia
Asteropteryx semipunctatus
Acanthropagrus berda
Praunus inermis
Aglais urticae
Plesionika martia
Myoxocephalus brandti
Cambarellus shufeldtii
Ambystoma tigrinum hatchling
Crangon allmani
Vespo crabro
Anolis gundlachi
Scylla serrata
Notostomus gibbosus
Luciola sp.
Panopeus herbtii
Coryphaenoides carapinus
Anadevidia peponis
Chromis vanderbilti
Coroebus undatus
Abramis brama
Spalacopus cyanus
Ichneumon spp.
Vinciguerria nimbaria
Naso lituratus
Psychrobites paradoxus
Rouleina maderensis
Bombus monticola
Artedius meanyi
Acipenser medirostrus
Stichaeus grigorjevi
Notostomus elegans
Notonecta insulata
Phronima sedenteria
Gonodactylus smithii
Ictalurus catus
Libellula pulchella
Bassozetus compressus
Sepioteuthis lessoniana
Idiacanthus fasciola
Enophrys diceraus
Jordania zonope
Orectolobus maculatus
Hypomesus pretiosus
Spodoptera exempta
Hoplostethus mediteranus
Sergestes corniculum
Camponotus blandus
Lycodes pacificus
Lepisosteus platostomus
Pasiphaea suspirosum
Rhagoph-thalmus ohbai
Blicca bjoerkna
Chromis verater
Rhithropanopeus harrisii
Scenopoetes dentirostris
Oxea flavescens
Argynnis ruslana
Pasiphaea multidentata
Eumicrotremus orbis
Sasakia charonda
Clibanarius vittatus
Gonepteryx aspasia
Echinomacrurus mollis
Raja binoculata
Liparis  greeni
Anolis krugi
Limenitis archippus
Myrmecia vindex
Hipposideros speoris
Sygnathus leptorhynchus
Bowmaniella sp.
Stomias atriventer
Corixa punctata
Bonapartia pedalioita
Neope goschkevitschii
Metynnis argenteus
Blepsias cirrhosus
Meningodora vesca
Argyropelecus hemigymnus
Trygonoptera testacea
Systellaspis braueri
Nemichthys scolopaceus
Procambarus milleri
Drosophilia melanogaster
Talitrus saltator
Pholis omata
Allograpta obliqua
Stichaeus nozawae
Canis lupus familiaris
Trachyscorpia cristulata
Anchoa mitchilli
Anolis bahorucoensis
Anguilla bicolor
Larus atricilla
Leiothrix lutea
Sebastes auriculatus
Anoplarchus purpurescens
Poromitra capito
Nymphalis xanthomelas
Stigmatopora argus
Tupaia glis
Himantura fai
Lycaena dorcas
Stylocheiron maximum
Lutjanus adetii
Epigonus  telescopus
Acipenser medirostris
Plagiotremus rhinorhynchos
Lissotriton vulgaris
Mysis relicta sp.II
Lampanyctus festivus
Sergia splendens
Haplochromis piceatus
Pundamilia au
Zoramia  Leptacanthus
Anas platyrhynchos domesiticus
Kuhlia sandvicensis
Cercopithecus cephus
Bombus hypnorum
Mysis mixta
Hapalochlaena maculosa
Miopithecus talapoin
Bombus terrestris sassaricus
Paromola cuvieri
Carabus auratus
Phalaenoptilus nuttallii
Hymenodora frontalis
Myoxocephalus quadricornis
Limenitis archippus floridensis
Sebastes caurinus
Octopus tetricus
Actias artemis aliena
Pagurus pollicaris
Hepatus epheliticus
Bythograea thermydron
Notacanthus bonapartei
Meganyctiphanes norvegica
Bodianus bilunulatus
Chlorocebus aethiops
Benthalbella infans
Lonchura malacca
Rhinocheilus lecontei
Phodopus sungorus
Melanonus zugmayeri
Citharichthys sordidus
Malacocephalus laevis
Partamona helleri
Hemigrapsus edwardsii
Cymatogaster aggregata
Rhinella [=Bufo] marinus
Rouleina attrita
Uca thayeri
Porogradus sp.
Synodus variegatus
Phytichthys  chirus
Sardinops sagax
Limnocottus pallidus
Sesarma cinereum
Melanotaenia maccullochi
Gilbertidia sigalutes
Hymenodora glacialis
Derichthys serpentinus
Naso unicornis
Antherea polyphemus
Hydrolagus mirabilis
Leuroglosus stilbius
Penaeus penicillatus
Chaetodon kleini
Carabus nemoralis
Calypteryx splendens and virgo
Anas playrhnchos domesticus
Psychrolutes paradoxus
Tenthredo campestris
Liparis florae
Photinus scintillans
Micrometrus minimus
Batrachocottus nikolskii
Sphodromantis sp.
Chamaeleo dilepis
Nephrops norvegicus
Menemerus confusus
Hyperprosopon argenteum
Tinca tinca
Caelorhinchus labiatus
Sergestes tenuiremis
Rhabdamia  Gracilis
Ballerus ballerus
Cataglyphis aenescens
Peprilus stimillimus
Jordanella floridae
Gymnocanthus pistilliger
Arenaeus cribrarius
Cirrhilabrus solorensis
Otus asio
Nomada alboguttata
Streptopelia roseogrisea
Rinocetes nasutus
Uca pugnax
Bero elegance
Diaphus rafinesqueii
Podothecus acipenserinus
Neogonodactylus curacaoensis
Clinocottus globiceps
Puffinus pacificus
Anolis stratulus
Lipophrys pholis
Sebastes empaeus
Leptograspus variegatus
Tenodera sinensis
Leptocottus armatus
Hemidactylus platyurus
Pseudotropheus  acei
Clevelandia ios
Cyrtodiopsis dalmanni
Coronis scolopendra
Comephorus dybowskii
Zonotrichia leucophrys
Portunus spinimanus
Oplophorus gracilirostris
Gecarcinus lateralis
Comephorus baicalensis
Palaemonetes paladosus
Hexagrammos octagrammus
Squilla empusa
Odontodactylus brevirostris
Lonchura malabarica
