Panulirus argus
Myoxocephalus stelleri
Homarus gammarus
Rana pipiens
Leptograpsus variegatus
Eumicrotremus orbis
Carlito syrichta
Jordanella floridae
Mullus barbatus
Monodelphis domestica
Lampropeltis getula
Epicopeia hainesii
Cyrtopodion fedtschenkoi
Galleria mellonella
Mysis relicta sp.IV
Pundamilia azurea
Portunus spinimanus
Ctenochaetus strigosus
Melanochromus vermivorous
Globicephala melas
Mysis diluviana
Notoscopelus resplendens
Formica cunicularia
Gallus gallus
Neoceratodus forsteri
Nectamia  Savayensis
Carpodacus mexicanus
Leptograspus variegatus
Nothoprocta perdicaria sanborni
Atherina boyeri
Holmesimysis costata
Lutjanus malabaricus
Carabus auratus
Gonepteryx aspasia
Megalops atlanticus
Rhagoph-thalmus ohbai
Cambarellus shufeldtii
Photinus collustrans
Tenthredo campestris
Nematoscelis megalops
Isodon obesulus
Anguilla bicolor
Coccinella septempunctata
Sphoeroides annulatus
Pullosquilla thomassini
Barbantus curvifrons
Lutjanus argentimaculatus
Carcharhinus obscurus
Cataglyphis bicolor
Stichaeus grigorjevi
Blepsias cirrhosus
Procambarus milleri
Camponotus blandus
Makaira nigricans
Lepidopsetta bilineata
Capra hircus
Cydia pomonella
Cicindela chinensis
Jordania zonope
Estrilda troglodytes
Lonchura maja
Heliconius charithonia
Sigmops elongatus
Nansenia longicauda
Bombyx mandarina
Bolinichthys indicus
Lobianchia gemellarii
Simulium sp.
Balanus eburneus
Hoplostethus mediterraneus mediterraneus
Rutilis rutilis
Engraulis mordax
Micropoecilia parae
Pleuronectes asper
Photuris frontalis
Cyrtodiopsis dalmanni
Rouleina attrita
Speotyto cunicularia
Borostomias elucens
Phidippus regius
Ostrinia nubilalis
Gonodactylellus affinis
Actias artemis aliena
Buteo buteo
Euroleon nostras
Mustela putorius furo
Sergia robustus
Parantica sita
Enophrys diceraus
Aotus trivirgatus
Photostomias guernei
Orectolobus maculatus
Nymphalis antiopa
Neochmia modesta
Heliconius sara
Thamnophis sirtalis sirtalis
Neomysis mercedis
Corvus frugilegus
Rhea americana
Petromyzon marinus
Rimicaris exoculata
Squilla empusa
Hemigrapsus edwardsii
Plesiopenaeus armatus
Lycaena nivalis
Potos flavus
Cebus spp.
Asterocampa leilia
Notonecta irrorata
Acanthopagrus butcheri
Anthidium manicatum
Trichodon trichodon
Batrachocottus multiradiatus
Deilephila elpenor
Bathylagus greyae
Zebrasoma flavescens
Daubentonia madagascariensis 
Bombus dahlbomii
Notonecta insulata
Acanthurus achilles
Arichanna gaschkevitchii
Cercopithecus cephus
Anas platyrhynchos
Anolis sagrei
Ichthyophis cf. kohtaoensis
Haplochromis pyrrhocephalus
Parophrys vetulus
Aequidens pulcher
Poecilia formosa
Chaceon affinis
Upeneus tragula
Leontopithecus rosalia rosalia
Halargyreus johnsonii
Astacus fluviatus
Rhinobatus typus
Chamaeleo dilepis
Acyrthosiphon pisum
Lampadena speculigera
Cydia strobilella
Neominois ridingsii
Batrachocottus baicalensis
Platycercus elegans
Bathophilus brevis
Microstoma microstoma
Bentheogennema intermedia
Abyssocottus korotneffi
Anguilla Anguilla
Chelonia mydas
Phycis blennoides
Pasiphaea chacei
Rhizoprionodon taylori
Ammodytes hexapterus
Radiicephalus elongatus
Melipona marginata
Libinia dubia
Anableps anableps
Mesoplodon bidens
Propithecus verreauxi coquereli
Trachurus symmetricus
Stylocheiron maximum
Papilio achaon
Cancer irroratus
Gobiesox maeandricus
Lipophyrs pholis
Chlamydera nuchalis
Opisthoproctus grimaldii
Danaus plexipus
Liparis florae
Sebastes flavidus
Callambulyx tatarinovii
Trachemys scripta
Dendrochirus zebra
Notostomus elegans
Pervagor aspricaudus
Asterocampa celtis
Limenitis lorquini
Paromola cuvieri
Pholis omata
Libellula needhami
Acanthropagrus schlegelii
Canis lupus familiaris
Nothoprocta perdicaria
Anolis carolinensis
Panorpa cognata
Rhithropanopeus harrisii
Astatotilapia burtoni
Pseudosquilla ciliata
Dugesia japonica
Chelostoma florisomne
Stylephorus chordatus
Chrysoperla carnea
Melamphaes suborbitalis
Hermetia illucans
Trematomus bernacchii
Psettichthys melanostictus
Vespa crabro
Aulonocara hueseri
Tarentola chazaliae
Photostylus sp.
Tarsius bancanus
Rana catesbeiana
Synaphobranchus kaupi
Lipophrys pholis
Sepia plangon
Leptidae amurensis
Cercopithecus diana
Saguinus fuscicollis
Dermogenys pusilla
Panopeus herbtii
Junonia coenia
Perca  flavescens
Hexagrammos octagrammus
Stichaeopsis nana
Aeschna cyanea and mixta
Poecilia latipinna
Dascyllus albisella
Sufflamen bursa
Antherea polyphemus
Lepisosteus platostomus
Sardinops melanostictus
Osmerus dentex
Ballerus ballerus
Calliphora erythrocephala
Melopsittacus undulatus
Carcharhinus melanopterus
Chiloscyllium punctatum
Gryllus bimaculatus adult
Thysanopoda orientalis
Tenodera sinensis
Mirounga angustirostri
Uca thayeri
Parnara guttata
Pleurogrammus  azonus
Hoplostethus atlanticus
Potamotrygon motoro
Agonopsis vulsa
Pundamilia nyererei
Pundamila sp.
Nerophis ophidion
Meleagris gallopavo
Nomada albogutata
Mus musculus
Aeschna cyanea
Liparis greeni
Papilio protenor
Kali macrodon
Pseudotropheus acei
Perca fluviatilis
Scaphirhynchus platorynchus
Lasioglossum malachurum
Sagiunus midas
Avahi laniger
Ctenophorus ornatus
Heteromysis formosa
Antimora rostrata
Puffinus puffinus
Clinocottus globiceps
Artedius fenestralis
Lampanychtus ater
Geoclemys reevesii
Cebus sp.
Lepidorhombus boscii
Teratoscincus scincus
Fabriciana adippe
Brachydanio rerio
Acanthephyra curtirostris
Clupea harengus
Mysis mixta
Callinectes sapidus
Cloridopsis dubia
Diaphus lucidus
Calappa flammea
Oreochromis nilocticus
Apodemia mormo
Python regius
Ophiodon elongatus
Bathysaurus mollis
Lepidion eques
Pleuronectes platessa
Saguinus oedipus
Cottus sp.
Canthidermis maculatus
Acerina cernua
Echinomacrurus mollis
Pholis laeta
Abramis brama
Hemidactylus platyurus
Vanessa cardui
Synathedon tipulif ormis
Sympetrum rubicundulum
Argentina silus
Artemia salina
Poecilia reticulata cumana
Galago crassicauda
Lampetra fluviatilis
Ichneumon stramentarius
Eigenmannia virescens
Pteropus samoensis
Callithrix jacchus jacchus
Pullosquilla litoralis
Aphanopus  carbo
Toxomerus marginatus
Carassius carassius
Peprilus simillimus
Systellaspis braueri
Lumpenus sagitta
Hotaria parvula
Thylamys elegans
Lucania goodei
Salmo trutta
Penaeus duororum
Hippocampus subelongatus
Strix aluco
Canthidermis maculata
Strophidon sathete
Phalaenoides glycinae
Haplonycteris fischeri
Coryphaenoides guntheri
Lemur catta
Todarodes pacificus
Oxaea flavescens
Troides aeacus formosanum
Cercopithecus petaurista
Dasyatis fluviorum
Libinia emarginata
Macaca mulatta
Enteroctopus dofleini
Xiphister mucosus
Masticophis flagellum
Isoodon obesulus
Cynops orientalis
Rhinobatos lentiginosus
Pagurus longicarpus
Alouatta sp.
Oplophorus gracilirostris
Melanochromis auratus
Hemigrapsus sanguineus
Crenicichla frenata
Lepidion  eques
Pseudotropheus tropheops
Meningodora miccyla
Cerceris rybyensis
Mesocricetus brandti
Anartia jatrophae
Cupiennius salei
Rhabdamia  Gracilis
Caelorhinchus labiatus
Notonecta undulata
Hydrolagus mirabilis
Paravespula germanica
Scopelarchus analis
Batrachocottus nikolskii
Nautichthys oculofasciatus
Vulpes lagopus
Holtbyrnia spinithara
Polistes dominulus
Bombus terrestris
Melopsittacus undatus
Salvelinus alpinus
Spodoptera exigua
Balanus balanoides
Zalembius rosaceus
Axoclinius carminalis
Bythograea thermydron
Metynnis argenteus
Bero elegans
Sergestes curvatus
Chlorocebus aethiops
Bombus fervidus
Coenobita rugosa
Ostorhinchus Cyanosoma
Rana cracrivora
Menemerus confusus
Anolis lineatopus
Cyttopsis rosea
Engraulis encrasicolus
Chauliodus macouni
Agraulis vanillae
Haematopota sp.
Zalophus californianus
Lethrus apterus
Microcottus sellaris
Oncorhynchus kisutch
Locusta migratoria
Lepomis macrochirus
Ichneumon spp.
Sebastes auriculatus
Gennadas sp.
Epigonus  telescopus
Pavo cristatus
Corvus  frugilegus
Carcinus maenas
Archaeopropona demophon
Dimidiochromis compressiceps
Chromis hanui
Procambarus clarkii
Batrachocottus nicolskii
Typhlops hypomethes
Damalichthys vacca
Sergestes arcticus
Colletes fulgidus
Xenodermichthys  copei
Celastrina argiolus
Phytichthys chirus
Oreocromis niloticus
Fundulus heteroclitus
Gekko gecko
Stomias atriventer
Taeniura lymma
Carcharhinus limbatus
Photuris lucicrescens
Platysaurus broadleyi
Tenthredo scrophulariae
Chiasmodon niger
Dascyllus trimaculatus
Didelphis virginiana
Calypteryx splendens and virgo
Pipilo fuscus
Mauremys reevesii
Pollachius pollachius
Melanonus zugmayeri
Eristalis arbustorum
Astacus leptodactylus
Sephanoides sephanoides
Hemigraspus edwardsi
Peprilus stimillimus
Taurulus bubalis
Trachyscorpia cristulata
Pleuronectes herzensteini
Gonostoma denudatum
Phoca groenlandicus
Geotrypetes seraphini
Cavia porcellus
Liparis pulchellus
Taaningichthys bathyphilus
Carcharhinus leucas
Panorpa communis
Asterropteryx semipunctata
Pseudopleuronectes americanus
Sander lucioperca
Melanotaenia maccullochi
Callistoctopus dierythraeus
Fulgeochlizus bruchii
Callipepla californica
Clupea pallasii
Sebastes maliger
Aglais urticae
Rinocetes nasutus
Alepocephalus australis
Hippocampus angustus
Argynnis ruslana
Otolemur crassicaudatus
Idiosepius notoides
Acanthephyra smithi
Scaphirhynchus albus
Petrolisthes diogenes
Abramis ballerus
Daubentonia madagascariensis
Papilio xuthus
Limenitis archippus astyanax
Rhynchobatus australiae
Chauliognathus pulchellus
Leiothrix lutea
Notonecta glauca
Merluccius merluccius
Naso lituratus
Thunnus albacares
Sepia officinalis
Anas platyrhynchus
Neogonodactylus oerstedii
Procottus jettelesii
Bibio sp.
Cyphocottus eurystomus
Bodianus bilunnulatus
Opsanus tau
Salmo irideus
Hypsurus caryi
Cynotilapia afra
Sergestes similis
Metriaclima livingstonii
Mysis  sp.
Camponotus abdominalis
Gonostoma elongatum
Trygonoptera testacea
Microgadus proximus
Macaca fascicularis
Gonostoma bathyphilum
Apodichthys flavidus
Zanclus cornutus
Dicrolene intronigra
Sesarma cinereum
Pteropus dasymallus
Parapasiphaea sulcatifrons
Brachyistius frenatus
Chaetodon kleini
Scomberomorus sierra
Ips paraconfusus
Eutrigla gurnardus
Myzus persicae
Rhinomuraena quaesita
Xenopeltis unicolor
Synodus variegatus
Panopeus herbstii
Hippoglossoides herzensteini
Maylandia zebra
Serrivomer lanceolatoides
Loligo pealii
Searsia koefoedi
Salmo salar
Saguinus midas
Anolis extremus
Periplaneta americana
Paracottus knerii
Ampelophaga rubiginosa
Lutjanus johnii
Diaphus rafinesqueii
Myotis lucifugus
Procyon lotor
Pomacentrus melanochir
Anchoa mitchilli
Nothoprocta cinerascens
Icelinus borealis
Euphausia superba
Bero elegance
Eucyclogobius newberryi
Alepocephalus bairdii
Typhlonectes natans
Scirtothrips dorsalis
Echiostoma barbatum
Poecilia reticulata
Zebrasoma velifer
Penaeus penicillatus
Chauliodus sloanei
Stomias boa
Ostorhinchus Cookii
Scomber japonicus
Pristiapogon kallopterus
Pieris brassicae
Limanda limanda
Nymphalis xanthomelas
Aptychotrema rostrata
Poecilia reticulata trinidad
Sternoptyx pseudobscura
Systellaspis cristata
Microcebus murinus
Pilumnus sayi
Eurypanopeus depressus
Nematobrachion sexspinosus
Pagothenia borchgrevinki
Bathylagus longirostris
Exorista japonica
Bombus morio
Chlamydera maculata
Dolichonyx orzivorous
Eristalis tenax
Limenitis archippus floridensis
Bombus terrestris dalmatinus
Struthio camelus
Colinus virginianus
Amyelois transitella
Mulloidichthys flavolineatus
Mamestra brassicae
Pithecia pithecia
Lucidina biplagiata
Chimaera monstrosa
Xylocopa brasilianorum
Porichthys notatus
Pseudopleuronectes herzensteini
Ambystoma tigrinum adult
Cottunculus thomsonii
Hemidactylus garnotii
Gasterosteus sp.
Pundamilia luanso
Tarsius syrichta
Bubo virginianus
Partamona helleri
Ichneumon sp.
Urocerus gigas
Acanthropagrus berda
Gekko gekko
Psychrobites paradoxus
Bodianus bilunulatus
Embiotoca lateralis
Ictalurus catus
Cyrtopodion kotschyi
Schistocerca gregaria
Sympetrum sp.
Anolis pulchellus
Pieris rapae crucivora
Myoxocephalus jack
Bathylagus euryops
Mugil cephalus
Tyto alba
Otolemur garnettii
Anoplogaster cornuta
Gobiesox maecmdricus
Tarsipes rostratus
Anolis gundlachi
Glossophaga soricina
Neomysis integer
Pholidapus dybowsky
Copadichromis borleyi
Lestrimelitta limao
Turdus merula
Tinca tinca
Gasterosteus aculeatus
Plocepasser mahali
Leptocottus armatus
Ligia exotica
Spermophilus beecheyi
Nemichthys scolopaceus
Lepidopsetta polyxystra
Kuhlia sandvicensis
Trigla cuculus
Haplochromis piceatus
Melopsittacus undalatus
Photonectes braueri
Chloebia gouldiae
Meriones unguiculatus
Pyrocoelia sp.
Helicoverpa armigera
Hymenodora frontalis
Musca domestica
Spermophilus tridecemline
Chelidonichthys lucerna
Triglops pingelii
Lampanyctus regalis
Ochlodes venata
Tabanus nigrovittatus
Hemimysis anomala
Archaeomysis grebnitzkii
Heliconius numata
Dimecoenia spinosa
Crangon allmani
Chromis punctipinnis
Frankliniella occidentalis
Portunus trituberculatus
Aulostomus chinensis
Pundamilia au
Cataglyphis bombycinus
Platichthys flesus
Spicara smaris
Tramitichromis  intermedius
Mysis salemaai
Procottus jettelesi
Toxotes chatareus
Aeshna tuberculifera
Atrophaneura alcinous
Blatella germanica
Leuroglosus stilbius
Chromis vanderbilti
Vespula germanica
Pseudotropheus  acei
Speyeria leto
Gonostoma bathyphilium
Ptilichthys goodei
Orconectes virilis
Blatta orientalis
Allograpta obliqua
Carassius auratus
Rouleina maderensis
Cyphonocerus rufficolis
Lycaena heteronea
Mora moro
Marosatherina ladigesi
Sargocentron diadema
Geryon quinquedens
Lampanyctus festivus
Gadus macrocephalus
Rhinatrema bivittatum
Atherinops affinis
Papio papio
Pachystomias microdon
Xenos peckii
Dromiceius novae-hollandiae
Melipona quadrifasciata
Rana temporaria
Pungitius pungitius
Arothron meleagris
Dolichovespula norwegica
Lampanyctus crocodilus
Ischnura elegans
Pygopleurus israelitus
Ambystoma tigrinum hatchling
Sebastolobus alascanus
Cottinella boulengeri
Howella sherborni
Neomysis americana
Plagiotremus rhinorhynchos
Elephas maximus
Ichthyocossus ovatus
Sphodromantis sp.
Heliothis virescens
Oxea flavescens
Lycaena dorcas
Danaus plexippus
Lampanyctus alatus
Graphium sarpedon
Andrena florea
Lissotriton vulgaris
Cerceris rybynensis
Stegastes fasciolatus
Archaeoprepona demophon
Anolis stratulus
Esox lucius
Argyropelecus aculeatus
Phassus excrescens
Comephorus dybowskii
Liparis dennyi
Gobiusculus flavescens
Chelidonichthys lucernus
Didelphis aurita
Heliconius erato
Hapalochlaena maculosa
Limnocottus griseus
Sepioteuthis lessoniana
Dardanus fucosus
Myoxocephalus potyacanthocephalus
Hemicordulia tau
Boa constrictor
Melecta punctata
Myoxocephalus brandti
Trematomus hansoni
Cephonodes hylas
Luciola sp.
Helostoma temminkii
Embiotoca jacksoni
Caranx hippos
Antimora  rostrata
Adoxophyes orana
Callinectes ornatus
Bombus terrestris sassaricus
Trigona spinipes
Mysis relicta
Scardinius erythrophthalmus
Papilo bianor
Halosauropsis macrochir
Pasiphaea suspirosum
Myripristis berndti
Oplophorus spinosus
Bathylagus bericoides
Gymnura australis
Lonchura malabarica
Orconectes rusticus
Heliconius hecale
Asprocottus intermediius
Jasus edwardsii
Cheirogaleus medius
Marumba sperchius
Samia cynthia ricini
Ruscarius meanyi
Hypomesus pretiosus
Porogradus sp.
Myoxocephalus quadricornis
Sergia maximus
Engraulis japonicus
Carcharhinus acronotus
Pleuroncodes planipes
Octopus australis
Bonapartia pedalioita
Sargocentron punctatissimum
Coregonus clupeoides
Molothrus ater
Carabus nemoralis
Cottocomephorus grewingkii
Payasandisia archon
Accipiter nisus
Pergavor aspricaudus
Cyttopsis roseus
Acanthurus triostegus
Vespula vulgaris
Acanthephyra microphthalma
Scorpaena porcus
Abudefduf abdominalis
Bibio marci
Lutjanus russellii
Benthosema suborbitale
Trygonorrhina fasciata
Centroswcymnus coleolepis
Anoplarchus purpurescens
Eustomias obscurus
Scenopoetes dentirostris
Hyperoplus lanceolatus
Plexippus validus
Hemidactylus frenatus
Parvus  caeruleus
Dineutus ciliatus
Derichthys serpentinus
Dasyatis kuhlii
Chromis ovalis
Ptilorhynchus violaceus
Anthophora acervorum
Megalocottus platycephalus
Poromitra megalops
Hariotta raleighana
Luicola cruciata
Nematobrachion boopis
Sternoptyx diaphana
Lyopsetta exilis
Oligocottus maculosus
Sergia splendens
Bombus distinguendis
Chaetodon unimaculatus
Lutjanus kasmira
Nomada alboguttata
Felis catus
Argyropelecus gigas
Rhinoptera bonasus
Petrolisthes elongates
Spheniscus humboldti
Alosa kessleri
Centropristis striata
Furcifer pardalis
Evermannella balbo
Zoarces viviparus
Hemitripterus villosus
Myrmecia croslandi
Ameiurus catus
Megalocottus  platycephalus
Parage aegeria
Phoca vitulina
Gonodactylus smithii
Metriaclima emmiltos
Coturnix  japonica
Haplochromis azurea
Cataglyphis aenescens
Thomomys bottae
Rana catesbeiana larvae
Ernogrammus hexagrammus
Lycodes pacificus
Haplochromis nyererei
Liparis  greeni
Gonodactylaceus falcatus
Papilio maackii
Nephrops norvegicus
Bathysaurus ferox
Aetobatus narinari
Praunus inermis
Puntigrus tetrazona
Sphyrna lewini
Limanda aspera
Orectolobus ornatus
Neope goschkevitschii
Anilius scytale
Apis mellifera
Melanostigma pammelas
Coryphopterus nicholsii
Chaetodon kleinii
Squalus suckleyi
Coryphaenoides profundicolus
Xenodermichthys copei
Cicindela japonica
Melanochromis vermivorus
Lutjanus erythropterus
Photostomias braueri
Lycaena phlaeas
Gymnocanthus pistilliger
Sargocentron spiniferum
Sturnus vulgaris
Cleisthenes herzensteini
Zebrasoma veliferum
Praunus flexuosus
Carollia perspicillata
Erythrocebus patas
Lutjanus adetii
Acipenser baerii
Loxodonta africana
Janicella spinacauda
Gonodactylus oerstedii
Chirostomias pliopterus
Columba livia
Dissostichus mawsoni
Metriaclima zebra
Seriphus politus
Hyperprosopon argenteum
Argiope amoena
Acantholumpenus mackayi
Ovis aries
Passer domesticus
Parnassius glacialis
Zonotrichia leucophrys
Bowmaniella sp.
Leocottus kesslerii
Gnathophausia ingens
Corixa punctata
Argiope bruennichi
Lasioglossum albipes
Neonesthes capensis
Crotaphytus dickersonae
Ichneumon stramentrius
Odontodactylus brevirostris
Schwarziana sp
Sebastes empaeus
Metriaclima benetos
Polygonia c-album
Oncorhynchus tshawytscha
Spermophilus lateralis
Xiphister  atropurpureus
Coryphaenoides armatus
Cottocomephorus grewingki
Platytroctes apus
Asteropteryx semipunctatus
Danio rerio
Homo sapiens
Ambystoma tigrinum aquatic
Haplochromis burtoni
Neoniphon aurolineatus
Gobius paganellus
Lucilia (Phaenicia) serricata
Hipposideros speoris
Cataetyx laticeps
Ailuroedus crassirostris
Stylopandalus richardi
Rynchophorus ferrugineus
Hydrolagus colliei
Taeniopygia guttata
Sebastes caurinus
Hemitripterus americanus
Acipenser fulvescens
Palaemonetes paladosus
Ameiurus melas
Dama dama
Stigmatopora argus
Sargocentron microstoma
Curtos sp.
Syrphus sp.
Lepilemur ruficaudatus
Drosophilia melanogaster
Vespo crabro
Oplophorus sp.
Engaeus cunicularius
Eulemur fulvus
Pseudozizeeria maha
Paravespula vulgaris
Lutzomyia longipalpis
Etroplus suratensis
Podothecus acipenserinus
Haptosquilla trispinosa
Cicindela specularis
Cimex lectularius
Merluccius productus
Hippoglossoides elassodon
Scopelogadus beanii
Artedius meanyi
Stichaeus grigorjewi
Dasycottus setiger
Papilio aegeus
Hemisquilla ensigera
Chromis verater
Photinus versicolor
Amandina fasciata
Ichthyophis kohtaoensis
Melanphaes canthomus
Sergia phorcus
Ichthyococcus ovatus
Sarda chiliensis
Theragra chalcogramma
Heliconius erato petiverana
Lutjanus carponotatus
Nothoprocta cinerascens cinerascens
Polyipnus polli
Arctia plantaginis
Sardinops sagax
Sigmops bathyphilus
Histiobranchus bathybius
Artedius fenestrates
Triglopsis quadricornis
Phronima sedenteria
Trichechus manatus
Diaphus holti
Photinus macdermotti
Bombyx mori
Zenaida macroura
Hemilepidotus hemilepidotus
Cynops pyrrhogaster
Otus asio
Electrona risso
Coryphaenoides leptolepis
Polygonia c-aureum
Xiphydria camelus
Gryllus bimaculatus
Equus caballus
Pomatoschistus minutus
Mustelus henlei
Anolis cristatellus
Stichaeus nozawae
Typhlops platycephalus
Alligator mississippiensis
Naso unicornis
Galago senegalensis
Meleagris  galoparvo
Hypsiglena torquata
Buteo jamaicensis
Schwarziana sp.
Bassozetus compressus
Stizostedion lucioperca
Hymenodora glacialis
Anas  platyrhynchos
Zoramia  Leptacanthus
Phytichthys  chirus
Amphilophus longimanus
Lutjanus sebae
Paralabrax clathratus
Hexagrammos decagrammus
Eurypharynx pelecanoides
Malacocephalus laevis
Forcipiger flavissimus
Gennadas valens
Proxylocopa sp.
Photinus pyralis
Myrmecia gulosa
Triakis semifasciata
Drosophila melanogaster
Pagurus pollicaris
Acipenser medirostrus
Calliphora vicina
Anolis evermanni
Aristostomias tittmani
Plesionika martia
Enophrys bison
Rattus rattus
Dendroctonus pseudotsugae
Lysiosqullia sulcata
Chlorophthalmus sp.
Tursiops truncates
Albula vulpes
Octodon degus
Acipenser medirostris
Caretta caretta
Phodopus sungorus
Carcharhinus amblyrhynchos
Acartia tonsa
Phalaenoptilus nuttallii
Euprymna tasmanica
Sericulus crysocephalus
Ephestia cautella
Syrphus balteatus
Astyanax fasciatus
Sargocentron tiere
Lates calcarifer
Palaemonetes vulgaris
Syngnathus typhle
Lymantria dispar
Opisthocentrus ocellatus
Cymatogaster aggregata
Bombus hortorum
Bothragonus swani
Micropterus salmoides
Glaucostegus typus
Notostomus gibbosus
Euphausia pacifica
Talitrus saltator
Ischnura heterosticta
Anolis bahorucoensis
Thermonectus maromoratus
Chirolophis japonicus
Melanostomias niger
Ctenophorus decresii
Artedius harringtoni
Oeneis chryxus
Photinus marginellus
Gymnocanthus intermedius
Protomelas taeniolatus
Pergavor spilosoma
Metriaclima barlowi
Syngnathus leptorhynchus
Coroebus undatus
Conocara salmonea
Eulemur fulvus fulvus
Anas playrhnchos domesticus
Leptinotarsa decemlineata
Sargocentron xantherythrum
Notacanthus bonapartei
Ostracion meleagris
Funchalia villosa
Hemigraspus sanguineus
Hepatus epheliticus
Tripedalia cystophora
Tetrapturus audax
Protaetia brevitarsis
Margrethia obtusirostra
Glaucomys sabrinus
Callonychium petuniae
Nephotettix cincticeps
Lysiosquillina maculate
Pasiphaea multidentata
Geomys bursarius
Salmo trutta trutta
Stenobrachius leucopsarus
Argyropelecus hemigymnus
Pyrophorus divergens
Serinus canaria
Poecilia parae
Pavo  cristatus
Himantura fai
Leptotyphlops sp.
Anolis conspersus
Bassozetus compresis
Parus caeruleus
Meganyctiphanes norvegica
Coenobita clypeatus
Gaidropsarus mediterraneus
Thysanopoda acutifrons
Geotria australis
Rhamphocottus richardsonii
Uca pugilator
Elops  saurus
Neogonodactylus curacaoensis
Platyberyx opalescens
Hexagrammos octogrammus
Mysis relicta sp.I
Chauliodus sloani
Vulpes vulpes
Minois dryas
Gryllus campestris
Gonodactylopsis spongicola
Samia cyntia ricini
Paracheirodon innesi
Synaphobranchus kaupii
Arizona elegans
Clibanarius vittatus
Hemidactylus turcicus
Alburnus alburnus
Mantispa styriaca
Limenitis archippus
Arachnocampa luminosa
Caprimulgus europaeus
Platichthys stellatus
Sasakia charonda
Euphydryas chalcedona
Microstomus pacificus
Panopeus obesus
Hemigrapsus sanguinensis
Bombus lapidarius
Nannobrachium atrum
Odontodactylus havanensis
Citellus lateralis
Deania calcea
Anas platyrhynchos domesiticus
