Panulirus argus
Neoniphon sammara
Rouleina aderensis
Danio malabaricus
Ictalurus melas
Pieris rapae
Cyrtopodion caspium
Tupaia glis
Poromitra capito
Luciola lateralis
Carcharhinus amboinensis
Coryphaenoides carapinus
Formica polyctena
Condylostylus japonicus
Pleurogrammus azonus
Bombus monticola
Pieris melete
Osmia rufa
Cambarellus schufeldtii
Mylochromis lateristriga
Ostorhinchus Doederleini
Octopus tetricus
Psychrolutes paradoxus
Pagurus annulipes
Systellaspis debilis
Cottocomephorus inermis
Ctenomys talarum
Sesarma reticulatum
Diaphus rafinesquei
Trachurus mediterraneus
Myoxocephalus stelleri
Homarus gammarus
Rana pipiens
Leptograpsus variegatus
Eumicrotremus orbis
Jordanella floridae
Mullus barbatus
Epicopeia hainesii
Cyrtopodion fedtschenkoi
Mysis relicta sp.IV
Portunus spinimanus
Ctenochaetus strigosus
Globicephala melas
Mysis diluviana
Notoscopelus resplendens
Formica cunicularia
Gallus gallus
Nectamia  Savayensis
Carpodacus mexicanus
Leptograspus variegatus
Nothoprocta perdicaria sanborni
Holmesimysis costata
Lutjanus malabaricus
Carabus auratus
Gonepteryx aspasia
Rhagoph-thalmus ohbai
Cambarellus shufeldtii
Photinus collustrans
Tenthredo campestris
Nematoscelis megalops
Isodon obesulus
Anguilla bicolor
Sphoeroides annulatus
Pullosquilla thomassini
Barbantus curvifrons
Lutjanus argentimaculatus
Carcharhinus obscurus
Cataglyphis bicolor
Stichaeus grigorjevi
Blepsias cirrhosus
Procambarus milleri
Camponotus blandus
Makaira nigricans
Lepidopsetta bilineata
Cicindela chinensis
Jordania zonope
Estrilda troglodytes
Lonchura maja
Heliconius charithonia
Sigmops elongatus
Nansenia longicauda
Bolinichthys indicus
Lobianchia gemellarii
Simulium sp.
Balanus eburneus
Hoplostethus mediterraneus mediterraneus
Rutilis rutilis
Engraulis mordax
Micropoecilia parae
Pleuronectes asper
Photuris frontalis
Cyrtodiopsis dalmanni
Rouleina attrita
Speotyto cunicularia
Borostomias elucens
Phidippus regius
Ostrinia nubilalis
Gonodactylellus affinis
Actias artemis aliena
Buteo buteo
Sergia robustus
Parantica sita
Enophrys diceraus
Aotus trivirgatus
Photostomias guernei
Orectolobus maculatus
Neochmia modesta
Neomysis mercedis
Corvus frugilegus
Rhea americana
Rimicaris exoculata
Squilla empusa
Hemigrapsus edwardsii
Plesiopenaeus armatus
Lycaena nivalis
Potos flavus
Cebus spp.
Asterocampa leilia
Notonecta irrorata
Acanthopagrus butcheri
Anthidium manicatum
Trichodon trichodon
Batrachocottus multiradiatus
Deilephila elpenor
Bathylagus greyae
Zebrasoma flavescens
Bombus dahlbomii
Notonecta insulata
Acanthurus achilles
Arichanna gaschkevitchii
Cercopithecus cephus
Ichthyophis cf. kohtaoensis
Haplochromis pyrrhocephalus
Parophrys vetulus
Aequidens pulcher
Poecilia formosa
Chaceon affinis
Upeneus tragula
Leontopithecus rosalia rosalia
Halargyreus johnsonii
Astacus fluviatus
Rhinobatus typus
Chamaeleo dilepis
Acyrthosiphon pisum
Lampadena speculigera
Batrachocottus baicalensis
Bathophilus brevis
Microstoma microstoma
Bentheogennema intermedia
Abyssocottus korotneffi
Anguilla Anguilla
Phycis blennoides
Pasiphaea chacei
Rhizoprionodon taylori
Ammodytes hexapterus
Radiicephalus elongatus
Melipona marginata
Libinia dubia
Anableps anableps
Trachurus symmetricus
Stylocheiron maximum
Papilio achaon
Cancer irroratus
Gobiesox maeandricus
Lipophyrs pholis
Chlamydera nuchalis
Opisthoproctus grimaldii
Liparis florae
Sebastes flavidus
Callambulyx tatarinovii
Dendrochirus zebra
Notostomus elegans
Pervagor aspricaudus
Asterocampa celtis
Limenitis lorquini
Paromola cuvieri
Pholis omata
Libellula needhami
Acanthropagrus schlegelii
Canis lupus familiaris
Nothoprocta perdicaria
Panorpa cognata
Rhithropanopeus harrisii
Astatotilapia burtoni
Pseudosquilla ciliata
Chelostoma florisomne
Stylephorus chordatus
Chrysoperla carnea
Melamphaes suborbitalis
Psettichthys melanostictus
Tarentola chazaliae
Photostylus sp.
Tarsius bancanus
Rana catesbeiana
Synaphobranchus kaupi
Lipophrys pholis
Sepia plangon
Leptidae amurensis
Cercopithecus diana
Saguinus fuscicollis
Dermogenys pusilla
Panopeus herbtii
Junonia coenia
Hexagrammos octagrammus
Stichaeopsis nana
Aeschna cyanea and mixta
Dascyllus albisella
Sufflamen bursa
Antherea polyphemus
Lepisosteus platostomus
Sardinops melanostictus
Osmerus dentex
Ballerus ballerus
Calliphora erythrocephala
Thysanopoda orientalis
Tenodera sinensis
Mirounga angustirostri
Uca thayeri
Parnara guttata
Pleurogrammus  azonus
Hoplostethus atlanticus
Agonopsis vulsa
Pundamila sp.
Nomada albogutata
Aeschna cyanea
Liparis greeni
Papilio protenor
Kali macrodon
Pseudotropheus acei
Perca fluviatilis
Scaphirhynchus platorynchus
Lasioglossum malachurum
Sagiunus midas
Ctenophorus ornatus
Heteromysis formosa
Antimora rostrata
Puffinus puffinus
Clinocottus globiceps
Artedius fenestralis
Lampanychtus ater
Geoclemys reevesii
Cebus sp.
Lepidorhombus boscii
Teratoscincus scincus
Fabriciana adippe
Brachydanio rerio
Acanthephyra curtirostris
Mysis mixta
Callinectes sapidus
Cloridopsis dubia
Diaphus lucidus
Calappa flammea
Oreochromis nilocticus
Python regius
Ophiodon elongatus
Bathysaurus mollis
Lepidion eques
Saguinus oedipus
Cottus sp.
Canthidermis maculatus
Acerina cernua
Echinomacrurus mollis
Pholis laeta
Abramis brama
Hemidactylus platyurus
Vanessa cardui
Synathedon tipulif ormis
Sympetrum rubicundulum
Argentina silus
Artemia salina
Galago crassicauda
Lampetra fluviatilis
Ichneumon stramentarius
Eigenmannia virescens
Pteropus samoensis
Pullosquilla litoralis
Aphanopus  carbo
Toxomerus marginatus
Peprilus simillimus
Systellaspis braueri
Lumpenus sagitta
Hotaria parvula
Penaeus duororum
Hippocampus subelongatus
Strix aluco
Canthidermis maculata
Strophidon sathete
Phalaenoides glycinae
Haplonycteris fischeri
Coryphaenoides guntheri
Oxaea flavescens
Cercopithecus petaurista
Dasyatis fluviorum
Libinia emarginata
Enteroctopus dofleini
Xiphister mucosus
Masticophis flagellum
Cynops orientalis
Rhinobatos lentiginosus
Pagurus longicarpus
Alouatta sp.
Oplophorus gracilirostris
Lepidion  eques
Pseudotropheus tropheops
Meningodora miccyla
Cerceris rybyensis
Mesocricetus brandti
Anartia jatrophae
Rhabdamia  Gracilis
Caelorhinchus labiatus
Notonecta undulata
Hydrolagus mirabilis
Paravespula germanica
Batrachocottus nikolskii
Nautichthys oculofasciatus
Vulpes lagopus
Holtbyrnia spinithara
Polistes dominulus
Melopsittacus undatus
Balanus balanoides
Zalembius rosaceus
Axoclinius carminalis
Bythograea thermydron
Metynnis argenteus
Bero elegans
Sergestes curvatus
Chlorocebus aethiops
Bombus fervidus
Coenobita rugosa
Ostorhinchus Cyanosoma
Rana cracrivora
Menemerus confusus
Anolis lineatopus
Cyttopsis rosea
Agraulis vanillae
Haematopota sp.
Lethrus apterus
Microcottus sellaris
Oncorhynchus kisutch
Locusta migratoria
Lepomis macrochirus
Ichneumon spp.
Sebastes auriculatus
Gennadas sp.
Epigonus  telescopus
Pavo cristatus
Corvus  frugilegus
Carcinus maenas
Archaeopropona demophon
Chromis hanui
Batrachocottus nicolskii
Typhlops hypomethes
Damalichthys vacca
Sergestes arcticus
Colletes fulgidus
Xenodermichthys  copei
Celastrina argiolus
Phytichthys chirus
Oreocromis niloticus
Gekko gecko
Stomias atriventer
Taeniura lymma
Carcharhinus limbatus
Photuris lucicrescens
Tenthredo scrophulariae
Chiasmodon niger
Didelphis virginiana
Calypteryx splendens and virgo
Pipilo fuscus
Pollachius pollachius
Melanonus zugmayeri
Eristalis arbustorum
Astacus leptodactylus
Sephanoides sephanoides
Hemigraspus edwardsi
Peprilus stimillimus
Taurulus bubalis
Trachyscorpia cristulata
Pleuronectes herzensteini
Gonostoma denudatum
Phoca groenlandicus
Geotrypetes seraphini
Liparis pulchellus
Taaningichthys bathyphilus
Carcharhinus leucas
Panorpa communis
Asterropteryx semipunctata
Melanotaenia maccullochi
Callistoctopus dierythraeus
Fulgeochlizus bruchii
Callipepla californica
Clupea pallasii
Sebastes maliger
Aglais urticae
Rinocetes nasutus
Alepocephalus australis
Hippocampus angustus
Argynnis ruslana
Idiosepius notoides
Acanthephyra smithi
Scaphirhynchus albus
Petrolisthes diogenes
Abramis ballerus
Limenitis archippus astyanax
Rhynchobatus australiae
Chauliognathus pulchellus
Leiothrix lutea
Notonecta glauca
Merluccius merluccius
Naso lituratus
Thunnus albacares
Anas platyrhynchus
Procottus jettelesii
Bibio sp.
Bodianus bilunnulatus
Opsanus tau
Salmo irideus
Hypsurus caryi
Cynotilapia afra
Sergestes similis
Metriaclima livingstonii
Mysis  sp.
Camponotus abdominalis
Gonostoma elongatum
Trygonoptera testacea
Microgadus proximus
Gonostoma bathyphilum
Apodichthys flavidus
Zanclus cornutus
Dicrolene intronigra
Sesarma cinereum
Pteropus dasymallus
Parapasiphaea sulcatifrons
Chaetodon kleini
Scomberomorus sierra
Ips paraconfusus
Eutrigla gurnardus
Myzus persicae
Rhinomuraena quaesita
Synodus variegatus
Panopeus herbstii
Hippoglossoides herzensteini
Serrivomer lanceolatoides
Loligo pealii
Searsia koefoedi
Saguinus midas
Anolis extremus
Paracottus knerii
Lutjanus johnii
Diaphus rafinesqueii
Procyon lotor
Pomacentrus melanochir
Anchoa mitchilli
Nothoprocta cinerascens
Icelinus borealis
Bero elegance
Eucyclogobius newberryi
Alepocephalus bairdii
Typhlonectes natans
Scirtothrips dorsalis
Echiostoma barbatum
Zebrasoma velifer
Penaeus penicillatus
Chauliodus sloanei
Stomias boa
Ostorhinchus Cookii
Scomber japonicus
Pristiapogon kallopterus
Limanda limanda
Nymphalis xanthomelas
Aptychotrema rostrata
Sternoptyx pseudobscura
Systellaspis cristata
Pilumnus sayi
Eurypanopeus depressus
Nematobrachion sexspinosus
Bathylagus longirostris
Exorista japonica
Bombus morio
Chlamydera maculata
Dolichonyx orzivorous
Eristalis tenax
Limenitis archippus floridensis
Mulloidichthys flavolineatus
Pithecia pithecia
Lucidina biplagiata
Chimaera monstrosa
Xylocopa brasilianorum
Porichthys notatus
Pseudopleuronectes herzensteini
Cottunculus thomsonii
Hemidactylus garnotii
Gasterosteus sp.
Pundamilia luanso
Tarsius syrichta
Bubo virginianus
Partamona helleri
Ichneumon sp.
Urocerus gigas
Acanthropagrus berda
Gekko gekko
Psychrobites paradoxus
Bodianus bilunulatus
Embiotoca lateralis
Ictalurus catus
Cyrtopodion kotschyi
Schistocerca gregaria
Sympetrum sp.
Anolis pulchellus
Pieris rapae crucivora
Myoxocephalus jack
Bathylagus euryops
Anoplogaster cornuta
Gobiesox maecmdricus
Anolis gundlachi
Neomysis integer
Pholidapus dybowsky
Copadichromis borleyi
Lestrimelitta limao
Turdus merula
Tinca tinca
Plocepasser mahali
Leptocottus armatus
Ligia exotica
Spermophilus beecheyi
Nemichthys scolopaceus
Photonectes braueri
Kuhlia sandvicensis
Trigla cuculus
Haplochromis piceatus
Melopsittacus undalatus
Chloebia gouldiae
Pyrocoelia sp.
Hymenodora frontalis
Spermophilus tridecemline
Chelidonichthys lucerna
Triglops pingelii
Lampanyctus regalis
Ochlodes venata
Tabanus nigrovittatus
Hemimysis anomala
Archaeomysis grebnitzkii
Dimecoenia spinosa
Crangon allmani
Chromis punctipinnis
Frankliniella occidentalis
Portunus trituberculatus
Aulostomus chinensis
Pundamilia au
Cataglyphis bombycinus
Platichthys flesus
Spicara smaris
Mysis salemaai
Procottus jettelesi
Toxotes chatareus
Aeshna tuberculifera
Atrophaneura alcinous
Blatella germanica
Leuroglosus stilbius
Chromis vanderbilti
Vespula germanica
Pseudotropheus  acei
Speyeria leto
Gonostoma bathyphilium
Ptilichthys goodei
Orconectes virilis
Blatta orientalis
Allograpta obliqua
Carassius auratus
Rouleina maderensis
Cyphonocerus rufficolis
Lycaena heteronea
Mora moro
Marosatherina ladigesi
Geryon quinquedens
Lampanyctus festivus
Rhinatrema bivittatum
Atherinops affinis
Papio papio
Pachystomias microdon
Xenos peckii
Dromiceius novae-hollandiae
Melipona quadrifasciata
Arothron meleagris
Dolichovespula norwegica
Lampanyctus crocodilus
Pygopleurus israelitus
Sebastolobus alascanus
Cottinella boulengeri
Howella sherborni
Neomysis americana
Plagiotremus rhinorhynchos
Ichthyocossus ovatus
Sphodromantis sp.
Heliothis virescens
Oxea flavescens
Lycaena dorcas
Danaus plexippus
Lampanyctus alatus
Andrena florea
Lissotriton vulgaris
Cerceris rybynensis
Archaeoprepona demophon
Stegastes fasciolatus
Anolis stratulus
Argyropelecus aculeatus
Phassus excrescens
Comephorus dybowskii
Liparis dennyi
Gobiusculus flavescens
Chelidonichthys lucernus
Hapalochlaena maculosa
Limnocottus griseus
Sepioteuthis lessoniana
Dardanus fucosus
Myoxocephalus potyacanthocephalus
Hemicordulia tau
Boa constrictor
Melecta punctata
Myoxocephalus brandti
Trematomus hansoni
Luciola sp.
Helostoma temminkii
Caranx hippos
Antimora  rostrata
Adoxophyes orana
Callinectes ornatus
Trigona spinipes
Mysis relicta
Scardinius erythrophthalmus
Papilo bianor
Halosauropsis macrochir
Pasiphaea suspirosum
Oplophorus spinosus
Bathylagus bericoides
Gymnura australis
Lonchura malabarica
Orconectes rusticus
Asprocottus intermediius
Jasus edwardsii
Marumba sperchius
Samia cynthia ricini
Ruscarius meanyi
Hypomesus pretiosus
Porogradus sp.
Myoxocephalus quadricornis
Sergia maximus
Carcharhinus acronotus
Pleuroncodes planipes
Octopus australis
Bonapartia pedalioita
Coregonus clupeoides
Carabus nemoralis
Cottocomephorus grewingkii
Payasandisia archon
Accipiter nisus
Pergavor aspricaudus
Cyttopsis roseus
Acanthephyra microphthalma
Acanthurus triostegus
Scorpaena porcus
Abudefduf abdominalis
Bibio marci
Lutjanus russellii
Benthosema suborbitale
Trygonorrhina fasciata
Centroswcymnus coleolepis
Anoplarchus purpurescens
Eustomias obscurus
Scenopoetes dentirostris
Hyperoplus lanceolatus
Plexippus validus
Parvus  caeruleus
Dineutus ciliatus
Derichthys serpentinus
Dasyatis kuhlii
Chromis ovalis
Ptilorhynchus violaceus
Anthophora acervorum
Megalocottus platycephalus
Poromitra megalops
Hariotta raleighana
Luicola cruciata
Nematobrachion boopis
Sternoptyx diaphana
Lyopsetta exilis
Oligocottus maculosus
Sergia splendens
Bombus distinguendis
Chaetodon unimaculatus
Lutjanus kasmira
Nomada alboguttata
Felis catus
Argyropelecus gigas
Rhinoptera bonasus
Petrolisthes elongates
Spheniscus humboldti
Alosa kessleri
Furcifer pardalis
Evermannella balbo
Zoarces viviparus
Hemitripterus villosus
Myrmecia croslandi
Ameiurus catus
Megalocottus  platycephalus
Parage aegeria
Gonodactylus smithii
Metriaclima emmiltos
Coturnix  japonica
Haplochromis azurea
Cataglyphis aenescens
Thomomys bottae
Rana catesbeiana larvae
Ernogrammus hexagrammus
Lycodes pacificus
Haplochromis nyererei
Liparis  greeni
Gonodactylaceus falcatus
Papilio maackii
Nephrops norvegicus
Bathysaurus ferox
Aetobatus narinari
Praunus inermis
Puntigrus tetrazona
Sphyrna lewini
Limanda aspera
Orectolobus ornatus
Neope goschkevitschii
Anilius scytale
Melanostigma pammelas
Coryphopterus nicholsii
Chaetodon kleinii
Squalus suckleyi
Coryphaenoides profundicolus
Xenodermichthys copei
Cicindela japonica
Photostomias braueri
Lycaena phlaeas
Gymnocanthus pistilliger
Sargocentron spiniferum
Cleisthenes herzensteini
Zebrasoma veliferum
Praunus flexuosus
Erythrocebus patas
Lutjanus adetii
Loxodonta africana
Janicella spinacauda
Gonodactylus oerstedii
Chirostomias pliopterus
Metriaclima zebra
Seriphus politus
Hyperprosopon argenteum
Argiope amoena
Acantholumpenus mackayi
Bowmaniella sp.
Leocottus kesslerii
Gnathophausia ingens
Corixa punctata
Lasioglossum albipes
Neonesthes capensis
Crotaphytus dickersonae
Ichneumon stramentrius
Odontodactylus brevirostris
Schwarziana sp
Sebastes empaeus
Metriaclima benetos
Polygonia c-album
Oncorhynchus tshawytscha
Spermophilus lateralis
Xiphister  atropurpureus
Coryphaenoides armatus
Cottocomephorus grewingki
Platytroctes apus
Asteropteryx semipunctatus
Neoniphon aurolineatus
Gobius paganellus
Hipposideros speoris
Cataetyx laticeps
Ailuroedus crassirostris
Stylopandalus richardi
Rynchophorus ferrugineus
Hydrolagus colliei
Taeniopygia guttata
Sebastes caurinus
Hemitripterus americanus
Acipenser fulvescens
Palaemonetes paladosus
Ameiurus melas
Stigmatopora argus
Sargocentron microstoma
Curtos sp.
Syrphus sp.
Lepilemur ruficaudatus
Drosophilia melanogaster
Vespo crabro
Oplophorus sp.
Engaeus cunicularius
Eulemur fulvus
Pseudozizeeria maha
Paravespula vulgaris
Etroplus suratensis
Podothecus acipenserinus
Haptosquilla trispinosa
Cicindela specularis
Merluccius productus
Hippoglossoides elassodon
Scopelogadus beanii
Artedius meanyi
Stichaeus grigorjewi
Dasycottus setiger
Papilio aegeus
Hemisquilla ensigera
Chromis verater
Photinus versicolor
Amandina fasciata
Ichthyophis kohtaoensis
Melanphaes canthomus
Sergia phorcus
Ichthyococcus ovatus
Sarda chiliensis
Theragra chalcogramma
Lutjanus carponotatus
Nothoprocta cinerascens cinerascens
Polyipnus polli
Arctia plantaginis
Sardinops sagax
Sigmops bathyphilus
Histiobranchus bathybius
Artedius fenestrates
Triglopsis quadricornis
Phronima sedenteria
Diaphus holti
Photinus macdermotti
Zenaida macroura
Hemilepidotus hemilepidotus
Cynops pyrrhogaster
Otus asio
Electrona risso
Coryphaenoides leptolepis
Polygonia c-aureum
Xiphydria camelus
Equus caballus
Mustelus henlei
Anolis cristatellus
Stichaeus nozawae
Typhlops platycephalus
Naso unicornis
Meleagris  galoparvo
Buteo jamaicensis
Schwarziana sp.
Bassozetus compressus
Stizostedion lucioperca
Hymenodora glacialis
Zoramia  Leptacanthus
Phytichthys  chirus
Amphilophus longimanus
Lutjanus sebae
Paralabrax clathratus
Hexagrammos decagrammus
Eurypharynx pelecanoides
Malacocephalus laevis
Forcipiger flavissimus
Gennadas valens
Proxylocopa sp.
Myrmecia gulosa
Triakis semifasciata
Pagurus pollicaris
Acipenser medirostrus
Anolis evermanni
Plesionika martia
Enophrys bison
Dendroctonus pseudotsugae
Lysiosqullia sulcata
Chlorophthalmus sp.
Tursiops truncates
Albula vulpes
Acipenser medirostris
Phodopus sungorus
Acartia tonsa
Phalaenoptilus nuttallii
Euprymna tasmanica
Sericulus crysocephalus
Ephestia cautella
Syrphus balteatus
Astyanax fasciatus
Sargocentron tiere
Palaemonetes vulgaris
Lymantria dispar
Opisthocentrus ocellatus
Cymatogaster aggregata
Bombus hortorum
Bothragonus swani
Micropterus salmoides
Notostomus gibbosus
Euphausia pacifica
Talitrus saltator
Ischnura heterosticta
Anolis bahorucoensis
Chirolophis japonicus
Melanostomias niger
Ctenophorus decresii
Artedius harringtoni
Gymnocanthus intermedius
Protomelas taeniolatus
Pergavor spilosoma
Metriaclima barlowi
Syngnathus leptorhynchus
Coroebus undatus
Conocara salmonea
Anas playrhnchos domesticus
Sargocentron xantherythrum
Notacanthus bonapartei
Ostracion meleagris
Funchalia villosa
Hemigraspus sanguineus
Hepatus epheliticus
Tetrapturus audax
Margrethia obtusirostra
Glaucomys sabrinus
Callonychium petuniae
Lysiosquillina maculate
Pasiphaea multidentata
Geomys bursarius
Argyropelecus hemigymnus
Pyrophorus divergens
Serinus canaria
Pavo  cristatus
Himantura fai
Leptotyphlops sp.
Anolis conspersus
Bassozetus compresis
Parus caeruleus
Meganyctiphanes norvegica
Coenobita clypeatus
Gaidropsarus mediterraneus
Thysanopoda acutifrons
Rhamphocottus richardsonii
Uca pugilator
Elops  saurus
Neogonodactylus curacaoensis
Platyberyx opalescens
Hexagrammos octogrammus
Mysis relicta sp.I
Chauliodus sloani
Minois dryas
Gryllus campestris
Gonodactylopsis spongicola
Samia cyntia ricini
Synaphobranchus kaupii
Clibanarius vittatus
Hemidactylus turcicus
Alburnus alburnus
Mantispa styriaca
Limenitis archippus
Arachnocampa luminosa
Caprimulgus europaeus
Platichthys stellatus
Sasakia charonda
Microstomus pacificus
Panopeus obesus
Hemigrapsus sanguinensis
Bombus lapidarius
Nannobrachium atrum
Odontodactylus havanensis
Citellus lateralis
Deania calcea
Clevelandia ios
Pyrophorus punctatissimus
Danio aequipinnatus
Apogon kallopterus
Comephorus baicalensis
Rhinella [=Bufo] marinus
Acipenser transmontanus
Chlorops sp.
Tyrannochromis macrostoma
Borostomias panamensis
Valenciennellus tripunctulatus
Spinachia spinachia
Cottus kessleri
Raja binoculata
Haplochromis ishmaeli
Sygnathus leptorhynchus
Benthalbella infans
Ronquilus jordani
Istiophorus  platypterus
Saimiri sciureus
Rangifer tarandus
Spalacopus cyanus
Philanthus triangulum
Cirrhilabrus solorensis
Limnocottus pallidus
Pundamilia red head
Sergestes tenuiremis
Conocara macroptera
Romalea microptera
Parupeneus multifasceatus
Benthalbella  infans
Acanthropagrus major
Otolemus cassicaudatus
Cambarus ludovicianus
Spodoptera exempta
Scorpaenichthys marmoratus
Gilbertidia sigalutes
Glossina moritans moritans
Metriaclima melabranchion
Pervagor spilosoma
Aulorhynchus flavidus
Rhacochilus vacca
Diaphus dumerilli
Lonchura maga
Pleuronectes obscurus
Pseudopleuronectes obscurus
Ceratoscopelus warmingii
Anax junius
Puffinus pacificus
Micrometrus minimus
Tribolodon hakonensis
Hoplostethus mediteranus
Gecarcinus lateralis
Antheraea polyphemus
Lutjanus quinquelineatus
Dromiceius novae-hollandae
Neoniphon argenteus
Asprocottus herzensteini
Loligo subulata
Anadevidia peponis
Malacosteus niger
