Libellula pulchella
Gasterosteus acuelatus
Coenobita rugosa
Melanostigma pammelas
Anolis carolinensis
Sargocentron punctatissimum
Lonchura malacca
Capra hircus
Aphanopus  carbo
Sygnathus leptorhynchus
Salmo trutta trutta
Lonchura striata
Coenobita clypeatus
Trygonorrhina fasciata
Arothron meleagris
Photostomias braueri
Photuris frontalis
Lutjanus russellii
Gobiesox maecmdricus
Pergavor spilosoma
Glossophaga soricina
Photinus marginellus
Hemitripterus americanus
Saimiri sciureus
Bothragonus  swani
Sargocentron diadema
Diaphus rafinesquei
Anolis gundlachi
Heliconius melpomene
Nerophis ophidion
Philanthus triangulum
Chelostoma florisomne
Nephrops norvegicus
Peprilus simillimus
Lucania goodei
Howella sherborni
Procyon lotor
Lampanyctus regalis
Epigonus  telescopus
Comephorus baicalensis
Sus scrofa
Gymnothorax favagineus
Meganyctiphanes norvegica
Spodoptera exigua
Spheniscus humboldti
Alima pacifica
Blepsias cirrhosus
Spermophilus lateralis
Platytroctes apus
Photuris lucicrescens
Astacus fluviatus
Makaira nigricans
Tyto alba
Boa constrictor
Coryphaenoides armatus
Panopeus obesus
Passer domesticus
Anas playrhnchos domesticus
Sergestes arcticus
Isodon obesulus
Locusta migratoria
Centropristis striata
Oligocottus maculosus
Bombus terrestris
Euphausia superba
Xiphister atropurpureus
Poecilia parae
Hemidactylus platyurus
Polyipnus polli
Pholis omata
Stizostedion lucioperca
Trematomus loennbergii
Hemigrapsus sanguinensis
Dama dama
Jordania zonope
Abudefduf abdominalis
Embiotoca jacksoni
Bathophilus brevis
Typhlonectes natans
Myoxocephalus stelleri
Serinus canaria
Lampetra fluviatilis
Hyperoplus lanceolatus
Lampanyctus festivus
Lipophrys pholis
Jasus edwardsii
Carcharhinus leucas
Coturnix  japonica
Evermannella balbo
Junonia coenia
Stichaeus grigorjewi
Diaphus holti
Cambarellus shufeldtii
Etroplus suratensis
Aequidens pulcher
Anableps anableps
Canthidermis maculata
Felis catus
Mysis relicta sp.IV
Amandina fasciata
Neonesthes capensis
Papilio aegeus
Liparis dennyi
Scopelarchus analis
Menippe mercenaria
Gymnothorax reticularis
Helostoma temminkii
Platycercus elegans
Artedius harringtoni
Leptograpsus variegatus
Esox lucius
Notostomus elegans
Pomatoschistus minutus
Photinus collustrans
Hexagrammos decagrammus
Tarentola chazaliae
Anguilla anguilla
Coccinella septempunctata
Eulemur fulvus
Ictalurus melas
Loris tardigradus
Bothragonus swani
Parnara guttata
Hippocampus angustus
Rangifer tarandus
Osmia rufa
Nothoprocta cinerascens
Vulpes vulpes
Mysis mixta
Siproeta stelenes
Pasiphaea multidentata
Setonix brachyurus
Heliconius erato
Sephanoides sephanoides
Mirounga angustirostri
Electrona risso
Haplochromis azurea
Argyropelecus hemigymnus
Caretta caretta
Papilio maackii
Miopithecus talapoin
Carassius auratus
Microstomus kitt
Strix aluco
Saguinus oedipus
Alepocephalus australis
Isoodon obesulus
Forcipiger flavissimus
Dromiceius novae-hollandae
Alepocephalus bairdii
Pteropus samoensis
Cottinella boulengeri
Danaus plexippus
Acanthropagrus schlegelii
Geotrypetes seraphini
Bero elegance
Melipona marginata
Blicca bjoerkna
Geoclemys reevesii
Rutilis rutilis
Hapalochlaena maculosa
Salmo salar
Gonodactylus oerstedii
Zebrasoma velifer
Chaetodon kleinii
Menemerus confusus
Neomysis mercedis
Leuroglosus stilbius
Caprimulgus europaeus
Mullus barbatus
Hemigraspus edwardsi
Salvelinus alpinus
Serrivomer lanceolatoides
Lonchura malabarica
Uca pugilator
Pundamilia pundamilia
Photostylus sp.
Nematoscelis megalops
Limnocottus pallidus
Halosauropsis macrochir
Sergestes tenuiremis
Lampanyctus alatus
Pullosquilla thomassini
Lutjanus quinquelineatus
Callistoctopus dierythraeus
Merluccius merluccius
Megalops atlanticus
Salmo trutta
Amyelois transitella
Thunnus albacares
Archaeomysis grebnitzkii
Diaphus rafinesqueii
Panopeus herbtii
Zoarces viviparus
Cyttopsis roseus
Nautichthys oculofasciatus
Megalocottus  platycephalus
Perca  flavescens
Acanthopagrus butcheri
Artedius meanyi
Rhea  americana
Carcharhinus amboinensis
Microcottus sellaris
Pseudosquilla ciliata
Nomada alboguttata
Cottocomephorus grewingkii
Sympetrum sp.
Heliconius charithonia
Comephorus dybowskii
Paralabrax clathratus
Tarsius syrichta
Alligator mississippiensis
Eucyclogobius newberryi
Lepidopsetta polyxystra
Borostomias elucens
Arizona elegans
Columba livia
Odocoileus virginianus
Macaca mulatta
Citellus lateralis
Chromis ovalis
Hemigrapsus sanguineus
Sebastes flavidus
Acanthephyra purpurea
Zaniolepis frenata
Tupaia glis
Scylla serrata
Icelinus borealis
Elephas maximus
Tetrapturus audax
Axoclinius carminalis
Bos taurus
Artedius fenestralis
Poecilia latipinna
Sphyraena barracuda
Samia cynthia ricini
Hemitripterus villosus
Coturnix coturnix
Acanthurus achilles
Spirinchus thaleichthys
Nothoprocta perdicaria sanborni
Derichthys serpentinus
Metriaclima zebra
Anadevidia peponis
Bowmaniella sp.
Pieris brassicae
Micropoecilia parae
Lutjanus carponotatus
Triglops pingelii
Myotis lucifugus
Spermophilus tridecemlineatus
Coregonus lavaretus
Estrilda troglodytes
Lethrinops parvidens
Sturnus vulgaris
Rana cancrivora
Melanostomias niger
Carcharhinus limbatus
Hemicordulia tau
Batrachocottus nikolskii
Himantura fai
Parupeneus multifasceatus
Liparis  greeni
Melopsittacus undulatus
Canthidermis maculatus
Nemichthys scolopaceus
Paracheirodon innesi
Typhlops hypomethes
Nannobrachium atrum
Parus caeruleus
Uca pugnax
Sebastes auriculatus
Octodon degus
Gobius niger
Triglopsis quadricornis
Lycaena nivalis
Chamaeleo dilepis
Rana temporaria
Sardinops sagax
Lampanyctus crocodilus
Struthio camelus
Neoniphon aurolineatus
Anoplarchus purpurescens
Lycaena phlaeas
Pseudopleuronectes americanus
Anax junius
Bubo virginianus
Isopsetta isolepis
Rimicaris exoculata
Haptosquilla trispinosa
Strophidon sathete
Celastrina argiolus
Enteroctopus dofleini
Petrolisthes elongates
Caelorhinchus labiatus
Carlito syrichta
Eurypharynx pelecanoides
Notoscopelus resplendens
Didelphis aurita
Gymnura australis
Astatotilapia burtoni
Spalacopus cyanus
Bassozetus compressus
Rana cracrivora
Ruscarius meanyi
Stichaeus nozawae
Poromitra capito
Phycis blennoides
Pundamilia luanso
Anguilla bicolor
Carollia perspicillata
Metriaclima melabranchion
Hymenodora frontalis
Photuris potomaca
Gonodactylus smithii
Puffinus pacificus
Thomomys bottae
Bentheogennema intermedia
Ochlodes venata
Cancer irroratus
Coryphaenoides profundicolus
Jordanella floridae
Oncorhynchus keta
Pipilo fuscus
Bombyx mori
Acartia tonsa
Hypomesus pretiosus
Myoxocephalus brandti
Monodelphis domestica
Pleurogrammus azonus
Myoxocephalus scorpius
Eurypanopeus depressus
Anas platyrhynchos
Rhinocheilus lecontei
Plocepasser mahali
Lepidorhombus boscii
Asterropteryx semipunctata
Bonapartia pedalioita
Macaca fascicularis
Carcharhinus obscurus
Xiphister mucosus
Centroswcymnus coleolepis
Gonostoma elongatum
Cynotilapia afra
Epicopeia hainesii
Lumpenus sagitta
Phytichthys  chirus
Parapasiphaea sulcatifrons
Sebastes empaeus
Pseudopleuronectes obscurus
Sergia grandis
Bombus fervidus
Dasyatis fluviorum
Istiophorus  platypterus
Hermeuptychia hermes
Chaetodon kleini
Phalaenoptilus nuttallii
Accipiter nisus
Procottus jettelesi
Lissotriton vulgaris
Chlorocebus aethiops
Anolis conspersus
Liparis florae
Orconectes rusticus
Pandalus montagui
Acanthropagrus berda
Xenopeltis unicolor
Sergia phorcus
Anguilla japonica
Melanochromus vermivorous
Pullosquilla litoralis
Poecilia formosa
Bolinichthys indicus
Speotyto cunicularia
Ostorhinchus Cyanosoma
Marumba sperchius
Acipenser fulvescens
Aeshna tuberculifera
Xenodermichthys  copei
Trichodon trichodon
Poecilia mexicana
Hemidactylus frenatus
Mulloidichthys flavolineatus
Apodemia spp.
Dolichonyx orzivorous
Anoplogaster cornuta
Gymnocanthus intermedius
Balanus amphitrite
Ictalurus punctatus
Acantholumpenus mackayi
Cottocomephorus inermis
Daphnia magna
Didelphis virginiana
Agraulis vanillae
Sargocentron spiniferum
Cataglyphis bombycinus
Bombus  impatiens
Osmerus eperlanus
Corvus frugilegus
Bero elegans
Xiphister  atropurpureus
Pundamilia nyererei
Dasyatis kuhlii
Rhacochilus vacca
Partamona helleri
Merluccius productus
Elops  saurus
Thysanopoda acutifrons
Musca domestica
Raja binoculata
Periplaneta americana
Procambarus milleri
Argentina silus
Palaemonetes vulgaris
Stylocheiron maximum
Gonodactylaceus falcatus
Notonecta insulata
Sarda chiliensis
Orectolobus maculatus
Cambarellus ludovicianus
Ammodytes hexapterus
Cambarus ludovicianus
Zanclus cornutus
Notostomus gibbosus
Libinia dubia
Ovipales stephensoni
Myotis velifer
Haplochromis piceatus
Anthidium manicatum
Cyrtopodion kotschyi
Salmo irideus
Aristostomias tittmani
Dissostichus mawsoni
Haplochromis pyrrhocephalus
Rana catesbeiana larvae
Stylopandalus richardi
Megalocottus platycephalus
Xylocopa brasilianorum
Oncorhynchus mykiss
Sigmops elongatus
Romalea microptera
Anolis pulchellus
Lampropeltis getula
Argynnis ruslana
Manduca sexta
Aotus trivirgatus
Gonostoma atlanticum
Sergestes curvatus
Myoxocephalus quadricornis
Poromitra megalops
Phoca vitulina
Lutjanus malabaricus
Mamestra brassicae
Octopus tetricus
Micrometrus aurora
Pleuronectes obscurus
Clevelandia ios
Abramis brama
Holmesimysis costata
Procambarus clarkii
Oplophorus spinosus
Hepatus epheliticus
Anolis stratulus
Portunus spinimanus
Metriaclima emmiltos
Synaphobranchus kaupii
Neomysis integer
Stegastes fasciolatus
Zalembius rosaceus
Hippocampus subelongatus
Vespula germanica
Trematomus hansoni
Gobius paganellus
Lutjanus kasmira
Andrena florea
Melanochromis auratus
Plesiopenaeus armatus
Naso unicornis
Hemisquilla ensigera
Cynops pyrrhogaster
Nothoprocta cinerascens cinerascens
Balanus eburneus
Agonopsis vulsa
Sphoeroides annulatus
Lepidopsetta bilineata
Chauliodus danae
Molothrus ater
Metriaclima barlowi
Limulus polyphemus
Mylochromis lateristriga
Heteromysis formosa
Sphyrna lewini
Geomys bursarius
Ameiurus catus
Neoceratodus forsteri
Pteropus dasymallus
Pervagor spilosoma
Rhea americana
Lates calcarifer
Rana pipiens
Crenicichla frenata
Hydrolagus colliei
Mora moro
Rouleina attrita
Lysiosqullia sulcata
Myoxocephalus jack
Pavo  cristatus
Limnocottus griseus
Sebastes caurinus
Vinciguerria nimbaria
Aptychotrema vincentiana
Neogonodactylus oerstedii
Cyrtopodion caspium
Sargocentron tiere
Scorpaena porcus
Caranx hippos
Brachydanio rerio
Bodianus bilunulatus
Ronquilus jordani
Scardinius erythrophthalmus
Oncorhynchus tshawytscha
Clibanarius vittatus
Puffinus puffinus
Hydrolagus mirabilis
Anas platyrhynchos domesiticus
Bathysaurus ferox
Bombus impatiens
Dermogenys pusilla
Antimora  rostrata
Amia calva
Clupea pallasii
Gonostoma bathyphilum
Cheirogaleus major
Chromis punctipinnis
Sagiunus midas
Gasterosteus aculeatus
Trachyscorpia cristulata
Lampadena speculigera
Pagurus longicarpus
Chimaera monstrosa
Poecilia reticulata
Pasiphaea suspirosum
Engaeus cunicularius
Petromyzon marinus
Bentheogennema pasithea
Anolis extremus
Alosa kessleri
Lutjanus bohar
Erythrocebus patas
Melanonus zugmayeri
Taeniura lymma
Marosatherina ladigesi
Diplodus annularis
Zebrasoma veliferum
Paracottus knerii
Camponotus abdominalis
Enophrys bison
Leocottus kesslerii
Graphium sarpedon
Colletes fulgidus
Ichthyococcus ovatus
Sufflamen bursa
Limenitis lorquini
Trachemys scripta
Carcharhinus melanopterus
Dicrolene intronigra
Bassozetus compresis
Anolis sagrei
Squilla empusa
Ctenomys magellanicus
Mysis diluviana
Otolemur garnettii
Cercopithecus diana
Cercopithecus cephus
Cercopithecus petaurista
Odontodactylus havanensis
Eigenmannia virescens
Gryllus campestris
Lysiosquillina maculate
Kali macrodon
Metriaclima benetos
Lemur catta
Sericulus crysocephalus
Echinomacrurus mollis
Gonodactylopsis spongicola
Cyphocottus eurystomus
Daubentonia madagascariensis 
Bombus jonellus
Diaphus dumerilli
Cyprinus carpio
Penaeus penicillatus
Pasiphaea chacei
Pagothenia borchgrevinki
Synaphobranchus kaupi
Cataglyphis bicolor
Chirolophis japonicus
Zoramia  Viridiventer
Colinus virginianus
Tenthredo campestris
Ophiodon elongatus
Talitrus saltator
Ctenochaetus strigosus
Naso lituratus
Bathylagus bericoides
Trigla cuculus
Cataetyx laticeps
Loligo subulata
Syngnathus leptorhynchus
Lepilemur ruficaudatus
Kuhlia sandvicensis
Daubentonia madagascariensis
Neotrygon kuhlii
Histiobranchus bathybius
Batrachocottus multiradiatus
Anolis lineatopus
Lutjanus sebae
Todarodes pacificus
Lasioglossum albipes
Hexagrammos stelleri
Oplophorus gracilirostris
Neochmia modesta
Systellaspis cristata
Astacus leptodactylus
Ichthyophis kohtaoensis
Janicella spinacauda
Pandalus borealis
Stomias atriventer
Nymphalis xanthomelas
Urocerus gigas
Stenobrachius leucopsarus
Lycodes pacificus
Cambarellus schufeldtii
Mesocricetus auratus
Crangon allmani
Neoniphon sammara
Pundamilia red head
Pleurodeles waltl
Papilio achaon
Lyopsetta exilis
Scaphirhynchus platorynchus
Hypsurus caryi
Limenitis weidemeyerii
Phodopus sungorus
Ascelichthys rhodorus
Tyrannochromis macrostoma
Myripristis violacea
Mysis salemaai
Spermophilus tridecemline
Myrmecia croslandi
Zonotrichia leucophrys
Sergia maximus
Coryphaenoides carapinus
Rhinella [=Bufo] marinus
Sargocentron xantherythrum
Psychrobites paradoxus
Glaucomys sabrinus
Portunus spinimanis
Galleria mellonella
Pachystomias microdon
Lobianchia gemellarii
Anolis evermanni
Chaetodon unimaculatus
Theragra chalcogramma
Hemimysis anomala
Otolemus cassicaudatus
Antimora rostrata
Hippoglossoides elassodon
Platyberyx opalescens
Pleuronectes asper
Sternoptyx pseudobscura
Upeneus tragula
Euprymna tasmanica
Spermophilus beecheyi
Anthophora acervorum
Anas  platyrhynchos
Poecilia reticulata cumana
Hyperprosopon argenteum
Hemidactylus turcicus
Chelidonichthys lucernus
Stomias boa
Plagiotremus rhinorhynchos
Balanus balanoides
Gekko gecko
Haplonycteris fischeri
Bombus hypnorum
Acanthurus triostegus
Lycaena heteronea
Python regius
Platysaurus broadleyi
Calliphora erythrocephala
Macroglossum stellatarum
Parupeneus multifasciatus
Oryctolagus cuniculus
Nothoprocta perdicaria
Gonostoma bathyphilium
Bufo bufo
Oplophorus sp.
Scaphirhynchus albus
Cottunculus thomsonii
Pseudotropheus  acei
Talismania antillarum
Microstoma microstoma
Hippocampus barbouri
Rhynchobatus australiae
Barbantus curvifrons
Cymatogaster aggregata
Valenciennellus tripunctulatus
Perca fluviatilis
Loligo pealii
Papilio protenor
Chauliodus macouni
Coryphopterus nicholsii
Octopus australis
Liparis greeni
Benthalbella infans
Gobiesox maeandricus
Albula vulpes
Artedius fenestrates
Bicellonycha wickershamorum
Bathylagus euryops
Sphyrna tiburo
Atrophaneura alcinous
Ictalurus catus
Pungitius pungitius
Ctenophorus decresii
Melecta punctata
Sander lucioperca
Libelloides macaronius
Trichechus manatus
Callinectes ornatus
Meningodora vesca
Propithecus verreauxi coquereli
Ichthyophis cf. kohtaoensis
Bythograea thermydron
Thysanopoda orientalis
Chiasmodon niger
Sesarma reticulatum
Metynnis argenteus
Pomacentrus melanochir
Mesoplodon bidens
Sympetrum rubicundulum
Sciurus carolinensis
Schistocerca gregaria
Mustela putorius furo
Sergia robustus
Globicephala melas
Ptychozoon lionotum
Anolis cristatellus
Neogonodactylus oertstedii
Praunus inermis
Fundulus heteroclitus
Orconectes virilis
Conocara macroptera
Asprocottus herzensteini
Hexagrammos octagrammus
Rana catesbeiana
Carcharhinus amblyrhynchos
Saguinus fuscicollis
Bellocia  koefoedi
Aeschna cyanea
Ctenomys talarum
Triakis semifasciata
Centrophorus squamosus
Chaceon affinis
Haplochromis ishmaeli
Metriaclima livingstonii
Mysis relicta sp.I
Pieris rapae
Odontodactylus brevirostris
Mus musculus
Cottus kessleri
Sebastes maliger
Pseudotropheus tropheops
Pieris melete
Acipenser ruthenus
Ptilorhynchus violaceus
Protomelas taeniolatus
Notonecta glauca
Pagurus annulipes
Cyprinodon variegatus
Taaningichthys bathyphilus
Acipenser baerii
Necturus maculosus
Chelonia mydas
Homarus americanus
Myrmecia vindex
Sternoptyx diaphana
Podothecus acipenserinus
Zalophus californianus
Limenitis archippus
Echiostoma barbatum
Aristostomias tittmanni
Aulonocara hueseri
Lutjanus argentimaculatus
Mesocricetus brandti
Lycaena dorcas
Saguinus midas
Euphausia pacifica
Carpodacus mexicanus
Lonchura maja
Eutrigla gurnardus
Opisthoproctus grimaldii
Ischnura heterosticta
Argyropelecus aculeatus
Sesarma cinereum
Sminthopsis crassicaudata
Lasioglossum malachurum
Pithecia pithecia
Trygonoptera testacea
Hemigrapsus edwardsii
Porogradus sp.
Pleuronectes herzensteini
Pholidapus dybowsky
Gryllus bimaculatus
Urobatis jamaicensis
Asterocampa leilia
Cupiennius salei
Halargyreus johnsonii
Nansenia longicauda
Palaemonetes paladosus
Sepia plangon
Gecarcinus lateralis
Uca thayeri
Tribolodon hakonensis
Otus asio
Homo sapiens
Rinocetes nasutus
Argiope bruennichi
Benthosema suborbitale
Xenos peckii
Drosophilia melanogaster
Margrethia obtusirostra
Tursiops truncates
Oeneis chryxus
Glaucostegus typus
Seriphus politus
Gennadas sp.
Rhinoptera bonasus
Chlorophthalmus sp.
Citharichthys sordidus
Avahi laniger
Pundamilia azurea
Chelidonichthys lucerna
Systellaspis braueri
Libinia emarginata
Sargocentron microstoma
Bombus distinguendis
Pieris rapae crucivora
Larus atricilla
Gennadas valens
Coregonus clupeoides
Malacocephalus laevis
Orectolobus ornatus
Sergestes similis
Geotria australis
Oxea flavescens
Pholis laeta
Hippoglossoides herzensteini
Lampanychtus ater
Pavo cristatus
Ptilichthys goodei
Chromis verater
Callipepla californica
Rhinobatus typus
Squalus suckleyi
Artemia salina
Ichneumon stramentarius
Micropterus salmoides
Spinachia spinachia
Spicara smaris
Clupea harengus
Gaidropsarus mediterraneus
Buteo buteo
Teratoscincus scincus
Leptocottus armatus
Stigmatopora argus
Myrmecia gulosa
Haplochromis nyererei
Asteropteryx semipunctatus
Pleurogrammus  azonus
Microcebus murinus
Dromiceius novae-hollandiae
Otolemur crassicaudatus
Dugesia japonica
Meleagris gallopavo
Aetobatus narinari
Batrachocottus baicalensis
Amadina fasciata
Arenaeus cribrarius
Carabus auratus
Dardanus fucosus
Acerina cernua
Conger conger
Cottus sp.
Eustomias obscurus
Tarsius bancanus
Melopsittacus undatus
Drosophila melanogaster
Sergestes corniculum
Notonecta undulata
Tripedalia cystophora
Ostorhinchus Doederleini
Notacanthus bonapartei
Cleisthenes herzensteini
Neominois ridingsii
Sardinops melanostictus
Papio papio
Alouatta sp.
Speyeria leto
Trachurus mediterraneus
Euphydryas chalcedona
Trachurus symmetricus
Belone belone
Anguilla Anguilla
Formica polyctena
Parophrys vetulus
Aulostomus chinensis
Spodoptera exempta
Embiotoca lateralis
Ernogrammus hexagrammus
Petrolisthes diogenes
Dascyllus trimaculatus
Praunus flexuosus
Eristalis tenax
Taurulus bubalis
Apodemia mormo
Rouleina maderensis
Danio malabaricus
Rhinobatos lentiginosus
Apodichthys flavidus
Callinectes sapidus
Chauliodus sloani
Nasua nasua
Zebrasoma flavescens
Opisthocentrus ocellatus
Hemidactylus garnotii
Scomber japonicus
Limnocottus eurystomus
Poecilia reticulata trinidad
Gryllus bimaculatus adult
Lepisosteus platostomus
Panopeus herbstii
Synodus variegatus
Engraulis encrasicolus
Ichthyocossus ovatus
Photinus pyralis
Mustelus henlei
Plexippus validus
Parvus  caeruleus
Photinus scintillans
Geryon quinquedens
Rhithropanopeus harrisii
Enophrys diceraus
Hoplostethus mediteranus
Scorpaenichthys marmoratus
Damalichthys vacca
Gallus gallus
Scopelogadus beanii
Argyropelecus gigas
Taeniopygia guttata
Ballerus ballerus
Tramitichromis  intermedius
Photonectes braueri
Melanotaenia maccullochi
Lepidion  eques
Mysis relicta
Polygonia c-album
Paromola cuvieri
Zenaida macroura
Corvus  frugilegus
Anolis krugi
Xenodermichthys copei
Myripristis berndti
Ichneumon spp.
Gonostoma denudatum
Notonecta irrorata
Procottus jettelesii
Amphilophus longimanus
Stichaeus grigorjevi
Arichanna gaschkevitchii
Neope goschkevitschii
Leptograspus variegatus
Cirrhilabrus solorensis
Mirza coquereli
Photostomias guernei
Brachyistius frenatus
Leiothrix lutea
Ostorhinchus Cookii
Crotaphytus dickersonae
Acanthropagrus major
Lonchura maga
Chauliodus sloanei
Heliconius erato petiverana
Aglais urticae
Apogon kallopterus
Cebus sp.
Chromis vanderbilti
Pergavor aspricaudus
Phassus excrescens
Anolis bahorucoensis
Mysis  sp.
Cyttopsis rosea
Cyrtopodion fedtschenkoi
Asprocottus intermediius
Melanochromis  vermivorus
Pleuroncodes planipes
Odontodactylus scyllarus
Searsia koefoedi
Ameiurus melas
Gallus  gallus domesticus
Acanthurus nigroris
Systellaspis debilis
Diaphus lucidus
Cynops orientalis
Nematobrachion boopis
Bathysaurus mollis
Polistes dominulus
Lycaena rubidus
Atherinops affinis
Rattus rattus
Deania calcea
Pomatoschistus microps
Pervagor aspricaudus
Puntigrus tetrazona
Acipenser transmontanus
Ambystoma tigrinum hatchling
Toxotes chatareus
Gonodactylellus affinis
Nectamia  Savayensis
Furcifer pardalis
Portunus trituberculatus
Melopsittacus undalatus
Neoniphon argenteus
Sebastolobus alascanus
Mugil cephalus
Dascyllus albisella
Fabriciana adippe
Trigona spinipes
Trematomus bernacchii
Equus caballus
Myoxocephalus potyacanthocephalus
Gnathophausia ingens
Hymenodora glacialis
Chloebia gouldiae
Gobiusculus flavescens
Gadus macrocephalus
Acipenser medirostrus
Cebus spp.
Hoplostethus atlanticus
Hexagrammos octogrammus
Lepomis macrochirus
Masticophis flagellum
Pollachius pollachius
Heliconius hecale
Coryphaenoides leptolepis
Thamnophis sirtalis sirtalis
Loligo forbesii
Parage aegeria
Vulpes lagopus
Papilio xuthus
Ambystoma tigrinum adult
Potos flavus
Callonychium petuniae
Ambystoma tigrinum aquatic
Penaeus duororum
Ligia exotica
Phytichthys chirus
Tinca tinca
Oncorhynchus gorbuscha
Nematobrachion sexpinosum
Pasiphaea emarginata
Colias erate
Lutjanus johnii
Danio aequipinnatus
Pseudotropheus acei
Hypsiglena torquata
Haplochromis burtoni
Tenthredo scrophulariae
Tramitichromis intermedius
Dolichovespula norwegica
Stylephorus chordatus
Lutjanus fulviflamma
Acanthephyra microphthalma
Leptotyphlops sp.
Ailuroedus crassirostris
Papilo bianor
Pundamila sp.
Cloridopsis dubia
Galago crassicauda
Nematobrachion sexspinosus
Minois dryas
Cottocomephorus grewingki
Cavia porcellus
Phidippus regius
Funchalia villosa
Bombus monticola
Meleagris  galoparvo
Copadichromis borleyi
Neogonodactylus curacaoensis
Anolis grahami
Anchoa mitchilli
Idiacanthus fasciola
Sepia officinalis
Carassius carassius
Rouleina aderensis
Melamphaes suborbitalis
Scenopoetes dentirostris
Neomysis americana
Acanthephyra curtirostris
Phalacrocorax carbo
Phronima sedenteria
Engraulis mordax
Mauremys reevesii
Osmerus dentex
Chirostomias pliopterus
Panulirus argus
Hoplostethus mediterraneus mediterraneus
Dimidiochromis compressiceps
Holtbyrnia spinithara
Chlamydera nuchalis
