Libellula pulchella
Echinomacrurus mollis
Pagurus pollicaris
Zoramia  Leptacanthus
Melipona quadrifasciata
Coronis scolopendra
Gonodactylopsis spongicola
Rhabdamia  Gracilis
Streptopelia roseogrisea
Conocara salmonea
Liparis pulchellus
Rhamphocottus richardsonii
Bombus jonellus
Diaphus dumerilli
Bodianus bilunnulatus
Carcinus maenas
Penaeus penicillatus
Oreocromis niloticus
Pasiphaea chacei
Pristiapogon kallopterus
Clinocottus globiceps
Synaphobranchus kaupi
Ceratoscopelus warmingii
Cataglyphis bicolor
Chirolophis japonicus
Antheraea polyphemus
Zoramia  Viridiventer
Tenthredo campestris
Carabus nemoralis
Ophiodon elongatus
Leontopithecus rosalia rosalia
Talitrus saltator
Anas platyrhynchus
Ctenochaetus strigosus
Naso lituratus
Bathylagus bericoides
Trigla cuculus
Cataetyx laticeps
Loligo subulata
Syngnathus leptorhynchus
Oncorhynchus kisutch
Pundamilia au
Thysanoessa raschii
Lepilemur ruficaudatus
Kuhlia sandvicensis
Mysis relicta sp.II
Lutjanus adetii
Stichaeopsis nana
Histiobranchus bathybius
Batrachocottus multiradiatus
Psychrolutes paradoxus
Myoxocephalus jaok
Acipenser medirostris
Pseudopleuronectes herzensteini
Anolis lineatopus
Hemilepidotus hemilepidotus
Lutjanus sebae
Radiicephalus elongatus
Rhadinesthes decimus
Pilumnus sayi
Cerceris rybyensis
Lasioglossum albipes
Hexagrammos stelleri
Microgadus proximus
Oplophorus gracilirostris
Neochmia modesta
Systellaspis cristata
Astacus leptodactylus
Ichthyophis kohtaoensis
Janicella spinacauda
Acanthephyra stylorostratis
Photinus macdermotti
Pandalus borealis
Calappa flammea
Stomias atriventer
Hariotta raleighana
Lepidion eques
Alburnus alburnus
Loxodonta africana
Nymphalis xanthomelas
Urocerus gigas
Limanda limanda
Callambulyx tatarinovii
Lycodes pacificus
Cambarellus schufeldtii
Rhizoprionodon taylori
Crangon allmani
Neoniphon sammara
Sepioteuthis lessoniana
Xiphydria camelus
Coenobita rugosa
Pundamilia red head
Papilio achaon
Melanostigma pammelas
Lyopsetta exilis
Scaphirhynchus platorynchus
Hypsurus caryi
Lonchura malacca
Aphanopus  carbo
Sygnathus leptorhynchus
Lonchura striata
Phodopus sungorus
Ascelichthys rhodorus
Coenobita clypeatus
Tyrannochromis macrostoma
Mysis salemaai
Trygonorrhina fasciata
Arothron meleagris
Spermophilus tridecemline
Photostomias braueri
Myrmecia croslandi
Sergia maximus
Coryphaenoides carapinus
Photuris frontalis
Lutjanus russellii
Rhinella [=Bufo] marinus
Sargocentron xantherythrum
Psychrobites paradoxus
Gobiesox maecmdricus
Pergavor spilosoma
Hemitripterus americanus
Glaucomys sabrinus
Portunus spinimanis
Saimiri sciureus
Bothragonus  swani
Pachystomias microdon
Lobianchia gemellarii
Anolis evermanni
Chaetodon unimaculatus
Theragra chalcogramma
Diaphus rafinesquei
Anolis gundlachi
Hemimysis anomala
Otolemus cassicaudatus
Antimora rostrata
Philanthus triangulum
Chelostoma florisomne
Hippoglossoides elassodon
Nephrops norvegicus
Peprilus simillimus
Platyberyx opalescens
Pleuronectes asper
Howella sherborni
Sternoptyx pseudobscura
Upeneus tragula
Procyon lotor
Lampanyctus regalis
Epigonus  telescopus
Comephorus baicalensis
Euprymna tasmanica
Gymnothorax favagineus
Meganyctiphanes norvegica
Spermophilus beecheyi
Anthophora acervorum
Hyperprosopon argenteum
Spheniscus humboldti
Hemidactylus turcicus
Chelidonichthys lucernus
Stomias boa
Alima pacifica
Plagiotremus rhinorhynchos
Blepsias cirrhosus
Spermophilus lateralis
Platytroctes apus
Balanus balanoides
Photuris lucicrescens
Gekko gecko
Haplonycteris fischeri
Astacus fluviatus
Bombus hypnorum
Makaira nigricans
Boa constrictor
Chlamydera nuchalis
Acanthurus triostegus
Coryphaenoides armatus
Lycaena heteronea
Python regius
Panopeus obesus
Anas playrhnchos domesticus
Sergestes arcticus
Isodon obesulus
Locusta migratoria
Calliphora erythrocephala
Oligocottus maculosus
Parupeneus multifasciatus
Xiphister atropurpureus
Nothoprocta perdicaria
Hemidactylus platyurus
Polyipnus polli
Pholis omata
Gonostoma bathyphilium
Stizostedion lucioperca
Oplophorus sp.
Scaphirhynchus albus
Trematomus loennbergii
Cottunculus thomsonii
Hemigrapsus sanguinensis
Pseudotropheus  acei
Talismania antillarum
Microstoma microstoma
Hippocampus barbouri
Jordania zonope
Abudefduf abdominalis
Rhynchobatus australiae
Barbantus curvifrons
Cymatogaster aggregata
Bathophilus brevis
Valenciennellus tripunctulatus
Perca fluviatilis
Loligo pealii
Typhlonectes natans
Papilio protenor
Coryphopterus nicholsii
Octopus australis
Liparis greeni
Benthalbella infans
Myoxocephalus stelleri
Serinus canaria
Lampetra fluviatilis
Hyperoplus lanceolatus
Gobiesox maeandricus
Albula vulpes
Lampanyctus festivus
Artedius fenestrates
Lipophrys pholis
Jasus edwardsii
Carcharhinus leucas
Bathylagus euryops
Coturnix  japonica
Sphyrna tiburo
Atrophaneura alcinous
Ictalurus catus
Evermannella balbo
Junonia coenia
Ctenophorus decresii
Stichaeus grigorjewi
Diaphus holti
Cambarellus shufeldtii
Etroplus suratensis
Melecta punctata
Aequidens pulcher
Libelloides macaronius
Anableps anableps
Callinectes ornatus
Meningodora vesca
Canthidermis maculata
Felis catus
Ichthyophis cf. kohtaoensis
Mysis relicta sp.IV
Bythograea thermydron
Amandina fasciata
Thysanopoda orientalis
Neonesthes capensis
Papilio aegeus
Liparis dennyi
Chiasmodon niger
Menippe mercenaria
Gymnothorax reticularis
Sesarma reticulatum
Helostoma temminkii
Metynnis argenteus
Pomacentrus melanochir
Artedius harringtoni
Leptograpsus variegatus
Sympetrum rubicundulum
Notostomus elegans
Schistocerca gregaria
Sergia robustus
Globicephala melas
Photinus collustrans
Ptychozoon lionotum
Hexagrammos decagrammus
Anolis cristatellus
Tarentola chazaliae
Neogonodactylus oertstedii
Praunus inermis
Orconectes virilis
Eulemur fulvus
Conocara macroptera
Asprocottus herzensteini
Ictalurus melas
Loris tardigradus
Bothragonus swani
Parnara guttata
Hexagrammos octagrammus
Rana catesbeiana
Hippocampus angustus
Saguinus fuscicollis
Rangifer tarandus
Osmia rufa
Nothoprocta cinerascens
Bellocia  koefoedi
Aeschna cyanea
Ctenomys talarum
Triakis semifasciata
Centrophorus squamosus
Chaceon affinis
Haplochromis ishmaeli
Mysis mixta
Siproeta stelenes
Metriaclima livingstonii
Mysis relicta sp.I
Pasiphaea multidentata
Sephanoides sephanoides
Pieris rapae
Mirounga angustirostri
Electrona risso
Odontodactylus brevirostris
Haplochromis azurea
Argyropelecus hemigymnus
Cottus kessleri
Sebastes maliger
Pseudotropheus tropheops
Papilio maackii
Miopithecus talapoin
Carassius auratus
Pieris melete
Ptilorhynchus violaceus
Strix aluco
Saguinus oedipus
Alepocephalus australis
Protomelas taeniolatus
Notonecta glauca
Forcipiger flavissimus
Dromiceius novae-hollandae
Pagurus annulipes
Alepocephalus bairdii
Pteropus samoensis
Cottinella boulengeri
Danaus plexippus
Acanthropagrus schlegelii
Geotrypetes seraphini
Bero elegance
Taaningichthys bathyphilus
Melipona marginata
Blicca bjoerkna
Geoclemys reevesii
Necturus maculosus
Rutilis rutilis
Hapalochlaena maculosa
Myrmecia vindex
Gonodactylus oerstedii
Zebrasoma velifer
Chaetodon kleinii
Menemerus confusus
Neomysis mercedis
Sternoptyx diaphana
Leuroglosus stilbius
Caprimulgus europaeus
Podothecus acipenserinus
Mullus barbatus
Hemigraspus edwardsi
Limenitis archippus
Echiostoma barbatum
Salvelinus alpinus
Serrivomer lanceolatoides
Lutjanus argentimaculatus
Mesocricetus brandti
Lycaena dorcas
Saguinus midas
Euphausia pacifica
Carpodacus mexicanus
Lonchura malabarica
Uca pugilator
Lonchura maja
Eutrigla gurnardus
Photostylus sp.
Opisthoproctus grimaldii
Ischnura heterosticta
Argyropelecus aculeatus
Sesarma cinereum
Nematoscelis megalops
Limnocottus pallidus
Halosauropsis macrochir
Sergestes tenuiremis
Lasioglossum malachurum
Pithecia pithecia
Trygonoptera testacea
Hemigrapsus edwardsii
Porogradus sp.
Pleuronectes herzensteini
Lampanyctus alatus
Pullosquilla thomassini
Lutjanus quinquelineatus
Pholidapus dybowsky
Callistoctopus dierythraeus
Urobatis jamaicensis
Merluccius merluccius
Asterocampa leilia
Thunnus albacares
Halargyreus johnsonii
Nansenia longicauda
Archaeomysis grebnitzkii
Diaphus rafinesqueii
Panopeus herbtii
Palaemonetes paladosus
Sepia plangon
Gecarcinus lateralis
Zoarces viviparus
Cyttopsis roseus
Nautichthys oculofasciatus
Uca thayeri
Megalocottus  platycephalus
Acanthopagrus butcheri
Tribolodon hakonensis
Otus asio
Artedius meanyi
Rhea  americana
Carcharhinus amboinensis
Rinocetes nasutus
Microcottus sellaris
Pseudosquilla ciliata
Nomada alboguttata
Cottocomephorus grewingkii
Sympetrum sp.
Heliconius charithonia
Benthosema suborbitale
Xenos peckii
Drosophilia melanogaster
Margrethia obtusirostra
Tursiops truncates
Comephorus dybowskii
Paralabrax clathratus
Seriphus politus
Tarsius syrichta
Eucyclogobius newberryi
Gennadas sp.
Rhinoptera bonasus
Chlorophthalmus sp.
Citharichthys sordidus
Borostomias elucens
Citellus lateralis
Chromis ovalis
Chelidonichthys lucerna
Systellaspis braueri
Libinia emarginata
Sargocentron microstoma
Bombus distinguendis
Sebastes flavidus
Acanthephyra purpurea
Pieris rapae crucivora
Zaniolepis frenata
Tupaia glis
Larus atricilla
Gennadas valens
Scylla serrata
Icelinus borealis
Coregonus clupeoides
Malacocephalus laevis
Orectolobus ornatus
Tetrapturus audax
Sergestes similis
Axoclinius carminalis
Bos taurus
Artedius fenestralis
Oxea flavescens
Pholis laeta
Hippoglossoides herzensteini
Lampanychtus ater
Pavo cristatus
Ptilichthys goodei
Sphyraena barracuda
Chromis verater
Samia cynthia ricini
Callipepla californica
Rhinobatus typus
Squalus suckleyi
Hemitripterus villosus
Coturnix coturnix
Artemia salina
Acanthurus achilles
Ichneumon stramentarius
Micropterus salmoides
Spirinchus thaleichthys
Nothoprocta perdicaria sanborni
Spinachia spinachia
Derichthys serpentinus
Spicara smaris
Gaidropsarus mediterraneus
Metriaclima zebra
Buteo buteo
Anadevidia peponis
Teratoscincus scincus
Leptocottus armatus
Bowmaniella sp.
Stigmatopora argus
Myrmecia gulosa
Haplochromis nyererei
Asteropteryx semipunctatus
Pleurogrammus  azonus
Micropoecilia parae
Lutjanus carponotatus
Dromiceius novae-hollandiae
Triglops pingelii
Spermophilus tridecemlineatus
Coregonus lavaretus
Estrilda troglodytes
Rana cancrivora
Aetobatus narinari
Melanostomias niger
Carcharhinus limbatus
Hemicordulia tau
Batrachocottus baicalensis
Amadina fasciata
Arenaeus cribrarius
Batrachocottus nikolskii
Himantura fai
Carabus auratus
Dardanus fucosus
Parupeneus multifasceatus
Liparis  greeni
Acerina cernua
Canthidermis maculatus
Cottus sp.
Eustomias obscurus
Tarsius bancanus
Melopsittacus undatus
Sergestes corniculum
Nemichthys scolopaceus
Notonecta undulata
Ostorhinchus Doederleini
Typhlops hypomethes
Nannobrachium atrum
Parus caeruleus
Uca pugnax
Notacanthus bonapartei
Sebastes auriculatus
Triglopsis quadricornis
Lycaena nivalis
Chamaeleo dilepis
Cleisthenes herzensteini
Sardinops sagax
Lampanyctus crocodilus
Neoniphon aurolineatus
Sardinops melanostictus
Papio papio
Anoplarchus purpurescens
Alouatta sp.
Lycaena phlaeas
Speyeria leto
Trachurus mediterraneus
Anax junius
Trachurus symmetricus
Bubo virginianus
Belone belone
Anguilla Anguilla
Isopsetta isolepis
Rimicaris exoculata
Haptosquilla trispinosa
Strophidon sathete
Formica polyctena
Celastrina argiolus
Parophrys vetulus
Aulostomus chinensis
Spodoptera exempta
Embiotoca lateralis
Ernogrammus hexagrammus
Enteroctopus dofleini
Petrolisthes elongates
Petrolisthes diogenes
Praunus flexuosus
Eristalis tenax
Taurulus bubalis
Rouleina maderensis
Caelorhinchus labiatus
Eurypharynx pelecanoides
Notoscopelus resplendens
Danio malabaricus
Gymnura australis
Astatotilapia burtoni
Rhinobatos lentiginosus
Spalacopus cyanus
Apodichthys flavidus
Bassozetus compressus
Rana cracrivora
Ruscarius meanyi
Callinectes sapidus
Chauliodus sloani
Nasua nasua
Stichaeus nozawae
Zebrasoma flavescens
Poromitra capito
Opisthocentrus ocellatus
Phycis blennoides
Hemidactylus garnotii
Scomber japonicus
Limnocottus eurystomus
Pundamilia luanso
Anguilla bicolor
Lepisosteus platostomus
Panopeus herbstii
Metriaclima melabranchion
Hymenodora frontalis
Photuris potomaca
Gonodactylus smithii
Synodus variegatus
Ichthyocossus ovatus
Puffinus pacificus
Thomomys bottae
Mustelus henlei
Bentheogennema intermedia
Plexippus validus
Parvus  caeruleus
Ochlodes venata
Photinus scintillans
Cancer irroratus
Geryon quinquedens
Rhithropanopeus harrisii
Coryphaenoides profundicolus
Jordanella floridae
Enophrys diceraus
Hoplostethus mediteranus
Scorpaenichthys marmoratus
Damalichthys vacca
Gallus gallus
Pipilo fuscus
Acartia tonsa
Scopelogadus beanii
Hypomesus pretiosus
Myoxocephalus brandti
Argyropelecus gigas
Taeniopygia guttata
Ballerus ballerus
Pleurogrammus azonus
Myoxocephalus scorpius
Eurypanopeus depressus
Photonectes braueri
Melanotaenia maccullochi
Lepidion  eques
Mysis relicta
Polygonia c-album
Paromola cuvieri
Zenaida macroura
Plocepasser mahali
Corvus  frugilegus
Anolis krugi
Xenodermichthys copei
Lepidorhombus boscii
Asterropteryx semipunctata
Bonapartia pedalioita
Ichneumon spp.
Gonostoma denudatum
Notonecta irrorata
Procottus jettelesii
Carcharhinus obscurus
Amphilophus longimanus
Xiphister mucosus
Centroswcymnus coleolepis
Gonostoma elongatum
Stichaeus grigorjevi
Cynotilapia afra
Arichanna gaschkevitchii
Epicopeia hainesii
Neope goschkevitschii
Lumpenus sagitta
Leptograspus variegatus
Cirrhilabrus solorensis
Phytichthys  chirus
Mirza coquereli
Parapasiphaea sulcatifrons
Sebastes empaeus
Photostomias guernei
Pseudopleuronectes obscurus
Sergia grandis
Leiothrix lutea
Ostorhinchus Cookii
Crotaphytus dickersonae
Acanthropagrus major
Lonchura maga
Chauliodus sloanei
Bombus fervidus
Dasyatis fluviorum
Aglais urticae
Istiophorus  platypterus
Hermeuptychia hermes
Apogon kallopterus
Cebus sp.
Chaetodon kleini
Chromis vanderbilti
Pergavor aspricaudus
Phalaenoptilus nuttallii
Accipiter nisus
Phassus excrescens
Procottus jettelesi
Lissotriton vulgaris
Chlorocebus aethiops
Anolis bahorucoensis
Mysis  sp.
Cyttopsis rosea
Cyrtopodion fedtschenkoi
Anolis conspersus
Liparis florae
Asprocottus intermediius
Pleuroncodes planipes
Orconectes rusticus
Pandalus montagui
Odontodactylus scyllarus
Searsia koefoedi
Ameiurus melas
Acanthropagrus berda
Gallus  gallus domesticus
Sergia phorcus
Acanthurus nigroris
Systellaspis debilis
Diaphus lucidus
Pullosquilla litoralis
Poecilia formosa
Bolinichthys indicus
Cynops orientalis
Speotyto cunicularia
Nematobrachion boopis
Ostorhinchus Cyanosoma
Bathysaurus mollis
Polistes dominulus
Lycaena rubidus
Atherinops affinis
Marumba sperchius
Acipenser fulvescens
Deania calcea
Pervagor aspricaudus
Puntigrus tetrazona
Aeshna tuberculifera
Xenodermichthys  copei
Trichodon trichodon
Acipenser transmontanus
Toxotes chatareus
Mulloidichthys flavolineatus
Gonodactylellus affinis
Apodemia spp.
Dolichonyx orzivorous
Nectamia  Savayensis
Anoplogaster cornuta
Gymnocanthus intermedius
Furcifer pardalis
Balanus amphitrite
Portunus trituberculatus
Melopsittacus undalatus
Neoniphon argenteus
Acantholumpenus mackayi
Sebastolobus alascanus
Cottocomephorus inermis
Dascyllus albisella
Didelphis virginiana
Agraulis vanillae
Sargocentron spiniferum
Cataglyphis bombycinus
Fabriciana adippe
Trigona spinipes
Equus caballus
Corvus frugilegus
Bero elegans
Xiphister  atropurpureus
Myoxocephalus potyacanthocephalus
Gnathophausia ingens
Hymenodora glacialis
Dasyatis kuhlii
Rhacochilus vacca
Partamona helleri
Chloebia gouldiae
Merluccius productus
Elops  saurus
Thysanopoda acutifrons
Gobiusculus flavescens
Raja binoculata
Acipenser medirostrus
Cebus spp.
Procambarus milleri
Hoplostethus atlanticus
Hexagrammos octogrammus
Argentina silus
Palaemonetes vulgaris
Stylocheiron maximum
Gonodactylaceus falcatus
Lepomis macrochirus
Masticophis flagellum
Pollachius pollachius
Notonecta insulata
Coryphaenoides leptolepis
Sarda chiliensis
Parage aegeria
Orectolobus maculatus
Vulpes lagopus
Cambarellus ludovicianus
Ammodytes hexapterus
Cambarus ludovicianus
Zanclus cornutus
Notostomus gibbosus
Libinia dubia
Ovipales stephensoni
Myotis velifer
Potos flavus
Haplochromis piceatus
Anthidium manicatum
Cyrtopodion kotschyi
Callonychium petuniae
Salmo irideus
Penaeus duororum
Ligia exotica
Phytichthys chirus
Haplochromis pyrrhocephalus
Rana catesbeiana larvae
Stylopandalus richardi
Megalocottus platycephalus
Tinca tinca
Nematobrachion sexpinosum
Pasiphaea emarginata
Xylocopa brasilianorum
Lutjanus johnii
Sigmops elongatus
Danio aequipinnatus
Romalea microptera
Pseudotropheus acei
Anolis pulchellus
Argynnis ruslana
Tenthredo scrophulariae
Aotus trivirgatus
Gonostoma atlanticum
Sergestes curvatus
Dolichovespula norwegica
Myoxocephalus quadricornis
Stylephorus chordatus
Poromitra megalops
Lutjanus fulviflamma
Lutjanus malabaricus
Acanthephyra microphthalma
Leptotyphlops sp.
Ailuroedus crassirostris
Papilo bianor
Pundamila sp.
Cloridopsis dubia
Galago crassicauda
Nematobrachion sexspinosus
Minois dryas
Cottocomephorus grewingki
Phidippus regius
Funchalia villosa
Bombus monticola
Meleagris  galoparvo
Copadichromis borleyi
Neogonodactylus curacaoensis
Octopus tetricus
Micrometrus aurora
Anolis grahami
Pleuronectes obscurus
Clevelandia ios
Abramis brama
Anchoa mitchilli
Idiacanthus fasciola
Holmesimysis costata
Oplophorus spinosus
Rouleina aderensis
Hepatus epheliticus
Melamphaes suborbitalis
Anolis stratulus
Scenopoetes dentirostris
Portunus spinimanus
Metriaclima emmiltos
Synaphobranchus kaupii
Neomysis integer
Neomysis americana
Acanthephyra curtirostris
Stegastes fasciolatus
Zalembius rosaceus
Hippocampus subelongatus
Phronima sedenteria
Vespula germanica
Engraulis mordax
Trematomus hansoni
Osmerus dentex
Chirostomias pliopterus
Gobius paganellus
Lutjanus kasmira
Andrena florea
Panulirus argus
Hoplostethus mediterraneus mediterraneus
Plesiopenaeus armatus
Holtbyrnia spinithara
Naso unicornis
Hemisquilla ensigera
Cynops pyrrhogaster
