Panopeus herbtii
Pomatoschistus microps
Melopsittacus undatus
Ichthyocossus ovatus
Carcharhinus limbatus
Tenthredo campestris
Salmo trutta
Hemitripterus villosus
Oncorhynchus tshawytscha
Anguilla bicolor
Plagiotremus rhinorhynchos
Trachyscorpia cristulata
Scopelogadus beanii
Synaphobranchus kaupii
Borostomias elucens
Clupea harengus
Trematomus loennbergii
Gonodactylus oerstedii
Danio malabaricus
Ovipales stephensoni
Atherina boyeri
Dasycottus setiger
Phytichthys  chirus
Anolis carolinensis
Mauremys reevesii
Arothron meleagris
Xiphister mucosus
Myrmecia gulosa
Scopelarchus analis
Sigmops bathyphilus
Lutjanus fulviflamma
Spirinchus thaleichthys
Rhizoprionodon taylori
Copadichromis borleyi
Archaeomysis grebnitzkii
Xenodermichthys  copei
Platycercus elegans
Hemitripterus americanus
Rynchophorus ferrugineus
Myoxocephalus jack
Agonopsis vulsa
Tetrapturus audax
Haplochromis piceatus
Propithecus verreauxi coquereli
Merluccius merluccius
Hipposideros speoris
Ronquilus jordani
Trichodon trichodon
Melanochromis vermivorus
Carassius carassius
Leptocottus armatus
Praunus inermis
Isoodon obesulus
Ligia exotica
Callinectes sapidus
Loligo subulata
Sephanoides sephanoides
Gallus  gallus domesticus
Osmerus eperlanus
Pavo cristatus
Phidippus regius
Protomelas taeniolatus
Strix aluco
Carcharhinus amboinensis
Myoxocephalus stelleri
Saguinus midas
Ailuroedus crassirostris
Lampetra fluviatilis
Vespula vulgaris
Alosa kessleri
Sergia splendens
Carpodacus mexicanus
Bubo virginianus
Deania calcea
Cambarellus schufeldtii
Anolis lineatopus
Zalophus californianus
Procottus jettelesii
Columba livia
Todarodes pacificus
Coregonus clupeoides
Haptosquilla trispinosa
Lutjanus russellii
Anadevidia peponis
Rimicaris exoculata
Loxodonta africana
Mysis relicta sp.II
Ichneumon stramentarius
Ctenomys talarum
Acartia tonsa
Acanthephyra smithi
Puffinus pacificus
Cottus kessleri
Hemidactylus garnotii
Diplodus annularis
Borostomias panamensis
Aristostomias tittmani
Graphium sarpedon
Turdus merula
Seriphus politus
Ruscarius meanyi
Stomias boa
Ischnura heterosticta
Acanthephyra stylorostratis
Thamnophis sirtalis sirtalis
Cambarellus ludovicianus
Eutrigla gurnardus
Amia calva
Photostomias braueri
Argyropelecus gigas
Mylochromis lateristriga
Heliconius charithonia
Libinia emarginata
Gryllus campestris
Palaemonetes paladosus
Colletes fulgidus
Gekko gecko
Pieris rapae crucivora
Mullus barbatus
Carabus nemoralis
Heliconius melpomene
Lobianchia gemellarii
Zoramia  Viridiventer
Sebastolobus alascanus
Taaningichthys bathyphilus
Gilbertidia sigalutes
Penaeus duororum
Typhlonectes natans
Argynnis ruslana
Cyrtopodion fedtschenkoi
Gasterosteus aculeatus
Camponotus abdominalis
Canis lupus familiaris
Lestrimelitta limao
Andrena florea
Cavia porcellus
Xiphister atropurpureus
Musca domestica
Anolis cristatellus
Stizostedion lucioperca
Jasus edwardsii
Sternoptyx diaphana
Myotis velifer
Callithrix jacchus jacchus
Benthalbella infans
Sergia grandis
Ceratoscopelus warmingii
Paracottus knerii
Sympetrum rubicundulum
Macaca mulatta
Colinus virginianus
Ahliesaurus berryi
Lonchura malabarica
Esox lucius
Conocara salmonea
Pseudozizeeria maha
Rinocetes nasutus
Abramis brama
Bombus jonellus
Podothecus acipenserinus
Bathylagus bericoides
Cataglyphis bombycinus
Oeneis chryxus
Photonectes braueri
Taeniura lymma
Nannobrachium atrum
Bombus hypnorum
Locusta migratoria
Aptychotrema vincentiana
Apodemia mormo
Bassozetus compressus
Cottocomephorus grewingki
Myoxocephalus quadricornis
Sebastes maliger
Sphyrna tiburo
Corvus  frugilegus
Artedius fenestrates
Nerophis ophidion
Ptychozoon lionotum
Cottus gobio
Acanthurus triostegus
Molothrus ater
Stylopandalus richardi
Peprilus stimillimus
Sminthopsis crassicaudata
Carcharhinus acronotus
Xiphister  atropurpureus
Oplophorus sp.
Notostomus gibbosus
Pandalus montagui
Nomada alboguttata
Heliconius erato petiverana
Masticophis flagellum
Pervagor spilosoma
Spodoptera exempta
Chaetodon unimaculatus
Geomys bursarius
Tyto alba
Neogonodactylus curacaoensis
Ostracion meleagris
Pleuronectes platessa
Menippe mercenaria
Hemigraspus sanguineus
Maylandia zebra
Bombus morio
Triakis semifasciata
Arizona elegans
Ampelophaga rubiginosa
Isopsetta isolepis
Atherinops affinis
Plocepasser mahali
Xenopus laevis
Melanochromus vermivorous
Enophrys diceraus
Limanda aspera
Naso lituratus
Acanthurus nigroris
Samia cynthia ricini
Schistocerca gregaria
Puffinus puffinus
Notonecta undulata
Chelonia mydas
Limenitis lorquini
Haplochromis ishmaeli
Aotus trivirgatus
Histiobranchus bathybius
Pavo  cristatus
Sebastes empaeus
Vinciguerria nimbaria
Metriaclima benetos
Lipophrys pholis
Phoca vitulina
Parupeneus multifasceatus
Photuris potomaca
Bathophilus brevis
Opisthoproctus grimaldii
Chauliodus danae
Zebrasoma veliferum
Notoscopelus resplendens
Sargocentron tiere
Heliconius numata
Anax junius
Marosatherina ladigesi
Lumpenus sagitta
Anchoa mitchilli
Buteo jamaicensis
Etroplus suratensis
Stenobrachius leucopsarus
Coronis scolopendra
Metriaclima emmiltos
Apodichthys flavidus
Pergavor aspricaudus
Pleurodeles waltl
Idiosepius notoides
Radiicephalus elongatus
Colias erate
Palaemonetes vulgaris
Lipophyrs pholis
Lepidorhombus boscii
Hypomesus pretiosus
Pollachius pollachius
Eumicrotremus orbis
Sargocentron punctatissimum
Minois dryas
Pleurogrammus azonus
Artedius meanyi
Geotria australis
Asterropteryx semipunctata
Danaus plexippus
Scomber japonicus
Nemichthys scolopaceus
Ophiodon elongatus
Conocara macroptera
Melecta punctata
Belone belone
Cambarellus shufeldtii
Photinus versicolor
Lutjanus carponotatus
Epicopeia hainesii
Bathylagus euryops
Aristostomias tittmanni
Hemidactylus platyurus
Psychrolutes paradoxus
Eristalis tenax
Microstomus pacificus
Chirostomias pliopterus
Sufflamen bursa
Melopsittacus undalatus
Bombus fervidus
Strophidon sathete
Conger conger
Funchalia villosa
Ctenophorus decresii
Microgadus proximus
Daphnia magna
Sardinops melanostictus
Eulemur fulvus
Gasterosteus acuelatus
Melanostomias niger
Chimaera monstrosa
Bowmaniella sp.
Deilephila elpenor
Haplonycteris fischeri
Octopus tetricus
Gennadas sp.
Photostylus sp.
Gennadas valens
Xiphydria camelus
Gymnocanthus pistilliger
Lampanyctus festivus
Isodon obesulus
Liparis pulchellus
Parapasiphaea sulcatifrons
Ostorhinchus Doederleini
Dardanus fucosus
Equus caballus
Dugesia japonica
Zebrasoma velifer
Pseudopleuronectes americanus
Tribolodon hakonensis
Cephalopachus bancanus
Fabriciana adippe
Pseudotropheus  acei
Tinca tinca
Diaphus holti
Lasioglossum malachurum
Saguinus fuscicollis
Cottocomephorus inermis
Asprocottus herzensteini
Glaucomys sabrinus
Eucyclogobius newberryi
Chelostoma florisomne
Photinus scintillans
Didelphis aurita
Cottinella boulengeri
Dimidiochromis compressiceps
Hoplostethus atlanticus
Sergestes arcticus
Anas platyrhynchos
Buteo buteo
Leptograpsus variegatus
Istiophorus  platypterus
Toxotes chatareus
Mysis  sp.
Homarus gammarus
Triglopsis quadricornis
Panulirus argus
Melamphaes suborbitalis
Cyttopsis roseus
Acerina cernua
Lycaena rubidus
Crenicichla frenata
Ictalurus punctatus
Gymnocanthus intermedius
Cataglyphis bicolor
Parus caeruleus
Limulus polyphemus
Chlorocebus aethiops
Chlamydera maculata
Bothragonus  swani
Chromis ovalis
Cottus sp.
Coryphaenoides armatus
Euphausia pacifica
Forcipiger flavissimus
Carcharhinus leucas
Anableps anableps
Scorpaena porcus
Vespo crabro
Bombus  impatiens
Balanus balanoides
Anguilla japonica
Oreochromis nilocticus
Halargyreus johnsonii
Osmia rufa
Cebus spp.
Bombus impatiens
Anoplogaster cornuta
Sympetrum sp.
Lampanyctus regalis
Parage aegeria
Sphyraena barracuda
Sargocentron microstoma
Symphodus melops
Pergavor spilosoma
Antheraea polyphemus
Batrachocottus baicalensis
Papio papio
Speyeria leto
Parvus  caeruleus
Hymenodora frontalis
Spheniscus humboldti
Aeschna cyanea
Spermophilus tridecemline
Aequidens pulcher
Mora moro
Carcharhinus obscurus
Pseudopleuronectes obscurus
Oryctolagus cuniculus
Euphausia superba
Parophrys vetulus
Argentina silus
Rouleina aderensis
Albula vulpes
Platysaurus broadleyi
Idiacanthus fasciola
Larus atricilla
Naso unicornis
Spermophilus tridecemlineatus
Vulpes lagopus
Petromyzon marinus
Pagurus pollicaris
Actias artemis aliena
Diaphus rafinesquei
Neochmia modesta
Nephrops norvegicus
Triglops pingelii
Carabus auratus
Hypsurus caryi
Zaniolepis frenata
Dissostichus mawsoni
Caretta caretta
Callistoctopus dierythraeus
Paracheirodon innesi
Helostoma temminkii
Mamestra brassicae
Rhithropanopeus harrisii
Cottocomephorus grewingkii
Amphilophus longimanus
Chelidonichthys lucernus
Halosauropsis macrochir
Gonodactylopsis spongicola
Loligo forbesii
Thysanopoda acutifrons
Systellaspis cristata
Citharichthys sordidus
Galago senegalensis
Pholis laeta
Mysis salemaai
Ichneumon spp.
Trigona spinipes
Oxea flavescens
Coryphaenoides carapinus
Panopeus herbstii
Zonotrichia leucophrys
Jordania zonope
Drosophila melanogaster
Coryphaenoides guntheri
Notacanthus bonapartei
Zalembius rosaceus
Zoarces viviparus
Squilla empusa
Bombus monticola
Microstoma microstoma
Alima pacifica
Rana cancrivora
Argyropelecus aculeatus
Papilo bianor
Canthidermis maculatus
Zoramia  Leptacanthus
Haplochromis pyrrhocephalus
Embiotoca lateralis
Crangon allmani
Anolis evermanni
Thysanoessa raschii
Plesionika martia
Sergestes similis
Hexagrammos stelleri
Photinus collustrans
Pseudopleuronectes herzensteini
Psychrobites paradoxus
Asterocampa leilia
Gymnothorax favagineus
Necturus maculosus
Citellus lateralis
Oplophorus spinosus
Mustelus henlei
Pseudosquilla ciliata
Cymatogaster aggregata
Dolichovespula norwegica
Stomias atriventer
Pomatoschistus minutus
Chromis vanderbilti
Thylamys elegans
Poromitra megalops
Plectroglyphidodon johnstonianus
Diaphus rafinesqueii
Galleria mellonella
Chauliodus sloanei
Callambulyx tatarinovii
Syngnathus typhle
Meleagris  galoparvo
Bombus lapidarius
Anolis pulchellus
Mesocricetus brandti
Artedius harringtoni
Sepia plangon
Aglais urticae
Octopus australis
Artedius fenestralis
Synodus variegatus
Gymnura australis
Rhea  americana
Praunus flexuosus
Systellaspis braueri
Pteropus samoensis
Margrethia obtusirostra
Oncorhynchus mykiss
Neope goschkevitschii
Sergia phorcus
Neotrygon kuhlii
Megalocottus  platycephalus
Euphydryas chalcedona
Carcinus maenas
Plexippus validus
Rhinobatus typus
Himantura fai
Neominois ridingsii
Acanthephyra microphthalma
Lampanyctus alatus
Ammodytes hexapterus
Sigmops elongatus
Poecilia formosa
Dicrolene intronigra
Megalocottus platycephalus
Kuhlia sandvicensis
Microcebus murinus
Neogonodactylus oerstedii
Lutjanus adetii
Fundulus heteroclitus
Lepilemur ruficaudatus
Polyodon spathula
Talitrus saltator
Tramitichromis  intermedius
Cynops pyrrhogaster
Cercopithecus cephus
Geotrypetes seraphini
Drosophilia melanogaster
Microcottus sellaris
Carcharhinus melanopterus
Rangifer tarandus
Neomysis americana
Trygonoptera testacea
Hyperoplus lanceolatus
Ostorhinchus Cookii
Sargocentron spiniferum
Potos flavus
Canthidermis maculata
Acipenser medirostris
Acanthephyra purpurea
Hypsiglena torquata
Thomomys bottae
Acipenser fulvescens
Trematomus bernacchii
Pundamilia pundamilia
Daubentonia madagascariensis 
Haplochromis burtoni
Lepidopsetta bilineata
Callipepla californica
Gonostoma bathyphilium
Leuroglosus stilbius
Mirza coquereli
Myripristis violacea
Nautichthys oculofasciatus
Cyprinodon variegatus
Corvus frugilegus
Oligocottus maculosus
Spalacopus cyanus
Sesarma reticulatum
Cloridopsis dubia
Formica polyctena
Bentheogennema intermedia
Meganyctiphanes norvegica
Malacosteus niger
Otus asio
Dascyllus trimaculatus
Agraulis vanillae
Eurypharynx pelecanoides
Hemicordulia tau
Spinachia spinachia
Rhacochilus vacca
Lycaena heteronea
Liparis florae
Aulostomus chinensis
Leptograspus variegatus
Micropterus salmoides
Hydrolagus colliei
Melanostigma pammelas
Synaphobranchus kaupi
Abramis ballerus
Speotyto cunicularia
Chromis hanui
Anas  platyrhynchos
Lycaena nivalis
Homo sapiens
Portunus spinimanus
Vanessa cardui
Calliphora erythrocephala
Pomacentrus melanochir
Systellaspis debilis
Urobatis jamaicensis
Nymphalis antiopa
Clinocottus globiceps
Myripristis berndti
Sturnus vulgaris
Hepatus epheliticus
Cerceris rybyensis
Lonchura striata
Pagurus longicarpus
Peprilus simillimus
Rhinella [=Bufo] marinus
Myoxocephalus potyacanthocephalus
Saguinus oedipus
Notostomus elegans
Petrolisthes elongates
Uca pugnax
Glossophaga soricina
Rana catesbeiana
Bombus terrestris
Gekko gekko
Pundamilia nyererei
Rana catesbeiana larvae
Notonecta glauca
Hariotta raleighana
Ostorhinchus Cyanosoma
Glaucostegus typus
Zanclus cornutus
Engraulis encrasicolus
Bicyclus anynana
Notonecta insulata
Neoniphon aurolineatus
Furcifer pardalis
Pervagor aspricaudus
Platytroctes apus
Callinectes ornatus
Batrachocottus nicolskii
Pundamilia au
Janicella spinacauda
Phronima sedenteria
Megalops atlanticus
Sygnathus leptorhynchus
Anas playrhnchos domesticus
Lysiosquillina maculate
Ctenomys magellanicus
Panopeus obesus
Acanthurus achilles
Photinus macdermotti
Batrachocottus nikolskii
Pleuroncodes planipes
Neomysis integer
Apodemia spp.
Rhinoptera bonasus
Trigla cuculus
Ambystoma tigrinum hatchling
Leontopithecus rosalia rosalia
Abudefduf abdominalis
Oncorhynchus kisutch
Aetobatus narinari
Limenitis archippus
Mysis relicta sp.IV
Mirounga angustirostri
Thunnus albacares
Zebrasoma flavescens
Libinia dubia
Acanthropagrus berda
Asteropteryx semipunctatus
Taurulus bubalis
Tarsius bancanus
Coturnix  japonica
Atrophaneura alcinous
Pullosquilla litoralis
Lampadena speculigera
Myoxocephalus brandti
Oncorhynchus keta
Partamona helleri
Aptychotrema rostrata
Liparis dennyi
Acipenser ruthenus
Melanonus zugmayeri
Sericulus crysocephalus
Pleurogrammus  azonus
Taeniopygia guttata
Ambystoma tigrinum adult
Lethrinops parvidens
Engaeus cunicularius
Bufo bufo
Sagiunus midas
Melanochromis  vermivorus
Parnara guttata
Puntigrus tetrazona
Gnathophausia ingens
Hemigrapsus sanguinensis
Procambarus clarkii
Pungitius pungitius
Bathysaurus mollis
Papilio achaon
Libellula pulchella
Eulemur fulvus fulvus
Pachystomias microdon
Perca  flavescens
Cercopithecus petaurista
Evermannella balbo
Lutjanus johnii
Opisthocentrus ocellatus
Hermeuptychia hermes
Platichthys flesus
Scaphirhynchus platorynchus
Pseudotropheus acei
Capra hircus
Barbantus curvifrons
Acanthropagrus major
Teratoscincus scincus
Sebastes flavidus
Loris tardigradus
Anas platyrhynchus
Centropristis striata
Zenaida macroura
Urocerus gigas
Melanotaenia maccullochi
Serrivomer lanceolatoides
Electrona risso
Romalea microptera
Astatotilapia burtoni
Lissotriton vulgaris
Xenodermichthys copei
Carcharhinus amblyrhynchos
Miopithecus talapoin
Gonostoma denudatum
Micropoecilia parae
Poecilia parae
Micrometrus minimus
Sebastes caurinus
Damalichthys vacca
Lutjanus erythropterus
Rhinatrema bivittatum
Melipona quadrifasciata
Acanthropagrus schlegelii
Sphoeroides annulatus
Nymphalis xanthomelas
Hippoglossoides herzensteini
Tarsipes rostratus
Heliconius hecale
Comephorus baicalensis
Rana cracrivora
Malacocephalus laevis
Blepsias cirrhosus
Rhinobatos lentiginosus
Cataetyx laticeps
Otolemus cassicaudatus
Clibanarius vittatus
Raja binoculata
Lonchura maja
Nematobrachion boopis
Uca pugilator
Myrmecia croslandi
Acanthephyra curtirostris
Benthosema suborbitale
Nothoprocta cinerascens cinerascens
Nansenia longicauda
Gecarcinus lateralis
Dascyllus albisella
Sebastes auriculatus
Uca thayeri
Lyopsetta exilis
Trichechus manatus
Geoclemys reevesii
Stylocheiron maximum
Engraulis japonicus
Trematomus hansoni
Polistes dominulus
Spermophilus beecheyi
Limnocottus griseus
Pieris melete
Myoxocephalus jaok
Liparis  greeni
Hemimysis anomala
Lycaena dorcas
Gonostoma bathyphilum
Gaidropsarus mediterraneus
Lonchura maga
Embiotoca jacksoni
Schwarziana sp
Ichthyophis cf. kohtaoensis
Serinus canaria
Anolis gundlachi
Opsanus tau
Nothoprocta cinerascens
Chaetodon kleinii
Ctenochaetus strigosus
Homarus americanus
Coenobita rugosa
Gobiusculus flavescens
Hemidactylus turcicus
Geryon quinquedens
Rana temporaria
Cynotilapia afra
Ameiurus catus
Poecilia mexicana
Bos taurus
Poecilia latipinna
Rhabdamia  Gracilis
Rhea americana
Otolemur crassicaudatus
Lampropeltis getula
Epigonus  telescopus
Cheirogaleus medius
Amyelois transitella
Ictalurus melas
Sander lucioperca
Rouleina maderensis
Anolis bahorucoensis
Talismania antillarum
Orconectes virilis
Petrolisthes diogenes
Pagothenia borchgrevinki
Hapalochlaena maculosa
Photuris lucicrescens
Bellocia  koefoedi
Acipenser medirostrus
Felis catus
Polyipnus polli
Lates calcarifer
Typhlops hypomethes
Acipenser baerii
Gymnothorax reticularis
Coryphaenoides leptolepis
Caranx hippos
Polygonia c-album
Chromis punctipinnis
Haplochromis azurea
Gonepteryx aspasia
Aulorhynchus flavidus
Scylla serrata
Rattus rattus
Diaphus lucidus
Axoclinius carminalis
Bathylagus longirostris
Hymenodora glacialis
Anilius scytale
Papilio maackii
Lysiosqullia sulcata
Aphanopus  carbo
Micrometrus aurora
Mysis relicta sp.I
Enophrys bison
Manduca sexta
Aulonocara hueseri
Sepia officinalis
Tupaia glis
Bathylagus greyae
Alepocephalus bairdii
Hoplostethus mediterraneus mediterraneus
Photinus pyralis
Celastrina argiolus
Cambarus ludovicianus
Pholidapus dybowsky
Gallus gallus
Odontodactylus havanensis
Phycis blennoides
Carassius auratus
Balanus eburneus
Nematobrachion sexpinosum
Anolis conspersus
Sesarma cinereum
Hydrolagus mirabilis
Echinomacrurus mollis
Trachurus mediterraneus
Myotis lucifugus
Mesocricetus auratus
Pasiphaea suspirosum
Struthio camelus
Myrmecia vindex
Chauliodus sloani
Salmo trutta trutta
Psettichthys melanostictus
Neogonodactylus oertstedii
Pristiapogon kallopterus
Stichaeus nozawae
Dendrochirus zebra
Cyprinus carpio
Astyanax fasciatus
Hexagrammos decagrammus
Setonix brachyurus
Stylephorus chordatus
Xenos peckii
Photuris frontalis
Stegastes fasciolatus
Spermophilus lateralis
Amandina fasciata
Penaeus penicillatus
Procambarus milleri
Bodianus bilunnulatus
Hippocampus barbouri
Limenitis weidemeyerii
Salvelinus alpinus
Pleuronectes obscurus
Limnocottus eurystomus
Cyttopsis rosea
Anolis sagrei
Nematobrachion sexspinosus
Python regius
Pundamila sp.
Porogradus sp.
Heteromysis formosa
Odontodactylus scyllarus
Ernogrammus hexagrammus
Mus musculus
Astacus fluviatus
Rhinocheilus lecontei
Chelidonichthys lucerna
Bentheogennema pasithea
Menemerus confusus
Pieris brassicae
Pleuronectes herzensteini
Gryllus bimaculatus
Sardinops sagax
Junonia coenia
Phalaenoptilus nuttallii
Phoca groenlandicus
Urocyon littoralis
Archaeopropona demophon
Lutjanus quinquelineatus
Periplaneta americana
Marumba sperchius
Microstomus kitt
Kali macrodon
Lasioglossum albipes
Ascelichthys rhodorus
Pilumnus sayi
Oncorhynchus gorbuscha
Diaphus dumerilli
Galago crassicauda
Oplophorus gracilirostris
Lepomis macrochirus
Metynnis argenteus
Sargocentron xantherythrum
Argyropelecus hemigymnus
Danio aequipinnatus
Monodelphis domestica
Gonodactylaceus falcatus
Howella sherborni
Holtbyrnia spinithara
Rhinomuraena quaesita
Liparis greeni
Myoxocephalus scorpius
Alburnus alburnus
Neoceratodus forsteri
Squalus suckleyi
Inachis io
Arenaeus cribrarius
Pasiphaea emarginata
Bassozetus compresis
Bombyx mori
Sepioteuthis lessoniana
Neoniphon sammara
Sus scrofa
Octodon degus
Rhamphocottus richardsonii
Boa constrictor
Bero elegance
Chirolophis japonicus
Tyrannochromis macrostoma
Lutjanus argentimaculatus
Chromis verater
Melopsittacus undulatus
Rouleina attrita
Mustela putorius furo
Daubentonia madagascariensis
Dromiceius novae-hollandae
Rhadinesthes decimus
Dromiceius novae-hollandiae
Argiope bruennichi
Anguilla anguilla
Cirrhilabrus solorensis
Xylocopa brasilianorum
Trachemys scripta
Asprocottus intermediius
Leptotyphlops sp.
Chlamydera nuchalis
Anthophora acervorum
Pullosquilla thomassini
Odocoileus virginianus
Parupeneus multifasciatus
Acanthopagrus butcheri
Portunus spinimanis
Hippocampus angustus
Melanochromis auratus
Limnocottus pallidus
Brachyistius frenatus
Pundamilia azurea
Poecilia reticulata cumana
Engraulis mordax
Hemigrapsus edwardsii
Neomysis mercedis
Argiope amoena
Makaira nigricans
Gonostoma atlanticum
Cynops orientalis
Gobiesox maeandricus
Pholis omata
Anolis stratulus
Portunus trituberculatus
Elops  saurus
Lutjanus malabaricus
Phassus excrescens
Metriaclima melabranchion
Pipilo fuscus
Bero elegans
Coryphopterus nicholsii
Scenopoetes dentirostris
Salmo irideus
Lepisosteus platostomus
Anthidium manicatum
Potamotrygon motoro
Passer domesticus
Neonesthes capensis
Gadus macrocephalus
Didelphis virginiana
Bicellonycha wickershamorum
Searsia koefoedi
Sergestes tenuiremis
Dasyatis kuhlii
Mysis mixta
Bothragonus swani
Caprimulgus europaeus
Chamaeleo dilepis
Eurypanopeus depressus
Sergia maximus
Ochlodes venata
Derichthys serpentinus
Mulloidichthys flavolineatus
Calappa flammea
Brachydanio rerio
Melipona marginata
Anolis extremus
Dasyatis fluviorum
Ballerus ballerus
Eustomias obscurus
Tramitichromis intermedius
Cleisthenes herzensteini
Poecilia reticulata
Scomberomorus sierra
Erythrocebus patas
Sergestes curvatus
Pseudotropheus tropheops
Valenciennellus tripunctulatus
Neoniphon argenteus
Acantholumpenus mackayi
Chiasmodon niger
Alouatta sp.
Sergia robustus
Heliconius sara
Scaphirhynchus albus
Trygonorrhina fasciata
Tarsius syrichta
Ptilichthys goodei
Ctenophorus ornatus
Hyperprosopon argenteum
Typhlops platycephalus
Spicara smaris
Nectamia  Savayensis
Meriones unguiculatus
Crotaphytus dickersonae
Caelorhinchus labiatus
Lemur catta
Pundamilia red head
Clupea pallasii
Hemigrapsus sanguineus
Loligo pealii
Meleagris gallopavo
Nothoprocta perdicaria
Photinus marginellus
Cancer irroratus
Platyberyx opalescens
Dermogenys pusilla
Sciurus carolinensis
Cheirogaleus major
Chiloscyllium punctatum
Anolis grahami
Lycodes pacificus
Lepidion eques
Procottus jettelesi
Sphyrna lewini
Paromola cuvieri
Pleuronectes asper
Ichthyophis kohtaoensis
Gonostoma elongatum
Pithecia pithecia
Cottunculus thomsonii
Globicephala melas
Plesiopenaeus armatus
Orconectes rusticus
Stichaeus grigorjevi
Euprymna tasmanica
Accipiter nisus
Photostomias guernei
Anas platyrhynchos domesiticus
