Rhithropanopeus harrisii
Tenthredo campestris
Callinectes ornatus
Batrachocottus nicolskii
Pundamilia au
Janicella spinacauda
Phronima sedenteria
Sygnathus leptorhynchus
Anas playrhnchos domesticus
Hemitripterus villosus
Lysiosquillina maculate
Anguilla bicolor
Plagiotremus rhinorhynchos
Ctenomys magellanicus
Panopeus obesus
Acanthurus achilles
Trachyscorpia cristulata
Scopelogadus beanii
Photinus macdermotti
Synaphobranchus kaupii
Borostomias elucens
Batrachocottus nikolskii
Pleuroncodes planipes
Neomysis integer
Apodemia spp.
Rhinoptera bonasus
Trigla cuculus
Leontopithecus rosalia rosalia
Trematomus loennbergii
Gonodactylus oerstedii
Abudefduf abdominalis
Danio malabaricus
Aetobatus narinari
Ovipales stephensoni
Mysis relicta sp.IV
Dasycottus setiger
Phytichthys  chirus
Zebrasoma flavescens
Libinia dubia
Acanthropagrus berda
Arothron meleagris
Asteropteryx semipunctatus
Xiphister mucosus
Myrmecia gulosa
Sigmops bathyphilus
Taurulus bubalis
Lutjanus fulviflamma
Spirinchus thaleichthys
Tarsius bancanus
Rhizoprionodon taylori
Archaeomysis grebnitzkii
Xenodermichthys  copei
Pullosquilla litoralis
Hemitripterus americanus
Rynchophorus ferrugineus
Lampadena speculigera
Myoxocephalus jack
Agonopsis vulsa
Myoxocephalus brandti
Tetrapturus audax
Partamona helleri
Aptychotrema rostrata
Liparis dennyi
Haplochromis piceatus
Melanonus zugmayeri
Sericulus crysocephalus
Merluccius merluccius
Hipposideros speoris
Ronquilus jordani
Pleurogrammus  azonus
Trichodon trichodon
Leptocottus armatus
Praunus inermis
Engaeus cunicularius
Ligia exotica
Sagiunus midas
Callinectes sapidus
Parnara guttata
Gnathophausia ingens
Sephanoides sephanoides
Hemigrapsus sanguinensis
Gallus  gallus domesticus
Pavo cristatus
Bathysaurus mollis
Phidippus regius
Protomelas taeniolatus
Papilio achaon
Libellula pulchella
Strix aluco
Pachystomias microdon
Cercopithecus petaurista
Carcharhinus amboinensis
Evermannella balbo
Lutjanus johnii
Myoxocephalus stelleri
Saguinus midas
Opisthocentrus ocellatus
Ailuroedus crassirostris
Lampetra fluviatilis
Hermeuptychia hermes
Alosa kessleri
Sergia splendens
Carpodacus mexicanus
Scaphirhynchus platorynchus
Bubo virginianus
Pseudotropheus acei
Deania calcea
Cambarellus schufeldtii
Barbantus curvifrons
Acanthropagrus major
Teratoscincus scincus
Sebastes flavidus
Loris tardigradus
Anas platyrhynchus
Anolis lineatopus
Procottus jettelesii
Zenaida macroura
Coregonus clupeoides
Urocerus gigas
Haptosquilla trispinosa
Lutjanus russellii
Anadevidia peponis
Melanotaenia maccullochi
Rimicaris exoculata
Serrivomer lanceolatoides
Electrona risso
Romalea microptera
Mysis relicta sp.II
Ichneumon stramentarius
Ctenomys talarum
Acartia tonsa
Astatotilapia burtoni
Lissotriton vulgaris
Xenodermichthys copei
Acanthephyra smithi
Miopithecus talapoin
Gonostoma denudatum
Micropoecilia parae
Puffinus pacificus
Cottus kessleri
Hemidactylus garnotii
Micrometrus minimus
Sebastes caurinus
Damalichthys vacca
Borostomias panamensis
Turdus merula
Seriphus politus
Ruscarius meanyi
Stomias boa
Ischnura heterosticta
Melipona quadrifasciata
Acanthephyra stylorostratis
Acanthropagrus schlegelii
Sphoeroides annulatus
Cambarellus ludovicianus
Nymphalis xanthomelas
Hippoglossoides herzensteini
Eutrigla gurnardus
Photostomias braueri
Comephorus baicalensis
Argyropelecus gigas
Rana cracrivora
Malacocephalus laevis
Blepsias cirrhosus
Rhinobatos lentiginosus
Libinia emarginata
Cataetyx laticeps
Otolemus cassicaudatus
Gryllus campestris
Clibanarius vittatus
Palaemonetes paladosus
Raja binoculata
Lonchura maja
Nematobrachion boopis
Myrmecia croslandi
Acanthephyra curtirostris
Colletes fulgidus
Benthosema suborbitale
Nothoprocta cinerascens cinerascens
Nansenia longicauda
Mullus barbatus
Carabus nemoralis
Gecarcinus lateralis
Dascyllus albisella
Sebastes auriculatus
Lobianchia gemellarii
Zoramia  Viridiventer
Uca thayeri
Lyopsetta exilis
Geoclemys reevesii
Stylocheiron maximum
Sebastolobus alascanus
Taaningichthys bathyphilus
Gilbertidia sigalutes
Penaeus duororum
Typhlonectes natans
Argynnis ruslana
Cyrtopodion fedtschenkoi
Camponotus abdominalis
Trematomus hansoni
Polistes dominulus
Lestrimelitta limao
Andrena florea
Spermophilus beecheyi
Limnocottus griseus
Pieris melete
Xiphister atropurpureus
Myoxocephalus jaok
Liparis  greeni
Hemimysis anomala
Anolis cristatellus
Lycaena dorcas
Gonostoma bathyphilum
Gaidropsarus mediterraneus
Lonchura maga
Stizostedion lucioperca
Jasus edwardsii
Sternoptyx diaphana
Myotis velifer
Schwarziana sp
Benthalbella infans
Sergia grandis
Ichthyophis cf. kohtaoensis
Ceratoscopelus warmingii
Paracottus knerii
Sympetrum rubicundulum
Ahliesaurus berryi
Anolis gundlachi
Opsanus tau
Lonchura malabarica
Nothoprocta cinerascens
Chaetodon kleinii
Ctenochaetus strigosus
Conocara salmonea
Coenobita rugosa
Gobiusculus flavescens
Pseudozizeeria maha
Hemidactylus turcicus
Geryon quinquedens
Ameiurus catus
Rinocetes nasutus
Abramis brama
Rhabdamia  Gracilis
Rhea americana
Bombus jonellus
Podothecus acipenserinus
Bathylagus bericoides
Cataglyphis bombycinus
Epigonus  telescopus
Ictalurus melas
Photonectes braueri
Rouleina maderensis
Taeniura lymma
Anolis bahorucoensis
Talismania antillarum
Orconectes virilis
Nannobrachium atrum
Petrolisthes diogenes
Bombus hypnorum
Hapalochlaena maculosa
Locusta migratoria
Photuris lucicrescens
Bellocia  koefoedi
Bassozetus compressus
Cottocomephorus grewingki
Myoxocephalus quadricornis
Acipenser medirostrus
Sebastes maliger
Sphyrna tiburo
Corvus  frugilegus
Polyipnus polli
Artedius fenestrates
Typhlops hypomethes
Ptychozoon lionotum
Acanthurus triostegus
Gymnothorax reticularis
Stylopandalus richardi
Coryphaenoides leptolepis
Caranx hippos
Polygonia c-album
Peprilus stimillimus
Chromis punctipinnis
Haplochromis azurea
Carcharhinus acronotus
Gonepteryx aspasia
Xiphister  atropurpureus
Oplophorus sp.
Aulorhynchus flavidus
Notostomus gibbosus
Pandalus montagui
Scylla serrata
Nomada alboguttata
Diaphus lucidus
Axoclinius carminalis
Bathylagus longirostris
Hymenodora glacialis
Anilius scytale
Papilio maackii
Lysiosqullia sulcata
Aphanopus  carbo
Micrometrus aurora
Mysis relicta sp.I
Pervagor spilosoma
Spodoptera exempta
Chaetodon unimaculatus
Enophrys bison
Geomys bursarius
Neogonodactylus curacaoensis
Ostracion meleagris
Menippe mercenaria
Tupaia glis
Bathylagus greyae
Alepocephalus bairdii
Hoplostethus mediterraneus mediterraneus
Bombus morio
Triakis semifasciata
Celastrina argiolus
Cambarus ludovicianus
Pholidapus dybowsky
Odontodactylus havanensis
Isopsetta isolepis
Atherinops affinis
Phycis blennoides
Plocepasser mahali
Enophrys diceraus
Balanus eburneus
Nematobrachion sexpinosum
Anolis conspersus
Limanda aspera
Sesarma cinereum
Naso lituratus
Acanthurus nigroris
Samia cynthia ricini
Hydrolagus mirabilis
Echinomacrurus mollis
Trachurus mediterraneus
Puffinus puffinus
Notonecta undulata
Pasiphaea suspirosum
Myrmecia vindex
Chauliodus sloani
Limenitis lorquini
Haplochromis ishmaeli
Psettichthys melanostictus
Aotus trivirgatus
Histiobranchus bathybius
Pavo  cristatus
Pristiapogon kallopterus
Stichaeus nozawae
Dendrochirus zebra
Sebastes empaeus
Vinciguerria nimbaria
Metriaclima benetos
Lipophrys pholis
Astyanax fasciatus
Hexagrammos decagrammus
Parupeneus multifasceatus
Stylephorus chordatus
Photuris potomaca
Bathophilus brevis
Xenos peckii
Photuris frontalis
Stegastes fasciolatus
Spermophilus lateralis
Opisthoproctus grimaldii
Amandina fasciata
Chauliodus danae
Penaeus penicillatus
Procambarus milleri
Bodianus bilunnulatus
Zebrasoma veliferum
Hippocampus barbouri
Notoscopelus resplendens
Sargocentron tiere
Salvelinus alpinus
Pleuronectes obscurus
Limnocottus eurystomus
Cyttopsis rosea
Anax junius
Marosatherina ladigesi
Nematobrachion sexspinosus
Lumpenus sagitta
Python regius
Pundamila sp.
Porogradus sp.
Heteromysis formosa
Anchoa mitchilli
Odontodactylus scyllarus
Ernogrammus hexagrammus
Buteo jamaicensis
Etroplus suratensis
Astacus fluviatus
Coronis scolopendra
Metriaclima emmiltos
Apodichthys flavidus
Pergavor aspricaudus
Chelidonichthys lucerna
Idiosepius notoides
Bentheogennema pasithea
Menemerus confusus
Pleuronectes herzensteini
Radiicephalus elongatus
Sardinops sagax
Junonia coenia
Palaemonetes vulgaris
Phalaenoptilus nuttallii
Lipophyrs pholis
Phoca groenlandicus
Lepidorhombus boscii
Urocyon littoralis
Hypomesus pretiosus
Pollachius pollachius
Eumicrotremus orbis
Minois dryas
Pleurogrammus azonus
Artedius meanyi
Asterropteryx semipunctata
Archaeopropona demophon
Lutjanus quinquelineatus
Scomber japonicus
Nemichthys scolopaceus
Ophiodon elongatus
Conocara macroptera
Melecta punctata
Belone belone
Cambarellus shufeldtii
Marumba sperchius
Photinus versicolor
Lutjanus carponotatus
Kali macrodon
Lasioglossum albipes
Ascelichthys rhodorus
Pilumnus sayi
Epicopeia hainesii
Diaphus dumerilli
Galago crassicauda
Oplophorus gracilirostris
Bathylagus euryops
Hemidactylus platyurus
Lepomis macrochirus
Metynnis argenteus
Sargocentron xantherythrum
Psychrolutes paradoxus
Argyropelecus hemigymnus
Eristalis tenax
Danio aequipinnatus
Microstomus pacificus
Chirostomias pliopterus
Sufflamen bursa
Howella sherborni
Bombus fervidus
Strophidon sathete
Holtbyrnia spinithara
Rhinomuraena quaesita
Liparis greeni
Myoxocephalus scorpius
Funchalia villosa
Alburnus alburnus
Squalus suckleyi
Ctenophorus decresii
Inachis io
Arenaeus cribrarius
Pasiphaea emarginata
Bassozetus compresis
Microgadus proximus
Sardinops melanostictus
Sepioteuthis lessoniana
Rhamphocottus richardsonii
Boa constrictor
Melanostomias niger
Bero elegance
Chimaera monstrosa
Bowmaniella sp.
Deilephila elpenor
Haplonycteris fischeri
Chirolophis japonicus
Lutjanus argentimaculatus
Octopus tetricus
Gennadas sp.
Chromis verater
Rouleina attrita
Photostylus sp.
Dromiceius novae-hollandae
Rhadinesthes decimus
Dromiceius novae-hollandiae
Gennadas valens
Xiphydria camelus
Gymnocanthus pistilliger
Lampanyctus festivus
Cirrhilabrus solorensis
Xylocopa brasilianorum
Liparis pulchellus
Parapasiphaea sulcatifrons
Asprocottus intermediius
Ostorhinchus Doederleini
Dardanus fucosus
Leptotyphlops sp.
Zebrasoma velifer
Tribolodon hakonensis
Chlamydera nuchalis
Anthophora acervorum
Pullosquilla thomassini
Parupeneus multifasciatus
Fabriciana adippe
Pseudotropheus  acei
Tinca tinca
Diaphus holti
Lasioglossum malachurum
Saguinus fuscicollis
Acanthopagrus butcheri
Portunus spinimanis
Hippocampus angustus
Limnocottus pallidus
Cottocomephorus inermis
Asprocottus herzensteini
Glaucomys sabrinus
Eucyclogobius newberryi
Chelostoma florisomne
Engraulis mordax
Photinus scintillans
Hemigrapsus edwardsii
Neomysis mercedis
Argiope amoena
Makaira nigricans
Gonostoma atlanticum
Cottinella boulengeri
Cynops orientalis
Gobiesox maeandricus
Pholis omata
Hoplostethus atlanticus
Anolis stratulus
Sergestes arcticus
Buteo buteo
Elops  saurus
Lutjanus malabaricus
Phassus excrescens
Leptograpsus variegatus
Istiophorus  platypterus
Metriaclima melabranchion
Pipilo fuscus
Toxotes chatareus
Mysis  sp.
Homarus gammarus
Bero elegans
Triglopsis quadricornis
Coryphopterus nicholsii
Panulirus argus
Melamphaes suborbitalis
Scenopoetes dentirostris
Cyttopsis roseus
Salmo irideus
Acerina cernua
Lycaena rubidus
Lepisosteus platostomus
Anthidium manicatum
Gymnocanthus intermedius
Cataglyphis bicolor
Neonesthes capensis
Didelphis virginiana
Parus caeruleus
Chlorocebus aethiops
Chlamydera maculata
Bothragonus  swani
Searsia koefoedi
Sergestes tenuiremis
Chromis ovalis
Cottus sp.
Coryphaenoides armatus
Dasyatis kuhlii
Mysis mixta
Euphausia pacifica
Bothragonus swani
Caprimulgus europaeus
Chamaeleo dilepis
Forcipiger flavissimus
Eurypanopeus depressus
Carcharhinus leucas
Anableps anableps
Sergia maximus
Scorpaena porcus
Vespo crabro
Ochlodes venata
Derichthys serpentinus
Balanus balanoides
Mulloidichthys flavolineatus
Halargyreus johnsonii
Calappa flammea
Osmia rufa
Cebus spp.
Brachydanio rerio
Anoplogaster cornuta
Sympetrum sp.
Melipona marginata
Anolis extremus
Dasyatis fluviorum
Ballerus ballerus
Eustomias obscurus
Lampanyctus regalis
Sphyraena barracuda
Sargocentron microstoma
Cleisthenes herzensteini
Scomberomorus sierra
Erythrocebus patas
Symphodus melops
Pergavor spilosoma
Antheraea polyphemus
Sergestes curvatus
Pseudotropheus tropheops
Valenciennellus tripunctulatus
Neoniphon argenteus
Batrachocottus baicalensis
Acantholumpenus mackayi
Papio papio
Chiasmodon niger
Alouatta sp.
Sergia robustus
Speyeria leto
Scaphirhynchus albus
Trygonorrhina fasciata
Tarsius syrichta
Ptilichthys goodei
Parvus  caeruleus
Hymenodora frontalis
Ctenophorus ornatus
Spheniscus humboldti
Hyperprosopon argenteum
Aeschna cyanea
Spermophilus tridecemline
Aequidens pulcher
Typhlops platycephalus
Spicara smaris
Mora moro
Nectamia  Savayensis
Carcharhinus obscurus
Pseudopleuronectes obscurus
Crotaphytus dickersonae
Caelorhinchus labiatus
Pundamilia red head
Clupea pallasii
Loligo pealii
Nothoprocta perdicaria
Cancer irroratus
Platyberyx opalescens
Dermogenys pusilla
Parophrys vetulus
Argentina silus
Rouleina aderensis
Albula vulpes
Idiacanthus fasciola
Larus atricilla
Anolis grahami
Naso unicornis
Lycodes pacificus
Lepidion eques
Spermophilus tridecemlineatus
Procottus jettelesi
Sphyrna lewini
Pagurus pollicaris
Paromola cuvieri
Actias artemis aliena
Diaphus rafinesquei
Pleuronectes asper
Ichthyophis kohtaoensis
Gonostoma elongatum
Neochmia modesta
Nephrops norvegicus
Pithecia pithecia
Cottunculus thomsonii
Triglops pingelii
Carabus auratus
Plesiopenaeus armatus
Hypsurus caryi
Zaniolepis frenata
Orconectes rusticus
Stichaeus grigorjevi
Euprymna tasmanica
Callistoctopus dierythraeus
Accipiter nisus
Photostomias guernei
Helostoma temminkii
