Gecarcinus lateralis
Aotus trivirgatus
Sergestes similis
Sardinops sagax
Photuris lucicrescens
Alosa kessleri
Nematobrachion boopis
Meganyctiphanes norvegica
Archaeomysis grebnitzkii
Hemidactylus platyurus
Proxylocopa sp.
Formica cunicularia
Asterocampa celtis
Deania calcea
Gobiesox maecmdricus
Rhynchobatus australiae
Mysis relicta sp.IV
Aulorhynchus flavidus
Artedius meanyi
Hippocampus barbouri
Oplophorus gracilirostris
Rhinella [=Bufo] marinus
Lonchura malacca
Fabriciana adippe
Photinus collustrans
Protomelas taeniolatus
Aetobatus narinari
Howella sherborni
Parantica sita
Neogonodactylus oertstedii
Lutjanus bohar
Sphyrna tiburo
Zanclus cornutus
Estrilda troglodytes
Kali macrodon
Cynotilapia afra
Pundamilia red head
Mantispa styriaca
Ctenophorus decresii
Haplochromis azurea
Lepomis macrochirus
Phronima sedenteria
Canthidermis maculata
Nansenia longicauda
Corvus frugilegus
Simulium sp.
Chromis vanderbilti
Acipenser medirostrus
Typhlops hypomethes
Coryphaenoides leptolepis
Toxomerus marginatus
Leocottus kesslerii
Chromis ovalis
Trematomus loennbergii
Urobatis jamaicensis
Procyon lotor
Menemerus confusus
Halosauropsis macrochir
Anableps anableps
Syrphus balteatus
Porichthys notatus
Cancer irroratus
Antheraea polyphemus
Psettichthys melanostictus
Cottocomephorus grewingki
Praunus flexuosus
Carcharhinus amboinensis
Polistes dominulus
Gonodactylellus affinis
Lonchura maga
Orconectes virilis
Partamona helleri
Artemia salina
Sympetrum sp.
Geotrypetes seraphini
Comephorus dybowskii
Mysis relicta sp.II
Polygonia c-album
Boa constrictor
Benthosema suborbitale
Bathysaurus ferox
Rouleina attrita
Lutjanus argentimaculatus
Odontodactylus scyllarus
Rangifer tarandus
Coronis scolopendra
Antimora  rostrata
Anas platyrhynchus
Bero elegance
Bombus fervidus
Acantholumpenus mackayi
Speotyto cunicularia
Onitis alexis
Rhinomuraena quaesita
Scaphirhynchus platorynchus
Talitrus saltator
Pervagor aspricaudus
Neoniphon sammara
Astacus fluviatus
Pseudotropheus tropheops
Lonchura striata
Aphanopus  carbo
Lampanyctus alatus
Spicara smaris
Gymnothorax favagineus
Melipona quadrifasciata
Lepidorhombus boscii
Chelidonichthys lucernus
Mysis  sp.
Notonecta insulata
Bolinichthys indicus
Spermophilus lateralis
Opsanus tau
Rynchophorus ferrugineus
Lycaena heteronea
Xenodermichthys copei
Lyopsetta exilis
Toxotes chatareus
Gobiusculus flavescens
Vulpes lagopus
Naso unicornis
Andrena florea
Rhinobatos lentiginosus
Liparis dennyi
Carcharhinus leucas
Pandalus montagui
Corixa punctata
Carabus nemoralis
Vespula germanica
Clibanarius vittatus
Benthalbella infans
Acanthephyra smithi
Histiobranchus bathybius
Ronquilus jordani
Cerceris rybynensis
Coroebus undatus
Saguinus midas
Alepocephalus australis
Sargocentron microstoma
Symphodus melops
Mulloidichthys flavolineatus
Tenodera sinensis
Systellaspis braueri
Sphoeroides annulatus
Chelidonichthys lucerna
Carassius auratus
Platytroctes apus
Phycis blennoides
Nectamia  Savayensis
Photostylus sp.
Anthidium manicatum
Neope goschkevitschii
Arachnocampa luminosa
Anolis cristatellus
Anolis gundlachi
Lobianchia gemellarii
Ichneumon sp.
Puntigrus tetrazona
Scirtothrips dorsalis
Sardinops melanostictus
Anolis lineatopus
Lethrus apterus
Mirounga angustirostri
Dicrolene intronigra
Stegastes fasciolatus
Ichthyophis kohtaoensis
Haplochromis burtoni
Galago crassicauda
Glaucostegus typus
Diaphus rafinesquei
Argyropelecus hemigymnus
Dolichovespula norwegica
Geomys bursarius
Frankliniella occidentalis
Squalus suckleyi
Calypteryx splendens and virgo
Bombus hypnorum
Lasioglossum albipes
Batrachocottus nikolskii
Paracottus knerii
Bathylagus greyae
Ammodytes hexapterus
Praunus inermis
Neoniphon aurolineatus
Astyanax fasciatus
Dasyatis fluviorum
Radiicephalus elongatus
Lutjanus kasmira
Leiothrix lutea
Limnocottus bergianus
Archaeoprepona demophon
Pristiapogon kallopterus
Phytichthys chirus
Notostomus gibbosus
Bathylagus bericoides
Pithecia pithecia
Sphyrna lewini
Trachurus mediterraneus
Sergia splendens
Neoniphon argenteus
Parupeneus multifasciatus
Bathylagus longirostris
Melanonus zugmayeri
Gonostoma atlanticum
Centroswcymnus coleolepis
Trachurus symmetricus
Naso lituratus
Paralabrax clathratus
Ichneumon spp.
Pasiphaea emarginata
Hymenodora frontalis
Rhea  americana
Bombus hortorum
Marosatherina ladigesi
Taaningichthys bathyphilus
Osmia rufa
Balanus eburneus
Jasus edwardsii
Parophrys vetulus
Panopeus herbtii
Citellus lateralis
Jordanella floridae
Hypomesus pretiosus
Ameiurus melas
Cottunculus thomsonii
Asteropteryx semipunctatus
Zenaida macroura
Limnocottus pallidus
Mysis mixta
Stylopandalus richardi
Ptilorhynchus violaceus
Hippoglossoides herzensteini
Marumba sperchius
Lepidion  eques
Rana catesbeiana
Drosophilia melanogaster
Coryphaenoides carapinus
Rhea americana
Anolis stratulus
Echinomacrurus mollis
Photonectes braueri
Lepidion eques
Anas playrhnchos domesticus
Camponotus blandus
Lycaena dorcas
Crotaphytus dickersonae
Formica polyctena
Thomomys bottae
Myzus persicae
Notonecta irrorata
Rana pipiens
Syngnathus leptorhynchus
Myrmecia croslandi
Ailuroedus crassirostris
Delia radicum
Cyrtopodion fedtschenkoi
Pervagor spilosoma
Nymphalis xanthomelas
Cymatogaster aggregata
Agonopsis vulsa
Acanthurus nigroris
Ovipales stephensoni
Pseudopleuronectes herzensteini
Panulirus argus
Gryllus campestris
Zebrasoma velifer
Schwarziana sp
Squilla empusa
Curtos sp.
Gonodactylopsis spongicola
Pergavor spilosoma
Epicopeia hainesii
Meleagris  galoparvo
Opisthoproctus grimaldii
Acipenser transmontanus
Cynops orientalis
Papilio aegeus
Vespula vulgaris
Photinus versicolor
Notacanthus bonapartei
Blicca bjoerkna
Thunnus albacares
Ictalurus catus
Cambarellus ludovicianus
Buteo buteo
Centrophorus squamosus
Pseudotropheus acei
Bassozetus compresis
Cottus sp.
Rhacochilus vacca
Engaeus cunicularius
Coryphaenoides profundicolus
Spirinchus thaleichthys
Megalocottus  platycephalus
Microstomus pacificus
Malacocephalus laevis
Panopeus obesus
Zebrasoma veliferum
Halargyreus johnsonii
Lysiosqullia sulcata
Nothoprocta cinerascens cinerascens
Pomacentrus melanochir
Strix aluco
Gonostoma bathyphilium
Platichthys flesus
Phidippus regius
Metriaclima melabranchion
Clupea pallasii
Myoxocephalus jaok
Rinocetes nasutus
Rhagoph-thalmus ohbai
Leptograpsus variegatus
Hyperoplus lanceolatus
Mysis salemaai
Panorpa cognata
Uca thayeri
Carpodacus mexicanus
Pleurogrammus  azonus
Leptograspus variegatus
Stichaeus nozawae
Pasiphaea multidentata
Elops  saurus
Enophrys bison
Hydrolagus mirabilis
Portunus trituberculatus
Micropterus salmoides
Parvus  caeruleus
Lutjanus russellii
Heliothis zea
Potos flavus
Blepsias cirrhosus
Cottocomephorus grewingkii
Gallus gallus
Saguinus oedipus
Dendrochirus zebra
Chiasmodon niger
Chlamydera maculata
Gaidropsarus mediterraneus
Calappa flammea
Comephorus baicalensis
Hipposideros speoris
Callipepla californica
Melamphaes suborbitalis
Diaphus rafinesqueii
Celastrina argiolus
Gymnocanthus intermedius
Odontodactylus brevirostris
Gonepteryx aspasia
Carabus auratus
Sigmops bathyphilus
Myoxocephalus stelleri
Holtbyrnia spinithara
Amandina fasciata
Libelloides macaronius
Oxea flavescens
Abudefduf abdominalis
Aeschna cyanea
Dromiceius novae-hollandiae
Metriaclima emmiltos
Carcharhinus limbatus
Haematopota sp.
Teratoscincus scincus
Bentheogennema intermedia
Bibio marci
Parnara guttata
Nomada albogutata
Libellula needhami
Anolis pulchellus
Cottinella boulengeri
Ernogrammus hexagrammus
Pseudotropheus  acei
Nothoprocta perdicaria
Gonostoma bathyphilum
Papilo bianor
Hexagrammos octogrammus
Eumicrotremus orbis
Abramis brama
Orectolobus maculatus
Aglais urticae
Bos taurus
Agraulis vanillae
Porogradus sp.
Sebastes auriculatus
Cataglyphis bicolor
Ochlodes venata
Pleuroncodes planipes
Pleurogrammus azonus
Cerceris rybyensis
Systellaspis cristata
Aulostomus chinensis
Plexippus validus
Penaeus penicillatus
Cleisthenes herzensteini
Coenobita rugosa
Hemicordulia tau
Penaeus duororum
Rhinatrema bivittatum
Sygnathus leptorhynchus
Ophiodon elongatus
Rana catesbeiana larvae
Geoclemys reevesii
Hexagrammos decagrammus
Megalocottus platycephalus
Mylochromis lateristriga
Sericulus crysocephalus
Uca pugnax
Pasiphaea suspirosum
Eustomias obscurus
Janicella spinacauda
Ctenophorus ornatus
Odontodactylus havanensis
Stichaeopsis nana
Hemigraspus edwardsi
Necturus maculosus
Barbantus curvifrons
Oreocromis niloticus
Arenaeus cribrarius
Chauliognathus pulchellus
Astatotilapia burtoni
Ballerus ballerus
Parupeneus multifasceatus
Bothragonus swani
Dineutus ciliatus
Hemimysis anomala
Uca pugilator
Pyrocoelia sp.
Pergavor aspricaudus
Scomberomorus sierra
Sargocentron tiere
Salmo irideus
Hemisquilla ensigera
Saguinus fuscicollis
Callinectes ornatus
Corvus  frugilegus
Gekko gecko
Bellocia  koefoedi
Zoramia  Viridiventer
Lampanyctus festivus
Argyropelecus gigas
Bubo virginianus
Pandalus borealis
Melanotaenia maccullochi
Sympetrum rubicundulum
Crangon allmani
Bodianus bilunnulatus
Procottus jettelesi
Hepatus epheliticus
Haplochromis ishmaeli
Myoxocephalus jack
Diaphus holti
Cicindela chinensis
Pieris rapae crucivora
Asprocottus intermediius
Spodoptera exempta
Lasioglossum malachurum
Acanthropagrus major
Damalichthys vacca
Hypsurus caryi
Aeschna cyanea and mixta
Micrometrus minimus
Loxodonta africana
Vanessa cardui
Hexagrammos octagrammus
Petrolisthes diogenes
Junonia coenia
Bassozetus compressus
Hoplostethus atlanticus
Oplophorus sp.
Haptosquilla trispinosa
Lipophrys pholis
Melopsittacus undatus
Opisthocentrus ocellatus
Mysis relicta sp.I
Limenitis archippus
Spermophilus tridecemline
Pieris melete
Asterocampa leilia
Jordania zonope
Atherinops affinis
Zoramia  Leptacanthus
Acyrthosiphon pisum
Gasterosteus sp.
Hoplostethus mediterraneus mediterraneus
Pasiphaea chacei
Lampanyctus regalis
Octopus tetricus
Conocara macroptera
Pieris rapae
Sepioteuthis lessoniana
Poromitra capito
Hyperprosopon argenteum
Xiphister mucosus
Metriaclima barlowi
Photostomias guernei
Chrysoperla carnea
Cataglyphis aenescens
Chromis verater
Cercopithecus diana
Cynops pyrrhogaster
Acerina cernua
Acanthopagrus butcheri
Plesiopenaeus armatus
Cambarellus shufeldtii
Danaus plexippus
Ephestia cautella
Neochmia modesta
Chaetodon kleinii
Streptopelia roseogrisea
Bowmaniella sp.
Lampetra fluviatilis
Tribolodon hakonensis
Nematobrachion sexpinosum
Samia cynthia ricini
Borostomias elucens
Xiphister atropurpureus
Cloridopsis dubia
Anolis evermanni
Mesocricetus brandti
Ameiurus catus
Sargocentron spiniferum
Apogon kallopterus
Cyttopsis rosea
Didelphis virginiana
Asprocottus herzensteini
Ctenomys talarum
Myoxocephalus quadricornis
Solenopsis saevissima
Coryphaenoides armatus
Photinus macdermotti
Speyeria leto
Arichanna gaschkevitchii
Sebastes caurinus
Notoscopelus resplendens
Dolichonyx orzivorous
Synathedon tipulif ormis
Saimiri sciureus
Limanda aspera
Rhadinesthes decimus
Sargocentron xantherythrum
Trigona spinipes
Lucidina biplagiata
Coryphaenoides guntheri
Lepidopsetta bilineata
Hoplostethus mediteranus
Cyrtopodion kotschyi
Gymnura australis
Pyrophorus punctatissimus
Serrivomer lanceolatoides
Trygonoptera testacea
Heliothis virescens
Orectolobus ornatus
Coryphopterus nicholsii
Sergia grandis
Metynnis argenteus
Otus asio
Astacus leptodactylus
Ichneumon stramentrius
Lysiosquillina maculate
Pavo  cristatus
Bodianus bilunulatus
Sufflamen bursa
Callambulyx tatarinovii
Pachystomias microdon
Ctenochaetus strigosus
Melanostigma pammelas
Leontopithecus rosalia rosalia
Hariotta raleighana
Phassus excrescens
Tenthredo scrophulariae
Limnocottus griseus
Cebus sp.
Rhinoptera bonasus
Rouleina maderensis
Limnocottus eurystomus
Scomber japonicus
Felis catus
Platichthys stellatus
Gonodactylus smithii
Oplophorus spinosus
Portunus spinimanis
Caelorhinchus labiatus
Pseudozizeeria maha
Haplochromis piceatus
Embiotoca lateralis
Nomada alboguttata
Phalaenoptilus nuttallii
Enteroctopus dofleini
Callonychium petuniae
Arothron meleagris
Acanthropagrus berda
Hemigrapsus edwardsii
Cottocomephorus inermis
Borostomias panamensis
Palaemonetes vulgaris
Ctenomys magellanicus
Carlito syrichta
Gonostoma denudatum
Anax junius
Notostomus elegans
Paravespula vulgaris
Taeniura lymma
Balanus balanoides
Bombus monticola
Scenopoetes dentirostris
Antherea polyphemus
Sesarma reticulatum
Microstoma microstoma
Pleuronectes obscurus
Cercopithecus petaurista
Hemigrapsus sanguinensis
Mirza coquereli
Cyttopsis roseus
Argynnis ruslana
Platyberyx opalescens
Heteromysis formosa
Merluccius merluccius
Clinocottus globiceps
Canthidermis maculatus
Neomysis americana
Evermannella balbo
Trygonorrhina fasciata
Meningodora miccyla
Lutjanus quinquelineatus
Arctia plantaginis
Ligia exotica
Gennadas valens
Hippoglossoides elassodon
Phytichthys  chirus
Chlamydera nuchalis
Hapalochlaena maculosa
Gonodactylaceus falcatus
Idiacanthus fasciola
Dascyllus albisella
Tenthredo campestris
Tyrannochromis macrostoma
Buteo jamaicensis
Enophrys diceraus
Upeneus tragula
Trichodon trichodon
Batrachocottus nicolskii
Puffinus pacificus
Anolis conspersus
Palaemonetes paladosus
Rhabdamia  Gracilis
Pullosquilla litoralis
Systellaspis debilis
Ahliesaurus berryi
Nannobrachium atrum
Artedius harringtoni
Actias artemis aliena
Limenitis archippus floridensis
Phodopus sungorus
Tabanus bromius
Gonostoma elongatum
Argiope amoena
Deilephila elpenor
Chlorops sp.
Paromola cuvieri
Heliconius charithonia
Holmesimysis costata
Metriaclima livingstonii
Xenodermichthys  copei
Meningodora vesca
Ptychozoon lionotum
Danio malabaricus
Anthophora acervorum
Bentheogennema pasithea
Taeniopygia guttata
Chaetodon unimaculatus
Rhamphocottus richardsonii
Stichaeus grigorjewi
Lutjanus johnii
Pygopleurus israelitus
Bombus dahlbomii
Ischnura heterosticta
Rana cracrivora
Ptilichthys goodei
Syrphus sp.
Abyssocottus korotneffi
Melanphaes canthomus
Chaceon affinis
Photinus scintillans
Equus caballus
Poecilia formosa
Hemilepidotus hemilepidotus
Argyropelecus aculeatus
Stylephorus chordatus
Photuris frontalis
Acanthurus achilles
Apodichthys flavidus
Archaeopropona demophon
Perca fluviatilis
Tupaia glis
Stomias boa
Sephanoides sephanoides
Idiosepius notoides
Pipilo fuscus
Dermogenys pusilla
Pholis omata
Samia cyntia ricini
Isodon obesulus
Myrmecia vindex
Hemidactylus garnotii
Ips paraconfusus
Lycaena phlaeas
Acanthephyra stylorostratis
Benthalbella  infans
Funchalia villosa
Exorista japonica
Spinachia spinachia
Notonecta glauca
Myoxocephalus brandti
Pilumnus sayi
Artedius fenestrates
Rimicaris exoculata
Lutjanus carponotatus
Ruscarius meanyi
Myotis velifer
Anolis krugi
Colletes fulgidus
Erythrocebus patas
Ictalurus melas
Haplochromis pyrrhocephalus
Carcharhinus obscurus
Zoarces viviparus
Margrethia obtusirostra
Alburnus alburnus
Microcottus sellaris
Ichthyophis cf. kohtaoensis
Bombus morio
Urocyon littoralis
Clevelandia ios
Sarda chiliensis
Oxaea flavescens
Nematobrachion sexspinosus
Stomias atriventer
Chauliodus sloanei
Melopsittacus undalatus
Diaphus dumerilli
Belone belone
Peprilus stimillimus
Tarsius syrichta
Scylla serrata
Locusta migratoria
Stigmatopora argus
Sergestes corniculum
Caranx hippos
Romalea microptera
Mustelus henlei
Chromis punctipinnis
Oreochromis nilocticus
Coenobita clypeatus
Coturnix coturnix
Sagiunus midas
Eutrigla gurnardus
Xiphydria camelus
Anguilla Anguilla
Hemitripterus villosus
Chlorophthalmus sp.
Hexagrammos stelleri
Liparis greeni
Melanostomias niger
Schwarziana sp.
Photostomias braueri
Anolis bahorucoensis
Thysanopoda orientalis
Pullosquilla thomassini
Photuris potomaca
Anomala corpulenta
Myoxocephalus scorpius
Coregonus clupeoides
Pundamilia au
Pundamila sp.
Makaira nigricans
Menippe mercenaria
Lymantria dispar
Gennadas sp.
Alima pacifica
Rhizoprionodon taylori
Pholidapus dybowsky
Pholis laeta
Gobiesox maeandricus
Hemidactylus turcicus
Nothoprocta perdicaria sanborni
Fulgeochlizus bruchii
Sasakia charonda
Lonchura malabarica
Myrmecia gulosa
Sigmops elongatus
Zaniolepis frenata
Podothecus acipenserinus
Himantura fai
Dardanus fucosus
