Carabus auratus
Gasterosteus aculeatus
Rhagoph-thalmus ohbai
Ameiurus melas
Arichanna gaschkevitchii
Cottus kessleri
Antimora rostrata
Luicola cruciata
Salmo salar
Erythrocebus patas
Pungitius pungitius
Pundamilia red head
Anas platyrhynchos
Gryllus bimaculatus
Acipenser transmontanus
Acerina cernua
Palaemonetes vulgaris
Macroglossum stellatarum
Crotaphytus dickersonae
Sergestes similis
Lasioglossum malachurum
Ligia exotica
Myrmecia vindex
Porogradus sp.
Poecilia reticulata trinidad
Molothrus ater
Borostomias panamensis
Cupiennius salei
Potos flavus
Lutjanus argentimaculatus
Rynchophorus ferrugineus
Amandina fasciata
Musca domestica
Sciurus carolinensis
Coturnix  japonica
Sebastes flavidus
Jordanella floridae
Puffinus pacificus
Rana pipiens
Polyodon spathula
Brachyistius frenatus
Dimidiochromis compressiceps
Photinus collustrans
Pseudopleuronectes obscurus
Sebastes caurinus
Sigmops elongatus
Orectolobus ornatus
Ctenochaetus strigosus
Scomberomorus sierra
Melanochromis vermivorus
Bufo bufo
Mulloidichthys flavolineatus
Sergestes arcticus
Agonopsis vulsa
Spicara smaris
Ctenomys talarum
Pieris brassicae
Cyrtopodion fedtschenkoi
Limulus polyphemus
Alepocephalus bairdii
Callistoctopus dierythraeus
Thysanopoda acutifrons
Ctenophorus decresii
Eustomias obscurus
Mirza coquereli
Bos taurus
Epigonus  telescopus
Xenos peckii
Bathylagus longirostris
Carcharhinus melanopterus
Stylocheiron maximum
Sergia splendens
Ostrinia nubilalis
Triglopsis quadricornis
Propithecus verreauxi coquereli
Amia calva
Lutjanus bohar
Gonostoma elongatum
Mantispa styriaca
Hyperoplus lanceolatus
Hemidactylus turcicus
Mesocricetus auratus
Isoodon obesulus
Ichneumon stramentrius
Crangon allmani
Mesocricetus brandti
Parophrys vetulus
Artedius fenestrates
Gymnothorax favagineus
Antimora  rostrata
Pomacentrus melanochir
Bothragonus swani
Limenitis weidemeyerii
Histiobranchus bathybius
Hydrolagus colliei
Clevelandia ios
Aptychotrema rostrata
Sargocentron microstoma
Lipophrys pholis
Chelidonichthys lucerna
Xenodermichthys copei
Melanochromus vermivorous
Opisthocentrus ocellatus
Talismania antillarum
Polyipnus polli
Menemerus confusus
Ahliesaurus berryi
Hipposideros speoris
Micropterus salmoides
Ictalurus melas
Hemigrapsus edwardsii
Pasiphaea multidentata
Opisthoproctus grimaldii
Bombus terrestris terrestris
Zonotrichia leucophrys
Trichodon trichodon
Notonecta insulata
Aetobatus narinari
Opsanus tau
Dasyatis fluviorum
Radiicephalus elongatus
Photinus versicolor
Pieris rapae
Phoca vitulina
Spinachia spinachia
Paracottus knerii
Bombus monticola
Sephanoides sephanoides
Coryphopterus nicholsii
Puffinus puffinus
Chiloscyllium punctatum
Saguinus fuscicollis
Lutjanus russellii
Drosophilia melanogaster
Osmerus eperlanus
Heliconius erato
Poromitra capito
Lasioglossum albipes
Pundamilia nyererei
Asprocottus intermediius
Melipona marginata
Acanthephyra curtirostris
Ichthyophis kohtaoensis
Hyperprosopon argenteum
Damalichthys vacca
Lampropeltis getula
Dromiceius novae-hollandae
Mysis relicta sp.I
Spirinchus thaleichthys
Coryphaenoides leptolepis
Cerceris rybynensis
Asterropteryx semipunctata
Heliothis virescens
Fulgeochlizus bruchii
Sympetrum rubicundulum
Rinocetes nasutus
Oplophorus spinosus
Meleagris  galoparvo
Phoca groenlandicus
Argiope amoena
Pholidapus dybowsky
Pieris rapae crucivora
Metriaclima melabranchion
Sergia robustus
Anas platyrhynchos domesiticus
Manduca sexta
Engaeus cunicularius
Nansenia longicauda
Triglops pingelii
Parupeneus multifasciatus
Melanonus zugmayeri
Hemimysis anomala
Octodon degus
Benthosema suborbitale
Bathylagus euryops
Lepisosteus platostomus
Formica cunicularia
Sargocentron xantherythrum
Carassius carassius
Euphausia pacifica
Sphoeroides annulatus
Tramitichromis intermedius
Mysis relicta sp.IV
Gnathophausia ingens
Stichaeus grigorjewi
Maylandia zebra
Anolis evermanni
Sternoptyx diaphana
Orconectes rusticus
Nautichthys oculofasciatus
Odontodactylus scyllarus
Scylla serrata
Antheraea polyphemus
Pavo cristatus
Bibio sp.
Seriphus politus
Ichthyophis cf. kohtaoensis
Heliconius erato petiverana
Dasyatis kuhlii
Haplonycteris fischeri
Acanthephyra purpurea
Clinocottus globiceps
Hydrolagus mirabilis
Saguinus oedipus
Neope goschkevitschii
Lethrinops parvidens
Hemitripterus villosus
Tabanus nigrovittatus
Plagiotremus rhinorhynchos
Coregonus clupeoides
Nothoprocta cinerascens
Partamona helleri
Engraulis japonicus
Astacus fluviatus
Ischnura elegans
Nymphalis antiopa
Speotyto cunicularia
Heliothis zea
Vespula vulgaris
Alligator mississippiensis
Lutjanus erythropterus
Carpodacus mexicanus
Neogonodactylus oertstedii
Anolis stratulus
Taurulus bubalis
Gonodactylopsis spongicola
Otolemur crassicaudatus
Zoramia  Leptacanthus
Furcifer pardalis
Megalocottus platycephalus
Cheirogaleus medius
Carollia perspicillata
Lutjanus sebae
Squilla empusa
Luciola sp.
Kali macrodon
Papilio protenor
Geryon quinquedens
Acanthurus triostegus
Thamnophis sirtalis sirtalis
Streptopelia roseogrisea
Stichaeus grigorjevi
Hippoglossoides elassodon
Lonchura malacca
Spermophilus beecheyi
Gallus gallus
Bero elegans
Lutjanus carponotatus
Onitis alexis
Pseudotropheus acei
Myoxocephalus quadricornis
Chromis vanderbilti
Sepioteuthis lessoniana
Bombus terrestris
Otolemus cassicaudatus
Ophiodon elongatus
Aequidens pulcher
Citharichthys sordidus
Myoxocephalus jack
Leuroglosus stilbius
Myoxocephalus stelleri
Neonesthes capensis
Synathedon tipulif ormis
Xenopeltis unicolor
Typhlonectes natans
Lepidion  eques
Stenobrachius leucopsarus
Aristostomias tittmani
Acipenser medirostris
Sasakia charonda
Stomias atriventer
Pervagor aspricaudus
Anchoa mitchilli
Comephorus dybowskii
Photostylus sp.
Cambarellus schufeldtii
Anas platyrhynchus
Anartia jatrophae
Xenopus laevis
Lasioderma serricorne
Leptinotarsa decemlineata
Neoceratodus forsteri
Abyssocottus korotneffi
Salmo trutta trutta
Mirounga angustirostri
Sesarma cinereum
Meganyctiphanes norvegica
Cercopithecus diana
Potamotrygon motoro
Isodon obesulus
Nothoprocta cinerascens cinerascens
Anguilla japonica
Haptosquilla trispinosa
Rhynchobatus australiae
Mysis relicta
Zanclus cornutus
Notacanthus bonapartei
Centrophorus squamosus
Anthophora acervorum
Blepsias cirrhosus
Passer domesticus
Borostomias elucens
Ernogrammus hexagrammus
Gonepteryx aspasia
Systellaspis braueri
Myzus persicae
Cottinella boulengeri
Carassius auratus
Hemicordulia tau
Zaniolepis frenata
Oreochromis nilocticus
Holmesimysis costata
Oncorhynchus tshawytscha
Sebastolobus alascanus
Rhinella [=Bufo] marinus
Hotaria parvula
Fabriciana adippe
Sphyrna lewini
Uca pugilator
Danio malabaricus
Scirtothrips dorsalis
Anilius scytale
Pleuroncodes planipes
Trachurus symmetricus
Coroebus undatus
Liparis pulchellus
Lampadena speculigera
Schwarziana sp.
Lepidorhombus boscii
Cottus sp.
Sigmops bathyphilus
Argiope bruennichi
Cyttopsis rosea
Chaetodon kleinii
Daphnia magna
Schistocerca gregaria
Poecilia reticulata cumana
Mora moro
Sphodromantis sp.
Calliphora erythrocephala
Photinus scintillans
Libinia dubia
Coccinella septempunctata
Zalophus californianus
Tetrapturus audax
Elephas maximus
Hippocampus subelongatus
Lepilemur ruficaudatus
Calypteryx splendens and virgo
Clibanarius vittatus
Bythograea thermydron
Rhizoprionodon taylori
Anolis sagrei
Pseudopleuronectes herzensteini
Otus asio
Heteromysis formosa
Dermogenys pusilla
Tarentola chazaliae
Sargocentron spiniferum
Ichthyococcus ovatus
Dendrochirus zebra
Carcharhinus acronotus
Panopeus obesus
Gennadas valens
Lutjanus malabaricus
Colinus virginianus
Anolis krugi
Rhamphocottus richardsonii
Leptograspus variegatus
Hoplostethus atlanticus
Pseudotropheus tropheops
Pyrocoelia sp.
Taeniopygia guttata
Turdus merula
Parage aegeria
Euprymna tasmanica
Acyrthosiphon pisum
Photuris lucicrescens
Solenopsis saevissima
Podothecus acipenserinus
Myotis velifer
Microstomus kitt
Vespo crabro
Pundamilia azurea
Abramis ballerus
Aristostomias tittmanni
Atherina boyeri
Stigmatopora argus
Bombus affinis
Pagurus annulipes
Aotus trivirgatus
Lonchura malabarica
Libelloides macaronius
Photinus pyralis
Chaetodon kleini
Typhlops hypomethes
Tyrannochromis macrostoma
Loligo subulata
Anolis bahorucoensis
Echiostoma barbatum
Carcharhinus leucas
Gobiesox maeandricus
Cicindela chinensis
Corixa punctata
Rhinocheilus lecontei
Aulonocara hueseri
Acanthropagrus berda
Sebastes maliger
Chaceon affinis
Brachydanio rerio
Bellocia  koefoedi
Danaus plexipus
Rhacochilus vacca
Lonchura maja
Pygopleurus israelitus
Stylopandalus richardi
Trygonoptera testacea
Melanotaenia maccullochi
Blatella germanica
Condylostylus japonicus
Oncorhynchus mykiss
Sergia phorcus
Rattus rattus
Alima pacifica
Vespa crabro
Portunus spinimanis
Hippocampus angustus
Oplophorus gracilirostris
Panorpa cognata
Balanus amphitrite
Holtbyrnia spinithara
Cancer irroratus
Gryllus bimaculatus adult
Rana catesbeiana larvae
Pachystomias microdon
Anolis pulchellus
Loxodonta africana
Mysis diluviana
Uca thayeri
Nephrops norvegicus
Zebrasoma veliferum
Haplochromis pyrrhocephalus
Saimiri sciureus
Cercopithecus petaurista
Chelidonichthys lucernus
Talitrus saltator
Spodoptera exigua
Blicca bjoerkna
Spermophilus tridecemline
Thylamys elegans
Bothragonus  swani
Vulpes vulpes
Mylochromis lateristriga
Ichneumon stramentarius
Syrphus sp.
Gobiesox maecmdricus
Naso unicornis
Melopsittacus undulatus
Gobiusculus flavescens
Photinus marginellus
Sericulus crysocephalus
Cottunculus thomsonii
Lycaena nivalis
Nematobrachion sexpinosum
Lampanyctus alatus
Perca  flavescens
Gasterosteus acuelatus
Scaphirhynchus platorynchus
Aglais urticae
Parantica sita
Artedius fenestralis
Antherea polyphemus
Ptilorhynchus violaceus
Aphanopus  carbo
Phytichthys chirus
Liparis florae
Hymenodora glacialis
Anguilla bicolor
Notostomus elegans
Pomatoschistus minutus
Gennadas sp.
Necturus maculosus
Acipenser ruthenus
Anthidium manicatum
Penaeus penicillatus
Vulpes lagopus
Gonostoma atlanticum
Bolinichthys indicus
Didelphis virginiana
Lepidion eques
Romalea microptera
Rhabdamia  Gracilis
Poecilia latipinna
Drosophila melanogaster
Bathylagus bericoides
Eulemur fulvus
Procottus jettelesi
Cebus spp.
Ovipales stephensoni
Oplophorus sp.
Platyberyx opalescens
Cataetyx laticeps
Carcharhinus amblyrhynchos
Papilio aegeus
Lymantria dispar
Acipenser medirostrus
Myoxocephalus brandti
Lepomis macrochirus
Saguinus midas
Dardanus fucosus
Engraulis encrasicolus
Neochmia modesta
Limenitis archippus floridensis
Pandalus borealis
Adoxophyes orana
Eurypanopeus depressus
Ronquilus jordani
Colias erate
Zoarces viviparus
Tenthredo campestris
Spodoptera exempta
Haematopota sp.
Cymatogaster aggregata
Serinus canaria
Tupaia glis
Phodopus sungorus
Myotis lucifugus
Hoplostethus mediterraneus mediterraneus
Panulirus argus
Zebrasoma flavescens
Hypsiglena torquata
Pyrophorus punctatissimus
Trachurus mediterraneus
Coronis scolopendra
Callithrix jacchus jacchus
Systellaspis cristata
Danio rerio
Anadevidia peponis
Rhinobatus typus
Oncorhynchus keta
Blatta orientalis
Cerceris rybyensis
Rimicaris exoculata
Anolis lineatopus
Pseudotropheus  acei
Lysiosquillina maculate
Haplochromis ishmaeli
Micrometrus aurora
Isopsetta isolepis
Stylephorus chordatus
Raja binoculata
Chelostoma florisomne
Hexagrammos stelleri
Mullus barbatus
Deilephila elpenor
Gryllus campestris
Mustela putorius furo
Batrachocottus multiradiatus
Meleagris gallopavo
Atherinops affinis
Petrolisthes elongates
Tenthredo scrophulariae
Ichneumon sp.
Xylocopa brasilianorum
Sympetrum sp.
Parvus  caeruleus
Pergavor aspricaudus
Uca pugnax
Ambystoma tigrinum adult
Balanus balanoides
Petrolisthes diogenes
Trematomus loennbergii
Tribolodon hakonensis
Tenebrio molitor
Vanessa cardui
Marosatherina ladigesi
Nomada alboguttata
Chlamydera maculata
Chauliognathus pulchellus
Myrmecia croslandi
Malacosteus niger
Chlamydera nuchalis
Limenitis archippus
Electrona risso
Stegastes fasciolatus
Leiothrix lutea
Hypomesus pretiosus
Aeschna cyanea and mixta
Procottus jettelesii
Trigla cuculus
Jordania zonope
Hoplostethus mediteranus
Trichoplusia ni
Chlorophthalmus sp.
Limanda limanda
Batrachocottus nicolskii
Bombus morio
Bathylagus greyae
Strix aluco
Pleuronectes asper
Micropoecilia parae
Neomysis integer
Melecta punctata
Benthalbella infans
Puntigrus tetrazona
Haplochromis azurea
Nephotettix cincticeps
Anoplarchus purpurescens
Marumba sperchius
Procambarus milleri
Philanthus triangulum
Lampanychtus ater
Cyprinus carpio
Enophrys bison
Mysis mixta
Notostomus gibbosus
Lutjanus fulviflamma
Gecarcinus lateralis
Monodelphis domestica
Megalocottus  platycephalus
Luciola lateralis
Neominois ridingsii
Pilumnus sayi
Lampanyctus regalis
Enophrys diceraus
Accipiter nisus
Diaphus rafinesqueii
Synaphobranchus kaupi
Graphium sarpedon
Bombyx mandarina
Centroswcymnus coleolepis
Lucilia (Phaenicia) serricata
Vespula germanica
Conger conger
Apodichthys flavidus
Nerophis ophidion
Oreocromis niloticus
Geotria australis
Systellaspis debilis
Macaca mulatta
Chauliodus danae
Miopithecus talapoin
Pieris melete
Cloridopsis dubia
Hermetia illucans
Hepatus epheliticus
Cyphonocerus rufficolis
Eumicrotremus orbis
Plocepasser mahali
Locusta migratoria
Stizostedion lucioperca
Geotrypetes seraphini
Acanthephyra stylorostratis
Felis catus
Anolis gundlachi
Canis lupus familiaris
Trematomus bernacchii
Euroleon nostras
Bentheogennema intermedia
Melanostomias niger
Rhithropanopeus harrisii
Rhinobatos lentiginosus
Nemichthys scolopaceus
Ichthyocossus ovatus
Amyelois transitella
Limnocottus pallidus
Etroplus suratensis
Archaeopropona demophon
Sagiunus midas
Panopeus herbtii
Cleisthenes herzensteini
Poecilia parae
Conocara macroptera
Dolichovespula norwegica
Nematoscelis megalops
Cydia pomonella
Melopsittacus undalatus
Gonodactylus smithii
Schwarziana sp
Dromiceius novae-hollandiae
Lonchura striata
Dama dama
Poecilia reticulata
Coenobita rugosa
Chimaera monstrosa
Coregonus lavaretus
Melipona quadrifasciata
Dimecoenia spinosa
Bassozetus compresis
Procyon lotor
Argyropelecus gigas
Sebastes empaeus
Pasiphaea emarginata
Xiphister atropurpureus
Petromyzon marinus
Elops  saurus
Belone belone
Dineutus ciliatus
Daubentonia madagascariensis 
Sergia grandis
Lutjanus johnii
Ascelichthys rhodorus
Carcinus maenas
Ischnura heterosticta
Oligocottus maculosus
Carabus nemoralis
Pipilo fuscus
Aedes albopictus
Anas  platyrhynchos
Argyropelecus hemigymnus
Carcharhinus limbatus
Chlorops sp.
Cataglyphis aenescens
Ptychozoon lionotum
Ostorhinchus Cookii
Gymnura australis
Pholis omata
Rhadinesthes decimus
Rhea americana
Sturnus vulgaris
Cyttopsis roseus
Praunus flexuosus
Gadus macrocephalus
Osmia rufa
Plexippus validus
Anableps anableps
Stichaeus nozawae
Gonostoma bathyphilium
Pyrearinus termitilluminans
Nymphalis xanthomelas
Penaeus duororum
Pundamilia au
Phalaenoides glycinae
Dendroctonus pseudotsugae
Capra hircus
Aulorhynchus flavidus
Rhea  americana
Argentina silus
Metriaclima benetos
Pleurogrammus azonus
Chloebia gouldiae
Callambulyx tatarinovii
Cyrtodiopsis dalmanni
Balanus eburneus
Anguilla Anguilla
Taeniura lymma
Portunus trituberculatus
Pollachius pollachius
Arothron meleagris
Hermeuptychia hermes
Amadina fasciata
Abramis brama
Cyrtopodion kotschyi
Phassus excrescens
Halargyreus johnsonii
Bombus distinguendis
Sergestes curvatus
Pagurus longicarpus
Eurypharynx pelecanoides
Neoniphon argenteus
Nothoprocta perdicaria sanborni
Lutjanus quinquelineatus
Sus scrofa
Rutilis rutilis
Lipophyrs pholis
Tarsius syrichta
Paravespula germanica
Carcharhinus amboinensis
Sminthopsis crassicaudata
Mauremys reevesii
Cicindela japonica
Squalus suckleyi
Tarsius bancanus
Estrilda troglodytes
Eristalis tenax
Galago crassicauda
Samia cynthia ricini
Rhinatrema bivittatum
Gonostoma bathyphilum
Lumpenus sagitta
Asterocampa celtis
Minois dryas
Heliconius sara
Argyropelecus aculeatus
Gymnocanthus intermedius
Rana cancrivora
Liparis  greeni
Apis mellifera
Papilo bianor
Bodianus bilunnulatus
Pleurogrammus  azonus
Actias artemis aliena
Pagurus pollicaris
Galleria mellonella
Bowmaniella sp.
Helicoverpa armigera
Pundamila sp.
Paracheirodon innesi
Carcharhinus obscurus
Limanda aspera
Leptotyphlops sp.
Exorista japonica
Aeshna tuberculifera
Geoclemys reevesii
Idiacanthus fasciola
Sphyraena barracuda
Tripedalia cystophora
Panorpa communis
Archaeoprepona demophon
Pleuronectes herzensteini
Hypsurus caryi
Coenobita clypeatus
Serrivomer lanceolatoides
Sebastes auriculatus
Thomomys bottae
Lycaena heteronea
Cynops orientalis
Heliconius melpomene
Trygonorrhina fasciata
Funchalia villosa
Phytichthys  chirus
Acipenser baerii
Gonodactylellus affinis
Gonostoma denudatum
Cataglyphis bicolor
Janicella spinacauda
Protaetia brevitarsis
Batrachocottus nikolskii
Polygonia c-album
Notonecta undulata
Thysanoessa raschii
Canthidermis maculatus
Urocerus gigas
Spheniscus humboldti
Microstomus pacificus
Sesarma reticulatum
Ctenomys magellanicus
Taaningichthys bathyphilus
Nasua nasua
Callinectes ornatus
Hymenodora frontalis
Ichneumon spp.
Praunus inermis
Apodemia mormo
Andrena florea
Heliconius charithonia
Mugil cephalus
Lysiosqullia sulcata
Phidippus regius
Argynnis ruslana
Nothoprocta perdicaria
Rana catesbeiana
Melanphaes canthomus
Arachnocampa luminosa
Sphyrna tiburo
Pergavor spilosoma
Sygnathus leptorhynchus
Cambarus ludovicianus
Camponotus blandus
Derichthys serpentinus
Larus atricilla
Bicyclus anynana
Tabanus bromius
Oncorhynchus kisutch
Icelinus borealis
Cyrtopodion caspium
Lycodes pacificus
Psychrolutes paradoxus
Asteropteryx semipunctatus
Galago senegalensis
Photinus macdermotti
Cicindela specularis
Psettichthys melanostictus
Bicellonycha wickershamorum
Octopus australis
Apogon kallopterus
Eristalis arbustorum
Paromola cuvieri
Cynotilapia afra
Lyopsetta exilis
Papio papio
Neoniphon aurolineatus
Cephonodes hylas
Pristiapogon kallopterus
Psychrobites paradoxus
Orconectes virilis
Danaus plexippus
Dascyllus albisella
Lampetra fluviatilis
Triakis semifasciata
Scopelogadus beanii
Sardinops sagax
Pithecia pithecia
Mamestra brassicae
Rhinoptera bonasus
Nematobrachion sexspinosus
Pasiphaea suspirosum
Callipepla californica
Gilbertidia sigalutes
Plesionika martia
Scenopoetes dentirostris
Ictalurus punctatus
Metriaclima barlowi
Copadichromis borleyi
Libellula needhami
Pseudosquilla ciliata
Phronima sedenteria
Echinomacrurus mollis
Cheirogaleus major
Bombus jonellus
Hemisquilla ensigera
Chauliodus sloani
Scaphirhynchus albus
Hariotta raleighana
Meningodora miccyla
Avahi laniger
Buteo jamaicensis
Odontodactylus brevirostris
Cydia strobilella
Colletes fulgidus
Glaucomys sabrinus
Peprilus simillimus
Boa constrictor
Leptograpsus variegatus
Diaphus dumerilli
Esox lucius
Tyto alba
Microcebus murinus
Idiosepius notoides
Cercopithecus cephus
Limenitis lorquini
Sargocentron diadema
Euphydryas chalcedona
Nectamia  Savayensis
Artedius meanyi
Bombus hortorum
Euphausia superba
Caprimulgus europaeus
Melanochromis auratus
Batrachocottus baicalensis
Parnassius glacialis
Acanthephyra microphthalma
Pseudozizeeria maha
Caelorhinchus labiatus
Astatotilapia burtoni
Photostomias guernei
Pagothenia borchgrevinki
Eucyclogobius newberryi
Gymnocanthus pistilliger
Leocottus kesslerii
Payasandisia archon
Meningodora vesca
Homarus americanus
Bombus hypnorum
Sander lucioperca
Alepocephalus australis
Micrometrus minimus
Anolis cristatellus
Bombus impatiens
Hapalochlaena maculosa
Ambystoma tigrinum hatchling
Proxylocopa sp.
Tenodera sinensis
Ballerus ballerus
Curtos sp.
Limenitis archippus archippus
Fundulus heteroclitus
Bubo virginianus
Ceratoscopelus warmingii
Troides aeacus formosanum
Hemigrapsus sanguinensis
Peprilus stimillimus
Spalacopus cyanus
Xiphydria camelus
Evermannella balbo
Conocara salmonea
Makaira nigricans
Pteropus dasymallus
Cebus sp.
Struthio camelus
Coryphaenoides armatus
Cambarellus shufeldtii
Anolis extremus
Syrphus balteatus
Neoniphon sammara
