Scylla serrata
Chloebia gouldiae
Myrmecia vindex
Clupea pallasii
Gymnocanthus pistilliger
Danio malabaricus
Ostorhinchus Doederleini
Embiotoca lateralis
Gnathophausia ingens
Nansenia longicauda
Micrometrus minimus
Arothron meleagris
Portunus spinimanis
Lysiosquillina maculate
Kali macrodon
Enophrys bison
Eustomias obscurus
Ischnura heterosticta
Bombus morio
Acyrthosiphon pisum
Trichodon trichodon
Parage aegeria
Ascelichthys rhodorus
Balanus balanoides
Talismania antillarum
Glaucomys sabrinus
Neope goschkevitschii
Sergia maximus
Hemicordulia tau
Cataglyphis bicolor
Hippoglossoides herzensteini
Loligo subulata
Liparis  greeni
Spirinchus thaleichthys
Eurypharynx pelecanoides
Aotus trivirgatus
Gymnocanthus intermedius
Bombus lapidarius
Sergia phorcus
Citharichthys sordidus
Euprymna tasmanica
Erythrocebus patas
Coregonus clupeoides
Hyperoplus lanceolatus
Parus caeruleus
Cyrtopodion fedtschenkoi
Hemidactylus turcicus
Ctenophorus ornatus
Platyberyx opalescens
Stichaeus grigorjevi
Argyropelecus hemigymnus
Caranx hippos
Ichthyophis kohtaoensis
Bythograea thermydron
Papilio aegeus
Cynops orientalis
Diaphus holti
Neomysis mercedis
Diaphus rafinesquei
Euphausia pacifica
Potos flavus
Acanthephyra stylorostratis
Acanthurus achilles
Aequidens pulcher
Anoplogaster cornuta
Pavo  cristatus
Rhynchobatus australiae
Argentina silus
Odontodactylus brevirostris
Lyopsetta exilis
Rimicaris exoculata
Melopsittacus undatus
Thunnus albacares
Malacosteus niger
Photostylus sp.
Poromitra megalops
Lipophrys pholis
Chiasmodon niger
Myoxocephalus potyacanthocephalus
Pundamilia au
Sebastes caurinus
Scorpaenichthys marmoratus
Microstoma microstoma
Liparis florae
Phytichthys  chirus
Rana cracrivora
Bombus jonellus
Ptychozoon lionotum
Forcipiger flavissimus
Nothoprocta cinerascens cinerascens
Chlorophthalmus sp.
Coregonus lavaretus
Opisthocentrus ocellatus
Melanostomias niger
Alepocephalus australis
Myrmecia gulosa
Asterropteryx semipunctata
Siproeta stelenes
Pseudozizeeria maha
Bombus hypnorum
Lumpenus sagitta
Mullus barbatus
Hemimysis anomala
Uca pugilator
Plesiopenaeus armatus
Gekko gecko
Scenopoetes dentirostris
Acanthephyra smithi
Acerina cernua
Bathylagus euryops
Limanda aspera
Bothragonus swani
Callipepla californica
Furcifer pardalis
Notonecta insulata
Praunus flexuosus
Sardinops sagax
Xenodermichthys copei
Geryon quinquedens
Evermannella balbo
Haplochromis piceatus
Dasycottus setiger
Protomelas taeniolatus
Andrena florea
Rhinatrema bivittatum
Oxea flavescens
Makaira nigricans
Phidippus regius
Idiosepius notoides
Pleurogrammus azonus
Palaemonetes vulgaris
Ichneumon stramentarius
Eigenmannia virescens
Mesocricetus brandti
Carpodacus mexicanus
Histiobranchus bathybius
Sigmops elongatus
Platichthys flesus
Ahliesaurus berryi
Speyeria leto
Carcharhinus limbatus
Acanthopagrus butcheri
Sarda chiliensis
Gonodactylaceus falcatus
Haplochromis pyrrhocephalus
Teratoscincus scincus
Asprocottus intermediius
Synodus variegatus
Micropterus salmoides
Thomomys bottae
Myoxocephalus stelleri
Trachurus symmetricus
Phassus excrescens
Gennadas valens
Bathylagus greyae
Pergavor aspricaudus
Tarsius syrichta
Lonchura malabarica
Sesarma reticulatum
Photostomias guernei
Gryllus campestris
Anguilla bicolor
Ballerus ballerus
Lutjanus malabaricus
Tenthredo scrophulariae
Stylocheiron maximum
Myoxocephalus brandti
Python regius
Perca fluviatilis
Mora moro
Scorpaena porcus
Hemidactylus garnotii
Eumicrotremus orbis
Pasiphaea emarginata
Cleisthenes herzensteini
Anthophora acervorum
Chromis hanui
Carcharhinus obscurus
Chlamydera maculata
Marosatherina ladigesi
Lycaena heteronea
Crotaphytus dickersonae
Malacocephalus laevis
Psettichthys melanostictus
Hemigraspus edwardsi
Liparis greeni
Coturnix coturnix
Panopeus obesus
Sargocentron microstoma
Platytroctes apus
Caelorhinchus labiatus
Leptotyphlops sp.
Astacus leptodactylus
Batrachocottus nicolskii
Jasus edwardsii
Cercopithecus diana
Philanthus triangulum
Coryphaenoides armatus
Callambulyx tatarinovii
Neogonodactylus curacaoensis
Plesionika martia
Mulloidichthys flavolineatus
Electrona risso
Trigla cuculus
Pholidapus dybowsky
Sphodromantis sp.
Tursiops truncates
Gennadas sp.
Balanus eburneus
Rhacochilus vacca
Myrmecia croslandi
Mysis relicta sp.II
Chromis vanderbilti
Galago crassicauda
Zoramia  Viridiventer
Neoniphon argenteus
Talitrus saltator
Oplophorus sp.
Parvus  caeruleus
Acartia tonsa
Zoarces viviparus
Bero elegans
Lycodes pacificus
Vespula vulgaris
Papilio achaon
Carcharhinus leucas
Ronquilus jordani
Chaetodon kleinii
Photinus versicolor
Hypsurus caryi
Lepidion  eques
Tenthredo campestris
Cyrtopodion caspium
Argyropelecus gigas
Stichaeus nozawae
Acipenser medirostris
Epicopeia hainesii
Stichaeus grigorjewi
Atherinops affinis
Pundamilia luanso
Gasterosteus sp.
Sargocentron xantherythrum
Mysis relicta sp.IV
Bolinichthys indicus
Pavo cristatus
Coenobita rugosa
Anolis grahami
Poecilia formosa
Bero elegance
Syngnathus leptorhynchus
Pasiphaea chacei
Photonectes braueri
Bothragonus  swani
Photinus collustrans
Melanostigma pammelas
Gallus  gallus domesticus
Jordanella floridae
Rangifer tarandus
Polyipnus polli
Acanthropagrus schlegelii
Pundamilia red head
Tarsius bancanus
Hippocampus angustus
Sebastes maliger
Danio aequipinnatus
Odontodactylus havanensis
Plagiotremus rhinorhynchos
Ctenophorus decresii
Lampanyctus festivus
Arichanna gaschkevitchii
Homarus gammarus
Chauliodus sloani
Bombus monticola
Sternoptyx pseudobscura
Schwarziana sp
Pseudotropheus  acei
Bassozetus compresis
Gekko gekko
Anoplarchus purpurescens
Himantura fai
Tarentola chazaliae
Callonychium petuniae
Antimora  rostrata
Sternoptyx diaphana
Deania calcea
Procyon lotor
Xiphister atropurpureus
Archaeopropona demophon
Bathysaurus mollis
Oplophorus spinosus
Phycis blennoides
Uca thayeri
Bombus fervidus
Cottocomephorus inermis
Globicephala melas
Lipophyrs pholis
Stizostedion lucioperca
Hemitripterus villosus
Mustelus henlei
Puffinus puffinus
Rhinomuraena quaesita
Hoplostethus atlanticus
Polygonia c-album
Chlorocebus aethiops
Derichthys serpentinus
Pipilo fuscus
Abramis ballerus
Lampanyctus alatus
Pleuronectes herzensteini
Zanclus cornutus
Cebus spp.
Anolis lineatopus
Loxodonta africana
Neonesthes capensis
Naso unicornis
Aetobatus narinari
Radiicephalus elongatus
Trematomus hansoni
Lycaena nivalis
Panopeus herbstii
Notacanthus bonapartei
Hemisquilla ensigera
Inachis io
Ophiodon elongatus
Artedius meanyi
Pteropus samoensis
Turdus merula
Lonchura malacca
Gonodactylellus affinis
Phytichthys chirus
Larus atricilla
Leptograpsus variegatus
Barbantus curvifrons
Acanthurus triostegus
Spermophilus beecheyi
Microstomus pacificus
Cambarellus ludovicianus
Sardinops melanostictus
Lestrimelitta limao
Cercopithecus petaurista
Astatotilapia burtoni
Sergia grandis
Stigmatopora argus
Phoca groenlandicus
Poromitra capito
Cirrhilabrus solorensis
Pomacentrus melanochir
Isopsetta isolepis
Pasiphaea multidentata
Jordania zonope
Gymnothorax reticularis
Gonostoma bathyphilum
Helostoma temminkii
Systellaspis braueri
Bassozetus compressus
Pieris melete
Pristiapogon kallopterus
Rana pipiens
Ptilorhynchus violaceus
Canthidermis maculata
Lutjanus johnii
Serinus canaria
Gobiesox maecmdricus
Petrolisthes elongates
Pasiphaea suspirosum
Haplochromis nyererei
Typhlops platycephalus
Otolemus cassicaudatus
Trachyscorpia cristulata
Cottus kessleri
Theragra chalcogramma
Neomysis integer
Coturnix  japonica
Belone belone
Gecarcinus lateralis
Anolis bahorucoensis
Hemigraspus sanguineus
Ptilichthys goodei
Trachurus mediterraneus
Pagurus longicarpus
Dendrochirus zebra
Thysanopoda acutifrons
Osmerus dentex
Carassius auratus
Batrachocottus nikolskii
Limnocottus bergianus
Vinciguerria nimbaria
Ailuroedus crassirostris
Comephorus dybowskii
Microcottus sellaris
Gobiesox maeandricus
Danaus plexippus
Haplonycteris fischeri
Batrachocottus baicalensis
Lissotriton vulgaris
Carcharhinus acronotus
Lampanychtus ater
Cambarellus schufeldtii
Lepisosteus platostomus
Lutjanus fulviflamma
Gonodactylopsis spongicola
Myotis velifer
Pagurus annulipes
Lutjanus adetii
Hydrolagus colliei
Chirostomias pliopterus
Miopithecus talapoin
Clevelandia ios
Centrophorus squamosus
Micrometrus aurora
Callistoctopus dierythraeus
Salvelinus alpinus
Odontodactylus scyllarus
Puffinus pacificus
Saguinus midas
Coronis scolopendra
Aphanopus  carbo
Photuris frontalis
Agraulis vanillae
Dromiceius novae-hollandiae
Palaemonetes paladosus
Enophrys diceraus
Limenitis lorquini
Zebrasoma veliferum
Margrethia obtusirostra
Howella sherborni
Papilo bianor
Hexagrammos decagrammus
Paromola cuvieri
Notonecta undulata
Pandalus borealis
Lepomis macrochirus
Blepsias cirrhosus
Gonepteryx aspasia
Felis catus
Rouleina aderensis
Papio papio
Pholis omata
Gymnura australis
Balanus amphitrite
Apodichthys flavidus
Sergestes corniculum
Geotrypetes seraphini
Anas playrhnchos domesticus
Aglais urticae
Stomias atriventer
Myoxocephalus jack
Ceratoscopelus warmingii
Locusta migratoria
Psychrolutes paradoxus
Nematobrachion sexspinosus
Ostracion meleagris
Apogon kallopterus
Lampadena speculigera
Hydrolagus mirabilis
Notonecta irrorata
Photinus macdermotti
Coryphaenoides carapinus
Anax junius
Libinia dubia
Ameiurus melas
Gonostoma atlanticum
Papilio protenor
Hepatus epheliticus
Calliphora erythrocephala
Lepilemur ruficaudatus
Cloridopsis dubia
Acanthropagrus major
Acanthephyra curtirostris
Gaidropsarus mediterraneus
Strophidon sathete
Porogradus sp.
Mysis relicta
Lycaena dorcas
Deilephila elpenor
Copadichromis borleyi
Stylephorus chordatus
Etroplus suratensis
Ochlodes venata
Lutjanus quinquelineatus
Lepidorhombus boscii
Blicca bjoerkna
Photostomias braueri
Eucyclogobius newberryi
Nomada alboguttata
Zenaida macroura
Spalacopus cyanus
Ctenochaetus strigosus
Hoplostethus mediterraneus mediterraneus
Merluccius merluccius
Cottocomephorus grewingkii
Menippe mercenaria
Rana catesbeiana larvae
Hemitripterus americanus
Eurypanopeus depressus
Squilla empusa
Lepidopsetta bilineata
Melipona quadrifasciata
Diaphus rafinesqueii
Nasua nasua
Romalea microptera
Rhithropanopeus harrisii
Acanthephyra microphthalma
Amandina fasciata
Lutjanus bohar
Astacus fluviatus
Octopus australis
Rhea  americana
Ctenomys magellanicus
Parapasiphaea sulcatifrons
Lampetra fluviatilis
Raja binoculata
Sephanoides sephanoides
Spheniscus humboldti
Anchoa mitchilli
Pleurogrammus  azonus
Carcharhinus amboinensis
Nematobrachion sexpinosum
Chromis ovalis
Dermogenys pusilla
Trigona spinipes
Zoramia  Leptacanthus
Conocara salmonea
Antheraea polyphemus
Lutjanus argentimaculatus
Lampanyctus crocodilus
Neoniphon sammara
Antimora rostrata
Archaeomysis grebnitzkii
Sericulus crysocephalus
Centroswcymnus coleolepis
Pollachius pollachius
Batrachocottus multiradiatus
Hermeuptychia hermes
Pleuronectes obscurus
Cambarus ludovicianus
Canis lupus familiaris
Halargyreus johnsonii
Engraulis mordax
Aulorhynchus flavidus
Orconectes rusticus
Acanthropagrus berda
Paracottus knerii
Cyttopsis roseus
Chimaera monstrosa
Lobianchia gemellarii
Mylochromis lateristriga
Holtbyrnia spinithara
Saguinus oedipus
Urocerus gigas
Ictalurus catus
Leptocottus armatus
Anolis stratulus
Rhabdamia  Gracilis
Acipenser transmontanus
Dicrolene intronigra
Rhamphocottus richardsonii
Canthidermis maculatus
Nothoprocta perdicaria
Cataetyx laticeps
Hariotta raleighana
Sufflamen bursa
Phronima sedenteria
Rhinella [=Bufo] marinus
Pseudopleuronectes herzensteini
Spodoptera exempta
Nymphalis xanthomelas
Pieris rapae crucivora
Gymnothorax favagineus
Abudefduf abdominalis
Stomias boa
Leocottus kesslerii
Cottunculus thomsonii
Echiostoma barbatum
Nemichthys scolopaceus
Stegastes fasciolatus
Callinectes sapidus
Aulostomus chinensis
Octopus tetricus
Melopsittacus undalatus
Marumba sperchius
Sagiunus midas
Holmesimysis costata
Masticophis flagellum
Abramis brama
Synaphobranchus kaupi
Lutjanus russellii
Libinia emarginata
Portunus trituberculatus
Gallus gallus
Asterocampa leilia
Tribolodon hakonensis
Ligia exotica
Trematomus loennbergii
Puntigrus tetrazona
Anguilla Anguilla
Borostomias elucens
Pullosquilla litoralis
Comephorus baicalensis
Pseudopleuronectes obscurus
Procottus jettelesi
Rana cancrivora
Oplophorus gracilirostris
Rinocetes nasutus
Lycaena rubidus
Pundamila sp.
Lysiosqullia sulcata
Spermophilus tridecemline
Rouleina attrita
Artedius harringtoni
Lampanyctus regalis
Gobius paganellus
Sergia splendens
Notoscopelus resplendens
Corvus  frugilegus
Symphodus melops
Limnocottus pallidus
Psychrobites paradoxus
Amphilophus longimanus
Ernogrammus hexagrammus
Melanonus zugmayeri
Leiothrix lutea
Camponotus abdominalis
Vanessa cardui
Ameiurus catus
Phalaenoptilus nuttallii
Apodemia spp.
Xenos peckii
Polistes dominulus
Hemidactylus platyurus
Bathysaurus ferox
Thysanopoda orientalis
Formica polyctena
Chelostoma florisomne
Asprocottus herzensteini
Pachystomias microdon
Pithecia pithecia
Notonecta glauca
Vulpes lagopus
Trygonorrhina fasciata
Ichneumon spp.
Gonostoma bathyphilium
Mysis diluviana
Minois dryas
Panopeus herbtii
Xenodermichthys  copei
Corvus frugilegus
Equus caballus
Anolis extremus
Leuroglosus stilbius
Sergestes similis
Pleuroncodes planipes
Parophrys vetulus
Hymenodora frontalis
Sympetrum rubicundulum
Ichthyocossus ovatus
Hemilepidotus hemilepidotus
Alepocephalus bairdii
Rhizoprionodon taylori
Isodon obesulus
Vespula germanica
Tinca tinca
Idiacanthus fasciola
Hexagrammos octogrammus
Pilumnus sayi
Chelidonichthys lucernus
Pervagor spilosoma
Trygonoptera testacea
Anolis evermanni
Hexagrammos octagrammus
Bombus hortorum
Opsanus tau
Porichthys notatus
Mirounga angustirostri
Tupaia glis
Hipposideros speoris
Gonodactylus oerstedii
Schistocerca gregaria
Photuris potomaca
Liparis dennyi
Libellula pulchella
Coryphaenoides leptolepis
Hippocampus subelongatus
Bodianus bilunnulatus
Argyropelecus aculeatus
Parupeneus multifasceatus
Ammodytes hexapterus
Mirza coquereli
Zalembius rosaceus
Neochmia modesta
Megalocottus  platycephalus
Nothoprocta cinerascens
Pagurus pollicaris
Rhinoptera bonasus
Spermophilus tridecemlineatus
Artedius fenestrates
Clibanarius vittatus
Melamphaes suborbitalis
Lutjanus carponotatus
Estrilda troglodytes
Sergia robustus
Dasyatis fluviorum
Chaceon affinis
Spermophilus lateralis
Toxotes chatareus
Mysis  sp.
Rhinobatus typus
Pullosquilla thomassini
Orectolobus maculatus
Chelidonichthys lucerna
Xiphister mucosus
Triglops pingelii
Rhinobatos lentiginosus
Hyperprosopon argenteum
Cerceris rybyensis
Cataglyphis bombycinus
Upeneus tragula
Sigmops bathyphilus
Rana catesbeiana
Leontopithecus rosalia rosalia
Synaphobranchus kaupii
Cyrtopodion kotschyi
Metriaclima melabranchion
Microgadus proximus
Melanphaes canthomus
Anolis conspersus
Cambarellus shufeldtii
Actias artemis aliena
Sebastes empaeus
Sebastes auriculatus
Dromiceius novae-hollandae
Halosauropsis macrochir
Limnocottus eurystomus
Cynops pyrrhogaster
Nothoprocta perdicaria sanborni
Oligocottus maculosus
Carabus nemoralis
Oreochromis nilocticus
Penaeus duororum
Speotyto cunicularia
Sympetrum sp.
Fabriciana adippe
Buteo buteo
Eutrigla gurnardus
Neogonodactylus oertstedii
Pieris rapae
Elops  saurus
Chlamydera nuchalis
Nematobrachion boopis
Oncorhynchus kisutch
Stylopandalus richardi
Chromis punctipinnis
Osmia rufa
Hypomesus pretiosus
Nematoscelis megalops
Rynchophorus ferrugineus
Gonostoma denudatum
Myoxocephalus quadricornis
Stichaeopsis nana
Serrivomer lanceolatoides
Ichthyophis cf. kohtaoensis
Spinachia spinachia
Nectamia  Savayensis
Bowmaniella sp.
Saguinus fuscicollis
Seriphus politus
Dasyatis kuhlii
Praunus inermis
Alburnus alburnus
Alouatta sp.
Abyssocottus korotneffi
Chauliodus danae
Cymatogaster aggregata
Melecta punctata
Urobatis jamaicensis
Pseudotropheus tropheops
Urocyon littoralis
Haplochromis ishmaeli
Janicella spinacauda
Dolichonyx orzivorous
Limenitis archippus
Gonodactylus smithii
Metriaclima zebra
Notostomus gibbosus
Partamona helleri
Chromis verater
Conocara macroptera
Haplochromis azurea
Coryphaenoides guntheri
Otus asio
Bellocia  koefoedi
Chaetodon unimaculatus
Oreocromis niloticus
Anolis gundlachi
Bentheogennema intermedia
Asteropteryx semipunctatus
Naso lituratus
Taeniopygia guttata
Benthalbella  infans
Argynnis ruslana
Boa constrictor
Acantholumpenus mackayi
Haptosquilla trispinosa
Meganyctiphanes norvegica
Ctenomys talarum
Hippocampus barbouri
Scomber japonicus
Paralabrax clathratus
Junonia coenia
Mysis mixta
Zebrasoma flavescens
Liparis pulchellus
Hippoglossoides elassodon
Uca pugnax
Lutjanus kasmira
Petrolisthes diogenes
Opisthoproctus grimaldii
Ostorhinchus Cyanosoma
Ichthyococcus ovatus
Dolichovespula norwegica
Saimiri sciureus
Oncorhynchus tshawytscha
Geoclemys reevesii
Orconectes virilis
Eulemur fulvus
Procottus jettelesii
Albula vulpes
Micropoecilia parae
Sergestes tenuiremis
Coryphopterus nicholsii
Meningodora miccyla
Limanda limanda
Penaeus penicillatus
Atrophaneura alcinous
Clinocottus globiceps
Istiophorus  platypterus
Cynotilapia afra
Nephrops norvegicus
Rhea americana
Enteroctopus dofleini
Drosophilia melanogaster
Benthosema suborbitale
Samia cynthia ricini
Diaphus lucidus
Kuhlia sandvicensis
Ictalurus melas
Benthalbella infans
Ovipales stephensoni
Myoxocephalus jaok
Gonostoma elongatum
Sphyrna lewini
Damalichthys vacca
Melanotaenia maccullochi
Lasioglossum malachurum
Systellaspis cristata
Anolis krugi
Thysanoessa raschii
Loris tardigradus
Anadevidia peponis
Gobiusculus flavescens
Diaphus dumerilli
Procambarus milleri
Anolis pulchellus
Hymenodora glacialis
Plexippus validus
Alosa kessleri
Carabus auratus
Pseudotropheus acei
Streptopelia roseogrisea
Squalus suckleyi
Carcinus maenas
Lasioglossum albipes
Melipona marginata
Pervagor aspricaudus
Bombus distinguendis
Typhlonectes natans
Parupeneus multifasciatus
Phodopus sungorus
Notostomus elegans
Cebus sp.
Plocepasser mahali
Taeniura lymma
Echinomacrurus mollis
Taurulus bubalis
Sebastes flavidus
Nannobrachium atrum
Rutilis rutilis
Alima pacifica
Coenobita clypeatus
Lonchura striata
Acanthephyra purpurea
Xiphydria camelus
Searsia koefoedi
Bubo virginianus
Artemia salina
Sphoeroides annulatus
Parnara guttata
Sergestes curvatus
Bathylagus longirostris
Sphyraena barracuda
Amadina fasciata
Calappa flammea
Anas platyrhynchus
Hemigrapsus edwardsii
Hoplostethus mediteranus
Astyanax fasciatus
Pergavor spilosoma
Chaetodon kleini
Limnocottus griseus
Lycaena phlaeas
Arenaeus cribrarius
Funchalia villosa
Sygnathus leptorhynchus
Triakis semifasciata
Lepidion eques
Cottus sp.
Nautichthys oculofasciatus
Neomysis americana
Eristalis tenax
Aeshna tuberculifera
Chirolophis japonicus
Crangon allmani
Rouleina maderensis
Cancer irroratus
Sebastolobus alascanus
Platichthys stellatus
Aptychotrema rostrata
Sergestes arcticus
Acipenser fulvescens
Zaniolepis frenata
Portunus spinimanus
Rhadinesthes decimus
Sphyrna tiburo
Peprilus stimillimus
Lonchura maja
Sargocentron tiere
Zebrasoma velifer
Hemigrapsus sanguinensis
Papilio maackii
