Dardanus fucosus
Bodianus bilunulatus
Limanda aspera
Spermophilus beecheyi
Lasioderma serricorne
Mustela putorius furo
Anolis conspersus
Procyon lotor
Cyphocottus eurystomus
Phidippus regius
Pasiphaea emarginata
Acyrthosiphon pisum
Liparis florae
Microgadus proximus
Anguilla Anguilla
Poecilia reticulata trinidad
Ovis aries
Sergestes corniculum
Bombus terrestris
Lucania goodei
Xenodermichthys copei
Meleagris  galoparvo
Pieris rapae crucivora
Deania calcea
Atherina boyeri
Bombus hortorum
Anas playrhnchos domesticus
Libinia dubia
Cottinella boulengeri
Dolichovespula norwegica
Chromis punctipinnis
Polyodon spathula
Himantura fai
Galago senegalensis
Loligo forbesii
Gryllus campestris
Galleria mellonella
Barbantus curvifrons
Cyttopsis roseus
Clupea harengus
Myoxocephalus quadricornis
Hemisquilla ensigera
Bassozetus compressus
Colinus virginianus
Accipiter nisus
Metriaclima barlowi
Euprymna tasmanica
Toxomerus marginatus
Chelonia mydas
Lycaena dorcas
Cynops orientalis
Xenodermichthys  copei
Canis lupus familiaris
Cataglyphis bombycinus
Trachemys scripta
Saimiri sciureus
Myoxocephalus stelleri
Delia radicum
Calypteryx splendens and virgo
Sepia plangon
Larus atricilla
Panopeus herbtii
Scopelarchus analis
Pseudotropheus  acei
Chromis verater
Lutjanus quinquelineatus
Bassozetus compresis
Opsanus tau
Pteropus dasymallus
Poecilia reticulata cumana
Lycodes pacificus
Acanthurus nigroris
Leptograpsus variegatus
Melanonus zugmayeri
Thysanopoda orientalis
Macroglossum stellatarum
Octopus tetricus
Batrachocottus baicalensis
Neochmia modesta
Leuroglosus stilbius
Pteropus samoensis
Urocyon littoralis
Sargocentron diadema
Libellula pulchella
Abramis ballerus
Argyropelecus gigas
Carassius carassius
Stenobrachius leucopsarus
Allograpta obliqua
Etroplus suratensis
Sebastes maliger
Anolis evermanni
Ceratoscopelus warmingii
Archaeomysis grebnitzkii
Oncorhynchus gorbuscha
Schwarziana sp
Bathylagus longirostris
Alouatta sp.
Praunus inermis
Sergestes tenuiremis
Luciola lateralis
Heliconius melpomene
Gallus  gallus domesticus
Mysis relicta sp.I
Lycaena nivalis
Asterropteryx semipunctata
Manduca sexta
Lysiosqullia sulcata
Lysiosquillina maculate
Parapasiphaea sulcatifrons
Inachis io
Menippe mercenaria
Stizostedion lucioperca
Streptopelia roseogrisea
Lutjanus kasmira
Scopelogadus beanii
Aeschna cyanea and mixta
Sander lucioperca
Naso unicornis
Hepatus epheliticus
Poecilia reticulata
Leontopithecus rosalia rosalia
Callipepla californica
Taeniopygia guttata
Gecarcinus lateralis
Lepidopsetta polyxystra
Arachnocampa luminosa
Diaphus rafinesqueii
Pundamila sp.
Myoxocephalus brandti
Calappa flammea
Limnocottus pallidus
Pundamilia azurea
Isopsetta isolepis
Cicindela japonica
Cicindela specularis
Sardinops melanostictus
Archaeoprepona demophon
Sphodromantis sp.
Globicephala melas
Platyberyx opalescens
Pervagor aspricaudus
Parnassius glacialis
Ampelophaga rubiginosa
Sericulus crysocephalus
Centrophorus squamosus
Formica cunicularia
Naso lituratus
Trematomus hansoni
Bombus morio
Danaus plexipus
Gymnura australis
Cottus sp.
Luciola sp.
Papilio maackii
Carabus auratus
Coturnix coturnix
Homo sapiens
Gymnocanthus intermedius
Osmia rufa
Procambarus clarkii
Lyopsetta exilis
Myoxocephalus potyacanthocephalus
Troides aeacus formosanum
Balanus balanoides
Batrachocottus nikolskii
Idiacanthus fasciola
Oxaea flavescens
Gymnothorax reticularis
Nomada albogutata
Geryon quinquedens
Gadus macrocephalus
Comephorus baicalensis
Stomias atriventer
Myoxocephalus jaok
Amyelois transitella
Petrolisthes elongates
Cleisthenes herzensteini
Centropristis striata
Ostrinia nubilalis
Alima pacifica
Romalea microptera
Perca fluviatilis
Euphausia superba
Philanthus triangulum
Cerceris rybynensis
Pseudosquilla ciliata
Alligator mississippiensis
Lymantria dispar
Scomberomorus sierra
Polygonia c-aureum
Hydrolagus colliei
Gonostoma bathyphilium
Apodemia mormo
Argiope bruennichi
Tabanus bromius
Tripedalia cystophora
Dineutus ciliatus
Sebastes empaeus
Coregonus lavaretus
Plexippus validus
Lampetra fluviatilis
Amandina fasciata
Zalembius rosaceus
Ameiurus melas
Helostoma temminkii
Spirinchus thaleichthys
Hemimysis anomala
Gekko gekko
Eristalis tenax
Heteromysis formosa
Euphausia pacifica
Dissostichus mawsoni
Limenitis archippus
Trigla cuculus
Orectolobus ornatus
Procottus jettelesi
Photinus versicolor
Hemigrapsus sanguineus
Cyprinodon variegatus
Cataetyx laticeps
Lobianchia gemellarii
Leptotyphlops sp.
Rhinobatus typus
Tyto alba
Odocoileus virginianus
Diaphus holti
Anthophora acervorum
Hexagrammos stelleri
Cambarus ludovicianus
Chiasmodon niger
Mugil cephalus
Dicrolene intronigra
Marumba sperchius
Chromis vanderbilti
Neoniphon sammara
Acanthopagrus butcheri
Liparis pulchellus
Ichneumon sp.
Dolichonyx orzivorous
Syrphus balteatus
Oreochromis nilocticus
Argyropelecus hemigymnus
Chauliognathus pulchellus
Praunus flexuosus
Poecilia latipinna
Sympetrum sp.
Bellocia  koefoedi
Centroswcymnus coleolepis
Melanochromis auratus
Anolis extremus
Embiotoca jacksoni
Notostomus elegans
Enophrys diceraus
Pleurodeles waltl
Chrysoperla carnea
Acanthephyra microphthalma
Orconectes rusticus
Limenitis archippus floridensis
Pollachius pollachius
Lonchura striata
Asteropteryx semipunctatus
Sergestes curvatus
Eutrigla gurnardus
Bombyx mori
Howella sherborni
Eulemur fulvus
Antherea polyphemus
Ischnura heterosticta
Petrolisthes diogenes
Rhea americana
Sphyrna lewini
Sargocentron punctatissimum
Rana pipiens
Propithecus verreauxi coquereli
Acipenser baerii
Bombus jonellus
Hoplostethus atlanticus
Saguinus fuscicollis
Oligocottus maculosus
Zaniolepis frenata
Gonostoma elongatum
Trachurus symmetricus
Pleuronectes herzensteini
Fulgeochlizus bruchii
Cyrtopodion caspium
Speotyto cunicularia
Parophrys vetulus
Chauliodus danae
Necturus maculosus
Palaemonetes vulgaris
Pleurogrammus azonus
Parvus  caeruleus
Systellaspis debilis
Hemigraspus edwardsi
Conocara macroptera
Bombus dahlbomii
Eristalis arbustorum
Neoceratodus forsteri
Chelidonichthys lucernus
Haplochromis nyererei
Ctenomys magellanicus
Sebastes auriculatus
Lonchura malacca
Sternoptyx diaphana
Mesoplodon bidens
Curtos sp.
Lutjanus argentimaculatus
Rouleina attrita
Rhinomuraena quaesita
Syrphus sp.
Anolis sagrei
Anoplarchus purpurescens
Batrachocottus multiradiatus
Hippoglossoides elassodon
Hapalochlaena maculosa
Lepidion eques
Forcipiger flavissimus
Bathysaurus ferox
Megalocottus  platycephalus
Ips paraconfusus
Chlorops sp.
Photostylus sp.
Melanphaes canthomus
Zalophus californianus
Rana cracrivora
Nothoprocta cinerascens cinerascens
Ammodytes hexapterus
Stylocheiron maximum
Tinca tinca
Musca domestica
Ctenophorus ornatus
Columba livia
Setonix brachyurus
Hemigrapsus edwardsii
Crenicichla frenata
Buteo buteo
Carcharhinus leucas
Balanus amphitrite
Sesarma reticulatum
Poromitra megalops
Myoxocephalus jack
Engraulis japonicus
Cephonodes hylas
Synaphobranchus kaupi
Syngnathus typhle
Pergavor spilosoma
Poecilia mexicana
Elops  saurus
Lutjanus russellii
Pieris rapae
Thamnophis sirtalis sirtalis
Rouleina maderensis
Sebastes flavidus
Synathedon tipulif ormis
Callithrix jacchus jacchus
Cavia porcellus
Graphium sarpedon
Gryllus bimaculatus
Lepidion  eques
Antimora  rostrata
Corvus frugilegus
Melipona marginata
Lepilemur ruficaudatus
Ictalurus melas
Struthio camelus
Tribolodon hakonensis
Photinus scintillans
Photuris frontalis
Otolemur garnettii
Chiloscyllium punctatum
Myotis velifer
Canthidermis maculata
Coturnix  japonica
Talitrus saltator
Leiothrix lutea
Notonecta undulata
Ichthyococcus ovatus
Antimora rostrata
Evermannella balbo
Aeshna tuberculifera
Mesocricetus auratus
Phoca vitulina
Ambystoma tigrinum hatchling
Calliphora erythrocephala
Sergestes similis
Myrmecia gulosa
Cataglyphis aenescens
Heliconius sara
Citharichthys sordidus
Lutjanus erythropterus
Chelidonichthys lucerna
Isoodon obesulus
Astyanax fasciatus
Erythrocebus patas
Rhinobatos lentiginosus
Lampanychtus ater
Holtbyrnia spinithara
Echinomacrurus mollis
Felis catus
Xenopus laevis
Pseudotropheus tropheops
Homarus americanus
Microcottus sellaris
Idiosepius notoides
Passer domesticus
Neonesthes capensis
Peprilus simillimus
Gobius niger
Pyrocoelia sp.
Stylopandalus richardi
Platysaurus broadleyi
Panorpa communis
Neogonodactylus curacaoensis
Ichneumon stramentarius
Zonotrichia leucophrys
Anas platyrhynchos domesiticus
Cyrtodiopsis dalmanni
Neope goschkevitschii
Gasterosteus sp.
Mauremys reevesii
Diaphus dumerilli
Callambulyx tatarinovii
Argentina silus
Ptychozoon lionotum
Istiophorus  platypterus
Carpodacus mexicanus
Chauliodus sloani
Squilla empusa
Ophiodon elongatus
Photinus pyralis
Tarsius bancanus
Lestrimelitta limao
Parnara guttata
Pavo cristatus
Psettichthys melanostictus
Lasioglossum albipes
Lipophrys pholis
Cancer irroratus
Rouleina aderensis
Acartia tonsa
Panulirus argus
Metriaclima benetos
Heliconius hecale
Polistes dominulus
Mora moro
Copadichromis borleyi
Exorista japonica
Oryctolagus cuniculus
Macaca fascicularis
Bombus terrestris sassaricus
Eurypharynx pelecanoides
Ernogrammus hexagrammus
Hyperprosopon argenteum
Histiobranchus bathybius
Callonychium petuniae
Spermophilus tridecemlineatus
Hariotta raleighana
Bonapartia pedalioita
Nymphalis xanthomelas
Schistocerca gregaria
Cheirogaleus major
Phronima sedenteria
Marosatherina ladigesi
Salmo salar
Hemitripterus americanus
Parupeneus multifasciatus
Sciurus carolinensis
Stomias boa
Nematobrachion sexpinosum
Neoniphon argenteus
Sphoeroides annulatus
Phycis blennoides
Hexagrammos octogrammus
Pasiphaea suspirosum
Pullosquilla litoralis
Gonepteryx aspasia
Monodelphis domestica
Asprocottus intermediius
Scaphirhynchus albus
Odontodactylus havanensis
Mylochromis lateristriga
Vinciguerria nimbaria
Sergia grandis
Plagiotremus rhinorhynchos
Hemidactylus frenatus
Sargocentron xantherythrum
Pasiphaea chacei
Anolis grahami
Trygonorrhina fasciata
Bubo virginianus
Pristiapogon kallopterus
Pomacentrus melanochir
Micropterus salmoides
Haplochromis burtoni
Bathylagus greyae
Uca pugnax
Acanthropagrus schlegelii
Upeneus tragula
Papilio achaon
Rhabdamia  Gracilis
Siproeta stelenes
Nansenia longicauda
Theragra chalcogramma
Anolis gundlachi
Ballerus ballerus
Nectamia  Savayensis
Microstomus pacificus
Ambystoma tigrinum adult
Drosophila melanogaster
Sus scrofa
Pseudozizeeria maha
Megalops atlanticus
Lonchura maga
Amadina fasciata
Poromitra capito
Esox lucius
Mysis  sp.
Pandalus borealis
Samia cyntia ricini
Loxodonta africana
Pyrearinus termitilluminans
Artedius fenestrates
Sepia officinalis
Glossophaga soricina
Molothrus ater
Tarsius syrichta
Geoclemys reevesii
Ovipales stephensoni
Oncorhynchus keta
Gobiesox maeandricus
Enophrys bison
Anchoa mitchilli
Blatta orientalis
Ostorhinchus Cyanosoma
Cicindela chinensis
Scardinius erythrophthalmus
Didelphis aurita
Photostomias braueri
Taaningichthys bathyphilus
Phytichthys  chirus
Puntigrus tetrazona
Bos taurus
Eumicrotremus orbis
Ligia exotica
Artedius harringtoni
Tenodera sinensis
Coenobita rugosa
Hemigrapsus sanguinensis
Camponotus blandus
Trematomus loennbergii
Tabanus nigrovittatus
Callinectes ornatus
Ostorhinchus Doederleini
Neominois ridingsii
Atrophaneura alcinous
Cerceris rybyensis
Lonchura maja
Neogonodactylus oertstedii
Furcifer pardalis
Thomomys bottae
Sygnathus leptorhynchus
Ctenophorus decresii
Palaemonetes paladosus
Rhynchobatus australiae
Ruscarius meanyi
Bathysaurus mollis
Lycaena phlaeas
Chromis hanui
Locusta migratoria
Pholidapus dybowsky
Salmo irideus
Gonodactylus oerstedii
Merluccius productus
Pygopleurus israelitus
Chelostoma florisomne
Epicopeia hainesii
Raja binoculata
Argiope amoena
Myripristis violacea
Bero elegans
Oplophorus gracilirostris
Astatotilapia burtoni
Engraulis encrasicolus
Tarsipes rostratus
Parus caeruleus
Nephotettix cincticeps
Condylostylus japonicus
Cottocomephorus grewingki
Cyphonocerus rufficolis
Tyrannochromis macrostoma
Astacus leptodactylus
Conger conger
Bentheogennema intermedia
Lampropeltis getula
Acerina cernua
Trematomus bernacchii
Melecta punctata
Embiotoca lateralis
Fundulus heteroclitus
Euphydryas chalcedona
Pundamilia luanso
Arothron meleagris
Pithecia pithecia
Chauliodus sloanei
Hippocampus angustus
Meganyctiphanes norvegica
Dromiceius novae-hollandiae
Dasyatis kuhlii
Leptocottus armatus
Rynchophorus ferrugineus
Ameiurus catus
Plesiopenaeus armatus
Lutjanus adetii
Saguinus oedipus
Dascyllus albisella
Phoca groenlandicus
Gennadas valens
Hemicordulia tau
Chromis ovalis
Pieris brassicae
Danaus plexippus
Apodemia spp.
Cottus gobio
Borostomias elucens
Photinus macdermotti
Otolemus cassicaudatus
Bombus terrestris terrestris
Tramitichromis  intermedius
Lampanyctus regalis
Amia calva
Bodianus bilunnulatus
Ahliesaurus berryi
Aristostomias tittmani
Pachystomias microdon
Sturnus vulgaris
Ostracion meleagris
Uca thayeri
Lasioglossum malachurum
Metriaclima livingstonii
Carlito syrichta
Trichodon trichodon
Pyrophorus divergens
Spodoptera exigua
Oeneis chryxus
Lampanyctus alatus
Cydia pomonella
Mirza coquereli
Cyrtopodion kotschyi
Oplophorus spinosus
Rhizoprionodon taylori
Bombus hypnorum
Aotus trivirgatus
Calliphora vicina
Enteroctopus dofleini
Orconectes virilis
Sagiunus midas
Crotaphytus dickersonae
Microstoma microstoma
Notonecta irrorata
Sigmops bathyphilus
Chaetodon kleinii
Carcharhinus acronotus
Hoplostethus mediteranus
Odontodactylus scyllarus
Gasterosteus aculeatus
Cheirogaleus medius
Paromola cuvieri
Pholis laeta
Carcharhinus amboinensis
Synaphobranchus kaupii
Sergia splendens
Hemitripterus villosus
Notonecta insulata
Typhlonectes natans
Leptograspus variegatus
Cambarellus schufeldtii
Sphyraena barracuda
Jasus edwardsii
Ailuroedus crassirostris
Hoplostethus mediterraneus mediterraneus
Camponotus abdominalis
Scaphirhynchus platorynchus
Callinectes sapidus
Cataglyphis bicolor
Nothoprocta cinerascens
Estrilda troglodytes
Tetrapturus audax
Masticophis flagellum
Zebrasoma flavescens
Salvelinus alpinus
Tupaia glis
Aulorhynchus flavidus
Sebastolobus alascanus
Hymenodora frontalis
Carassius auratus
Rhamphocottus richardsonii
Panorpa cognata
Spalacopus cyanus
Scorpaenichthys marmoratus
Benthosema suborbitale
Melanostomias niger
Alosa kessleri
Caranx hippos
Anolis cristatellus
Tenthredo campestris
Coenobita clypeatus
Funchalia villosa
Anas platyrhynchos
Phalaenoptilus nuttallii
Rinocetes nasutus
Clinocottus globiceps
Leptidae amurensis
Borostomias panamensis
Hypomesus pretiosus
Minois dryas
Polygonia c-album
Merluccius merluccius
Scorpaena porcus
Nasua nasua
Vespula germanica
Papilio protenor
Zoarces viviparus
Melanotaenia maccullochi
Notonecta glauca
Bathylagus euryops
Hemidactylus garnotii
Corvus  frugilegus
Zebrasoma veliferum
Jordanella floridae
Porogradus sp.
Triakis semifasciata
Vespo crabro
Stylephorus chordatus
Damalichthys vacca
Odontodactylus brevirostris
Isodon obesulus
Mysis salemaai
Bombus affinis
Turdus merula
Urocerus gigas
Perca  flavescens
Danio rerio
Arichanna gaschkevitchii
Eurypanopeus depressus
Cyprinus carpio
Strophidon sathete
Frankliniella occidentalis
Lutjanus johnii
Artedius fenestralis
Pleuronectes platessa
Carcinus maenas
Coryphopterus nicholsii
Lutjanus sebae
Asprocottus herzensteini
Vespula vulgaris
Lepisosteus platostomus
Acanthurus triostegus
Macaca mulatta
Talismania antillarum
Gaidropsarus mediterraneus
Urobatis jamaicensis
Anguilla bicolor
Rana catesbeiana
Ostorhinchus Cookii
Acanthephyra smithi
Anguilla anguilla
Lutjanus bohar
Atherinops affinis
Triglops pingelii
Celastrina argiolus
Lycaena rubidus
Chauliodus macouni
Hemigraspus sanguineus
Synodus variegatus
Oreocromis niloticus
Speyeria leto
Rana catesbeiana larvae
Oplophorus sp.
Hermeuptychia hermes
Hydrolagus mirabilis
Rattus rattus
Sardinops sagax
Gnathophausia ingens
Sargocentron tiere
Platichthys stellatus
Lutjanus fulviflamma
Carcharhinus limbatus
Photuris lucicrescens
Lates calcarifer
Carabus nemoralis
Colletes fulgidus
Panopeus herbstii
Anoplogaster cornuta
Chlorocebus aethiops
Haplonycteris fischeri
Anolis carolinensis
Acanthephyra stylorostratis
Acipenser medirostrus
Bythograea thermydron
Anolis krugi
Gonostoma bathyphilum
Helicoverpa armigera
Kali macrodon
Trigona spinipes
Sergia maximus
Notacanthus bonapartei
Cercopithecus diana
Serinus canaria
Triglopsis quadricornis
Belone belone
Jordania zonope
Ichthyophis kohtaoensis
Stichaeus grigorjewi
Makaira nigricans
Panopeus obesus
Rutilis rutilis
Hypsurus caryi
Hippoglossoides herzensteini
Mus musculus
Aptychotrema vincentiana
Otus asio
Danio aequipinnatus
Sebastes caurinus
Neotrygon kuhlii
Gonodactylopsis spongicola
Rimicaris exoculata
Octodon degus
Partamona helleri
Meningodora miccyla
Hexagrammos octagrammus
Engraulis mordax
Zebrasoma velifer
Bothragonus swani
Photonectes braueri
Pilumnus sayi
Lucilia (Phaenicia) serricata
Pleuronectes asper
Glaucomys sabrinus
Rana temporaria
Spinachia spinachia
Metriaclima zebra
Pundamilia red head
Thermonectus maromoratus
Arenaeus cribrarius
Caelorhinchus labiatus
Limenitis archippus astyanax
Axoclinius carminalis
Micrometrus minimus
Lepomis macrochirus
Aristostomias tittmanni
Cymatogaster aggregata
Myrmecia vindex
Callistoctopus dierythraeus
Rhinatrema bivittatum
Daphnia magna
Pieris melete
Rhea  americana
Orectolobus maculatus
Libellula needhami
Anas  platyrhynchos
Electrona risso
Trichechus manatus
Pseudopleuronectes americanus
Myripristis berndti
Apis mellifera
Lonchura malabarica
Anax junius
Acanthurus achilles
Bibio sp.
Oncorhynchus tshawytscha
Papilio xuthus
Mysis diluviana
Lepidorhombus boscii
Ictalurus punctatus
Asterocampa leilia
Nothoprocta perdicaria sanborni
Salmo trutta
Nematobrachion boopis
Systellaspis cristata
Dimecoenia spinosa
Meleagris gallopavo
Clupea pallasii
Pleuroncodes planipes
Hotaria parvula
Carcharhinus amblyrhynchos
Poecilia parae
Didelphis virginiana
Mirounga angustirostri
Metriaclima melabranchion
Limenitis archippus archippus
Loris tardigradus
Carcharhinus obscurus
Mesocricetus brandti
Corixa punctata
Photinus collustrans
Cottus kessleri
Rhinoptera bonasus
Lampanyctus crocodilus
Phodopus sungorus
Pagurus annulipes
Ochlodes venata
Actias artemis aliena
Andrena florea
Syngnathus leptorhynchus
Chaetodon kleini
Neomysis mercedis
Toxotes chatareus
Avahi laniger
Xenopeltis unicolor
Vanessa cardui
Coryphaenoides guntheri
Parantica sita
Gonodactylaceus falcatus
Melanochromis vermivorus
Blatella germanica
Haplochromis ishmaeli
Melipona quadrifasciata
Brachydanio rerio
Bathophilus brevis
Bicyclus anynana
Systellaspis braueri
Loligo subulata
Vespa crabro
Stichaeopsis nana
Pervagor spilosoma
Dermogenys pusilla
Meningodora vesca
Artedius meanyi
Bombus  impatiens
Paravespula vulgaris
Nymphalis antiopa
Leocottus kesslerii
Psychrolutes paradoxus
Trachurus mediterraneus
Aetobatus narinari
Oxea flavescens
Equus caballus
Pholis omata
Mysis mixta
Procottus jettelesii
Acipenser ruthenus
Photostomias guernei
Chimaera monstrosa
Eulemur fulvus fulvus
Apodichthys flavidus
Limulus polyphemus
Acipenser transmontanus
Blicca bjoerkna
Gobiusculus flavescens
Paracheirodon innesi
Cirrhilabrus solorensis
Archaeopropona demophon
Tursiops truncates
Cercopithecus petaurista
Pleurogrammus  azonus
Scirtothrips dorsalis
Heliconius charithonia
Parage aegeria
Dasyatis fluviorum
Cyttopsis rosea
Pungitius pungitius
Lepidopsetta bilineata
Eucyclogobius newberryi
Cephalopachus bancanus
Chirostomias pliopterus
Rangifer tarandus
Abyssocottus korotneffi
Cyrtopodion fedtschenkoi
Plocepasser mahali
Limnocottus bergianus
Aedes aegypti
Puffinus puffinus
Coryphaenoides armatus
Antheraea polyphemus
Menemerus confusus
Astacus fluviatus
Limanda limanda
Anadevidia peponis
Spheniscus humboldti
Daubentonia madagascariensis
Protomelas taeniolatus
Neoniphon aurolineatus
Lutjanus malabaricus
Halargyreus johnsonii
Saguinus midas
Lutjanus carponotatus
Opisthocentrus ocellatus
Searsia koefoedi
Hemilepidotus hemilepidotus
Tramitichromis intermedius
Dugesia japonica
Mysis relicta sp.II
Myoxocephalus scorpius
Coryphaenoides profundicolus
Dromiceius novae-hollandae
Arizona elegans
Salmo trutta trutta
Echiostoma barbatum
Ambystoma tigrinum aquatic
Neomysis integer
Rhinocheilus lecontei
Xylocopa brasilianorum
Bombus lapidarius
