Borostomias elucens
Ichthyococcus ovatus
Pasiphaea emarginata
Mulloidichthys flavolineatus
Xiphister atropurpureus
Curtos sp.
Aglais urticae
Chauliodus sloanei
Abramis ballerus
Lissotriton vulgaris
Dromiceius novae-hollandiae
Sympetrum sp.
Funchalia villosa
Argyropelecus hemigymnus
Porichthys notatus
Libellula needhami
Pasiphaea chacei
Chimaera monstrosa
Junonia coenia
Onitis alexis
Conocara salmonea
Lycaena rubidus
Artedius meanyi
Platyberyx opalescens
Salvelinus alpinus
Trachurus mediterraneus
Panopeus herbtii
Metriaclima barlowi
Melanostigma pammelas
Leuroglosus stilbius
Procottus jettelesi
Neogonodactylus curacaoensis
Evermannella balbo
Arachnocampa luminosa
Bombus fervidus
Corvus  frugilegus
Scomberomorus sierra
Hexagrammos octagrammus
Sesarma cinereum
Anartia jatrophae
Ephestia cautella
Lyopsetta exilis
Dasycottus setiger
Menippe mercenaria
Ostorhinchus Doederleini
Ctenophorus decresii
Tarsius bancanus
Opsanus tau
Ctenomys talarum
Asterropteryx semipunctata
Bathysaurus mollis
Lonchura maga
Mysis relicta sp.II
Solenopsis saevissima
Pachystomias microdon
Diaphus rafinesqueii
Notonecta undulata
Gennadas sp.
Thysanopoda acutifrons
Ameiurus catus
Plocepasser mahali
Alepocephalus australis
Lepidion eques
Typhlops platycephalus
Ameiurus melas
Lycaena heteronea
Danaus plexippus
Hyperoplus lanceolatus
Lycaena nivalis
Zenaida macroura
Leptocottus armatus
Platichthys stellatus
Sebastes maliger
Melopsittacus undatus
Minois dryas
Gonodactylus oerstedii
Hoplostethus mediterraneus mediterraneus
Ischnura heterosticta
Platytroctes apus
Plagiotremus rhinorhynchos
Dascyllus albisella
Dacus oleae
Pieris rapae crucivora
Merluccius productus
Anthophora acervorum
Sebastes flavidus
Cercopithecus cephus
Syngnathus leptorhynchus
Romalea microptera
Stichaeus nozawae
Neomysis integer
Cataglyphis bicolor
Hymenodora glacialis
Odontodactylus brevirostris
Haematopota sp.
Trygonorrhina fasciata
Lonchura malacca
Phycis blennoides
Cyphonocerus rufficolis
Archaeomysis grebnitzkii
Lutjanus kasmira
Jordania zonope
Heliothis virescens
Malacosteus niger
Liparis florae
Phassus excrescens
Poecilia formosa
Cicindela japonica
Sargocentron microstoma
Kuhlia sandvicensis
Platichthys flesus
Sufflamen bursa
Centrophorus squamosus
Leiothrix lutea
Albula vulpes
Porogradus sp.
Aeschna cyanea
Talitrus saltator
Scirtothrips dorsalis
Nothoprocta cinerascens cinerascens
Melecta punctata
Toxomerus marginatus
Bowmaniella sp.
Artedius harringtoni
Sergia robustus
Chromis verater
Phronima sedenteria
Lutjanus adetii
Streptopelia roseogrisea
Melanostomias niger
Hypomesus pretiosus
Peprilus stimillimus
Pervagor aspricaudus
Hyperprosopon argenteum
Libinia dubia
Coryphaenoides profundicolus
Zanclus cornutus
Zalembius rosaceus
Limanda aspera
Gonodactylellus affinis
Meningodora vesca
Arichanna gaschkevitchii
Acanthropagrus berda
Bonapartia pedalioita
Spirinchus thaleichthys
Batrachocottus multiradiatus
Lepomis macrochirus
Sphyrna tiburo
Mysis relicta
Etroplus suratensis
Panopeus obesus
Euphausia pacifica
Psychrolutes paradoxus
Scopelogadus beanii
Liparis greeni
Colletes fulgidus
Neoniphon argenteus
Hemidactylus turcicus
Calypteryx splendens and virgo
Ictalurus catus
Apodichthys flavidus
Melanphaes canthomus
Phalaenoides glycinae
Calliphora erythrocephala
Taeniura lymma
Vanessa cardui
Exorista japonica
Protomelas taeniolatus
Scenopoetes dentirostris
Eumicrotremus orbis
Accipiter nisus
Equus caballus
Hexagrammos decagrammus
Ronquilus jordani
Myoxocephalus brandti
Systellaspis cristata
Margrethia obtusirostra
Lampanyctus crocodilus
Astatotilapia burtoni
Rhithropanopeus harrisii
Sephanoides sephanoides
Lampanyctus festivus
Rhinobatus typus
Rouleina maderensis
Ptychozoon lionotum
Paralabrax clathratus
Spermophilus tridecemlineatus
Miopithecus talapoin
Triglopsis quadricornis
Gallus  gallus domesticus
Idiacanthus fasciola
Oreochromis nilocticus
Batrachocottus nicolskii
Pseudotropheus acei
Bombus hypnorum
Furcifer pardalis
Luicola cruciata
Isopsetta isolepis
Trigla cuculus
Upeneus tragula
Antimora rostrata
Atrophaneura alcinous
Cicindela specularis
Carcharhinus amboinensis
Philanthus triangulum
Eristalis tenax
Myoxocephalus scorpius
Formica cunicularia
Zoramia  Leptacanthus
Heteromysis formosa
Celastrina argiolus
Lampadena speculigera
Rimicaris exoculata
Acanthephyra purpurea
Anguilla Anguilla
Gymnothorax favagineus
Epicopeia hainesii
Sergia grandis
Cancer irroratus
Hemicordulia tau
Gonostoma atlanticum
Gasterosteus sp.
Myrmecia croslandi
Portunus spinimanis
Crangon allmani
Danio aequipinnatus
Carcharhinus obscurus
Ichthyophis cf. kohtaoensis
Brachydanio rerio
Gonostoma elongatum
Ascelichthys rhodorus
Ruscarius meanyi
Naso unicornis
Necturus maculosus
Clibanarius vittatus
Andrena florea
Hypsurus caryi
Nematoscelis megalops
Metriaclima emmiltos
Hippocampus barbouri
Stichaeopsis nana
Trachurus symmetricus
Coryphaenoides guntheri
Menemerus confusus
Rhabdamia  Gracilis
Cyrtopodion caspium
Cercopithecus diana
Strix aluco
Embiotoca lateralis
Chelostoma florisomne
Partamona helleri
Schistocerca gregaria
Paravespula germanica
Ovipales stephensoni
Sergestes curvatus
Hotaria parvula
Cebus spp.
Nematobrachion boopis
Cleisthenes herzensteini
Hemigrapsus sanguinensis
Bellocia  koefoedi
Sepioteuthis lessoniana
Dendroctonus pseudotsugae
Uca thayeri
Sergia maximus
Corixa punctata
Electrona risso
Limnocottus eurystomus
Tabanus nigrovittatus
Melanotaenia maccullochi
Seriphus politus
Lycodes pacificus
Photuris frontalis
Bombus jonellus
Chaceon affinis
Anas platyrhynchus
Photinus macdermotti
Thunnus albacares
Chrysoperla carnea
Papilio maackii
Echiostoma barbatum
Anilius scytale
Artedius fenestralis
Pseudozizeeria maha
Lestrimelitta limao
Lobianchia gemellarii
Eurypanopeus depressus
Chaetodon kleini
Puntigrus tetrazona
Leocottus kesslerii
Histiobranchus bathybius
Anolis lineatopus
Abyssocottus korotneffi
Diaphus lucidus
Paromola cuvieri
Paracottus knerii
Taaningichthys bathyphilus
Idiosepius notoides
Dardanus fucosus
Condylostylus japonicus
Pollachius pollachius
Lutjanus johnii
Lasioglossum malachurum
Inachis io
Bythograea thermydron
Stylocheiron maximum
Bibio sp.
Panopeus herbstii
Frankliniella occidentalis
Papio papio
Carcharhinus leucas
Rana catesbeiana larvae
Liparis pulchellus
Hariotta raleighana
Osmia rufa
Bathylagus longirostris
Pleuronectes herzensteini
Cottus sp.
Rana cancrivora
Notonecta irrorata
Mysis mixta
Aetobatus narinari
Triglops pingelii
Loligo pealii
Argiope amoena
Geryon quinquedens
Pervagor spilosoma
Nematobrachion sexpinosum
Bombus morio
Coturnix coturnix
Urocyon littoralis
Rhynchobatus australiae
Helostoma temminkii
Artemia salina
Diaphus dumerilli
Sesarma reticulatum
Ichneumon sp.
Psychrobites paradoxus
Phidippus regius
Enophrys bison
Libinia emarginata
Homarus gammarus
Pasiphaea suspirosum
Parnara guttata
Sphoeroides annulatus
Abudefduf abdominalis
Loxodonta africana
Gonodactylus smithii
Trematomus hansoni
Octopus tetricus
Salmo irideus
Cloridopsis dubia
Metriaclima livingstonii
Podothecus acipenserinus
Acipenser medirostrus
Trachyscorpia cristulata
Triakis semifasciata
Sarda chiliensis
Amandina fasciata
Anolis pulchellus
Palaemonetes vulgaris
Rhinoptera bonasus
Tetrapturus audax
Coenobita rugosa
Microgadus proximus
Sphyrna lewini
Parus caeruleus
Chirolophis japonicus
Potos flavus
Ochlodes venata
Oxaea flavescens
Neomysis mercedis
Bathylagus greyae
Trigona spinipes
Allograpta obliqua
Arctia plantaginis
Stylopandalus richardi
Callipepla californica
Gekko gekko
Ernogrammus hexagrammus
Parage aegeria
Vulpes lagopus
Cambarellus ludovicianus
Balanus balanoides
Gryllus campestris
Canis lupus familiaris
Acanthephyra microphthalma
Mylochromis lateristriga
Carpodacus mexicanus
Pieris melete
Oxea flavescens
Lepidion  eques
Bero elegance
Acipenser medirostris
Carabus auratus
Libellula pulchella
Hoplostethus mediteranus
Lampetra fluviatilis
Phodopus sungorus
Pholis omata
Hemilepidotus hemilepidotus
Chelidonichthys lucerna
Phoca groenlandicus
Bothragonus swani
Neochmia modesta
Coronis scolopendra
Saguinus oedipus
Nomada albogutata
Limenitis archippus floridensis
Acantholumpenus mackayi
Tursiops truncates
Lepisosteus platostomus
Sigmops bathyphilus
Diaphus holti
Pseudopleuronectes obscurus
Ceratoscopelus warmingii
Penaeus penicillatus
Barbantus curvifrons
Syrphus balteatus
Formica polyctena
Scylla serrata
Spalacopus cyanus
Asteropteryx semipunctatus
Antimora  rostrata
Hippoglossoides herzensteini
Cicindela chinensis
Procambarus milleri
Lucidina biplagiata
Petrolisthes diogenes
Limnocottus bergianus
Bombus distinguendis
Myrmecia gulosa
Lumpenus sagitta
Pagurus annulipes
Systellaspis braueri
Bassozetus compresis
Stichaeus grigorjevi
Xiphister mucosus
Rhea americana
Nematobrachion sexspinosus
Nemichthys scolopaceus
Lipophyrs pholis
Carcinus maenas
Marumba sperchius
Sebastes auriculatus
Citharichthys sordidus
Rynchophorus ferrugineus
Spicara smaris
Pavo cristatus
Acanthopagrus butcheri
Spermophilus beecheyi
Cambarellus shufeldtii
Oplophorus gracilirostris
Teratoscincus scincus
Pholidapus dybowsky
Halargyreus johnsonii
Liparis dennyi
Acanthurus triostegus
Phytichthys chirus
Eucyclogobius newberryi
Balanus amphitrite
Hermeuptychia hermes
Coturnix  japonica
Acerina cernua
Myoxocephalus jack
Pholis laeta
Ophiodon elongatus
Phalaenoptilus nuttallii
Sepia plangon
Praunus flexuosus
Sergia phorcus
Geomys bursarius
Mysis salemaai
Anoplarchus purpurescens
Pyrocoelia sp.
Chlamydera nuchalis
Hemidactylus platyurus
Saguinus fuscicollis
Cataetyx laticeps
Bombus dahlbomii
Mesocricetus brandti
Photonectes braueri
Ichthyophis kohtaoensis
Spermophilus tridecemline
Aeschna cyanea and mixta
Panorpa communis
Notacanthus bonapartei
Peprilus simillimus
Haplonycteris fischeri
Trematomus loennbergii
Hipposideros speoris
Samia cyntia ricini
Anax junius
Sargocentron tiere
Photostomias guernei
Rhinella [=Bufo] marinus
Makaira nigricans
Anolis stratulus
Photostomias braueri
Haplochromis ishmaeli
Lonchura maja
Sargocentron xantherythrum
Carcharhinus limbatus
Hymenodora frontalis
Astyanax fasciatus
Benthalbella  infans
Comephorus baicalensis
Chlorophthalmus sp.
Sardinops melanostictus
Callinectes ornatus
Pergavor spilosoma
Didelphis virginiana
Blatta orientalis
Gonodactylopsis spongicola
Stomias atriventer
Simulium sp.
Enophrys diceraus
Procottus jettelesii
Lysiosquillina maculate
Engaeus cunicularius
Sigmops elongatus
Papilio achaon
Cambarellus schufeldtii
Astacus leptodactylus
Lonchura malabarica
Atherinops affinis
Ballerus ballerus
Pleurogrammus  azonus
Uca pugilator
Rhacochilus vacca
Saguinus midas
Parapasiphaea sulcatifrons
Hemitripterus americanus
Tinca tinca
Polistes dominulus
Sphyraena barracuda
Sympetrum rubicundulum
Otolemus cassicaudatus
Bombus hortorum
Cottunculus thomsonii
Zebrasoma velifer
Hepatus epheliticus
Nothoprocta cinerascens
Sericulus crysocephalus
Mysis  sp.
Chaetodon kleinii
Bassozetus compressus
Oncorhynchus kisutch
Halosauropsis macrochir
Nephrops norvegicus
Poromitra megalops
Bibio marci
Otus asio
Xenodermichthys  copei
Puffinus puffinus
Cirrhilabrus solorensis
Searsia koefoedi
Gymnothorax reticularis
Vinciguerria nimbaria
Cerceris rybynensis
Pagurus longicarpus
Cyrtopodion kotschyi
Crotaphytus dickersonae
Alouatta sp.
Bathysaurus ferox
Alima pacifica
Melopsittacus undalatus
Borostomias panamensis
Masticophis flagellum
Forcipiger flavissimus
Haplochromis piceatus
Sergestes tenuiremis
Rangifer tarandus
Damalichthys vacca
Chromis hanui
Leontopithecus rosalia rosalia
Syrphus sp.
Bodianus bilunnulatus
Nautichthys oculofasciatus
Pullosquilla thomassini
Scaphirhynchus platorynchus
Pipilo fuscus
Pseudosquilla ciliata
Trygonoptera testacea
Neoniphon aurolineatus
Hoplostethus atlanticus
Pseudotropheus tropheops
Glaucomys sabrinus
Sergestes arcticus
Stigmatopora argus
Howella sherborni
Neogonodactylus oertstedii
Mullus barbatus
Pyrophorus divergens
Cambarus ludovicianus
Plesionika martia
Rana catesbeiana
Pasiphaea multidentata
Metriaclima zebra
Loligo subulata
Rutilis rutilis
Limenitis archippus astyanax
Amphilophus longimanus
Cercopithecus petaurista
Lipophrys pholis
Scardinius erythrophthalmus
Limnocottus griseus
Epigonus  telescopus
Mantispa styriaca
Leptidae amurensis
Acanthurus nigroris
Bentheogennema pasithea
Argyropelecus gigas
Anolis bahorucoensis
Melipona quadrifasciata
Bos taurus
Taeniopygia guttata
Eurypharynx pelecanoides
Proxylocopa sp.
Liparis  greeni
Camponotus blandus
Hexagrammos stelleri
Gonostoma denudatum
Photinus scintillans
Vespo crabro
Uca pugnax
Batrachocottus nikolskii
Pygopleurus israelitus
Buteo buteo
Echinomacrurus mollis
Raja binoculata
Tribolodon hakonensis
Parvus  caeruleus
Squalus suckleyi
Notoscopelus resplendens
Parupeneus multifasciatus
Lethrus apterus
Bathophilus brevis
Lutjanus quinquelineatus
Luciola lateralis
Gonostoma bathyphilum
Megalocottus  platycephalus
Cebus sp.
Phytichthys  chirus
Rhinatrema bivittatum
Agonopsis vulsa
Papilio aegeus
Oreocromis niloticus
Anolis extremus
Neonesthes capensis
Turdus merula
Belone belone
Orconectes rusticus
Lutjanus bohar
Photinus collustrans
Poromitra capito
Blatella germanica
Myrmecia vindex
Gecarcinus lateralis
Eutrigla gurnardus
Apodemia spp.
Mirza coquereli
Micrometrus minimus
Blicca bjoerkna
Pagurus pollicaris
Puffinus pacificus
Jordanella floridae
Carcharhinus acronotus
Archaeoprepona demophon
Acipenser fulvescens
Tupaia glis
Nectamia  Savayensis
Callistoctopus dierythraeus
Cottocomephorus grewingki
Pundamila sp.
Leptograpsus variegatus
Hemisquilla ensigera
Anguilla bicolor
Dolichovespula norwegica
Lampanyctus regalis
Bombus lapidarius
Artedius fenestrates
Rhea  americana
Asprocottus intermediius
Benthosema suborbitale
Batrachocottus baicalensis
Hemigraspus sanguineus
Oplophorus spinosus
Octopus australis
Ammodytes hexapterus
Eigenmannia virescens
Pundamilia red head
Eulemur fulvus
Holmesimysis costata
Micropoecilia parae
Zebrasoma veliferum
Petrolisthes elongates
Dicrolene intronigra
Spinachia spinachia
Trichodon trichodon
Sergia splendens
Ostrinia nubilalis
Glossina moritans moritans
Cyttopsis roseus
Globicephala melas
Bathylagus euryops
Limanda limanda
Polygonia c-aureum
Carassius auratus
Archaeopropona demophon
Ctenomys magellanicus
Micropterus salmoides
Meganyctiphanes norvegica
Opisthoproctus grimaldii
Pleurogrammus azonus
Copadichromis borleyi
Portunus trituberculatus
Myotis velifer
Anolis evermanni
Nannobrachium atrum
Estrilda troglodytes
Haplochromis pyrrhocephalus
Neomysis americana
Ichthyocossus ovatus
Pteropus samoensis
Isodon obesulus
Sagiunus midas
Asterocampa celtis
Ctenochaetus strigosus
Micrometrus aurora
Acartia tonsa
Perca fluviatilis
Lepidorhombus boscii
Rouleina aderensis
Oncorhynchus tshawytscha
Dolichonyx orzivorous
Lutjanus fulviflamma
Gonostoma bathyphilium
Gobiesox maecmdricus
Chlamydera maculata
Tyrannochromis macrostoma
Saimiri sciureus
Xenos peckii
Alburnus alburnus
Mysis diluviana
Odontodactylus havanensis
Gnathophausia ingens
Tenthredo scrophulariae
Bolinichthys indicus
Galago crassicauda
Sphodromantis sp.
Anableps anableps
Anolis krugi
Pergavor aspricaudus
Canthidermis maculatus
Notonecta insulata
Gymnura australis
Hapalochlaena maculosa
Synodus variegatus
Lutjanus argentimaculatus
Derichthys serpentinus
Microstoma microstoma
Synaphobranchus kaupi
Speotyto cunicularia
Stizostedion lucioperca
Mysis relicta sp.I
Buteo jamaicensis
Lysiosqullia sulcata
Rhagoph-thalmus ohbai
Eustomias obscurus
Strophidon sathete
Icelinus borealis
Pristiapogon kallopterus
Bubo virginianus
Dasyatis kuhlii
Tenodera sinensis
Jasus edwardsii
Mirounga angustirostri
Apogon kallopterus
Pleuroncodes planipes
Lasioglossum albipes
Coryphaenoides leptolepis
Cymatogaster aggregata
Stegastes fasciolatus
Haplochromis nyererei
Gilbertidia sigalutes
Microcottus sellaris
Chelidonichthys lucernus
Palaemonetes paladosus
Photinus versicolor
Comephorus dybowskii
Chauliodus sloani
Talismania antillarum
Arenaeus cribrarius
Pseudotropheus  acei
Valenciennellus tripunctulatus
Rhinomuraena quaesita
Hippocampus angustus
Chauliodus danae
Haptosquilla trispinosa
Orconectes virilis
Chauliognathus pulchellus
Lycaena dorcas
Deania calcea
Rhinobatos lentiginosus
Gallus gallus
Tabanus bromius
Acyrthosiphon pisum
Plexippus validus
Papilo bianor
Sardinops sagax
Janicella spinacauda
Limenitis archippus
Ptilichthys goodei
Nymphalis xanthomelas
Dromiceius novae-hollandae
Heliothis zea
Abramis brama
Loris tardigradus
Penaeus duororum
Caranx hippos
Bathylagus bericoides
Cynops pyrrhogaster
Pullosquilla litoralis
Serinus canaria
Libelloides macaronius
Megalocottus platycephalus
Coregonus lavaretus
Calappa flammea
Metriaclima benetos
Photostylus sp.
Chirostomias pliopterus
Lutjanus malabaricus
Rhizoprionodon taylori
Pundamilia au
Spheniscus humboldti
Anolis grahami
Nasua nasua
Sternoptyx pseudobscura
Chiasmodon niger
Eristalis arbustorum
Argyropelecus aculeatus
Stylephorus chordatus
Dineutus ciliatus
Chamaeleo dilepis
Limnocottus pallidus
Blepsias cirrhosus
Chaetodon unimaculatus
Gennadas valens
Astacus fluviatus
Sebastes empaeus
Gobiesox maeandricus
Pleuronectes obscurus
Gobius paganellus
Portunus spinimanus
Aptychotrema rostrata
Dasyatis fluviorum
Clinocottus globiceps
Fulgeochlizus bruchii
Chlorocebus aethiops
Gymnocanthus intermedius
Cyrtopodion fedtschenkoi
Toxotes chatareus
Ichneumon stramentarius
Tarsius syrichta
Meningodora miccyla
Felis catus
Hippocampus subelongatus
Scorpaenichthys marmoratus
Schwarziana sp.
Rhadinesthes decimus
Ictalurus melas
Anolis conspersus
Hemigrapsus edwardsii
Balanus eburneus
Bothragonus  swani
Pavo  cristatus
Ailuroedus crassirostris
Notonecta glauca
Sargocentron spiniferum
Chromis punctipinnis
Hemigraspus edwardsi
Larus atricilla
Cynotilapia afra
