Anas platyrhynchos domesiticus
Borostomias elucens
Haematopota sp.
Hemigrapsus sanguineus
Trygonorrhina fasciata
Xenopeltis unicolor
Lonchura malacca
Phycis blennoides
Elephas maximus
Procambarus clarkii
Cyphonocerus rufficolis
Archaeomysis grebnitzkii
Lutjanus kasmira
Jordania zonope
Heliothis virescens
Malacosteus niger
Liparis florae
Phassus excrescens
Poecilia formosa
Cicindela japonica
Coccinella septempunctata
Sargocentron microstoma
Kuhlia sandvicensis
Loligo forbesii
Platichthys flesus
Sufflamen bursa
Centrophorus squamosus
Leiothrix lutea
Manduca sexta
Albula vulpes
Porogradus sp.
Aeschna cyanea
Talitrus saltator
Scirtothrips dorsalis
Nothoprocta cinerascens cinerascens
Melecta punctata
Toxomerus marginatus
Bowmaniella sp.
Carassius carassius
Centropristis striata
Artedius harringtoni
Sergia robustus
Chromis verater
Phronima sedenteria
Lutjanus adetii
Streptopelia roseogrisea
Cydia pomonella
Zalophus californianus
Melanostomias niger
Nerophis ophidion
Hypomesus pretiosus
Peprilus stimillimus
Pervagor aspricaudus
Hyperprosopon argenteum
Libinia dubia
Coryphaenoides profundicolus
Maylandia zebra
Zanclus cornutus
Neominois ridingsii
Zalembius rosaceus
Caretta caretta
Vespula vulgaris
Limanda aspera
Gonodactylellus affinis
Limulus polyphemus
Meningodora vesca
Arichanna gaschkevitchii
Acanthropagrus berda
Bonapartia pedalioita
Spirinchus thaleichthys
Batrachocottus multiradiatus
Lepomis macrochirus
Sphyrna tiburo
Mysis relicta
Etroplus suratensis
Panopeus obesus
Euphausia pacifica
Psychrolutes paradoxus
Scopelogadus beanii
Liparis greeni
Salmo salar
Colletes fulgidus
Neoniphon argenteus
Hemidactylus turcicus
Calypteryx splendens and virgo
Ictalurus catus
Apodichthys flavidus
Melanphaes canthomus
Parnassius glacialis
Phalaenoides glycinae
Calliphora erythrocephala
Nephotettix cincticeps
Taeniura lymma
Vanessa cardui
Tramitichromis intermedius
Exorista japonica
Pomatoschistus microps
Protomelas taeniolatus
Scenopoetes dentirostris
Eumicrotremus orbis
Accipiter nisus
Equus caballus
Paracheirodon innesi
Hexagrammos decagrammus
Ronquilus jordani
Myoxocephalus brandti
Systellaspis cristata
Margrethia obtusirostra
Calliphora vicina
Osmerus eperlanus
Lampanyctus crocodilus
Astatotilapia burtoni
Rhithropanopeus harrisii
Colias erate
Sephanoides sephanoides
Colinus virginianus
Oeneis chryxus
Lampanyctus festivus
Rhinobatus typus
Rouleina maderensis
Ptychozoon lionotum
Paralabrax clathratus
Spermophilus tridecemlineatus
Miopithecus talapoin
Triglopsis quadricornis
Gallus  gallus domesticus
Idiacanthus fasciola
Musca domestica
Oreochromis nilocticus
Poecilia reticulata trinidad
Batrachocottus nicolskii
Pseudotropheus acei
Bombus hypnorum
Furcifer pardalis
Luicola cruciata
Isopsetta isolepis
Trigla cuculus
Upeneus tragula
Antimora rostrata
Atrophaneura alcinous
Cicindela specularis
Carcharhinus amboinensis
Philanthus triangulum
Eristalis tenax
Danaus plexipus
Neogonodactylus oerstedii
Myoxocephalus scorpius
Formica cunicularia
Zoramia  Leptacanthus
Heteromysis formosa
Celastrina argiolus
Lampadena speculigera
Rimicaris exoculata
Acanthephyra purpurea
Anguilla Anguilla
Gymnothorax favagineus
Epicopeia hainesii
Sergia grandis
Cancer irroratus
Hemicordulia tau
Gonostoma atlanticum
Gasterosteus sp.
Myrmecia croslandi
Portunus spinimanis
Crangon allmani
Carlito syrichta
Danio aequipinnatus
Carcharhinus obscurus
Ichthyophis cf. kohtaoensis
Brachydanio rerio
Gonostoma elongatum
Ascelichthys rhodorus
Ruscarius meanyi
Naso unicornis
Necturus maculosus
Clibanarius vittatus
Lemur catta
Andrena florea
Hypsurus caryi
Nematoscelis megalops
Metriaclima emmiltos
Hippocampus barbouri
Stichaeopsis nana
Trachurus symmetricus
Coryphaenoides guntheri
Menemerus confusus
Rhabdamia  Gracilis
Cyrtopodion caspium
Cercopithecus diana
Strix aluco
Embiotoca lateralis
Chelostoma florisomne
Cupiennius salei
Embiotoca jacksoni
Partamona helleri
Schistocerca gregaria
Paravespula germanica
Ovipales stephensoni
Sergestes curvatus
Hotaria parvula
Cebus spp.
Nematobrachion boopis
Cleisthenes herzensteini
Hemigrapsus sanguinensis
Bellocia  koefoedi
Platysaurus broadleyi
Sepioteuthis lessoniana
Dendroctonus pseudotsugae
Sergia maximus
Otolemur crassicaudatus
Uca thayeri
Corixa punctata
Electrona risso
Limnocottus eurystomus
Chelonia mydas
Tabanus nigrovittatus
Melanotaenia maccullochi
Seriphus politus
Lycodes pacificus
Photuris frontalis
Bombus jonellus
Chaceon affinis
Anas platyrhynchus
Photinus macdermotti
Thunnus albacares
Sciurus carolinensis
Chrysoperla carnea
Papilio maackii
Echiostoma barbatum
Anilius scytale
Mauremys reevesii
Artedius fenestralis
Pseudozizeeria maha
Lestrimelitta limao
Lobianchia gemellarii
Eurypanopeus depressus
Chaetodon kleini
Diplodus annularis
Puntigrus tetrazona
Leocottus kesslerii
Histiobranchus bathybius
Molothrus ater
Scopelarchus analis
Anolis lineatopus
Tripedalia cystophora
Abyssocottus korotneffi
Diaphus lucidus
Paromola cuvieri
Paracottus knerii
Taaningichthys bathyphilus
Idiosepius notoides
Dardanus fucosus
Condylostylus japonicus
Brachyistius frenatus
Pollachius pollachius
Anguilla japonica
Lutjanus johnii
Lasioglossum malachurum
Mustela putorius furo
Inachis io
Bythograea thermydron
Stylocheiron maximum
Bibio sp.
Panopeus herbstii
Frankliniella occidentalis
Poecilia latipinna
Papio papio
Carcharhinus leucas
Rana catesbeiana larvae
Gadus macrocephalus
Liparis pulchellus
Hariotta raleighana
Osmia rufa
Pundamilia azurea
Bathylagus longirostris
Pleuronectes herzensteini
Cottus sp.
Bombyx mandarina
Rana cancrivora
Notonecta irrorata
Mysis mixta
Aetobatus narinari
Triglops pingelii
Loligo pealii
Sander lucioperca
Argiope amoena
Melopsittacus undulatus
Geryon quinquedens
Pervagor spilosoma
Nematobrachion sexpinosum
Lampropeltis getula
Lepidopsetta polyxystra
Bombus morio
Coturnix coturnix
Melanochromis auratus
Urocyon littoralis
Rhynchobatus australiae
Helostoma temminkii
Artemia salina
Diaphus dumerilli
Sesarma reticulatum
Stenobrachius leucopsarus
Ichneumon sp.
Daphnia magna
Psychrobites paradoxus
Phidippus regius
Gasterosteus acuelatus
Enophrys bison
Libinia emarginata
Homarus gammarus
Pasiphaea suspirosum
Melanochromis  vermivorus
Parnara guttata
Ischnura elegans
Sphoeroides annulatus
Abudefduf abdominalis
Loxodonta africana
Gonodactylus smithii
Trematomus hansoni
Octopus tetricus
Macaca fascicularis
Salmo irideus
Cloridopsis dubia
Metriaclima livingstonii
Podothecus acipenserinus
Bombus affinis
Acipenser medirostrus
Nymphalis antiopa
Cyphocottus eurystomus
Trachyscorpia cristulata
Triakis semifasciata
Sarda chiliensis
Bufo bufo
Amandina fasciata
Anolis pulchellus
Palaemonetes vulgaris
Rhinoptera bonasus
Homo sapiens
Tetrapturus audax
Coenobita rugosa
Microgadus proximus
Syngnathus typhle
Macroglossum stellatarum
Sphyrna lewini
Chiloscyllium punctatum
Parus caeruleus
Chirolophis japonicus
Potos flavus
Ochlodes venata
Oxaea flavescens
Neomysis mercedis
Bathylagus greyae
Trigona spinipes
Allograpta obliqua
Arctia plantaginis
Cheirogaleus medius
Pundamilia pundamilia
Stylopandalus richardi
Callipepla californica
Gekko gekko
Ernogrammus hexagrammus
Parage aegeria
Vulpes lagopus
Cambarellus ludovicianus
Balanus balanoides
Bombus terrestris dalmatinus
Gryllus campestris
Glossophaga soricina
Canis lupus familiaris
Acanthephyra microphthalma
Pungitius pungitius
Mylochromis lateristriga
Carpodacus mexicanus
Pieris melete
Ambystoma tigrinum hatchling
Oxea flavescens
Lepidion  eques
Bero elegance
Acipenser medirostris
Carabus auratus
Libellula pulchella
Hoplostethus mediteranus
Lampetra fluviatilis
Phodopus sungorus
Pholis omata
Hemilepidotus hemilepidotus
Chelidonichthys lucerna
Phoca groenlandicus
Bothragonus swani
Neochmia modesta
Coronis scolopendra
Saguinus oedipus
Nomada albogutata
Meleagris gallopavo
Tyto alba
Limenitis archippus floridensis
Acantholumpenus mackayi
Tursiops truncates
Lepisosteus platostomus
Sigmops bathyphilus
Diaphus holti
Pseudopleuronectes obscurus
Ceratoscopelus warmingii
Cyprinodon variegatus
Penaeus penicillatus
Barbantus curvifrons
Syrphus balteatus
Formica polyctena
Scylla serrata
Spalacopus cyanus
Asteropteryx semipunctatus
Antimora  rostrata
Hippoglossoides herzensteini
Cicindela chinensis
Procambarus milleri
Lucidina biplagiata
Petrolisthes diogenes
Pundamilia nyererei
Anas platyrhynchos
Limnocottus bergianus
Gasterosteus aculeatus
Euphausia superba
Aedes aegypti
Bombus distinguendis
Myrmecia gulosa
Lumpenus sagitta
Cephonodes hylas
Engraulis japonicus
Pagurus annulipes
Systellaspis braueri
Bassozetus compresis
Myripristis berndti
Stichaeus grigorjevi
Xiphister mucosus
Rhea americana
Nematobrachion sexspinosus
Nemichthys scolopaceus
Lipophyrs pholis
Carcinus maenas
Cimex lectularius
Poecilia reticulata cumana
Marumba sperchius
Sebastes auriculatus
Lucania goodei
Citharichthys sordidus
Rynchophorus ferrugineus
Spicara smaris
Daubentonia madagascariensis 
Pavo cristatus
Dimidiochromis compressiceps
Acanthopagrus butcheri
Acipenser ruthenus
Euroleon nostras
Trachemys scripta
Spermophilus beecheyi
Cambarellus shufeldtii
Oplophorus gracilirostris
Teratoscincus scincus
Pholidapus dybowsky
Cheirogaleus major
Halargyreus johnsonii
Liparis dennyi
Acanthurus triostegus
Phytichthys chirus
Eucyclogobius newberryi
Balanus amphitrite
Pleuronectes platessa
Hermeuptychia hermes
Coturnix  japonica
Acerina cernua
Myoxocephalus jack
Pholis laeta
Ophiodon elongatus
Phalaenoptilus nuttallii
Sepia plangon
Praunus flexuosus
Carcharhinus amblyrhynchos
Photinus pyralis
Sergia phorcus
Tenebrio molitor
Geomys bursarius
Mysis salemaai
Anoplarchus purpurescens
Pyrocoelia sp.
Chlamydera nuchalis
Hemidactylus platyurus
Saguinus fuscicollis
Cataetyx laticeps
Bombus dahlbomii
Mesocricetus brandti
Photonectes braueri
Ichthyophis kohtaoensis
Tarsipes rostratus
Spermophilus tridecemline
Aeschna cyanea and mixta
Thylamys elegans
Panorpa communis
Pleurodeles waltl
Cydia strobilella
Notacanthus bonapartei
Peprilus simillimus
Haplonycteris fischeri
Trematomus loennbergii
Hipposideros speoris
Samia cyntia ricini
Anax junius
Sargocentron tiere
Photostomias guernei
Rhinella [=Bufo] marinus
Makaira nigricans
Anolis stratulus
Periplaneta americana
Photostomias braueri
Petromyzon marinus
Neoceratodus forsteri
Haplochromis ishmaeli
Gryllus bimaculatus adult
Lonchura maja
Sargocentron xantherythrum
Carcharhinus limbatus
Thamnophis sirtalis sirtalis
Hymenodora frontalis
Astyanax fasciatus
Benthalbella  infans
Cottus gobio
Comephorus baicalensis
Fundulus heteroclitus
Chlorophthalmus sp.
Sardinops melanostictus
Callinectes ornatus
Pergavor spilosoma
Cephalopachus bancanus
Didelphis virginiana
Blatta orientalis
Gonodactylopsis spongicola
Stomias atriventer
Simulium sp.
Enophrys diceraus
Heliconius numata
Procottus jettelesii
Lysiosquillina maculate
Engaeus cunicularius
Sigmops elongatus
Dama dama
Haplochromis burtoni
Troides aeacus formosanum
Papilio achaon
Cambarellus schufeldtii
Astacus leptodactylus
Didelphis aurita
Ovis aries
Lonchura malabarica
Atherinops affinis
Ballerus ballerus
Pleurogrammus  azonus
Uca pugilator
Rhacochilus vacca
Saguinus midas
Carcharhinus melanopterus
Parapasiphaea sulcatifrons
Pieris brassicae
Hemitripterus americanus
Tinca tinca
Polistes dominulus
Sphyraena barracuda
Sympetrum rubicundulum
Otolemus cassicaudatus
Bombus hortorum
Cottunculus thomsonii
Homarus americanus
Zebrasoma velifer
Hepatus epheliticus
Nothoprocta cinerascens
Dugesia japonica
Sericulus crysocephalus
Mysis  sp.
Chaetodon kleinii
Engraulis encrasicolus
Bassozetus compressus
Oncorhynchus kisutch
Halosauropsis macrochir
Megalops atlanticus
Nephrops norvegicus
Poromitra megalops
Bibio marci
Otus asio
Melanochromus vermivorous
Xenodermichthys  copei
Puffinus puffinus
Cirrhilabrus solorensis
Searsia koefoedi
Gymnothorax reticularis
Daubentonia madagascariensis
Cyprinus carpio
Vinciguerria nimbaria
Cerceris rybynensis
Pagurus longicarpus
Bombus terrestris
Apis mellifera
Cyrtopodion kotschyi
Crotaphytus dickersonae
Platycercus elegans
Alouatta sp.
Bathysaurus ferox
Alima pacifica
Melopsittacus undalatus
Rhinocheilus lecontei
Trematomus bernacchii
Borostomias panamensis
Masticophis flagellum
Forcipiger flavissimus
Haplochromis piceatus
Salmo trutta trutta
Sergestes tenuiremis
Rangifer tarandus
Damalichthys vacca
Rana temporaria
Chromis hanui
Leontopithecus rosalia rosalia
Syrphus sp.
Bodianus bilunnulatus
Nautichthys oculofasciatus
Pullosquilla thomassini
Scaphirhynchus platorynchus
Aristostomias tittmani
Pipilo fuscus
Pseudosquilla ciliata
Trygonoptera testacea
Anguilla anguilla
Neoniphon aurolineatus
Hoplostethus atlanticus
Pseudotropheus tropheops
Limenitis archippus archippus
Poecilia reticulata
Glaucomys sabrinus
Sergestes arcticus
Stigmatopora argus
Howella sherborni
Neogonodactylus oertstedii
Mullus barbatus
Acipenser baerii
Pyrophorus divergens
Cambarus ludovicianus
Plesionika martia
Rana catesbeiana
Pasiphaea multidentata
Metriaclima zebra
Loligo subulata
Rutilis rutilis
Limenitis archippus astyanax
Amphilophus longimanus
Passer domesticus
Cercopithecus petaurista
Glaucostegus typus
Lipophrys pholis
Scardinius erythrophthalmus
Limnocottus griseus
Drosophila melanogaster
Epigonus  telescopus
Propithecus verreauxi coquereli
Bicellonycha wickershamorum
Mantispa styriaca
Leptidae amurensis
Lucilia (Phaenicia) serricata
Acanthurus nigroris
Bentheogennema pasithea
Argyropelecus gigas
Melipona quadrifasciata
Bos taurus
Cavia porcellus
Taeniopygia guttata
Anolis bahorucoensis
Eurypharynx pelecanoides
Proxylocopa sp.
Liparis  greeni
Camponotus blandus
Hexagrammos stelleri
Gonostoma denudatum
Photinus scintillans
Vespo crabro
Uca pugnax
Monodelphis domestica
Todarodes pacificus
Batrachocottus nikolskii
Pygopleurus israelitus
Buteo buteo
Helicoverpa armigera
Echinomacrurus mollis
Raja binoculata
Tribolodon hakonensis
Parvus  caeruleus
Squalus suckleyi
Notoscopelus resplendens
Parupeneus multifasciatus
Lethrus apterus
Bathophilus brevis
Rattus rattus
Lutjanus quinquelineatus
Luciola lateralis
Gonostoma bathyphilum
Megalocottus  platycephalus
Cebus sp.
Phytichthys  chirus
Rhinatrema bivittatum
Agonopsis vulsa
Papilio aegeus
Oreocromis niloticus
Anolis extremus
Neonesthes capensis
Danio rerio
Turdus merula
Belone belone
Orconectes rusticus
Lutjanus bohar
Photinus collustrans
Poromitra capito
Blatella germanica
Myrmecia vindex
Gecarcinus lateralis
Eulemur fulvus fulvus
Eutrigla gurnardus
Apodemia spp.
Mirza coquereli
Galago senegalensis
Micrometrus minimus
Blicca bjoerkna
Pagurus pollicaris
Puffinus pacificus
Jordanella floridae
Carcharhinus acronotus
Archaeoprepona demophon
Acipenser fulvescens
Protaetia brevitarsis
Tupaia glis
Trichoplusia ni
Nectamia  Savayensis
Callistoctopus dierythraeus
Anolis carolinensis
Cottocomephorus grewingki
Pundamila sp.
Leptograpsus variegatus
Hemisquilla ensigera
Potamotrygon motoro
Zonotrichia leucophrys
Anguilla bicolor
Dolichovespula norwegica
Lampanyctus regalis
Bombus lapidarius
Artedius fenestrates
Rhea  americana
Asprocottus intermediius
Benthosema suborbitale
Batrachocottus baicalensis
Hemigraspus sanguineus
Odocoileus virginianus
Oplophorus spinosus
Octopus australis
Ammodytes hexapterus
Eigenmannia virescens
Hermetia illucans
Pundamilia red head
Eulemur fulvus
Holmesimysis costata
Micropoecilia parae
Zebrasoma veliferum
Petrolisthes elongates
Dicrolene intronigra
Spinachia spinachia
Trichodon trichodon
Sergia splendens
Ostrinia nubilalis
Glossina moritans moritans
Pomatoschistus minutus
Cyttopsis roseus
Globicephala melas
Bathylagus euryops
Limanda limanda
Otolemur garnettii
Polygonia c-aureum
Carassius auratus
Archaeopropona demophon
Ctenomys magellanicus
Micropterus salmoides
Meganyctiphanes norvegica
Opisthoproctus grimaldii
Pleurogrammus azonus
Copadichromis borleyi
Portunus trituberculatus
Myotis velifer
Anolis evermanni
Nannobrachium atrum
Estrilda troglodytes
Haplochromis pyrrhocephalus
Neomysis americana
Ichthyocossus ovatus
Pteropus samoensis
Isodon obesulus
Sagiunus midas
Tramitichromis  intermedius
Asterocampa celtis
Ctenochaetus strigosus
Micrometrus aurora
Acartia tonsa
Perca fluviatilis
Lepidorhombus boscii
Rouleina aderensis
Heliconius sara
Bombyx mori
Oncorhynchus tshawytscha
Dolichonyx orzivorous
Lutjanus fulviflamma
Gonostoma bathyphilium
Phalacrocorax carbo
Photinus marginellus
Gobiesox maecmdricus
Amia calva
Chlamydera maculata
Tyrannochromis macrostoma
Saimiri sciureus
Xenos peckii
Alburnus alburnus
Mysis diluviana
Odontodactylus havanensis
Gnathophausia ingens
Tenthredo scrophulariae
Bolinichthys indicus
Galago crassicauda
Sphodromantis sp.
Anableps anableps
Anolis krugi
Argiope bruennichi
Pergavor aspricaudus
Canthidermis maculatus
Notonecta insulata
Gymnura australis
Hapalochlaena maculosa
Galleria mellonella
Synodus variegatus
Lutjanus argentimaculatus
Derichthys serpentinus
Microstoma microstoma
Synaphobranchus kaupi
Speotyto cunicularia
Stizostedion lucioperca
Mysis relicta sp.I
Buteo jamaicensis
Heliconius erato
Lysiosqullia sulcata
Rhagoph-thalmus ohbai
Eustomias obscurus
Strophidon sathete
Icelinus borealis
Pristiapogon kallopterus
Bubo virginianus
Dasyatis kuhlii
Tenodera sinensis
Jasus edwardsii
Mirounga angustirostri
Apogon kallopterus
Pleuroncodes planipes
Lasioderma serricorne
Poecilia mexicana
Lasioglossum albipes
Coryphaenoides leptolepis
Cymatogaster aggregata
Stegastes fasciolatus
Haplochromis nyererei
Melanochromis vermivorus
Gilbertidia sigalutes
Microcottus sellaris
Graphium sarpedon
Chelidonichthys lucernus
Palaemonetes paladosus
Photinus versicolor
Comephorus dybowskii
Chauliodus sloani
Talismania antillarum
Arenaeus cribrarius
Pseudotropheus  acei
Euphydryas chalcedona
Valenciennellus tripunctulatus
Rhinomuraena quaesita
Hippocampus angustus
Lutjanus erythropterus
Chauliodus danae
Bombus  impatiens
Haptosquilla trispinosa
Orconectes virilis
Chauliognathus pulchellus
Lycaena dorcas
Deania calcea
Rhinobatos lentiginosus
Gallus gallus
Tabanus bromius
Acyrthosiphon pisum
Plexippus validus
Papilo bianor
Sardinops sagax
Janicella spinacauda
Limenitis archippus
Ptilichthys goodei
Nymphalis xanthomelas
