Protomelas taeniolatus
Halargyreus johnsonii
Pseudopleuronectes obscurus
Metynnis argenteus
Dicrolene intronigra
Howella sherborni
Eustomias obscurus
Acipenser transmontanus
Nothoprocta perdicaria
Bombus hortorum
Anolis grahami
Passeriformes Carpodacus mexicanus
Gymnothorax reticularis
Spodoptera exempta
Oxea flavescens
Pseudosquilla ciliata
Deania calcea
Limnocottus bergianus
Galliformes Coturnix japonica
Passeriformes Parvus caeruleus
Cyttopsis roseus
Xiphister atropurpureus
Asprocottus herzensteini
Hippocampus angustus
Scomberomorus sierra
Jordania zonope
Zanclus cornutus
Leocottus kesslerii
Talismania antillarum
Tarentola chazaliae
Bolinichthys indicus
Cebus spp.
Artedius fenestralis
Seriphus politus
Passeriformes Neochmia modesta
Deilephila elpenor
Tramitichromis  intermedius
Trygonorrhina fasciata
Tenthredo campestris
Pergavor spilosoma
Carabus auratus
Leiothrix lutea
Hymenodora glacialis
Mysis  sp.
Opisthocentrus ocellatus
Micrometrus aurora
Acanthurus triostegus
Bentheogennema pasithea
Leptotyphlops sp.
Gobiesox maeandricus
Lutjanus bohar
Carcharhinus limbatus
Hemitripterus americanus
Pervagor spilosoma
Lepidion  eques
Sagiunus midas
Strigiformes Strix aluco
Canthidermis maculata
Cottinella boulengeri
Coryphaenoides armatus
Pholidapus dybowsky
Squilla empusa
Atherinops affinis
Lampanyctus festivus
Nephrops norvegicus
Triglopsis quadricornis
Boa constrictor
Erythrocebus patas
Rimicaris exoculata
Struthioniformes Rhea americana
Cambarellus schufeldtii
Ovipales stephensoni
Lepidorhombus boscii
Bodianus bilunnulatus
Etroplus suratensis
Neogonodactylus oertstedii
Puffinus puffinus
Panulirus argus
Neomysis integer
Carcharhinus obscurus
Gryllus bimaculatus adult
Lobianchia gemellarii
Columbiformes Zenaida macroura
Bassozetus compressus
Centrophorus squamosus
Ischnura heterosticta
Sebastes caurinus
Bathylagus euryops
Panopeus herbtii
Rhinoptera bonasus
Hexagrammos decagrammus
Tinca tinca
Saimiri sciureus
Microstomus pacificus
Cottunculus thomsonii
Paracottus knerii
Hyperoplus lanceolatus
Procyon lotor
Carcinus maenas
Callinectes sapidus
Plagiotremus rhinorhynchos
Passeriformes Molothrus ater
Haplonycteris fischeri
Antimora rostrata
Pavo cristatus
Coenobita clypeatus
Inachis io
Hexagrammos octogrammus
Stylocheiron maximum
Rana catesbeiana larvae
Calappa flammea
Anolis evermanni
Leuroglosus stilbius
Dascyllus albisella
Strigiformes Tyto alba
Cambarellus ludovicianus
Gonostoma bathyphilum
Micrometrus minimus
Theragra chalcogramma
Hoplostethus atlanticus
Homarus gammarus
Thamnophis sirtalis sirtalis
Acanthephyra microphthalma
Haplochromis azurea
Chirostomias pliopterus
Platyberyx opalescens
Sufflamen bursa
Photinus collustrans
Hydrolagus colliei
Papilio protenor
Hippocampus barbouri
Chauliodus danae
Bombus morio
Petrolisthes diogenes
Raja binoculata
Myoxocephalus scorpius
Zoramia  Leptacanthus
Anthidium manicatum
Isodon obesulus
Gekko gekko
Oreochromis nilocticus
Artedius fenestrates
Gymnocanthus pistilliger
Ochlodes venata
Systellaspis braueri
Canthidermis maculatus
Aphanopus  carbo
Diaphus rafinesqueii
Stomias boa
Stizostedion lucioperca
Trachurus mediterraneus
Callistoctopus dierythraeus
Alouatta sp.
Spermophilus tridecemlineatus
Spinachia spinachia
Anadevidia peponis
Heteromysis formosa
Oplophorus spinosus
Cleisthenes herzensteini
Apogon kallopterus
Pundamilia red head
Cymatogaster aggregata
Clupea pallasii
Lampetra fluviatilis
Clinocottus globiceps
Argyropelecus hemigymnus
Citellus lateralis
Eurypharynx pelecanoides
Chlamydera nuchalis
Pleuroncodes planipes
Meningodora vesca
Rynchophorus ferrugineus
Ostorhinchus Cookii
Ligia exotica
Ctenomys magellanicus
Pagurus longicarpus
Pleuronectes asper
Kali macrodon
Tursiops truncates
Lutjanus quinquelineatus
Epicopeia hainesii
Parnara guttata
Rhamphocottus richardsonii
Bathophilus brevis
Xenodermichthys  copei
Procottus jettelesi
Sygnathus leptorhynchus
Echiostoma barbatum
Xiphydria camelus
Artemia salina
Aptychotrema rostrata
Limnocottus pallidus
Phronima sedenteria
Nemichthys scolopaceus
Alima pacifica
Pachystomias microdon
Saguinus oedipus
Bero elegance
Spicara smaris
Spermophilus tridecemline
Dolichonyx orzivorous
Istiophorus  platypterus
Ciconiiformes Buteo jamaicensis
Agraulis vanillae
Ctenophorus ornatus
Megalocottus platycephalus
Anolis stratulus
Strigiformes Otus asio
Polygonia c-album
Strigiformes Speotyto cunicularia
Abramis brama
Argentina silus
Anolis cristatellus
Myoxocephalus quadricornis
Perca  flavescens
Bathysaurus ferox
Hemisquilla ensigera
Abyssocottus korotneffi
Diaphus holti
Sternoptyx diaphana
Rhynchobatus australiae
Mulloidichthys flavolineatus
Mysis relicta
Spermophilus beecheyi
Miopithecus talapoin
Lycaena dorcas
Nannobrachium atrum
Aeshna tuberculifera
Acanthephyra curtirostris
Neomysis americana
Opisthoproctus grimaldii
Passeriformes Zonotrichia leucophrys
Leontopithecus rosalia rosalia
Sergia grandis
Xiphister  atropurpureus
Neogonodactylus curacaoensis
Pundamila sp.
Myoxocephalus potyacanthocephalus
Osmerus dentex
Passeriformes Lonchura maga
Rana catesbeiana
Lipophrys pholis
Gennadas sp.
Danio malabaricus
Bythograea thermydron
Lycaena phlaeas
Thysanoessa raschii
Clombiformes Columba livia
Coryphaenoides guntheri
Drosophilia melanogaster
Hariotta raleighana
Bombus distinguendis
Thysanopoda orientalis
Lissotriton vulgaris
Gaidropsarus mediterraneus
Camponotus abdominalis
Rutilis rutilis
Tetrapturus audax
Jasus edwardsii
Phytichthys chirus
Bombus lapidarius
Rhinobatos lentiginosus
Sergestes arcticus
Stylopandalus richardi
Chromis punctipinnis
Trematomus loennbergii
Pteropus samoensis
Photinus scintillans
Bellocia  koefoedi
Sardinops sagax
Chimaera monstrosa
Anax junius
Lestrimelitta limao
Searsia koefoedi
Cyrtopodion fedtschenkoi
Salmo trutta trutta
Ambystoma tigrinum adult
Rouleina aderensis
Papilio aegeus
Rhea americana
Scaphirhynchus albus
Tarsius bancanus
Hoplostethus mediteranus
Callambulyx tatarinovii
Astatotilapia burtoni
Ruscarius meanyi
Euprymna tasmanica
Phycis blennoides
Acartia tonsa
Notoscopelus resplendens
Callonychium petuniae
Nematobrachion sexpinosum
Octopus tetricus
Lasioglossum malachurum
Orectolobus ornatus
Nansenia longicauda
Hoplostethus mediterraneus mediterraneus
Aetobatus narinari
Procottus jettelesii
Sphoeroides annulatus
Myoxocephalus jack
Parus caeruleus
Arichanna gaschkevitchii
Zalembius rosaceus
Neope goschkevitschii
Comephorus baicalensis
Lumpenus sagitta
Dasycottus setiger
Alepocephalus bairdii
Calliphora erythrocephala
Damalichthys vacca
Didelphis virginiana
Chlorocebus aethiops
Mora moro
Myoxocephalus stelleri
Rangifer tarandus
Atrophaneura alcinous
Octopus australis
Scomber japonicus
Anoplogaster cornuta
Glaucomys sabrinus
Metriaclima zebra
Stichaeus grigorjevi
Sergestes similis
Psettichthys melanostictus
Speyeria leto
Zoramia  Viridiventer
Blepsias cirrhosus
Anolis conspersus
Trachurus symmetricus
Coryphaenoides leptolepis
Kuhlia sandvicensis
Bubo virginianus
Hepatus epheliticus
Hermeuptychia hermes
Naso unicornis
Nautichthys oculofasciatus
Evermannella balbo
Peprilus stimillimus
Menippe mercenaria
Propithecus verreauxi coquereli
Lampanyctus crocodilus
Bombus hypnorum
Scorpaena porcus
Pilumnus sayi
Anableps anableps
Siproeta stelenes
Mysis salemaai
Rhizoprionodon taylori
Neoniphon aurolineatus
Alepocephalus australis
Pieris rapae crucivora
Lycaena rubidus
Coryphopterus nicholsii
Toxotes chatareus
Poecilia reticulata trinidad
Phodopus sungorus
Sebastolobus alascanus
Lampadena speculigera
Hemidactylus turcicus
Lepomis macrochirus
Haplochromis pyrrhocephalus
Daubentonia madagascariensis 
Passeriformes Corvus frugilegus
Lasioglossum albipes
Urobatis jamaicensis
Meganyctiphanes norvegica
Junonia coenia
Mustelus henlei
Loligo pealii
Arothron meleagris
Mysis diluviana
Hexagrammos stelleri
Scenopoetes dentirostris
Cataetyx laticeps
Sesarma cinereum
Alosa kessleri
Anilius scytale
Carabus nemoralis
Pagurus annulipes
Anolis pulchellus
Buteo buteo
Scaphirhynchus platorynchus
Dromiceius novae-hollandae
Valenciennellus tripunctulatus
Polistes dominulus
Syngnathus leptorhynchus
Janicella spinacauda
Isopsetta isolepis
Pandalus montagui
Parophrys vetulus
Argiope amoena
Gymnothorax favagineus
Hippocampus subelongatus
Partamona helleri
Sergia splendens
Geoclemys reevesii
Clevelandia ios
Bentheogennema intermedia
Metriaclima melabranchion
Taeniura lymma
Chiasmodon niger
Phoca groenlandicus
Parupeneus multifasceatus
Psittaciformes Melopsittacus undalutus
Pergavor aspricaudus
Sigmops elongatus
Cottocomephorus inermis
Myoxocephalus brandti
Synaphobranchus kaupii
Batrachocottus baicalensis
Ctenomys talarum
Gonodactylopsis spongicola
Pleuronectes obscurus
Conocara salmonea
Mirza coquereli
Bathylagus greyae
Papilo bianor
Idiacanthus fasciola
Diaphus rafinesquei
Leptograspus variegatus
Alburnus alburnus
Microcottus sellaris
Photuris lucicrescens
Lutjanus johnii
Plesionika martia
Philanthus triangulum
Clibanarius vittatus
Phassus excrescens
Hemigrapsus sanguinensis
Albula vulpes
Arenaeus cribrarius
Notonecta irrorata
Vespula germanica
Crangon allmani
Lutjanus kasmira
Procambarus milleri
Stomias atriventer
Hemitripterus villosus
Plexippus validus
Passeriformes Pipilo fuscus
Apodemia spp.
Locusta migratoria
Ichneumon spp.
Forcipiger flavissimus
Talitrus saltator
Acanthopagrus butcheri
Gonodactylus smithii
Pundamilia luanso
Larus atricilla
Aristostomias tittmani
Synaphobranchus kaupi
Gonodactylellus affinis
Pholis laeta
Trachyscorpia cristulata
Makaira nigricans
Haptosquilla trispinosa
Neomysis mercedis
Samia cynthia ricini
Anchoa mitchilli
Acanthephyra stylorostratis
Acanthephyra smithi
Lutjanus adetii
Cyrtopodion kotschyi
Zoarces viviparus
Hemidactylus garnotii
Cataglyphis bombycinus
Anguilla Anguilla
Porogradus sp.
Melanochromus vermivorous
Andrena florea
Apodichthys flavidus
Mysis relicta sp.I
Belone belone
Loris tardigradus
Bodianus bilunulatus
Nectamia  Savayensis
Sympetrum rubicundulum
Galago crassicauda
Hexagrammos octagrammus
Chromis hanui
Lysiosquillina maculate
Chirolophis japonicus
Otolemus cassicaudatus
Lonchura maja
Urocyon littoralis
Ostracion meleagris
Perca fluviatilis
Amphilophus longimanus
Gasterosteus sp.
Gonepteryx aspasia
15 xantherythrum
Trichodon trichodon
Bombus  impatiens
Trigona spinipes
Limnocottus eurystomus
Canis lupus familiaris
Cottus kessleri
Asteropteryx semipunctatus
Eristalis tenax
Benthosema suborbitale
Lipophyrs pholis
Agonopsis vulsa
Astacus leptodactylus
Euphausia pacifica
Odontodactylus brevirostris
Malacocephalus laevis
Lycaena nivalis
Cottocomephorus grewingkii
Cambarellus shufeldtii
Mysis relicta sp.II
Libinia dubia
Ichthyophis kohtaoensis
Lyopsetta exilis
Leptograpsus variegatus
Echinomacrurus mollis
Merluccius merluccius
Photostylus sp.
Papio papio
Xenos peckii
Mullus barbatus
Anoplarchus purpurescens
Ciconiiformes Larus atricilla
Chloebia gouldiae
Poecilia reticulata cumana
Ascelichthys rhodorus
Leptocottus armatus
Formica polyctena
Mesocricetus brandti
Liparis greeni
Metriaclima barlowi
Engraulis mordax
Jordanella floridae
Chromis verater
Melanonus zugmayeri
Podothecus acipenserinus
Cynops orientalis
Accipiter nisus
Puffinus pacificus
Barbantus curvifrons
Phidippus regius
Anolis gundlachi
Chaetodon kleini
Hapalochlaena maculosa
Sebastes auriculatus
Rouleina attrita
Crotaphytus dickersonae
Lutjanus carponotatus
Rhinobatus typus
Bero elegans
Dolichovespula norwegica
Carcharhinus acronotus
Acantholumpenus mackayi
Sephanoides sephanoides
Galliformes Pavo cristatus
Papilio maackii
Gnathophausia ingens
Cataglyphis bicolor
Typhlonectes natans
Gonostoma bathyphilium
Passeriformes Lonchura malacca
Libinia emarginata
Chromis ovalis
Rana cancrivora
Dromiceius novae-hollandiae
Merluccius productus
Eutrigla gurnardus
Photostomias guernei
Pleurogrammus azonus
Sarda chiliensis
Galliformes Callipepla californica
Buteo jamaicensis
Caprimulgus europaeus
Sebastes maliger
Aulostomus chinensis
Ameiurus catus
Pseudotropheus tropheops
Pseudotropheus acei
Anseriformes Anas playrhnchos domesticus
Dasyatis fluviorum
Lepisosteus platostomus
Notacanthus bonapartei
Zebrasoma velifer
Platytroctes apus
Ichthyocossus ovatus
Chamaeleo dilepis
Artedius harringtoni
Chauliodus sloanei
Gymnocanthus intermedius
Idiosepius notoides
Abudefduf abdominalis
Hemigrapsus edwardsii
Chlamydera maculata
Turdus merula
Portunus spinimanis
Aeschna cyanea
Aequidens pulcher
Passeriformes Estrilda troglodytes
Anolis lineatopus
Argyropelecus gigas
Pieris melete
Trematomus hansoni
Mysis mixta
Pullosquilla thomassini
Balanus amphitrite
Psittaciformes Melopsittacus undalatus
Pollachius pollachius
Hemicordulia tau
Stegastes fasciolatus
Benthalbella  infans
Cercopithecus petaurista
Romalea microptera
Cyrtopodion caspium
Passeriformes Sturnus vulgaris
Microstoma microstoma
Sphyraena barracuda
Psychrolutes paradoxus
Thysanopoda acutifrons
Cancer irroratus
Haplochromis piceatus
Carcharhinus leucas
Ptilichthys goodei
Strigiformes Bubo virginianus
Nematoscelis megalops
Balanus eburneus
Liparis florae
Sargocentron microstoma
Enophrys diceraus
Rhadinesthes decimus
Ptilorhynchus violaceus
Vespo crabro
Furcifer pardalis
Limnocottus griseus
Dermogenys pusilla
Anas platyrhynchus
Lepidopsetta bilineata
Spalacopus cyanus
Sigmops bathyphilus
Gryllus campestris
Caranx hippos
Marosatherina ladigesi
Cambarus ludovicianus
Spermophilus lateralis
Cercopithecus diana
Acanthropagrus berda
Cloridopsis dubia
Sphyrna lewini
Coenobita rugosa
Electrona risso
Melanostomias niger
Aglais urticae
Meningodora miccyla
Ambystoma tigrinum hatchling
Holmesimysis costata
Necturus maculosus
Scopelogadus beanii
Nematobrachion boopis
Borostomias elucens
Menemerus confusus
Zaniolepis frenata
Naso lituratus
Pholis omata
Funchalia villosa
Psittaciforme Melopsittacus undulatus
Anolis bahorucoensis
Ostorhinchus Cyanosoma
Passeriformes Leiothrix lutea
Centroswcymnus coleolepis
Coturnix coturnix
Archaeopropona demophon
Passeriformes Serinus canaria
Libelloides macaronius
Chaceon affinis
Artedius meanyi
Photinus versicolor
Bombus monticola
Bathylagus longirostris
Peprilus simillimus
Celastrina argiolus
Triglops pingelii
Pandalus borealis
Coregonus clupeoides
Himantura fai
Chlorophthalmus sp.
Cirrhilabrus solorensis
Ambystoma tigrinum aquatic
Sergia maximus
Lutjanus fulviflamma
Neoniphon argenteus
Hipposideros speoris
Hemigraspus edwardsi
Ictalurus melas
Eumicrotremus orbis
Comephorus dybowskii
Sergestes corniculum
Gobiusculus flavescens
Xylocopa brasilianorum
Pteropus dasymallus
Palaemonetes paladosus
Chaetodon unimaculatus
Hyperprosopon argenteum
Hypomesus pretiosus
Malacosteus niger
Gecarcinus lateralis
Passeriformes Passer domesticus
Lycaena heteronea
Tupaia glis
Lepidion eques
Porichthys notatus
Asprocottus intermediius
Haplochromis nyererei
Sargocentron xantherythrum
Plesiopenaeus armatus
Scardinius erythrophthalmus
Upeneus tragula
Chaetodon kleinii
Acerina cernua
Amadina fasciata
Schwarziana sp
Parupeneus multifasciatus
Tenthredo scrophulariae
Bothragonus swani
Hemidactylus platyurus
Holtbyrnia spinithara
Chelidonichthys lucerna
Hippoglossoides elassodon
Pleurogrammus  azonus
Antimora  rostrata
Photinus macdermotti
Gonostoma atlanticum
Typhlops platycephalus
Tarsius syrichta
Pasiphaea emarginata
Margrethia obtusirostra
Uca pugnax
Batrachocottus multiradiatus
Embiotoca lateralis
Pseudopleuronectes herzensteini
Synodus variegatus
Stichaeopsis nana
Bathysaurus mollis
Blicca bjoerkna
Heliconius erato petiverana
Acanthurus nigroris
Pomacentrus melanochir
Callinectes ornatus
Pseudozizeeria maha
Acipenser medirostrus
Teratoscincus scincus
Geryon quinquedens
Enophrys bison
Anas platyrhynchos domesiticus
Gennadas valens
Carcharhinus amboinensis
Ctenophorus decresii
Chelostoma florisomne
Dardanus fucosus
Rhinella [=Bufo] marinus
Axoclinius carminalis
Citharichthys sordidus
Stylephorus chordatus
Pasiphaea chacei
Balanus balanoides
Spirinchus thaleichthys
Dasyatis kuhlii
Odontodactylus havanensis
Python regius
Pasiphaea multidentata
Liparis pulchellus
Lutjanus argentimaculatus
Zebrasoma veliferum
Acanthropagrus major
Aulorhynchus flavidus
Urocerus gigas
Notonecta glauca
Ahliesaurus berryi
Pithecia pithecia
Chelidonichthys lucernus
Mirounga angustirostri
Bonapartia pedalioita
Hymenodora frontalis
Notostomus gibbosus
Acipenser fulvescens
Psychrobites paradoxus
Ichthyococcus ovatus
Microgadus proximus
Hemimysis anomala
Astyanax fasciatus
Melipona marginata
Engaeus cunicularius
Passeriformes Amandina fasciata
Columbiformes Streptopelia roseogrisea
Tinamiformes Nothoprocta perdicaria sanborni
Conocara macroptera
Oreocromis niloticus
Rana cracrivora
Odontodactylus scyllarus
Galliformes Meleagris galoparvo
Notonecta insulata
Praunus flexuosus
Lutjanus russellii
Stigmatopora argus
Notostomus elegans
Lutjanus malabaricus
Gobius paganellus
Dendrochirus zebra
Cottus sp.
Batrachocottus nicolskii
Anthophora acervorum
Saguinus midas
Anolis krugi
Xiphister mucosus
Bombus jonellus
Ammodytes hexapterus
Paralabrax clathratus
Derichthys serpentinus
Passeriformes Plocepasser mahali
Rhinomuraena quaesita
Metriaclima emmiltos
Aotus trivirgatus
Panopeus obesus
Photostomias braueri
Ameiurus melas
Parage aegeria
Poromitra megalops
Ictalurus catus
Anseriformes Anas platyrhynchos
Melipona quadrifasciata
Myrmecia vindex
Oplophorus sp.
Penaeus duororum
Hemigraspus sanguineus
Asterocampa leilia
Panopeus herbstii
Opsanus tau
Tinamiformes Nothoprocta cinerascens cinerascens
Poromitra capito
Polyipnus polli
Danio aequipinnatus
Pasiphaea suspirosum
Cyttopsis rosea
Myoxocephalus jaok
Neochmia modesta
Ernogrammus hexagrammus
Metriaclima livingstonii
Limanda aspera
Gonodactylus oerstedii
Bombus fervidus
Pristiapogon kallopterus
Eigenmannia virescens
Sergestes tenuiremis
Callithrix jacchus jacchus
Mustela putorius furo
Oligocottus maculosus
Trigla cuculus
Corvus frugilegus
Penaeus penicillatus
Pseudotropheus  acei
Triakis semifasciata
Lutjanus sebae
Papilio achaon
Myrmecia croslandi
Cebus sp.
Orconectes rusticus
Struthioniformes Struthio camelus
Pundamilia au
Acanthephyra purpurea
Acanthurus achilles
Ballerus ballerus
Diaphus dumerilli
Sargocentron tiere
Colletes fulgidus
Astacus fluviatus
Xenodermichthys copei
Eucyclogobius newberryi
Anguilla bicolor
Limenitis lorquini
Libellula pulchella
Melanochromis  vermivorus
Stichaeus grigorjewi
Portunus spinimanus
Megalocottus  platycephalus
Icelinus borealis
Helostoma temminkii
Photonectes braueri
Haplochromis ishmaeli
Sternoptyx pseudobscura
Praunus inermis
Lampanychtus ater
Sergestes curvatus
Taaningichthys bathyphilus
Symphodus melops
Parapasiphaea sulcatifrons
Chauliodus sloani
Minois dryas
Rhacochilus vacca
Pleuronectes herzensteini
Lampanyctus alatus
Rouleina maderensis
Lepilemur ruficaudatus
Ostorhinchus Doederleini
Abramis ballerus
Gymnura australis
Argynnis ruslana
Argyropelecus aculeatus
Passeriformes Taeniopygia guttata
Typhlops hypomethes
Squalus suckleyi
Cerceris rybyensis
Myrmecia gulosa
Sebastes empaeus
Rhithropanopeus harrisii
Micropoecilia parae
Rhabdamia  Gracilis
Mysis relicta sp.IV
Orectolobus maculatus
Sepioteuthis lessoniana
Geomys bursarius
Passeriformes Lonchura malabarica
Bassozetus compresis
Ophiodon elongatus
Orconectes virilis
Halosauropsis macrochir
Actias artemis aliena
Anolis extremus
Borostomias panamensis
Strix aluco
Neonesthes capensis
Pullosquilla litoralis
Eulemur fulvus fulvus
Liparis  greeni
Melanotaenia maccullochi
Pervagor aspricaudus
Notonecta undulata
Nasua nasua
Elops  saurus
Petrolisthes elongates
Vinciguerria nimbaria
Sesarma reticulatum
Sericulus crysocephalus
Nothoprocta cinerascens
Taurulus bubalis
Coronis scolopendra
