Ctenochaetus strigosus
Aeschna cyanea
Chromis vanderbilti
Masticophis flagellum
Malacocephalus laevis
Asterocampa leilia
Ichneumon spp.
Sergia phorcus
Rhadinesthes decimus
Python regius
Lampropeltis getula
Pullosquilla thomassini
Procottus jettelesi
Chaetodon kleini
Conocara macroptera
Callambulyx tatarinovii
Copadichromis borleyi
Photuris frontalis
Anas platyrhynchos
Astacus leptodactylus
Anolis cristatellus
Notonecta insulata
Pergavor spilosoma
Papilio maackii
Clevelandia ios
Papilio xuthus
Pholis laeta
Pholis omata
Mysis relicta sp.IV
Nemichthys scolopaceus
Orectolobus maculatus
Notonecta undulata
Periplaneta americana
Lonchura malabarica
Benthalbella infans
Macaca mulatta
Eurypharynx pelecanoides
Neogonodactylus curacaoensis
Carabus auratus
Anthidium manicatum
Petrolisthes elongates
Psettichthys melanostictus
Tramitichromis  intermedius
Homarus gammarus
Belone belone
Photinus pyralis
Artedius fenestralis
Gymnocanthus intermedius
Holtbyrnia spinithara
Limnocottus pallidus
Lonchura maja
Chiasmodon niger
Nematobrachion boopis
Carassius carassius
Lepidopsetta polyxystra
Potamotrygon motoro
Micrometrus aurora
Bombus jonellus
Lepidion eques
Miopithecus talapoin
Caretta caretta
Bodianus bilunnulatus
Tramitichromis intermedius
Rhinocheilus lecontei
Salvelinus alpinus
Notonecta irrorata
Hippoglossoides herzensteini
Sander lucioperca
Sarda chiliensis
Metriaclima barlowi
Colletes fulgidus
Praunus flexuosus
Todarodes pacificus
Gonepteryx aspasia
Tyrannochromis macrostoma
Anableps anableps
Petromyzon marinus
Daubentonia madagascariensis
Anax junius
Nematobrachion sexspinosus
Albula vulpes
Echinomacrurus mollis
Acipenser medirostrus
Cyphocottus eurystomus
Metriaclima melabranchion
Pundamilia au
Dolichonyx orzivorous
Bicellonycha wickershamorum
Dugesia japonica
Pergavor aspricaudus
Gonostoma atlanticum
Astyanax fasciatus
Trichechus manatus
Merluccius productus
Balanus eburneus
Melanostomias niger
Poecilia latipinna
Carcharhinus amboinensis
Stizostedion lucioperca
Pipilo fuscus
Trygonoptera testacea
Parupeneus multifasceatus
Accipiter nisus
Stomias atriventer
Pleurodeles waltl
Tenthredo campestris
Hypsurus caryi
Eucyclogobius newberryi
Dromiceius novae-hollandiae
Micropoecilia parae
Rana cancrivora
Cambarellus shufeldtii
Neomysis mercedis
Lycodes pacificus
Aotus trivirgatus
Lysiosquillina maculate
Sphyrna tiburo
Photinus macdermotti
Caelorhinchus labiatus
Photostomias braueri
Batrachocottus multiradiatus
Bathysaurus mollis
Myripristis berndti
Enteroctopus dofleini
Acanthropagrus major
Chelonia mydas
Conocara salmonea
Liparis  greeni
Poecilia formosa
Bero elegans
Bothragonus  swani
Mullus barbatus
Galago crassicauda
Pomatoschistus microps
Sergestes tenuiremis
Oncorhynchus mykiss
Bubo virginianus
Lutjanus fulviflamma
Bassozetus compressus
Myotis lucifugus
Brachyistius frenatus
Abramis ballerus
Mulloidichthys flavolineatus
Marosatherina ladigesi
Callinectes ornatus
Melanochromus vermivorous
Trematomus bernacchii
Cheirogaleus medius
Scaphirhynchus platorynchus
Ichthyophis kohtaoensis
Funchalia villosa
Passer domesticus
Balanus amphitrite
Pandalus borealis
Orconectes rusticus
Coccinella septempunctata
Oncorhynchus gorbuscha
Maylandia zebra
Cottus gobio
Cheirogaleus major
Myoxocephalus scorpius
Meleagris  galoparvo
Bolinichthys indicus
Limnocottus bergianus
Zoramia  Leptacanthus
Echiostoma barbatum
Eumicrotremus orbis
Phodopus sungorus
Uca pugilator
Bufo bufo
Trematomus loennbergii
Otolemur crassicaudatus
Spodoptera exigua
Acanthurus achilles
Mus musculus
Halosauropsis macrochir
Myoxocephalus brandti
Jordania zonope
Symphodus melops
Gallus gallus
Colinus virginianus
Photostomias guernei
Rhamphocottus richardsonii
Aulostomus chinensis
Aulorhynchus flavidus
Hippocampus subelongatus
Agonopsis vulsa
Carollia perspicillata
Blepsias cirrhosus
Anolis stratulus
Sciurus carolinensis
Epicopeia hainesii
Alligator mississippiensis
Menemerus confusus
Vulpes lagopus
Chauliodus macouni
Panopeus obesus
Scaphirhynchus albus
Leptograspus variegatus
Pachystomias microdon
Haplochromis ishmaeli
Aptychotrema vincentiana
Bicyclus anynana
Sericulus crysocephalus
Neomysis americana
Trigla cuculus
Borostomias panamensis
Cloridopsis dubia
Geoclemys reevesii
Rhinomuraena quaesita
Porichthys notatus
Myrmecia vindex
Perca  flavescens
Coryphaenoides profundicolus
Cynops pyrrhogaster
Centroswcymnus coleolepis
Gekko gecko
Pleuroncodes planipes
Pseudotropheus acei
Anthophora acervorum
Bythograea thermydron
Carcharhinus limbatus
Portunus spinimanis
Tripedalia cystophora
Sergia maximus
Trachurus mediterraneus
Junonia coenia
Coregonus lavaretus
Dermogenys pusilla
Megalocottus platycephalus
Nautichthys oculofasciatus
Sturnus vulgaris
Sphoeroides annulatus
Propithecus verreauxi coquereli
Rhacochilus vacca
Danio malabaricus
Hemidactylus garnotii
Ostracion meleagris
Bathylagus longirostris
Bathylagus euryops
Dasycottus setiger
Pagurus annulipes
Synaphobranchus kaupi
Hemimysis anomala
Rana catesbeiana
Conger conger
Nothoprocta cinerascens cinerascens
Notonecta glauca
Gobius niger
Stigmatopora argus
Cambarus ludovicianus
Calliphora erythrocephala
Gryllus bimaculatus adult
Acanthropagrus schlegelii
Sesarma reticulatum
Syngnathus leptorhynchus
Neogonodactylus oertstedii
Melanochromis vermivorus
Capra hircus
Acanthephyra smithi
Limenitis lorquini
Oplophorus sp.
Rhea  americana
Osmia rufa
Salmo trutta
Osmerus dentex
Dissostichus mawsoni
Liparis greeni
Pieris melete
Sphodromantis sp.
Asprocottus intermediius
Pasiphaea emarginata
Cebus spp.
Microstomus kitt
Margrethia obtusirostra
Nematoscelis megalops
Argynnis ruslana
Parophrys vetulus
Elops  saurus
Gymnocanthus pistilliger
Alima pacifica
Micrometrus minimus
Sardinops sagax
Eutrigla gurnardus
Argyropelecus hemigymnus
Metriaclima emmiltos
Xiphydria camelus
Melanostigma pammelas
Liparis pulchellus
Artedius meanyi
Dascyllus albisella
Benthosema suborbitale
Lepomis macrochirus
Paracheirodon innesi
Carcharhinus acronotus
Thamnophis sirtalis sirtalis
Uca pugnax
Lampanychtus ater
Bonapartia pedalioita
Ictalurus melas
Chromis ovalis
Acartia tonsa
Sphyrna lewini
Cataglyphis bombycinus
Pieris rapae
Zebrasoma velifer
Camponotus abdominalis
Daphnia magna
Thunnus albacares
Janicella spinacauda
Benthalbella  infans
Myoxocephalus stelleri
Cynotilapia afra
Panulirus argus
Taaningichthys bathyphilus
Canthidermis maculatus
Gymnothorax favagineus
Tupaia glis
Evermannella balbo
Erythrocebus patas
Chirostomias pliopterus
Carcharhinus leucas
Anoplarchus purpurescens
Comephorus baicalensis
Hoplostethus mediteranus
Heliconius numata
Ostorhinchus Cyanosoma
Glossophaga soricina
Paracottus knerii
Hippocampus angustus
Uca thayeri
Dendrochirus zebra
Sargocentron punctatissimum
Pseudosquilla ciliata
Neoniphon sammara
Strophidon sathete
Holmesimysis costata
Haplochromis pyrrhocephalus
Carlito syrichta
Estrilda troglodytes
Lutjanus johnii
Lampanyctus regalis
Taeniura lymma
Acanthephyra purpurea
Limnocottus eurystomus
Photinus marginellus
Chelidonichthys lucernus
Daubentonia madagascariensis 
Papilio protenor
Plectroglyphidodon johnstonianus
Danio rerio
Philanthus triangulum
Drosophila melanogaster
Portunus spinimanus
Myrmecia croslandi
Hemigraspus edwardsi
Cyprinodon variegatus
Ampelophaga rubiginosa
Cottunculus thomsonii
Engraulis mordax
Esox lucius
Anguilla japonica
Mauremys reevesii
Didelphis virginiana
Puffinus puffinus
Pleuronectes platessa
Neogonodactylus oerstedii
Melanochromis  vermivorus
Anolis conspersus
Derichthys serpentinus
Searsia koefoedi
Dasyatis fluviorum
Gennadas sp.
Nothoprocta perdicaria sanborni
Pundamilia pundamilia
Asteropteryx semipunctatus
Gonostoma denudatum
Lampetra fluviatilis
Plexippus validus
Orconectes virilis
Pasiphaea multidentata
Sympetrum sp.
Neoniphon argenteus
Arothron meleagris
Eristalis tenax
Arichanna gaschkevitchii
Sygnathus leptorhynchus
Chromis punctipinnis
Otus asio
Jordanella floridae
Caprimulgus europaeus
Monodelphis domestica
Vinciguerria nimbaria
Sargocentron spiniferum
Palaemonetes vulgaris
Panopeus herbstii
Cambarellus schufeldtii
Tarsipes rostratus
Euprymna tasmanica
Trygonorrhina fasciata
Lycaena rubidus
Zoramia  Viridiventer
Chromis verater
Lonchura maga
Acanthurus nigroris
Acanthephyra stylorostratis
Inachis io
Aristostomias tittmani
Acerina cernua
Lysiosqullia sulcata
Sigmops bathyphilus
Polygonia c-album
Tursiops truncates
Cynops orientalis
Photinus versicolor
Samia cynthia ricini
Rimicaris exoculata
Synodus variegatus
Sergia grandis
Larus atricilla
Bathysaurus ferox
Typhlops hypomethes
Sergestes corniculum
Ronquilus jordani
Menippe mercenaria
Rhea americana
Ctenomys talarum
Rangifer tarandus
Blicca bjoerkna
Notostomus elegans
Bombus distinguendis
Melecta punctata
Hipposideros speoris
Hemitripterus americanus
Cyrtopodion kotschyi
Ligia exotica
Phronima sedenteria
Loris tardigradus
Diaphus lucidus
Arizona elegans
Tenthredo scrophulariae
Anas platyrhynchos domesiticus
Fabriciana adippe
Pseudozizeeria maha
Phassus excrescens
Odontodactylus brevirostris
Stichaeopsis nana
Ambystoma tigrinum hatchling
Melanonus zugmayeri
Aulonocara hueseri
Anas platyrhynchus
Deania calcea
Mustelus henlei
Necturus maculosus
Chloebia gouldiae
Antimora rostrata
Sminthopsis crassicaudata
Lampanyctus alatus
Limenitis weidemeyerii
Metriaclima livingstonii
Apodichthys flavidus
Bombus impatiens
Lasioglossum albipes
Chlorocebus aethiops
Anilius scytale
Crenicichla frenata
Anas playrhnchos domesticus
Poecilia reticulata trinidad
Anolis sagrei
Icelinus borealis
Vespula vulgaris
Argiope bruennichi
Valenciennellus tripunctulatus
Musca domestica
Cancer irroratus
Marumba sperchius
Ambystoma tigrinum aquatic
Cyttopsis roseus
Neoceratodus forsteri
Salmo trutta trutta
Sebastolobus alascanus
Xylocopa brasilianorum
Batrachocottus nikolskii
Lipophrys pholis
Galago senegalensis
Photuris lucicrescens
Scomberomorus sierra
Petrolisthes diogenes
Avahi laniger
Chaetodon unimaculatus
Pasiphaea chacei
Pundamilia azurea
Heliconius erato
Platysaurus broadleyi
Cottus sp.
Asprocottus herzensteini
Seriphus politus
Rana catesbeiana larvae
Opisthoproctus grimaldii
Sagiunus midas
Papio papio
Corvus frugilegus
Glaucomys sabrinus
Ischnura heterosticta
Pandalus montagui
Odocoileus virginianus
Buteo jamaicensis
Hemidactylus frenatus
Neochmia modesta
Ichneumon stramentarius
Nansenia longicauda
Pieris rapae crucivora
Phoca groenlandicus
Oplophorus gracilirostris
Tyto alba
Turdus merula
Ambystoma tigrinum adult
Lissotriton vulgaris
Chelostoma florisomne
Ameiurus catus
Pervagor aspricaudus
Megalops atlanticus
Hexagrammos stelleri
Procottus jettelesii
Radiicephalus elongatus
Acantholumpenus mackayi
Anchoa mitchilli
Haplochromis nyererei
Hippocampus barbouri
Meningodora vesca
Pullosquilla litoralis
Mesoplodon bidens
Schwarziana sp
Canthidermis maculata
Callistoctopus dierythraeus
Orectolobus ornatus
Rouleina aderensis
Poromitra megalops
Melamphaes suborbitalis
Ailuroedus crassirostris
Raja binoculata
Cyprinus carpio
Tarsius bancanus
Cebus sp.
Coronis scolopendra
Leiothrix lutea
Hemilepidotus hemilepidotus
Cleisthenes herzensteini
Acipenser baerii
Micropterus salmoides
Isopsetta isolepis
Equus caballus
Archaeopropona demophon
Phalaenoptilus nuttallii
Myotis velifer
Penaeus penicillatus
Metynnis argenteus
Anas  platyrhynchos
Sebastes maliger
Pholidapus dybowsky
Dicrolene intronigra
Libinia dubia
Nectamia  Savayensis
Nephrops norvegicus
Abramis brama
Anolis extremus
Apogon kallopterus
Triglopsis quadricornis
Damalichthys vacca
Partamona helleri
Speotyto cunicularia
Diaphus rafinesqueii
Scenopoetes dentirostris
Sebastes caurinus
Lepidion  eques
Idiacanthus fasciola
Pundamilia luanso
Oligocottus maculosus
Heteromysis formosa
Hexagrammos octagrammus
Photinus scintillans
Coenobita rugosa
Ctenophorus decresii
Serinus canaria
Eulemur fulvus fulvus
Parvus  caeruleus
Chaetodon kleinii
Vanessa cardui
Alepocephalus australis
Haplochromis burtoni
Vespula germanica
Oreochromis nilocticus
Meleagris gallopavo
Geomys bursarius
Clupea pallasii
Acipenser transmontanus
Anguilla bicolor
Puffinus pacificus
Lepidopsetta bilineata
Engaeus cunicularius
Gobiusculus flavescens
Locusta migratoria
Zoarces viviparus
Cottocomephorus inermis
Coryphaenoides carapinus
Rutilis rutilis
Sesarma cinereum
Taeniopygia guttata
Xenodermichthys copei
Gryllus campestris
Oxea flavescens
Dardanus fucosus
Praunus inermis
Opsanus tau
Neominois ridingsii
Zonotrichia leucophrys
Heliconius hecale
Manduca sexta
Pseudotropheus tropheops
Pseudopleuronectes herzensteini
Bathophilus brevis
Lampanyctus crocodilus
Centrophorus squamosus
Loligo forbesii
Melanochromis auratus
Vulpes vulpes
Chlamydera maculata
Sigmops elongatus
Acyrthosiphon pisum
Pleuronectes obscurus
Serrivomer lanceolatoides
Scardinius erythrophthalmus
Nymphalis xanthomelas
Lobianchia gemellarii
Hoplostethus mediterraneus mediterraneus
Carcinus maenas
Cataglyphis bicolor
Pavo  cristatus
Saimiri sciureus
Hemigrapsus sanguinensis
Parupeneus multifasciatus
Opisthocentrus ocellatus
Poecilia parae
Crotaphytus dickersonae
Chirolophis japonicus
Lestrimelitta limao
Plesionika martia
Neotrygon kuhlii
Myoxocephalus potyacanthocephalus
Syngnathus typhle
Microstomus pacificus
Haplochromis piceatus
Mirza coquereli
Barbantus curvifrons
Scorpaena porcus
Batrachocottus nicolskii
Aristostomias tittmanni
Bombus morio
Oeneis chryxus
Notacanthus bonapartei
Limenitis archippus
Mamestra brassicae
Amia calva
Chelidonichthys lucerna
Speyeria leto
Xiphister  atropurpureus
Odontodactylus havanensis
Sus scrofa
Lethrinops parvidens
Talismania antillarum
Lucania goodei
Hippoglossoides elassodon
Gonodactylopsis spongicola
Platyberyx opalescens
Salmo irideus
Sepioteuthis lessoniana
Pristiapogon kallopterus
Hyperprosopon argenteum
Trichodon trichodon
Myripristis violacea
Amphilophus longimanus
Homo sapiens
Xenodermichthys  copei
Spalacopus cyanus
Sympetrum rubicundulum
Procyon lotor
Hemidactylus platyurus
Pieris brassicae
Calappa flammea
Nannobrachium atrum
Malacosteus niger
Leocottus kesslerii
Xiphister atropurpureus
Brachydanio rerio
Pseudopleuronectes obscurus
Balanus balanoides
Gekko gekko
Borostomias elucens
Systellaspis braueri
Kali macrodon
Alepocephalus bairdii
Cupiennius salei
Pseudotropheus  acei
Stichaeus grigorjevi
Pundamilia nyererei
Psychrobites paradoxus
Coryphaenoides armatus
Euphausia superba
Diaphus holti
Embiotoca jacksoni
Stylephorus chordatus
Lepidorhombus boscii
Pilumnus sayi
Pavo cristatus
Oplophorus spinosus
Ichthyophis cf. kohtaoensis
Sepia plangon
Mugil cephalus
Spicara smaris
Artedius fenestrates
Hyperoplus lanceolatus
Hermeuptychia hermes
Electrona risso
Hexagrammos octogrammus
Makaira nigricans
Heliconius erato petiverana
Bassozetus compresis
Ovis aries
Trachyscorpia cristulata
Poecilia reticulata
Zenaida macroura
Rinocetes nasutus
Rhithropanopeus harrisii
Chauliodus sloani
Sergestes curvatus
Melipona quadrifasciata
Graphium sarpedon
Hydrolagus colliei
Dolichovespula norwegica
Nymphalis antiopa
Zalembius rosaceus
Psychrolutes paradoxus
Drosophilia melanogaster
Anguilla anguilla
Melanphaes canthomus
Lyopsetta exilis
Hemidactylus turcicus
Homarus americanus
Abudefduf abdominalis
Schistocerca gregaria
Mesocricetus brandti
Otolemus cassicaudatus
Sardinops melanostictus
Plocepasser mahali
Procambarus clarkii
Atherinops affinis
Kuhlia sandvicensis
Oncorhynchus tshawytscha
Celastrina argiolus
Pleuronectes asper
Cyrtopodion caspium
Scomber japonicus
Limanda aspera
Cataetyx laticeps
Acipenser ruthenus
Bos taurus
Polyipnus polli
Leptocottus armatus
Anolis gundlachi
Octopus australis
Cyrtopodion fedtschenkoi
Pasiphaea suspirosum
Crangon allmani
Bentheogennema pasithea
Gymnura australis
Polistes dominulus
Lampanyctus festivus
Rana temporaria
Penaeus duororum
Forcipiger flavissimus
Lutjanus quinquelineatus
Antheraea polyphemus
Anolis carolinensis
Callinectes sapidus
Danio aequipinnatus
Acanthopagrus butcheri
Microcebus murinus
Actias artemis aliena
Haplochromis azurea
Eurypanopeus depressus
Ophiodon elongatus
Megalocottus  platycephalus
Xenos peckii
Hymenodora frontalis
Systellaspis debilis
Xenopus laevis
Bombus hypnorum
Abyssocottus korotneffi
Alouatta sp.
Pleurogrammus azonus
Lutjanus adetii
Gonodactylus smithii
Arenaeus cribrarius
Romalea microptera
Mysis salemaai
Gilbertidia sigalutes
Bodianus bilunulatus
Enophrys diceraus
Hypomesus pretiosus
Stichaeus nozawae
Cottinella boulengeri
Thysanoessa raschii
Rhinella [=Bufo] marinus
Limnocottus griseus
Molothrus ater
Deilephila elpenor
Atherina boyeri
Carabus nemoralis
Ahliesaurus berryi
Hymenodora glacialis
Stomias boa
Peprilus simillimus
Bellocia  koefoedi
Poromitra capito
Howella sherborni
Porogradus sp.
Chiloscyllium punctatum
Podothecus acipenserinus
Istiophorus  platypterus
Chauliodus sloanei
Chauliodus danae
Acanthephyra curtirostris
Chamaeleo dilepis
Citellus lateralis
Dama dama
Pagurus pollicaris
Isoodon obesulus
Alburnus alburnus
Cirrhilabrus solorensis
Gasterosteus aculeatus
Oncorhynchus keta
Engraulis encrasicolus
Libellula pulchella
Gymnothorax reticularis
Mysis  sp.
Zalophus californianus
Acanthephyra microphthalma
Argiope amoena
Oryctolagus cuniculus
Anolis evermanni
Toxotes chatareus
Cerceris rybyensis
Nerophis ophidion
Thylamys elegans
Archaeomysis grebnitzkii
Bentheogennema intermedia
Asterropteryx semipunctata
Anguilla Anguilla
Hemigrapsus sanguineus
Spirinchus thaleichthys
Dasyatis kuhlii
Papilio aegeus
Stegastes fasciolatus
Stylopandalus richardi
Vespo crabro
Bombus  impatiens
Boa constrictor
Portunus trituberculatus
Canis lupus familiaris
Macaca fascicularis
Rouleina maderensis
Antimora  rostrata
Dimidiochromis compressiceps
Ernogrammus hexagrammus
Neonesthes capensis
Eigenmannia virescens
Polyodon spathula
Phidippus regius
Trachemys scripta
Phytichthys  chirus
Hemigrapsus edwardsii
Hepatus epheliticus
Isodon obesulus
Ictalurus punctatus
Coryphopterus nicholsii
Sergia splendens
Lutjanus erythropterus
Bombus terrestris
Lutjanus carponotatus
Spermophilus lateralis
Anolis grahami
Caranx hippos
Tetrapturus audax
Phalacrocorax carbo
Myoxocephalus jaok
Lutjanus sebae
Enophrys bison
Hydrolagus mirabilis
Lycaena phlaeas
Carcharhinus melanopterus
Naso lituratus
Gobius paganellus
Setonix brachyurus
Apodemia spp.
Columba livia
Phycis blennoides
Octopus tetricus
Coenobita clypeatus
Atrophaneura alcinous
Halargyreus johnsonii
Liparis florae
Andrena florea
Lutjanus malabaricus
Metriaclima benetos
Strix aluco
Hexagrammos decagrammus
Urocyon littoralis
Argyropelecus gigas
Pomacentrus melanochir
Photinus collustrans
Argentina silus
Gonostoma bathyphilium
Sergestes arcticus
Clibanarius vittatus
Chimaera monstrosa
Notostomus gibbosus
Sergestes similis
Peprilus stimillimus
Zanclus cornutus
Cercopithecus petaurista
Thysanopoda acutifrons
Geotria australis
Leontopithecus rosalia rosalia
Potos flavus
Anolis lineatopus
Lepilemur ruficaudatus
Chlamydera nuchalis
Struthio camelus
Ptilichthys goodei
Rattus rattus
Rhinobatus typus
Hapalochlaena maculosa
Trigona spinipes
Heliconius melpomene
Poecilia reticulata cumana
Liparis dennyi
Osmerus eperlanus
Carpodacus mexicanus
Gonostoma bathyphilum
Sergia robustus
Zaniolepis frenata
Sebastes empaeus
Thysanopoda orientalis
Mysis relicta
Thomomys bottae
Photonectes braueri
Lepisosteus platostomus
Octodon degus
Photostylus sp.
Scopelogadus beanii
Stichaeus grigorjewi
Sargocentron xantherythrum
Sphyraena barracuda
Pagothenia borchgrevinki
Colias erate
Cephalopachus bancanus
Urocerus gigas
Ascelichthys rhodorus
Globicephala melas
Coturnix  japonica
Zebrasoma flavescens
Theragra chalcogramma
Comephorus dybowskii
Spermophilus beecheyi
Acanthurus triostegus
Oreocromis niloticus
Geryon quinquedens
Hypsiglena torquata
Helostoma temminkii
Idiosepius notoides
Pleuronectes herzensteini
Pungitius pungitius
Artemia salina
Nothoprocta perdicaria
Gobiesox maeandricus
Lutjanus russellii
Haptosquilla trispinosa
Scopelarchus analis
Astacus fluviatus
Cottus kessleri
Cyttopsis rosea
Agraulis vanillae
Euphydryas chalcedona
Citharichthys sordidus
Anoplogaster cornuta
Mysis diluviana
Pteropus dasymallus
Photuris potomaca
Ptilorhynchus violaceus
Lutjanus kasmira
Libinia emarginata
Bombus monticola
Himantura fai
Trematomus hansoni
Paromola cuvieri
Formica polyctena
Lycaena dorcas
Lampadena speculigera
Palaemonetes paladosus
Gasterosteus acuelatus
Apodemia mormo
Xiphister mucosus
Synaphobranchus kaupii
Scorpaenichthys marmoratus
Parage aegeria
Stylocheiron maximum
Triakis semifasciata
Sternoptyx diaphana
Etroplus suratensis
Gaidropsarus mediterraneus
Bathylagus bericoides
Astatotilapia burtoni
Pithecia pithecia
Nothoprocta cinerascens
Papilo bianor
Hoplostethus atlanticus
Platytroctes apus
Stenobrachius leucopsarus
Hariotta raleighana
Hemisquilla ensigera
Lonchura striata
Lycaena heteronea
Ammodytes hexapterus
Acipenser medirostris
Ostorhinchus Cookii
Spermophilus tridecemline
Epigonus  telescopus
Dascyllus trimaculatus
Pundamila sp.
Cymatogaster aggregata
Bowmaniella sp.
Axoclinius carminalis
Platichthys stellatus
Mora moro
Callithrix jacchus jacchus
Melopsittacus undatus
Leptotyphlops sp.
Spinachia spinachia
Rhynchobatus australiae
Elephas maximus
Bathylagus greyae
Systellaspis cristata
Ctenophorus ornatus
Parnara guttata
Gennadas valens
Lipophyrs pholis
Rhinoptera bonasus
Libelloides macaronius
Squalus suckleyi
Notoscopelus resplendens
