Nematobrachion sexpinosum
Calliphora erythrocephala
Argyropelecus aculeatus
Chelidonichthys lucerna
Metriaclima livingstonii
Furcifer pardalis
Papilo bianor
Teratoscincus scincus
Argyropelecus gigas
Trematomus loennbergii
Jordanella floridae
Pleuroncodes planipes
Romalea microptera
Pasiphaea emarginata
Leontopithecus rosalia rosalia
Neomysis integer
Acantholumpenus mackayi
Polistes dominulus
Photostomias braueri
Anilius scytale
Pervagor aspricaudus
Lestrimelitta limao
Micrometrus aurora
Anolis gundlachi
Odontodactylus havanensis
Kuhlia sandvicensis
Lycaena rubidus
Sigmops bathyphilus
Meleagris  galoparvo
Zanclus cornutus
Antimora rostrata
Chlorophthalmus sp.
Anguilla bicolor
Gryllus campestris
Carcharhinus obscurus
Tetrapturus audax
Mirounga angustirostri
Blicca bjoerkna
Artedius harringtoni
Phytichthys chirus
Thysanopoda orientalis
Urobatis jamaicensis
Andrena florea
Stegastes fasciolatus
Haplochromis piceatus
Eutrigla gurnardus
Bathylagus euryops
Dicrolene intronigra
Salvelinus alpinus
Pergavor aspricaudus
Clupea pallasii
Necturus maculosus
Metynnis argenteus
Hippoglossoides herzensteini
Cyrtopodion caspium
Aristostomias tittmani
Cambarellus schufeldtii
Cerceris rybyensis
Balanus eburneus
Triakis semifasciata
Funchalia villosa
Dromiceius novae-hollandiae
Microstomus pacificus
Conocara salmonea
Gonodactylus oerstedii
Rutilis rutilis
Anolis pulchellus
Neoniphon aurolineatus
Thysanopoda acutifrons
Citharichthys sordidus
Ictalurus catus
Pundamilia red head
Typhlops hypomethes
Gonepteryx aspasia
Stichaeus grigorjewi
Citellus lateralis
Hexagrammos octagrammus
Notacanthus bonapartei
Zoarces viviparus
Batrachocottus multiradiatus
Carpodacus mexicanus
Searsia koefoedi
Chaetodon unimaculatus
Lepidorhombus boscii
Osmerus dentex
Stizostedion lucioperca
Aphanopus  carbo
Bubo virginianus
Myoxocephalus potyacanthocephalus
Typhlonectes natans
Abramis brama
Lampadena speculigera
Acanthephyra curtirostris
Coregonus clupeoides
Rhinella [=Bufo] marinus
Melipona quadrifasciata
Coryphaenoides profundicolus
Opsanus tau
Phycis blennoides
Gekko gekko
Papio papio
Dromiceius novae-hollandae
Cottus kessleri
Microcottus sellaris
Rhinomuraena quaesita
Chloebia gouldiae
Hippocampus angustus
Hypomesus pretiosus
Elops  saurus
Procottus jettelesii
Phronima sedenteria
Seriphus politus
Lonchura malabarica
Photinus scintillans
Echiostoma barbatum
Alepocephalus bairdii
Scorpaenichthys marmoratus
Myrmecia gulosa
Stomias boa
Plesiopenaeus armatus
Puffinus puffinus
Cercopithecus diana
Chirostomias pliopterus
Chauliodus danae
Pseudosquilla ciliata
Lutjanus russellii
Micrometrus minimus
Acanthephyra smithi
Hippocampus subelongatus
Photuris lucicrescens
Rhabdamia  Gracilis
Bythograea thermydron
Rhinoptera bonasus
Sargocentron xantherythrum
Phidippus regius
Samia cynthia ricini
Stichaeus grigorjevi
Ctenochaetus strigosus
Rinocetes nasutus
Chaceon affinis
Anoplarchus purpurescens
Glaucomys sabrinus
Puffinus pacificus
Papilio protenor
Callinectes ornatus
Octopus australis
Anolis grahami
Lipophyrs pholis
Lutjanus quinquelineatus
Paralabrax clathratus
Liparis florae
Eigenmannia virescens
Jasus edwardsii
Theragra chalcogramma
Sebastes caurinus
Mysis mixta
Aequidens pulcher
Hemidactylus garnotii
Asprocottus intermediius
Coryphaenoides carapinus
Zaniolepis frenata
Abramis ballerus
Ctenophorus decresii
Axoclinius carminalis
Triglopsis quadricornis
Borostomias elucens
Gennadas valens
Apodemia spp.
Saguinus midas
Balanus balanoides
Jordania zonope
Melamphaes suborbitalis
Papilio maackii
Odontodactylus scyllarus
Praunus flexuosus
Ligia exotica
Asterropteryx semipunctata
Arenaeus cribrarius
Anax junius
Larus atricilla
Cottunculus thomsonii
Stylocheiron maximum
Pleurogrammus azonus
Loligo pealii
Partamona helleri
Aotus trivirgatus
Astyanax fasciatus
Notoscopelus resplendens
Psettichthys melanostictus
Anadevidia peponis
Nymphalis xanthomelas
Pseudotropheus  acei
Limnocottus bergianus
Tarentola chazaliae
Coregonus lavaretus
Poromitra capito
Zebrasoma flavescens
Platichthys stellatus
Bombus morio
Benthosema suborbitale
Ostorhinchus Doederleini
Pullosquilla thomassini
Sternoptyx pseudobscura
Peprilus simillimus
Ahliesaurus berryi
Bero elegans
Trachurus symmetricus
Sepioteuthis lessoniana
Scylla serrata
Dendrochirus zebra
Margrethia obtusirostra
Centrophorus squamosus
Rhithropanopeus harrisii
Stigmatopora argus
Xenodermichthys  copei
Gaidropsarus mediterraneus
Istiophorus  platypterus
Argyropelecus hemigymnus
Melanonus zugmayeri
Melopsittacus undalatus
Arothron meleagris
Neoniphon argenteus
Boa constrictor
Libinia dubia
Systellaspis cristata
Photinus macdermotti
Bodianus bilunulatus
Estrilda troglodytes
Acipenser transmontanus
Sebastolobus alascanus
Radiicephalus elongatus
Bowmaniella sp.
Procambarus milleri
Acipenser medirostrus
Cottocomephorus grewingkii
Astacus leptodactylus
Pteropus samoensis
Hexagrammos stelleri
Acanthephyra stylorostratis
Vinciguerria nimbaria
Lutjanus carponotatus
Limenitis lorquini
Rhamphocottus richardsonii
Mesocricetus brandti
Comephorus baicalensis
Anguilla Anguilla
Bombus hortorum
Neogonodactylus curacaoensis
Lepilemur ruficaudatus
Hemitripterus villosus
Accipiter nisus
Sergestes corniculum
Erythrocebus patas
Strophidon sathete
Lutjanus argentimaculatus
Spermophilus tridecemline
Raja binoculata
Spalacopus cyanus
Cambarus ludovicianus
Argiope amoena
Petrolisthes elongates
Sardinops sagax
Sericulus crysocephalus
Perca fluviatilis
Homarus gammarus
Hymenodora frontalis
Xylocopa brasilianorum
Benthalbella infans
Saguinus oedipus
Batrachocottus baicalensis
Cyrtopodion fedtschenkoi
Pandalus borealis
Squalus suckleyi
Lepisosteus platostomus
Lissotriton vulgaris
Mysis relicta
Centroswcymnus coleolepis
Ichthyococcus ovatus
Pleuronectes obscurus
Chauliodus sloani
Carabus auratus
Tenthredo scrophulariae
Ronquilus jordani
Diaphus rafinesqueii
Megalocottus platycephalus
Bombus fervidus
Alima pacifica
Protomelas taeniolatus
Crangon allmani
Lutjanus sebae
Artedius fenestrates
Metriaclima barlowi
Chelostoma florisomne
Opisthoproctus grimaldii
Mysis salemaai
Photostomias guernei
Eucyclogobius newberryi
Bombus jonellus
Vespula germanica
Liparis greeni
Crotaphytus dickersonae
Pollachius pollachius
Lycaena heteronea
Carcharhinus acronotus
Ernogrammus hexagrammus
Leocottus kesslerii
Tribolodon hakonensis
Holtbyrnia spinithara
Myoxocephalus jack
Eurypharynx pelecanoides
Acipenser medirostris
Mullus barbatus
Aeshna tuberculifera
Xiphister  atropurpureus
Helostoma temminkii
Pavo  cristatus
Myoxocephalus scorpius
Ischnura heterosticta
Sergia maximus
Xiphydria camelus
Stylephorus chordatus
Acanthropagrus berda
Bathylagus longirostris
Hymenodora glacialis
Spodoptera exempta
Parupeneus multifasceatus
Eustomias obscurus
Chaetodon kleini
Notostomus gibbosus
Sergestes curvatus
Balanus amphitrite
Spermophilus lateralis
Streptopelia roseogrisea
Pseudopleuronectes herzensteini
Dasyatis kuhlii
Leptotyphlops sp.
Cyttopsis roseus
Scaphirhynchus albus
Atherinops affinis
Sesarma cinereum
Ptilichthys goodei
Hepatus epheliticus
Photonectes braueri
Apodichthys flavidus
Polyipnus polli
Oplophorus spinosus
Megalocottus  platycephalus
Chromis hanui
Pipilo fuscus
Melanphaes canthomus
Coryphaenoides armatus
Meganyctiphanes norvegica
Caprimulgus europaeus
Gymnura australis
Coryphopterus nicholsii
Sargocentron tiere
Colletes fulgidus
Nephrops norvegicus
Odontodactylus brevirostris
Callistoctopus dierythraeus
Hemigrapsus edwardsii
Notonecta irrorata
Derichthys serpentinus
Pilumnus sayi
Phalaenoptilus nuttallii
Callonychium petuniae
Isodon obesulus
Orectolobus ornatus
Limnocottus pallidus
Typhlops platycephalus
Mysis diluviana
Neomysis americana
Canthidermis maculata
Hemisquilla ensigera
Acanthropagrus schlegelii
Chromis verater
Rhea americana
Anchoa mitchilli
Gymnothorax reticularis
Chelidonichthys lucernus
Hemidactylus turcicus
Chirolophis japonicus
Hoplostethus atlanticus
Marumba sperchius
Pseudozizeeria maha
Lepomis macrochirus
Argentina silus
Aulostomus chinensis
Portunus spinimanis
Mysis relicta sp.II
Diaphus holti
Pseudotropheus tropheops
Clevelandia ios
Philanthus triangulum
Dolichovespula norwegica
Pteropus dasymallus
Mirza coquereli
Camponotus abdominalis
Pleuronectes herzensteini
Neope goschkevitschii
Nasua nasua
Sigmops elongatus
Cynops orientalis
Sergia robustus
Sarda chiliensis
Trigona spinipes
Howella sherborni
Plexippus validus
Antimora  rostrata
Lepidion  eques
Aglais urticae
Taaningichthys bathyphilus
Electrona risso
Pomacentrus melanochir
Melanostomias niger
Diaphus dumerilli
Haplochromis pyrrhocephalus
Nothoprocta perdicaria
Carcharhinus leucas
Pholis ornata
Petrolisthes diogenes
Pullosquilla litoralis
Melanostigma pammelas
Alepocephalus australis
Gonodactylus smithii
Dasycottus setiger
Photostylus sp.
Sergia grandis
Gonostoma bathyphilum
Bothragonus swani
Neogonodactylus oertstedii
Forcipiger flavissimus
Cataglyphis bombycinus
Metriaclima melabranchion
Hapalochlaena maculosa
Damalichthys vacca
Archaeomysis grebnitzkii
Uca pugnax
Notonecta glauca
Lysiosqullia sulcata
Haptosquilla trispinosa
Ictalurus melas
Triglops pingelii
Amadina fasciata
Urocyon littoralis
Osmia rufa
Parvus  caeruleus
Asteropteryx semipunctatus
Rhea  americana
Xenos peckii
Chlamydera nuchalis
Spermophilus tridecemlineatus
Neonesthes capensis
Hemilepidotus hemilepidotus
Eristalis tenax
Vespo crabro
Rhizoprionodon taylori
Lonchura malacca
Galago crassicauda
Embiotoca lateralis
Chauliodus sloanei
Locusta migratoria
Saguinus fuscicollis
Scenopoetes dentirostris
Sepia plangon
Astatotilapia burtoni
Pasiphaea suspirosum
Amphilophus longimanus
Cleisthenes herzensteini
Haplochromis nyererei
Otus asio
Epicopeia hainesii
Melanotaenia maccullochi
Porogradus sp.
Hexagrammos decagrammus
Orconectes rusticus
Aulorhynchus flavidus
Speyeria leto
Bathylagus bericoides
Didelphis virginiana
Nomada alboguttata
Caranx hippos
Hemigraspus sanguineus
Anolis extremus
Coronis scolopendra
Sergia phorcus
Nectamia  Savayensis
Papilio aegeus
Acanthephyra purpurea
Scaphirhynchus platorynchus
Stichaeopsis nana
Parophrys vetulus
Sphyrna lewini
Coturnix coturnix
Praunus inermis
Zoramia  Viridiventer
Bombus distinguendis
Anas platyrhynchus
Ichthyophis kohtaoensis
Rouleina aderensis
Agonopsis vulsa
Brachydanio rerio
Callambulyx tatarinovii
Agraulis vanillae
Leptograpsus variegatus
Bolinichthys indicus
Artemia salina
Sphodromantis sp.
Drosophilia melanogaster
Chlorocebus aethiops
Hyperprosopon argenteum
Amandina fasciata
Ptilorhynchus violaceus
Ostracion meleagris
Chromis vanderbilti
Naso unicornis
Sphyrna tiburo
Bombus monticola
Cymatogaster aggregata
Aetobatus narinari
Limanda aspera
Astacus fluviatus
Hydrolagus colliei
Buteo buteo
Palaemonetes paladosus
Haplochromis ishmaeli
Dardanus fucosus
Myoxocephalus stelleri
Photinus versicolor
Carcharhinus limbatus
Naso lituratus
Meningodora vesca
Comephorus dybowskii
Bathysaurus ferox
Gonostoma bathyphilium
Limnocottus eurystomus
Chamaeleo dilepis
Euphausia pacifica
Lutjanus kasmira
Arichanna gaschkevitchii
Lonchura maga
Ballerus ballerus
Chiasmodon niger
Lutjanus bohar
Artedius meanyi
Hemitripterus americanus
Xiphister mucosus
Chromis punctipinnis
Mysis  sp.
Archaeopropona demophon
Halargyreus johnsonii
Oreocromis niloticus
Otolemus cassicaudatus
Leiothrix lutea
Platytroctes apus
Sympetrum sp.
Diaphus rafinesquei
Myrmecia croslandi
Ovipales stephensoni
Spheniscus humboldti
Xenodermichthys copei
Pagurus longicarpus
Ctenomys magellanicus
Bombus lapidarius
Gonostoma atlanticum
Rynchophorus ferrugineus
Phytichthys  chirus
Actias artemis aliena
Menippe mercenaria
Liparis dennyi
Rana catesbeiana
Trigla cuculus
Acanthurus achilles
Myrmecia vindex
Chlamydera maculata
Enophrys diceraus
Anthophora acervorum
Bathylagus greyae
Ichthyophis cf. kohtaoensis
Photinus collustrans
Lyopsetta exilis
Acanthurus triostegus
Metriaclima benetos
Albula vulpes
Anableps anableps
Notonecta undulata
Leptocottus armatus
Geoclemys reevesii
Barbantus curvifrons
Fabriciana adippe
Myotis velifer
Anolis stratulus
Hexagrammos octogrammus
Thomomys bottae
Sternoptyx diaphana
Bombus hypnorum
Gnathophausia ingens
Plocepasser mahali
Enophrys bison
Cercopithecus petaurista
Bellocia  koefoedi
Microstoma microstoma
Orectolobus maculatus
Sagiunus midas
Canthidermis maculatus
Miopithecus talapoin
Anolis krugi
Sympetrum rubicundulum
Gallus  gallus domesticus
Psychrobites paradoxus
Corvus  frugilegus
Histiobranchus bathybius
Scomberomorus sierra
Polygonia c-album
Anolis conspersus
Aeschna cyanea
Notonecta insulata
Bathophilus brevis
Buteo jamaicensis
Pseudopleuronectes obscurus
Coryphaenoides guntheri
Phoca groenlandicus
Ctenophorus ornatus
Trachurus mediterraneus
Carcinus maenas
Gymnocanthus pistilliger
Valenciennellus tripunctulatus
Lycodes pacificus
Pundamilia luanso
Trichodon trichodon
Ameiurus melas
Taurulus bubalis
Rimicaris exoculata
Acerina cernua
Ostorhinchus Cyanosoma
Geryon quinquedens
Bassozetus compressus
Melipona marginata
Gymnocanthus intermedius
Lumpenus sagitta
Mustelus henlei
Makaira nigricans
Isopsetta isolepis
Acartia tonsa
Ostorhinchus Cookii
Loris tardigradus
Phodopus sungorus
Artedius fenestralis
Scomber japonicus
Rana cancrivora
Liparis  greeni
Squilla empusa
Hoplostethus mediteranus
Gilbertidia sigalutes
Pavo cristatus
Opisthocentrus ocellatus
Schwarziana sp
Orconectes virilis
Janicella spinacauda
Borostomias panamensis
Zebrasoma velifer
Pholidapus dybowsky
Lampanyctus regalis
Portunus spinimanus
Bassozetus compresis
Gasterosteus acuelatus
Taeniura lymma
Anolis evermanni
Rana catesbeiana larvae
Lysiosquillina maculate
Mulloidichthys flavolineatus
Cataetyx laticeps
Peprilus stimillimus
Hemigrapsus sanguinensis
Junonia coenia
Holmesimysis costata
Paromola cuvieri
Gonodactylellus affinis
Potos flavus
Pagurus pollicaris
Cirrhilabrus solorensis
Parus caeruleus
Spicara smaris
Melanochromus vermivorous
Xiphister atropurpureus
Carcharhinus amboinensis
Eurypanopeus depressus
Lycaena nivalis
Sebastes empaeus
Systellaspis debilis
Palaemonetes vulgaris
Pleuronectes asper
Parupeneus multifasciatus
Gonostoma elongatum
Nothoprocta perdicaria sanborni
Mysis relicta sp.IV
Stichaeus nozawae
Nematobrachion sexspinosus
Stomias atriventer
Nautichthys oculofasciatus
Panulirus argus
Tupaia glis
Anolis cristatellus
Cottus sp.
Speotyto cunicularia
Liparis pulchellus
Pseudotropheus acei
Pieris melete
Rouleina maderensis
Sergia splendens
Trygonoptera testacea
Engraulis mordax
Menemerus confusus
Clinocottus globiceps
Acanthopagrus butcheri
Clibanarius vittatus
Lampanyctus crocodilus
Scardinius erythrophthalmus
Procyon lotor
Lampanyctus alatus
Leuroglosus stilbius
Abyssocottus korotneffi
Tinca tinca
Tarsius bancanus
Photuris frontalis
Talismania antillarum
Tursiops truncates
Lampanyctus festivus
Pasiphaea chacei
Toxotes chatareus
Ammodytes hexapterus
Pristiapogon kallopterus
Pachystomias microdon
Gobiesox maecmdricus
Plesionika martia
Systellaspis braueri
Lycaena phlaeas
Meningodora miccyla
Cloridopsis dubia
Formica polyctena
Heteromysis formosa
Dascyllus albisella
Alouatta sp.
Lonchura maja
Gasterosteus sp.
Malacosteus niger
Hemigraspus edwardsi
Conocara macroptera
Pundamila sp.
Gecarcinus lateralis
Halosauropsis macrochir
Libelloides macaronius
Ailuroedus crassirostris
Spermophilus beecheyi
Pithecia pithecia
Alosa kessleri
Myoxocephalus brandti
Bentheogennema intermedia
Ascelichthys rhodorus
Trematomus hansoni
Dasyatis fluviorum
Sphoeroides annulatus
Engaeus cunicularius
Dolichonyx orzivorous
Ichneumon stramentarius
Cottocomephorus inermis
Neochmia modesta
Rhynchobatus australiae
Leptograspus variegatus
Merluccius productus
Lobianchia gemellarii
Oligocottus maculosus
Batrachocottus nicolskii
Abudefduf abdominalis
Bodianus bilunnulatus
Oplophorus gracilirostris
Sebastes maliger
Phassus excrescens
Penaeus penicillatus
Upeneus tragula
Lepidopsetta bilineata
Lasioglossum albipes
Myoxocephalus quadricornis
Malacocephalus laevis
Nematoscelis megalops
Belone belone
Rhacochilus vacca
Lutjanus malabaricus
Acanthephyra microphthalma
Platyberyx opalescens
Cataglyphis bicolor
Nothoprocta cinerascens cinerascens
Limnocottus griseus
Stylopandalus richardi
Bonapartia pedalioita
Mysis relicta sp.I
Ochlodes venata
Nematobrachion boopis
Talitrus saltator
Pholis omata
Lampanychtus ater
Cebus sp.
Chromis ovalis
Pergavor spilosoma
Anoplogaster cornuta
Cebus spp.
Melecta punctata
Pagurus annulipes
Hemicordulia tau
Lampetra fluviatilis
Serrivomer lanceolatoides
Tenthredo campestris
Sergestes similis
Cyrtopodion kotschyi
Calappa flammea
Himantura fai
Papilio achaon
Eumicrotremus orbis
Minois dryas
Mora moro
Panopeus herbtii
Callinectes sapidus
Sephanoides sephanoides
Pleurogrammus  azonus
Plagiotremus rhinorhynchos
Turdus merula
Deilephila elpenor
Antheraea polyphemus
Spirinchus thaleichthys
Scorpaena porcus
Cercopithecus cephus
Zalembius rosaceus
Corvus frugilegus
Ameiurus catus
Libellula pulchella
Etroplus suratensis
Uca thayeri
Ruscarius meanyi
Sebastes flavidus
Python regius
Chaetodon kleinii
Chimaera monstrosa
Rana cracrivora
Hyperoplus lanceolatus
Ichneumon spp.
Spinachia spinachia
Hemidactylus platyurus
Rouleina attrita
Poromitra megalops
Oxea flavescens
Procottus jettelesi
Gonostoma denudatum
Coryphaenoides leptolepis
Parage aegeria
Cambarellus shufeldtii
Lipophrys pholis
Cambarellus ludovicianus
Hippocampus barbouri
Psychrolutes paradoxus
Aptychotrema rostrata
Bothragonus  swani
Neomysis mercedis
Acipenser fulvescens
Hippoglossoides elassodon
Thysanoessa raschii
Lepidion eques
Acanthurus nigroris
Panopeus obesus
Rana pipiens
Idiosepius notoides
Nemichthys scolopaceus
Sesarma reticulatum
Hariotta raleighana
Urocerus gigas
Inachis io
Anolis lineatopus
Evermannella balbo
Hydrolagus mirabilis
Asterocampa leilia
Celastrina argiolus
Echinomacrurus mollis
Podothecus acipenserinus
Lycaena dorcas
Paracottus knerii
Sergestes arcticus
Cottinella boulengeri
Sygnathus leptorhynchus
Hermeuptychia hermes
Trygonorrhina fasciata
Nannobrachium atrum
Apogon kallopterus
Ctenomys talarum
Haplochromis azurea
Panopeus herbstii
Scopelogadus beanii
Nothoprocta cinerascens
