Gymnothorax favagineus
Theragra chalcogramma
Sebastes caurinus
Aequidens pulcher
Asprocottus intermediius
Manduca sexta
Abramis ballerus
Ctenophorus decresii
Axoclinius carminalis
Triglopsis quadricornis
Borostomias elucens
Melamphaes suborbitalis
Papilio maackii
Odontodactylus scyllarus
Puntigrus tetrazona
Larus atricilla
Pleurogrammus azonus
Loligo pealii
Partamona helleri
Carassius auratus
Lucania goodei
Psettichthys melanostictus
Portunus trituberculatus
Nymphalis xanthomelas
Pseudotropheus  acei
Limnocottus bergianus
Platichthys stellatus
Bombus morio
Homarus americanus
Ostorhinchus Doederleini
Pullosquilla thomassini
Peprilus simillimus
Bero elegans
Sepioteuthis lessoniana
Pieris rapae
Dendrochirus zebra
Margrethia obtusirostra
Centrophorus squamosus
Rhithropanopeus harrisii
Stigmatopora argus
Gobius niger
Gaidropsarus mediterraneus
Istiophorus  platypterus
Argyropelecus hemigymnus
Melanonus zugmayeri
Melopsittacus undalatus
Colinus virginianus
Arothron meleagris
Boa constrictor
Systellaspis cristata
Photinus macdermotti
Bodianus bilunulatus
Estrilda troglodytes
Acipenser transmontanus
Acipenser medirostrus
Hexagrammos stelleri
Acanthephyra stylorostratis
Lutjanus carponotatus
Rhamphocottus richardsonii
Mesocricetus brandti
Bombus hortorum
Neogonodactylus curacaoensis
Lepilemur ruficaudatus
Hemitripterus villosus
Accipiter nisus
Sergestes corniculum
Strophidon sathete
Lutjanus argentimaculatus
Spermophilus tridecemline
Spalacopus cyanus
Dama dama
Cambarus ludovicianus
Argiope amoena
Xenopeltis unicolor
Homarus gammarus
Hymenodora frontalis
Xylocopa brasilianorum
Saguinus oedipus
Batrachocottus baicalensis
Cyrtopodion fedtschenkoi
Squalus suckleyi
Lissotriton vulgaris
Mysis relicta
Callithrix jacchus jacchus
Centroswcymnus coleolepis
Anguilla anguilla
Carabus auratus
Cephalopachus bancanus
Tenthredo scrophulariae
Ronquilus jordani
Diaphus rafinesqueii
Alima pacifica
Protomelas taeniolatus
Clupea harengus
Crangon allmani
Artedius fenestrates
Chelostoma florisomne
Opisthoproctus grimaldii
Mysis salemaai
Heliconius erato
Eucyclogobius newberryi
Vespula germanica
Liparis greeni
Periplaneta americana
Leocottus kesslerii
Mullus barbatus
Aeshna tuberculifera
Lepidopsetta polyxystra
Helostoma temminkii
Pavo  cristatus
Myoxocephalus scorpius
Vulpes vulpes
Ischnura heterosticta
Stylephorus chordatus
Vulpes lagopus
Hymenodora glacialis
Sturnus vulgaris
Eustomias obscurus
Chaetodon kleini
Notostomus gibbosus
Sergestes curvatus
Balanus amphitrite
Spermophilus lateralis
Cheirogaleus major
Leptotyphlops sp.
Ambystoma tigrinum hatchling
Scaphirhynchus albus
Pieris brassicae
Ptilichthys goodei
Photonectes braueri
Apodichthys flavidus
Polyipnus polli
Oplophorus spinosus
Carcharhinus amblyrhynchos
Pipilo fuscus
Coryphaenoides armatus
Engraulis japonicus
Caprimulgus europaeus
Gymnura australis
Coryphopterus nicholsii
Sargocentron tiere
Colletes fulgidus
Nephrops norvegicus
Odontodactylus brevirostris
Hemigrapsus edwardsii
Derichthys serpentinus
Phalaenoptilus nuttallii
Enteroctopus dofleini
Orectolobus ornatus
Limnocottus pallidus
Typhlops platycephalus
Neomysis americana
Hemisquilla ensigera
Acanthropagrus schlegelii
Zalophus californianus
Hemidactylus turcicus
Chirolophis japonicus
Embiotoca jacksoni
Pseudozizeeria maha
Lepomis macrochirus
Argentina silus
Portunus spinimanis
Micropoecilia parae
Myripristis violacea
Philanthus triangulum
Daphnia magna
Mirza coquereli
Ampelophaga rubiginosa
Camponotus abdominalis
Pleuronectes herzensteini
Nasua nasua
Sigmops elongatus
Sergia robustus
Sarda chiliensis
Trigona spinipes
Howella sherborni
Carcharhinus melanopterus
Pundamilia pundamilia
Lepidion  eques
Taaningichthys bathyphilus
Electrona risso
Nerophis ophidion
Pomacentrus melanochir
Carcharhinus leucas
Avahi laniger
Cupiennius salei
Pullosquilla litoralis
Loligo subulata
Melanostigma pammelas
Dasycottus setiger
Poecilia reticulata
Neominois ridingsii
Bothragonus swani
Neogonodactylus oertstedii
Forcipiger flavissimus
Cataglyphis bombycinus
Metriaclima melabranchion
Cottus gobio
Elephas maximus
Cyphocottus eurystomus
Uca pugnax
Haptosquilla trispinosa
Amadina fasciata
Urocyon littoralis
Carollia perspicillata
Parvus  caeruleus
Asteropteryx semipunctatus
Neonesthes capensis
Rhizoprionodon taylori
Lonchura malacca
Chauliodus sloanei
Saguinus fuscicollis
Scenopoetes dentirostris
Sepia plangon
Sargocentron spiniferum
Amphilophus longimanus
Cleisthenes herzensteini
Otus asio
Melanotaenia maccullochi
Hexagrammos decagrammus
Galleria mellonella
Didelphis virginiana
Nomada alboguttata
Canis lupus familiaris
Caranx hippos
Sergia phorcus
Papilio aegeus
Heliconius charithonia
Rattus rattus
Sphyrna lewini
Coturnix coturnix
Praunus inermis
Bombus distinguendis
Plectroglyphidodon johnstonianus
Ichthyophis kohtaoensis
Agonopsis vulsa
Tarsipes rostratus
Leptograpsus variegatus
Megalops atlanticus
Bolinichthys indicus
Sphodromantis sp.
Amyelois transitella
Chlorocebus aethiops
Hyperprosopon argenteum
Oncorhynchus kisutch
Amandina fasciata
Ptilorhynchus violaceus
Chromis vanderbilti
Cymatogaster aggregata
Aetobatus narinari
Haplochromis ishmaeli
Dardanus fucosus
Naso lituratus
Meningodora vesca
Gonostoma bathyphilium
Poecilia parae
Limnocottus eurystomus
Chamaeleo dilepis
Apodemia mormo
Arichanna gaschkevitchii
Lonchura maga
Cavia porcellus
Artedius meanyi
Nymphalis antiopa
Chromis punctipinnis
Eulemur fulvus
Archaeopropona demophon
Oreocromis niloticus
Otolemus cassicaudatus
Taeniopygia guttata
Leiothrix lutea
Platytroctes apus
Myrmecia croslandi
Ctenomys magellanicus
Bombus lapidarius
Macroglossum stellatarum
Gonostoma atlanticum
Actias artemis aliena
Menippe mercenaria
Liparis dennyi
Trigla cuculus
Myrmecia vindex
Enophrys diceraus
Coccinella septempunctata
Anthophora acervorum
Bathylagus greyae
Ichthyophis cf. kohtaoensis
Cynops pyrrhogaster
Photinus collustrans
Acanthurus triostegus
Metriaclima benetos
Photinus pyralis
Notonecta undulata
Leptocottus armatus
Geoclemys reevesii
Centropristis striata
Petromyzon marinus
Fabriciana adippe
Myotis velifer
Anolis stratulus
Sternoptyx diaphana
Bombus hypnorum
Gnathophausia ingens
Plocepasser mahali
Microstoma microstoma
Sagiunus midas
Canthidermis maculatus
Miopithecus talapoin
Sympetrum rubicundulum
Gallus  gallus domesticus
Corvus  frugilegus
Histiobranchus bathybius
Scomberomorus sierra
Polygonia c-album
Aeschna cyanea
Bathophilus brevis
Tramitichromis intermedius
Buteo jamaicensis
Bufo bufo
Coryphaenoides guntheri
Phoca groenlandicus
Gymnocanthus pistilliger
Valenciennellus tripunctulatus
Pundamilia luanso
Todarodes pacificus
Trichodon trichodon
Taurulus bubalis
Rimicaris exoculata
Ostorhinchus Cyanosoma
Geryon quinquedens
Melipona marginata
Mesoplodon bidens
Makaira nigricans
Acartia tonsa
Ostorhinchus Cookii
Phodopus sungorus
Myripristis berndti
Scomber japonicus
Equus caballus
Rana cancrivora
Gilbertidia sigalutes
Opisthocentrus ocellatus
Dascyllus trimaculatus
Orconectes virilis
Borostomias panamensis
Lampanyctus regalis
Gasterosteus acuelatus
Taeniura lymma
Anolis evermanni
Peprilus stimillimus
Graphium sarpedon
Gonodactylellus affinis
Thylamys elegans
Potos flavus
Drosophila melanogaster
Micropterus salmoides
Cirrhilabrus solorensis
Parus caeruleus
Potamotrygon motoro
Capra hircus
Palaemonetes vulgaris
Gonostoma elongatum
Nothoprocta perdicaria sanborni
Stichaeus nozawae
Meleagris gallopavo
Stomias atriventer
Panulirus argus
Mylochromis lateristriga
Anolis cristatellus
Cottus sp.
Rouleina maderensis
Trygonoptera testacea
Heliconius erato petiverana
Engraulis mordax
Clinocottus globiceps
Acanthopagrus butcheri
Clibanarius vittatus
Lampanyctus crocodilus
Xenopus laevis
Abyssocottus korotneffi
Lutjanus erythropterus
Bicyclus anynana
Serinus canaria
Tinca tinca
Chelonia mydas
Photuris frontalis
Oncorhynchus gorbuscha
Toxotes chatareus
Pachystomias microdon
Platycercus elegans
Systellaspis braueri
Meningodora miccyla
Cloridopsis dubia
Euphydryas chalcedona
Dascyllus albisella
Alouatta sp.
Lonchura maja
Gasterosteus sp.
Hemigraspus edwardsi
Otolemur garnettii
Gecarcinus lateralis
Libelloides macaronius
Ailuroedus crassirostris
Spermophilus beecheyi
Callipepla californica
Bicellonycha wickershamorum
Ambystoma tigrinum aquatic
Bentheogennema intermedia
Ascelichthys rhodorus
Dasyatis fluviorum
Phoca vitulina
Neoniphon sammara
Bos taurus
Gryllus bimaculatus
Sphoeroides annulatus
Rhynchobatus australiae
Leptograspus variegatus
Merluccius productus
Abudefduf abdominalis
Bodianus bilunnulatus
Oplophorus gracilirostris
Phassus excrescens
Penaeus penicillatus
Upeneus tragula
Lepidopsetta bilineata
Myoxocephalus quadricornis
Malacocephalus laevis
Belone belone
Rhacochilus vacca
Lutjanus malabaricus
Acanthephyra microphthalma
Cataglyphis bicolor
Pomatoschistus minutus
Acipenser ruthenus
Stylopandalus richardi
Bonapartia pedalioita
Ochlodes venata
Nematobrachion boopis
Talitrus saltator
Columba livia
Pholis omata
Lampanychtus ater
Cebus sp.
Pergavor spilosoma
Melecta punctata
Pagurus annulipes
Lampetra fluviatilis
Serrivomer lanceolatoides
Tenthredo campestris
Himantura fai
Papilio achaon
Perca  flavescens
Panopeus herbtii
Callinectes sapidus
Deilephila elpenor
Lates calcarifer
Brachyistius frenatus
Cyprinus carpio
Corvus frugilegus
Etroplus suratensis
Uca thayeri
Python regius
Chaetodon kleinii
Chimaera monstrosa
Rana cracrivora
Hyperoplus lanceolatus
Rouleina attrita
Poromitra megalops
Gonostoma denudatum
Loxodonta africana
Coryphaenoides leptolepis
Microstomus kitt
Cambarellus shufeldtii
Cambarellus ludovicianus
Salmo trutta trutta
Hippocampus barbouri
Arizona elegans
Bothragonus  swani
Acipenser fulvescens
Lepidion eques
Neotrygon kuhlii
Panopeus obesus
Rana pipiens
Heliconius melpomene
Homo sapiens
Sesarma reticulatum
Hariotta raleighana
Urocerus gigas
Inachis io
Anolis lineatopus
Evermannella balbo
Asterocampa leilia
Echinomacrurus mollis
Lycaena dorcas
Sciurus carolinensis
Paracottus knerii
Osmerus eperlanus
Sygnathus leptorhynchus
Trichechus manatus
Hermeuptychia hermes
Glaucostegus typus
Trygonorrhina fasciata
Nannobrachium atrum
Apogon kallopterus
Haplochromis azurea
Nothoprocta cinerascens
Nematobrachion sexpinosum
Synaphobranchus kaupii
Bombyx mori
Lutjanus fulviflamma
Ceratoscopelus warmingii
Metriaclima emmiltos
Danio aequipinnatus
Coenobita clypeatus
Ictalurus punctatus
Trachyscorpia cristulata
Caelorhinchus labiatus
Microcebus murinus
Lasioglossum malachurum
Saimiri sciureus
Sufflamen bursa
Poecilia latipinna
Tarsius syrichta
Sebastes auriculatus
Bentheogennema pasithea
Idiacanthus fasciola
Blepsias cirrhosus
Pandalus montagui
Hemimysis anomala
Icelinus borealis
Microgadus proximus
Hipposideros speoris
Coenobita rugosa
Anolis bahorucoensis
Gennadas sp.
Cottocomephorus grewingki
Libinia emarginata
Synodus variegatus
Sergestes tenuiremis
Rhadinesthes decimus
Zoramia  Leptacanthus
Hoplostethus mediterraneus mediterraneus
Zebrasoma veliferum
Rangifer tarandus
Vanessa cardui
Diaphus lucidus
Merluccius merluccius
Benthalbella  infans
Parnara guttata
Carabus nemoralis
Gobiusculus flavescens
Polyodon spathula
Notostomus elegans
Danio malabaricus
Anthidium manicatum
Colias erate
Hemidactylus frenatus
Oncorhynchus mykiss
Metriaclima zebra
Calliphora erythrocephala
Argyropelecus aculeatus
Metriaclima livingstonii
Furcifer pardalis
Sus scrofa
Teratoscincus scincus
Trematomus loennbergii
Anas platyrhynchos
Pleuroncodes planipes
Romalea microptera
Tyrannochromis macrostoma
Stenobrachius leucopsarus
Pasiphaea emarginata
Leontopithecus rosalia rosalia
Neomysis integer
Myotis lucifugus
Pervagor aspricaudus
Micrometrus aurora
Sigmops bathyphilus
Meleagris  galoparvo
Molothrus ater
Poecilia mexicana
Zanclus cornutus
Anguilla bicolor
Carcharhinus obscurus
Tetrapturus audax
Mirounga angustirostri
Phalacrocorax carbo
Artedius harringtoni
Thysanopoda orientalis
Geotrypetes seraphini
Urobatis jamaicensis
Spodoptera exigua
Uca pugilator
Mamestra brassicae
Eutrigla gurnardus
Bathylagus euryops
Dicrolene intronigra
Salvelinus alpinus
Mugil cephalus
Poecilia formosa
Necturus maculosus
Metynnis argenteus
Lethrinops parvidens
Hippoglossoides herzensteini
Anguilla japonica
Aristostomias tittmani
Limenitis weidemeyerii
Cerceris rybyensis
Triakis semifasciata
Dromiceius novae-hollandiae
Microstomus pacificus
Anolis pulchellus
Neoniphon aurolineatus
Thysanopoda acutifrons
Citharichthys sordidus
Sargocentron diadema
Pundamilia red head
Photinus marginellus
Hexagrammos octagrammus
Notacanthus bonapartei
Zoarces viviparus
Neogonodactylus oerstedii
Searsia koefoedi
Chaetodon unimaculatus
Osmerus dentex
Bubo virginianus
Myoxocephalus potyacanthocephalus
Lampadena speculigera
Acanthephyra curtirostris
Coregonus clupeoides
Rhinella [=Bufo] marinus
Opsanus tau
Phycis blennoides
Papio papio
Dromiceius novae-hollandae
Rhinomuraena quaesita
Chloebia gouldiae
Phronima sedenteria
Seriphus politus
Photinus scintillans
Scorpaenichthys marmoratus
Myrmecia gulosa
Stomias boa
Plesiopenaeus armatus
Puffinus puffinus
Cyprinodon variegatus
Chirostomias pliopterus
Lutjanus russellii
Rhinoptera bonasus
Sminthopsis crassicaudata
Danaus plexippus
Samia cynthia ricini
Limulus polyphemus
Rinocetes nasutus
Anoplarchus purpurescens
Puffinus pacificus
Melanochromis auratus
Paralabrax clathratus
Liparis florae
Tramitichromis  intermedius
Atherina boyeri
Mysis mixta
Hemidactylus garnotii
Coryphaenoides carapinus
Zaniolepis frenata
Daubentonia madagascariensis
Gennadas valens
Platysaurus broadleyi
Apodemia spp.
Saguinus midas
Balanus balanoides
Jordania zonope
Praunus flexuosus
Ligia exotica
Asterropteryx semipunctata
Arenaeus cribrarius
Anax junius
Cottunculus thomsonii
Stylocheiron maximum
Aotus trivirgatus
Astyanax fasciatus
Geotria australis
Platichthys flesus
Notoscopelus resplendens
Gonodactylaceus falcatus
Isoodon obesulus
Anadevidia peponis
Tarentola chazaliae
Coregonus lavaretus
Felis catus
Poromitra capito
Zebrasoma flavescens
Benthosema suborbitale
Sternoptyx pseudobscura
Ahliesaurus berryi
Trachurus symmetricus
Scylla serrata
Anolis sagrei
Chiloscyllium punctatum
Hemigrapsus sanguineus
Chauliodus macouni
Xenodermichthys  copei
Engraulis encrasicolus
Neoniphon argenteus
Libinia dubia
Papilio xuthus
Sebastolobus alascanus
Radiicephalus elongatus
Bowmaniella sp.
Procambarus milleri
Cottocomephorus grewingkii
Astacus leptodactylus
Pteropus samoensis
Vinciguerria nimbaria
Limenitis lorquini
Comephorus baicalensis
Anguilla Anguilla
Otolemur crassicaudatus
Erythrocebus patas
Raja binoculata
Petrolisthes elongates
Sardinops sagax
Sericulus crysocephalus
Perca fluviatilis
Benthalbella infans
Pandalus borealis
Masticophis flagellum
Lepisosteus platostomus
Ichthyococcus ovatus
Pleuronectes obscurus
Chauliodus sloani
Pieris rapae crucivora
Megalocottus platycephalus
Bombus fervidus
Poecilia reticulata cumana
Lutjanus sebae
Carassius carassius
Metriaclima barlowi
Photostomias guernei
Meriones unguiculatus
Bombus jonellus
Sander lucioperca
Crotaphytus dickersonae
Pollachius pollachius
Lycaena heteronea
Carcharhinus acronotus
Ernogrammus hexagrammus
Tribolodon hakonensis
Holtbyrnia spinithara
Myoxocephalus jack
Eurypharynx pelecanoides
Acipenser medirostris
Xiphister  atropurpureus
Sergia maximus
Xiphydria camelus
Acanthropagrus berda
Bathylagus longirostris
Spodoptera exempta
Parupeneus multifasceatus
Streptopelia roseogrisea
Aulonocara hueseri
Pseudopleuronectes herzensteini
Dasyatis kuhlii
Cyttopsis roseus
Atherinops affinis
Sesarma cinereum
Hepatus epheliticus
Melanochromis  vermivorus
Megalocottus  platycephalus
Chromis hanui
Melanphaes canthomus
Meganyctiphanes norvegica
Callistoctopus dierythraeus
Notonecta irrorata
Pilumnus sayi
Callonychium petuniae
Isodon obesulus
Mysis diluviana
Canthidermis maculata
Chromis verater
Gryllus bimaculatus adult
Rhea americana
Anchoa mitchilli
Gymnothorax reticularis
Chelidonichthys lucernus
Hoplostethus atlanticus
Crenicichla frenata
Marumba sperchius
Aulostomus chinensis
Mysis relicta sp.II
Diaphus holti
Pseudotropheus tropheops
Clevelandia ios
Dolichovespula norwegica
Pteropus dasymallus
Neope goschkevitschii
Thunnus albacares
Cynops orientalis
Plexippus validus
Melanochromis vermivorus
Antimora  rostrata
Aglais urticae
Melanostomias niger
Diaphus dumerilli
Ambystoma tigrinum adult
Haplochromis pyrrhocephalus
Nothoprocta perdicaria
Pholis ornata
Petrolisthes diogenes
Oncorhynchus keta
Alepocephalus australis
Gonodactylus smithii
Aptychotrema vincentiana
Photostylus sp.
Sergia grandis
Gonostoma bathyphilum
Hapalochlaena maculosa
Esox lucius
Damalichthys vacca
Archaeomysis grebnitzkii
Oncorhynchus tshawytscha
Notonecta glauca
Lysiosqullia sulcata
Coturnix  japonica
Ictalurus melas
Triglops pingelii
Anas platyrhynchos domesiticus
Osmia rufa
Rhea  americana
Xenos peckii
Chlamydera nuchalis
Spermophilus tridecemlineatus
Hemilepidotus hemilepidotus
Eristalis tenax
Vespo crabro
Galago crassicauda
Embiotoca lateralis
Locusta migratoria
Astatotilapia burtoni
Pasiphaea suspirosum
Haplochromis nyererei
Epicopeia hainesii
Porogradus sp.
Orconectes rusticus
Aulorhynchus flavidus
Speyeria leto
Bathylagus bericoides
Bombus terrestris
Hemigraspus sanguineus
Anolis extremus
Coronis scolopendra
Nectamia  Savayensis
Acanthephyra purpurea
Scaphirhynchus platorynchus
Stichaeopsis nana
Parophrys vetulus
Mauremys reevesii
Zoramia  Viridiventer
Anas platyrhynchus
Rouleina aderensis
Brachydanio rerio
Callambulyx tatarinovii
Bombus  impatiens
Passer domesticus
Agraulis vanillae
Loligo forbesii
Artemia salina
Galago senegalensis
Drosophilia melanogaster
Eulemur fulvus fulvus
Ostracion meleagris
Naso unicornis
Sphyrna tiburo
Bombus monticola
Limanda aspera
Astacus fluviatus
Hydrolagus colliei
Buteo buteo
Palaemonetes paladosus
Myoxocephalus stelleri
Photinus versicolor
Carcharhinus limbatus
Comephorus dybowskii
Bathysaurus ferox
Apis mellifera
Euphausia pacifica
Lutjanus kasmira
Amia calva
Ballerus ballerus
Chiasmodon niger
Lutjanus bohar
Hemitripterus americanus
Xiphister mucosus
Scopelarchus analis
Mysis  sp.
Aristostomias tittmanni
Halargyreus johnsonii
Sargocentron punctatissimum
Anolis carolinensis
Sympetrum sp.
Diaphus rafinesquei
Ovipales stephensoni
Spheniscus humboldti
Sepia officinalis
Pagurus longicarpus
Xenodermichthys copei
Dissostichus mawsoni
Rynchophorus ferrugineus
Phytichthys  chirus
Rana catesbeiana
Acanthurus achilles
Thamnophis sirtalis sirtalis
Chlamydera maculata
Syngnathus typhle
Lyopsetta exilis
Carlito syrichta
Albula vulpes
Daubentonia madagascariensis 
Anableps anableps
Barbantus curvifrons
Hexagrammos octogrammus
Thomomys bottae
Pleuronectes platessa
Fundulus heteroclitus
Enophrys bison
Cercopithecus petaurista
Bellocia  koefoedi
Orectolobus maculatus
Pungitius pungitius
Anolis krugi
Salmo salar
Psychrobites paradoxus
Caretta caretta
Anolis conspersus
Diplodus annularis
Notonecta insulata
Pseudopleuronectes obscurus
Ctenophorus ornatus
Trachurus mediterraneus
Carcinus maenas
Lycodes pacificus
Hypsiglena torquata
Ameiurus melas
Acerina cernua
Bassozetus compressus
Gymnocanthus intermedius
Lumpenus sagitta
Mustelus henlei
Isopsetta isolepis
Loris tardigradus
Melopsittacus undulatus
Artedius fenestralis
Heliconius hecale
Liparis  greeni
Squilla empusa
Hoplostethus mediteranus
Pavo cristatus
Cheirogaleus medius
Schwarziana sp
Janicella spinacauda
Cynotilapia afra
Zebrasoma velifer
Pholidapus dybowsky
Portunus spinimanus
Bassozetus compresis
Pagothenia borchgrevinki
Rana catesbeiana larvae
Lysiosquillina maculate
Mulloidichthys flavolineatus
Cataetyx laticeps
Hemigrapsus sanguinensis
Junonia coenia
Holmesimysis costata
Paromola cuvieri
Pagurus pollicaris
Spicara smaris
Melanochromus vermivorous
Xiphister atropurpureus
Carcharhinus amboinensis
Eurypanopeus depressus
Tripedalia cystophora
Lycaena nivalis
Mus musculus
Salmo trutta
Sebastes empaeus
Systellaspis debilis
Pleuronectes asper
Parupeneus multifasciatus
Mysis relicta sp.IV
Nematobrachion sexspinosus
Nautichthys oculofasciatus
Lonchura striata
Tupaia glis
Gallus gallus
Speotyto cunicularia
Liparis pulchellus
Pseudotropheus acei
Pieris melete
Sergia splendens
Ovis aries
Globicephala melas
Menemerus confusus
Scardinius erythrophthalmus
Procyon lotor
Lampanyctus alatus
Procambarus clarkii
Leuroglosus stilbius
Tarsius bancanus
Talismania antillarum
Tursiops truncates
Lampanyctus festivus
Pasiphaea chacei
Ammodytes hexapterus
Pristiapogon kallopterus
Gobiesox maecmdricus
Lampropeltis getula
Plesionika martia
Limanda limanda
Lycaena phlaeas
Paracheirodon innesi
Struthio camelus
Euphausia superba
Formica polyctena
Heteromysis formosa
Malacosteus niger
Conocara macroptera
Pundamila sp.
Halosauropsis macrochir
Pithecia pithecia
Alosa kessleri
Myoxocephalus brandti
Trematomus hansoni
Limenitis archippus
Engaeus cunicularius
Dolichonyx orzivorous
Glossophaga soricina
Ichneumon stramentarius
Cottocomephorus inermis
Neochmia modesta
Lobianchia gemellarii
Oligocottus maculosus
Batrachocottus nicolskii
Sebastes maliger
Schistocerca gregaria
Lasioglossum albipes
Nematoscelis megalops
Macaca fascicularis
Platyberyx opalescens
Trematomus bernacchii
Trachemys scripta
Nothoprocta cinerascens cinerascens
Limnocottus griseus
Didelphis aurita
Mysis relicta sp.I
Poecilia reticulata trinidad
Danio rerio
Chromis ovalis
Anoplogaster cornuta
Cebus spp.
Hemicordulia tau
Sergestes similis
Cyrtopodion kotschyi
Calappa flammea
Eumicrotremus orbis
Conger conger
Minois dryas
Mora moro
Sephanoides sephanoides
Pleurogrammus  azonus
Plagiotremus rhinorhynchos
Turdus merula
Antheraea polyphemus
Spirinchus thaleichthys
Scorpaena porcus
Macaca mulatta
Cercopithecus cephus
Zalembius rosaceus
Ameiurus catus
Libellula pulchella
Ruscarius meanyi
Sebastes flavidus
Ichneumon spp.
Spinachia spinachia
Hemidactylus platyurus
Oxea flavescens
Procottus jettelesi
Neoceratodus forsteri
Parage aegeria
Lipophrys pholis
Atrophaneura alcinous
Psychrolutes paradoxus
Dimidiochromis compressiceps
Zonotrichia leucophrys
Gekko gecko
Aptychotrema rostrata
Neomysis mercedis
Hippoglossoides elassodon
Thysanoessa raschii
Acanthurus nigroris
Idiosepius notoides
Nemichthys scolopaceus
Hydrolagus mirabilis
Celastrina argiolus
Podothecus acipenserinus
Sergestes arcticus
Cottinella boulengeri
Ctenomys talarum
Panopeus herbstii
Lemur catta
Scopelogadus beanii
