Eurypanopeus depressus
Alima pacifica
Nannobrachium atrum
Howella sherborni
Plagiotremus rhinorhynchos
Orectolobus maculatus
Lissotriton vulgaris
Menippe mercenaria
Tinca tinca
Anolis gundlachi
Lampetra fluviatilis
Odontodactylus scyllarus
Salvelinus alpinus
Bathylagus longirostris
Microgadus proximus
Aeschna cyanea
Alosa kessleri
Photuris potomaca
Sympetrum rubicundulum
Hariotta raleighana
Tupaia glis
Taaningichthys bathyphilus
Pleuronectes herzensteini
Cloridopsis dubia
Caelorhinchus labiatus
Melanonus zugmayeri
Pleuronectes asper
Rhea americana
Anthidium manicatum
Ostorhinchus Cookii
Scorpaena porcus
Phytichthys chirus
Antimora rostrata
Acipenser transmontanus
Bombus hortorum
Tenthredo campestris
Tarsius syrichta
Neogonodactylus curacaoensis
Taeniura lymma
Pergavor aspricaudus
Cambarus ludovicianus
Ichneumon spp.
Nymphalis xanthomelas
Gymnocanthus pistilliger
Caranx hippos
Spodoptera exempta
Stylopandalus richardi
Lutjanus fulviflamma
Acanthropagrus berda
Chromis verater
Neochmia modesta
Balanus amphitrite
Lutjanus sebae
Anolis cristatellus
Hyperoplus lanceolatus
Embiotoca lateralis
Scaphirhynchus albus
Alepocephalus bairdii
Sargocentron microstoma
Batrachocottus multiradiatus
Xiphydria camelus
Xiphister  atropurpureus
Danio aequipinnatus
Notonecta irrorata
Bombus morio
Dermogenys pusilla
Anolis grahami
Celastrina argiolus
Zenaida macroura
Mysis diluviana
Orconectes rusticus
Engaeus cunicularius
Parupeneus multifasceatus
Cottinella boulengeri
Typhlops platycephalus
Rimicaris exoculata
Stichaeus nozawae
Lycaena heteronea
Artedius fenestralis
Clupea pallasii
Paracottus knerii
Cottunculus thomsonii
Psettichthys melanostictus
Metriaclima emmiltos
Pipilo fuscus
Carcharhinus amboinensis
Gonodactylus smithii
Anolis krugi
Buteo buteo
Nematobrachion sexspinosus
Lumpenus sagitta
Sternoptyx diaphana
Bombus monticola
Chaetodon unimaculatus
Gymnocanthus intermedius
Puffinus pacificus
Neoniphon argenteus
Chamaeleo dilepis
Systellaspis debilis
Conocara salmonea
Gonodactylopsis spongicola
Xenodermichthys copei
Bathysaurus mollis
Asterocampa leilia
Zoramia  Viridiventer
Callinectes ornatus
Trigona spinipes
Nothoprocta perdicaria sanborni
Gennadas sp.
Cleisthenes herzensteini
Parvus  caeruleus
Pullosquilla litoralis
Synaphobranchus kaupi
Nectamia  Savayensis
Photuris lucicrescens
Bathylagus greyae
Hemimysis anomala
Cyrtopodion kotschyi
Theragra chalcogramma
Calappa flammea
Melanphaes canthomus
Myoxocephalus jack
Metynnis argenteus
Chromis ovalis
Octopus tetricus
Strix aluco
Rhithropanopeus harrisii
Rhizoprionodon taylori
Argyropelecus hemigymnus
Rangifer tarandus
Benthalbella  infans
Callinectes sapidus
Epigonus  telescopus
Orconectes virilis
Hoplostethus atlanticus
Xiphister atropurpureus
Photinus macdermotti
Ichthyocossus ovatus
Anas playrhnchos domesticus
Cambarellus schufeldtii
Aulostomus chinensis
Hemisquilla ensigera
Leocottus kesslerii
Ostracion meleagris
Abyssocottus korotneffi
Pteropus samoensis
Pasiphaea multidentata
Liparis dennyi
Zebrasoma velifer
Haplochromis azurea
Sebastes maliger
Leptograspus variegatus
Bathylagus bericoides
Myoxocephalus brandti
Sarda chiliensis
Stichaeus grigorjevi
Carcharhinus acronotus
Sebastes empaeus
Holtbyrnia spinithara
Balanus balanoides
Anguilla Anguilla
Ophiodon elongatus
Pasiphaea chacei
Locusta migratoria
Hypsurus caryi
Aglais urticae
Rana catesbeiana
Gryllus campestris
Teratoscincus scincus
Orectolobus ornatus
Acerina cernua
Gonepteryx aspasia
Raja binoculata
Metriaclima zebra
Papilio protenor
Callambulyx tatarinovii
Myrmecia vindex
Erythrocebus patas
Photonectes braueri
Poromitra megalops
Pseudotropheus tropheops
Pasiphaea suspirosum
Sergia grandis
Dolichovespula norwegica
Archaeopropona demophon
Chlorophthalmus sp.
Nematobrachion sexpinosum
Chirostomias pliopterus
Palaemonetes vulgaris
Gonostoma bathyphilum
Peprilus simillimus
Rinocetes nasutus
Hemitripterus villosus
Brachydanio rerio
Odontodactylus havanensis
Mullus barbatus
Metriaclima melabranchion
Bolinichthys indicus
Pagurus pollicaris
Spicara smaris
Protomelas taeniolatus
Pteropus dasymallus
Cynops orientalis
Gobiesox maeandricus
Scaphirhynchus platorynchus
Carabus nemoralis
Acanthephyra purpurea
Crotaphytus dickersonae
Ptilorhynchus violaceus
Bentheogennema intermedia
Pseudozizeeria maha
Calliphora erythrocephala
Puffinus puffinus
Nomada alboguttata
Gonostoma elongatum
Lobianchia gemellarii
Triakis semifasciata
Lipophrys pholis
Anilius scytale
Agonopsis vulsa
Sardinops melanostictus
Libinia dubia
Pseudotropheus  acei
Thysanoessa raschii
Anolis extremus
Diaphus dumerilli
Systellaspis cristata
Sympetrum sp.
Jordanella floridae
Pagurus longicarpus
Cyttopsis rosea
Ichthyophis kohtaoensis
Lampadena speculigera
Urocerus gigas
Sergestes corniculum
Echiostoma barbatum
Pollachius pollachius
Hymenodora frontalis
Neomysis integer
Stizostedion lucioperca
Saguinus oedipus
Dardanus fucosus
Phidippus regius
Benthosema suborbitale
Spermophilus tridecemlineatus
Chaetodon kleini
Bombus hypnorum
Lasioglossum malachurum
Halargyreus johnsonii
Poromitra capito
Taurulus bubalis
Haplochromis piceatus
Zoramia  Leptacanthus
Nothoprocta perdicaria
Gobiusculus flavescens
Valenciennellus tripunctulatus
Sphodromantis sp.
Zoarces viviparus
Vinciguerria nimbaria
Eumicrotremus orbis
Lampanyctus alatus
Toxotes chatareus
Gasterosteus sp.
Batrachocottus nicolskii
Penaeus penicillatus
Derichthys serpentinus
Coturnix coturnix
Photuris frontalis
Ostorhinchus Doederleini
Hyperprosopon argenteum
Melanostomias niger
Bodianus bilunnulatus
Albula vulpes
Argyropelecus gigas
Portunus spinimanus
Bodianus bilunulatus
Gymnura australis
Istiophorus  platypterus
Mustelus henlei
Anolis bahorucoensis
Platyberyx opalescens
Trygonorrhina fasciata
Myrmecia gulosa
Bythograea thermydron
Clevelandia ios
Limnocottus griseus
Vespo crabro
Gobius paganellus
Artedius fenestrates
Bassozetus compressus
Anolis evermanni
Vespula germanica
Sigmops elongatus
Arichanna gaschkevitchii
Sphoeroides annulatus
Chlamydera maculata
Peprilus stimillimus
Hermeuptychia hermes
Sergestes arcticus
Enophrys diceraus
Sphyrna tiburo
Lepisosteus platostomus
Dendrochirus zebra
Stegastes fasciolatus
Pseudopleuronectes herzensteini
Astatotilapia burtoni
Sephanoides sephanoides
Hoplostethus mediteranus
Sesarma reticulatum
Aulorhynchus flavidus
Pundamila sp.
Myrmecia croslandi
Galago crassicauda
Sepioteuthis lessoniana
Idiacanthus fasciola
Turdus merula
Scenopoetes dentirostris
Rhamphocottus richardsonii
Chauliodus sloani
Phytichthys  chirus
Amadina fasciata
Micrometrus minimus
Ptilichthys goodei
Urocyon littoralis
Geomys bursarius
Haplochromis ishmaeli
Petrolisthes diogenes
Nephrops norvegicus
Coenobita rugosa
Carcharhinus obscurus
Coregonus lavaretus
Photinus scintillans
Microstoma microstoma
Pachystomias microdon
Potos flavus
Phassus excrescens
Rhynchobatus australiae
Pleurogrammus  azonus
Sergestes tenuiremis
Chlamydera nuchalis
Plocepasser mahali
Bubo virginianus
Carcharhinus limbatus
Saimiri sciureus
Bathysaurus ferox
Hemitripterus americanus
Hapalochlaena maculosa
Bero elegance
Lutjanus malabaricus
Melipona marginata
Corvus  frugilegus
Eutrigla gurnardus
Margrethia obtusirostra
Rana catesbeiana larvae
Neoniphon aurolineatus
Chauliodus sloanei
Sphyrna lewini
Parus caeruleus
Ascelichthys rhodorus
Haplonycteris fischeri
Metriaclima livingstonii
Evermannella balbo
Canthidermis maculata
Hymenodora glacialis
Kali macrodon
Deania calcea
Spheniscus humboldti
Hemicordulia tau
Argynnis ruslana
Fabriciana adippe
Barbantus curvifrons
Pleurogrammus azonus
Centrophorus squamosus
Lipophyrs pholis
Chaceon affinis
Cercopithecus cephus
Lepilemur ruficaudatus
Pasiphaea emarginata
Diaphus rafinesquei
Hydrolagus colliei
Abramis ballerus
Oligocottus maculosus
Lampanyctus festivus
Uca pugnax
Chiasmodon niger
Abramis brama
Gonostoma atlanticum
Procyon lotor
Andrena florea
Leptograpsus variegatus
Hexagrammos octagrammus
Hemidactylus turcicus
Panopeus herbstii
Panopeus obesus
Funchalia villosa
Meningodora miccyla
Pagurus annulipes
Osmerus dentex
Menemerus confusus
Electrona risso
Conocara macroptera
Spirinchus thaleichthys
Pieris melete
Pundamilia red head
Lonchura maja
Synaphobranchus kaupii
Dasyatis kuhlii
Hippocampus angustus
Thysanopoda acutifrons
Romalea microptera
Geoclemys reevesii
Sergia splendens
Axoclinius carminalis
Rhadinesthes decimus
Ameiurus melas
Alburnus alburnus
Rhinomuraena quaesita
Cancer irroratus
Mysis relicta sp.IV
Saguinus midas
Rouleina maderensis
Trigla cuculus
Limnocottus pallidus
Anoplogaster cornuta
Eurypharynx pelecanoides
Megalocottus platycephalus
Chirolophis japonicus
Mysis relicta sp.II
Searsia koefoedi
Apogon kallopterus
Trygonoptera testacea
Estrilda troglodytes
Notostomus elegans
Aequidens pulcher
Papilio aegeus
Gonostoma denudatum
Trichodon trichodon
Paromola cuvieri
Python regius
Libelloides macaronius
Pholis omata
Procottus jettelesii
Didelphis virginiana
Parapasiphaea sulcatifrons
Zebrasoma flavescens
Miopithecus talapoin
Acanthephyra stylorostratis
Leuroglosus stilbius
Cerceris rybyensis
Cottocomephorus grewingki
Opisthoproctus grimaldii
Lutjanus carponotatus
Dascyllus albisella
Forcipiger flavissimus
Papio papio
Agraulis vanillae
Dromiceius novae-hollandae
Bonapartia pedalioita
Rouleina aderensis
Anolis stratulus
Cottus kessleri
Hemigraspus edwardsi
Gymnothorax favagineus
Micrometrus aurora
Bowmaniella sp.
Otus asio
Meleagris  galoparvo
Eustomias obscurus
Lutjanus bohar
Parupeneus multifasciatus
Squilla empusa
Amphilophus longimanus
Portunus spinimanis
Larus atricilla
Euprymna tasmanica
Mulloidichthys flavolineatus
Hepatus epheliticus
Makaira nigricans
Talismania antillarum
Psychrobites paradoxus
Neomysis americana
Panulirus argus
Streptopelia roseogrisea
Upeneus tragula
Podothecus acipenserinus
Micropoecilia parae
Zaniolepis frenata
Limanda aspera
Acantholumpenus mackayi
Anax junius
Tarentola chazaliae
Lycaena phlaeas
Phalaenoptilus nuttallii
Lutjanus argentimaculatus
Microstomus pacificus
Canthidermis maculatus
Nothoprocta cinerascens cinerascens
Callistoctopus dierythraeus
Jasus edwardsii
Icelinus borealis
Lonchura malabarica
Melanostigma pammelas
Hexagrammos octogrammus
Lestrimelitta limao
Pergavor spilosoma
Ictalurus melas
Astacus leptodactylus
Engraulis mordax
Dasyatis fluviorum
Pandalus borealis
Stomias boa
Scardinius erythrophthalmus
Zanclus cornutus
Dolichonyx orzivorous
Bombus distinguendis
Bothragonus swani
Helostoma temminkii
Partamona helleri
Diaphus holti
Metriaclima benetos
Sardinops sagax
Naso unicornis
Corvus frugilegus
Hippoglossoides herzensteini
Coronis scolopendra
Acanthurus achilles
Ernogrammus hexagrammus
Liparis pulchellus
Mysis salemaai
Sufflamen bursa
Ptychozoon lionotum
Leptotyphlops sp.
Stylephorus chordatus
Scopelogadus beanii
Acartia tonsa
Meganyctiphanes norvegica
Lasioglossum albipes
Praunus flexuosus
Pundamilia luanso
Chelidonichthys lucernus
Acanthephyra microphthalma
Aetobatus narinari
Dicrolene intronigra
Abudefduf abdominalis
Sergia phorcus
Scylla serrata
Triglopsis quadricornis
Actias artemis aliena
Rouleina attrita
Nothoprocta cinerascens
Neonesthes capensis
Rhinoptera bonasus
Seriphus politus
Leptocottus armatus
Thysanopoda orientalis
Tetrapturus audax
Inachis io
Cebus sp.
Saguinus fuscicollis
Cyrtopodion fedtschenkoi
Rynchophorus ferrugineus
Plesionika martia
Photostylus sp.
Meningodora vesca
Melipona quadrifasciata
Chromis punctipinnis
Stichaeopsis nana
Citellus lateralis
Cambarellus shufeldtii
Lepidopsetta bilineata
Typhlops hypomethes
Balanus eburneus
Anguilla bicolor
Gonodactylellus affinis
Ctenophorus decresii
Ovipales stephensoni
Sigmops bathyphilus
Sergestes curvatus
Photinus collustrans
Notonecta undulata
Spermophilus lateralis
Chromis hanui
Notonecta insulata
Trematomus loennbergii
Mysis mixta
Rhea  americana
Carcharhinus leucas
Benthalbella infans
Chaetodon kleinii
Sphyraena barracuda
Chloebia gouldiae
Camponotus abdominalis
Archaeomysis grebnitzkii
Opisthocentrus ocellatus
Philanthus triangulum
Pseudopleuronectes obscurus
Carcinus maenas
Aphanopus  carbo
Cottus sp.
Astacus fluviatus
Comephorus baicalensis
Sergia robustus
Ischnura heterosticta
Pristiapogon kallopterus
Ceratoscopelus warmingii
Mirza coquereli
Boa constrictor
Pholis laeta
Rhacochilus vacca
Porogradus sp.
Cirrhilabrus solorensis
Gonodactylus oerstedii
Geryon quinquedens
Sebastes auriculatus
Nematoscelis megalops
Metriaclima barlowi
Sargocentron xantherythrum
Lycaena dorcas
Epicopeia hainesii
Hoplostethus mediterraneus mediterraneus
Bassozetus compresis
Syngnathus leptorhynchus
Borostomias panamensis
Paralabrax clathratus
Rana pipiens
Apodemia spp.
Cottocomephorus grewingkii
Aeshna tuberculifera
Callonychium petuniae
Octopus australis
Naso lituratus
Leontopithecus rosalia rosalia
Stichaeus grigorjewi
Hemilepidotus hemilepidotus
Ctenomys magellanicus
Drosophilia melanogaster
Anolis lineatopus
Coregonus clupeoides
Argyropelecus aculeatus
Artedius harringtoni
Synodus variegatus
Formica polyctena
Photostomias guernei
Borostomias elucens
Sergia maximus
Acanthurus nigroris
Aotus trivirgatus
Batrachocottus baicalensis
Acipenser medirostris
Isopsetta isolepis
Bathophilus brevis
Pervagor aspricaudus
Pithecia pithecia
Neomysis mercedis
Bombus jonellus
Oplophorus spinosus
Uca thayeri
Speotyto cunicularia
Oplophorus sp.
Gobiesox maecmdricus
Lutjanus adetii
Praunus inermis
Cercopithecus petaurista
Ichthyococcus ovatus
Heteromysis formosa
Euphausia pacifica
